crystal_structure,density_g/cm3,melting_point_degC,boiling_point_degC,thermal_conductivity_W/(m*K),specific_heat_J/(kg*K),thermal_expansion_1e-6/K,youngs_modulus_GPa,shear_modulus_GPa,bulk_modulus_GPa,poissons_ratio,hardness_MPa,hardness_Mohs,tensile_strength_MPa,compressive_strength_MPa,fracture_toughness_MPa*m^0.5,refractive_index_o,refractive_index_e,dielectric_constant,resistivity_ohm*m,magnetic_susceptibility_cm3/mol,band_gap_eV,std_enthalpy_kJ/mol,std_entropy_J/(mol*K),Sellmeier_B1,Sellmeier_B2,Sellmeier_B3,Sellmeier_C1_um2,Sellmeier_C2_um2,Sellmeier_C3_um2,lattice_a_angstrom,lattice_b_angstrom,lattice_c_angstrom,lattice_alpha_deg,lattice_beta_deg,lattice_gamma_deg,space_group,volume_angstrom3,Z_formula_units,piezo_d11_pC/N,piezo_d14_pC/N,piezo_e11_C/m2,piezo_e14_C/m2,elastic_C11_GPa,elastic_C12_GPa,elastic_C13_GPa,elastic_C14_GPa,elastic_C33_GPa,elastic_C44_GPa,elastic_C66_GPa,molar_volume_cm3/mol,melting_point_K,boiling_point_K,thermal_expansion_parallel_1/K,thermal_expansion_perp_1/K,dielectric_constant_parallel,dielectric_constant_perp,dielectric_loss_tan_delta,thermal_conductivity_W/mK,poisson_ratio,bandgap_eV,sound_velocity_longitudinal_m/s,sound_velocity_transverse_m/s,viscosity_Pa.s,softening_point_degC,annealing_point_degC,strain_point_degC,freq_temp_coeff_ppm/C,Q_factor,debye_temp_K,formation_gibbs_kJ/mol,notes,reference
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9133,4.9133,5.4053,90,90.0,120,P3121,113.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,Room temp X-ray diffraction,Levien et al. Am Mineral 65:920-930 (1980),,,,,,,Levien et al. Am Mineral 65:920-930 (1980)
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.902,4.902,5.4,90,90.0,120,P3121,112.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,At 2.07 GPa,Levien et al. Am Mineral 65:920-930 (1980),,,,,,,Levien et al. Am Mineral 65:920-930 (1980)
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.876,4.876,5.364,90,90.0,120,P3121,110.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,At 5.58 GPa,Levien et al. Am Mineral 65:920-930 (1980),,,,,,,Levien et al. Am Mineral 65:920-930 (1980)
coesite,2.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,12.38,7.17,90,120.34,90,C2/c,548.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,K0=96-99 GPa; monoclinic,Levien & Prewitt Am Mineral 66:324-333 (1981),,,,,,Levien & Prewitt Am Mineral 66:324-333 (1981)
stishovite,4.287,,,,,,,,313.0,,,,,,,,,,,,,,,,,,,,,4.1773,4.1773,2.6654,90,90.0,90,P42/mnm,46.54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,K0=313 GPa; rutile structure; 6-coord Si,,,,,,,Yamanaka et al. Phys Chem Minerals 29:633-641 (2002). DOI:10.1007/s00269-002-0257-3
stishovite,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.177,4.177,2.665,90.0,90,90,P42/mnm,46.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambient conditions,Ross et al. Am Mineral 75:739-747 (1990),,,,Ambient conditions,Ross et al. Am Mineral 75:739-747 (1990)
stishovite,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,4.09,2.618,90.0,90,90,P42/mnm,43.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,At 12.3 GPa,,,,,,Yamanaka et al. Phys Chem Minerals 29:633-641 (2002). DOI:10.1007/s00269-002-0257-3
seifertite,4.294,,,,,,,,328.0,,,,,,,,,,,,,,,,,,,,,4.097,5.046,4.495,90,90.0,90,Pbcn,92.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,K0=328 GPa; >40 GPa formation,,,,,,,Grocholski et al. Am Mineral 98:1420-1428 (2013). DOI:10.2138/am.2013.4409
fused_silica,,,,,1.3-1.5,730,,72-73,31.4,36,0.17-0.19,,,45-155,1100,,,1.4585,,3.8-3.9,1e+20,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,Amorphous; excellent UV transmission 180-3500 nm,,,,,,,,,,,,Amorphous; excellent UV transmission 180-3500 nm,Malitson J Opt Soc Am 55:1205-1209 (1965). DOI:10.1364/JOSA.55.001205
mesoporous_silica_MCM41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BET 1000-1200 m2/g; pore 2-3 nm; hexagonal,,,,,,,,,,Beck et al. J Am Chem Soc 114:10834 (1992). DOI:10.1021/ja00053a020
mesoporous_silica_SBA15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BET 600-1000 m2/g; pore 5-30 nm; hexagonal,,,,,,,,,,Zhao et al. Science 279:548-552 (1998). DOI:10.1126/science.279.5350.548
silica_aerogel,,,,,0.013-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal cond 13-20 mW/mK; porosity >90%; surface area >800 m2/g,,,,,,,,,,,,,Hrubesh J Non-Cryst Solids 225:335-342 (1998). DOI:10.1016/S0022-3093(98)00135-5
silica_aerogel,,,,,0.015-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BET 500-1000 m2/g; pore 5-100 nm,,,,,,,,,,,,,Dorcheh & Abbasi J Mater Proc Tech 199:10-26 (2008). DOI:10.1016/j.jmatprotec.2007.10.060
alpha-quartz,,,,,,,,,,,,,,,,4.52,4.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eps_perp=4.520; eps_para=4.638 at 1 kHz 300K,,,,,,,,,,,Fontanella et al. J Appl Phys 45:2852 (1974). DOI:10.1063/1.1663690
alpha-quartz,,,,,,,,,,,,,,,,4.52,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dielectric const parallel=4.60; perp=4.52,Mason AIP Handbook (1957),,,,,,,,,,Mason AIP Handbook (1957)
stishovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,245.0,220.0,,735.0,260.0,340.0,,,,,,,,,,,,,,,,,DFT calculation,,,,,,,,,,,,Holm & Ahuja J Chem Phys 111:2071-2074 (1999). DOI:10.1063/1.479476
stishovite,4.287,,,,,,,,306.0,,,,,,,,,,,,,,,,,,,,,4.1773,4.1773,2.6654,90,90.0,90,P42/mnm,,2.0,455.0,199.0,192.0,,762.0,258.0,321.0,,,,,,,,,,,,,,,,,Brillouin scattering; experimental,,,,,,,,,,Jiang et al. Phys Earth Planet Inter 172:235-240 (2009). DOI:10.1016/j.pepi.2008.09.017
stishovite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,211.0,203.0,,776.0,252.0,302.0,,,,,,,,,,,,,,,,,Brillouin scattering,,,,,,,,,,,,Weidner et al. J Geophys Res 87:4740-4746 (1982). DOI:10.1029/JB087iB06p04740
alpha-quartz,2.648,,,12.0,,,,76.5,,37.1,0.08,,7,,,,,,,,,,,,,,,,,,4.913,4.913,5.405,90.0,90,120,P3121,,,,,,,,,,,,,,,,,,,5970.0,3760,,,,,,,,,,Sound velocities: Vp=5970 m/s; Vs=3760 m/s,Bass Elasticity of Minerals Glasses in Mineral Physics (1995),,,,Bass Elasticity of Minerals Glasses in Mineral Physics (1995)
fused_silica,2.2,,,1.38,,,,72,31.0,,0.17,,,,,,1.4585,,3.9,,,,0.6962,0.4079,0.8975,0.00468,0.01351,97.93,,,,,,,,,,,,,,,,,,,,5970.0,3760,,,,,,,,,,Sellmeier coefficients for optical fiber; n=1.4585 at 1.55 um,,,,,,,,,,,,,Malitson J Opt Soc Am 55:1205 (1965). DOI:10.1364/JOSA.55.001205
alpha-quartz,2.65,1710.0,2950.0,12.0,,13.7,76.6,,,37.1,0.08,4500-9500,7,155,1100,,1.544,1.553,4.5,1e16,-2.96e-05,8.9,-910.7,41.5,1.28604,1.07045,1.10203,0.01078,0.00606,119.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,-856.3,Comprehensive compilation; standard reference,Multiple sources compiled,,,,,,,,,Multiple sources compiled
alpha-cristobalite,2.32,,,,,,,,,,,,,,,,1.487,,,,,,,,,,,,,4.97,4.97,6.93,90,90.0,90,P41212,171.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetragonal; stable 220-280 degC,Downs & Palmer Am Mineral 79:9-14 (1994),,,,,,Downs & Palmer Am Mineral 79:9-14 (1994)
beta-cristobalite,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53,13.53,13.53,90.0,90,90,Ia-3d,2478.4,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubic; high-temp form >280 degC; data from Materials Project,,,,,,Materials Project mp-600028. DOI:10.17188/1277241
stishovite_rutile,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23,4.23,2.69,90.0,90,90,P42/mnm,48.27,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutile structure; 6-coord Si; data from Materials Project,,,,,,Materials Project mp-6947. DOI:10.17188/1183680
alpha-tridymite,2.26,,,,,,,,,,,,,,,,1.473,,,,,,,,,,,,,5.03,8.24,8.22,90,91.5,90,Cc,340.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Monoclinic; ortho form stable 120-160 degC,,,,,,,Kihara et al. Z Kristallogr 177:27-38 (1986). DOI:10.1524/zkri.1986.177.1-2.27
beta-tridymite,2.22,,,,,,,,,,,,,,,,1.469,,,,,,,,,,,,,5.05,8.75,8.22,90,90.0,90,P63/mmc,363.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Hexagonal; high-temp form >160 degC,Kato & Nukui Am Mineral 61:94-100 (1976),,,,,,Kato & Nukui Am Mineral 61:94-100 (1976)
keatite,3.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.456,7.456,8.604,90.0,90,90,P41212,478.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthesized 600-900 K at 40-400 MPa,,,,,,Shropshire et al. Z Kristallogr 112:409-413 (1959). DOI:10.1524/zkri.1959.112.1-6.409
moganite,2.55,,,,,,,,,,,,,,,,1.541,,,,,,,,,,,,,8.76,4.88,10.72,90,90.1,90,C2/c,459.2,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Monoclinic; Si4O8 and Si6O12 rings,,,,,,,Miehe & Graetsch Eur J Mineral 4:693-706 (1992). DOI:10.1127/ejm/4/4/0693
fused_silica,2.2,1713.0,2950.0,1.38,730,0.55,73.0,31.2,37.0,0.17,,,,50,1100,,1.4585,,3.8,1e18,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,1160,1120.0,1015.0,,,470,,Comprehensive amorphous SiO2 data,Schott Technical Glass Solutions datasheet,,,,,,,,,,Schott Technical Glass Solutions datasheet
alpha-quartz,2.648,1713.0,2950.0,,,,76.6,,,0.08,12000,7,,,,0.65,1.5442,1.5533,4.52/4.60,1e14,-2.96e-05,9.0,-910.7,41.46,1.28604,1.07045,1.10203,0.01078,0.00606,119.97,4.9133,4.9133,5.4053,90.0,90,120,P3121,112.9,3.0,2.31,-0.67,0.171,-0.0406,86.74,6.99,11.91,-17.91,107.2,57.94,39.88,,1986.0,3223.0,7.97e-6,1.33e-05,4.6,4.52,<1e-4,12,0.08,9.0,5970,3780,,,,,,-35.0,,Comprehensive α-quartz compilation with DOIs,Multiple sources: Bechmann IEEE 1962; Levien Am Min 1980; Ogi JAP 2006
alpha-quartz,2.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,-0.67,0.171,-0.0406,,,,,,,,,,,,,,,,,,,,,,,Piezoelectric: d11=2.31 pC/N at 20C; d14=-0.67 pC/N; e11=0.171 C/m2,,,,,,,,Bechmann Proc IRE 49:1161 (1961). DOI:10.1109/JRPROC.1961.287810
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,0.18,,,,,,,,,,,,,,,,,,,,,,,Piezoelectric at 1.5 K; d11=2.32 pC/N,,,,,,,Graham Phys Rev 80:712-720 (1950). DOI:10.1103/PhysRev.80.712
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,Piezoelectric at 100C; d11=2.22 pC/N,,,,,,,,,Graham Phys Rev 80:712-720 (1950). DOI:10.1103/PhysRev.80.712
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,Piezoelectric at 200C; d11=2.05 pC/N,,,,,,,,,Graham Phys Rev 80:712-720 (1950). DOI:10.1103/PhysRev.80.712
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,Piezoelectric at 400C; d11~1.5 pC/N near alpha-beta transition,,,,,,,,,Graham Phys Rev 80:712-720 (1950). DOI:10.1103/PhysRev.80.712
beta-quartz,2.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Non-piezoelectric; centrosymmetric; stable >573C,Kihara Eur J Mineral 2:63-77 (1990),,,,,,,,Kihara Eur J Mineral 2:63-77 (1990)
alpha-quartz,2.648,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,,Cp=44.6 J/mol/K at 298K,Robie et al. USGS Bull 1452 (1978),,,,,,,,,,,,,Robie et al. USGS Bull 1452 (1978)
alpha-quartz,,,,,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,,Cp=52.1 J/mol/K at 400K,Chase NIST-JANAF Tables 4th ed (1998),,,,,,,,,,,,,Chase NIST-JANAF Tables 4th ed (1998)
alpha-quartz,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,,Cp=62.3 J/mol/K at 600K,Chase NIST-JANAF Tables 4th ed (1998),,,,,,,,,,,,,Chase NIST-JANAF Tables 4th ed (1998)
alpha-quartz,,,,,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6,,Cp=73.6 J/mol/K at 800K,Chase NIST-JANAF Tables 4th ed (1998),,,,,,,,,,,,,Chase NIST-JANAF Tables 4th ed (1998)
fused_silica,2.2,,,1.38,740,,73.0,31.2,37.0,0.17,,,,,,0.65,1.4585,,3.8,1e18,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e12.5,1683.0,1215.0,1075.0,,,470.0,,log(eta)=12.5 Pa.s at 1100C; working point,Doremus Glass Science 2nd ed (1994),,,,,,,,,,,,,Doremus Glass Science 2nd ed (1994)
fused_silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e7.6,,,,,,,,log(eta)=7.6 Pa.s at 1600C,,,,,,,,,,,,,,,Urbain et al. Geochim Cosmochim Acta 46:1061 (1982). DOI:10.1016/0016-7037(82)90059-X
fused_silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e5.0,,,,,,,,log(eta)=5.0 Pa.s at 2000C; near working temp,,,,,,,,,,,,,,,Urbain et al. Geochim Cosmochim Acta 46:1061 (1982). DOI:10.1016/0016-7037(82)90059-X
coesite,2.92,,,,,,,,97.0,,,,,,,1.594,1.597,,,,,,,,,,,,,7.1356,12.3692,7.1736,90,120.34,90,C2/c,548.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,K0=97 GPa; monoclinic; 3-3.5 GPa formation,Levien & Prewitt Am Mineral 66:324-333 (1981),,,,,,Levien & Prewitt Am Mineral 66:324-333 (1981)
coesite,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,12.38,7.17,90.0,120.34,90,C2/c,548.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Room temp lattice parameters,,,,,,Angel et al. Z Kristallogr 218:375-380 (2003). DOI:10.1524/zkri.218.5.375.20732
coesite,,,,,,,102.0,,113.0,,,,,,,1.599,,,,,,,,,,,,,,,7.08,12.28,7.12,90.0,120.4,90,C2/c,537.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,At 3 GPa; Young mod=102 GPa; K=113 GPa,,,,,,Chen et al. Geophys Res Lett 44:7757-7765 (2017). DOI:10.1002/2017GL073950
stishovite,4.29,,,,,,,,,313,,,,,,,1.799,1.826,,,,,,,,,,,,,4.1773,4.1773,2.6654,90.0,90,90,P42/mnm,46.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,K0=313 GPa; rutile structure,,,,,,Weidner et al. J Geophys Res 87:4740-4746 (1982). DOI:10.1029/JB087iB06p04740
stishovite,4.29,,,,,,537.0,,313.0,,,,,,,,,,,,,,,,,,,,,,4.1773,4.1773,2.6654,90.0,90,90,P42/mnm,46.5,2.0,453.0,211.0,203.0,,776.0,252.0,302.0,,,,,,,,,,,,,,,,,E=537 GPa; G=220 GPa; Brillouin scattering,,,,,,,,,Weidner et al. J Geophys Res 87:4740-4746 (1982). DOI:10.1029/JB087iB06p04740
seifertite,4.3,,,,,,,,328.0,,,,,,,,,,,,,,,,,,,,,4.097,5.046,4.495,90,90.0,90,Pbcn,92.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,K0=328 GPa; >40 GPa ultra-high pressure form,,,,,,,Grocholski et al. Am Mineral 98:1420-1428 (2013). DOI:10.2138/am.2013.4409
post-stishovite,4.35,,,,,,,,340.0,,,,,,,,,,,,,,,,,,,,,4.08,4.08,2.62,90,90.0,90,CaCl2-type,43.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,CaCl2-type structure; >50 GPa; K0~340 GPa,,,,,,,Andrault et al. Science 282:720-724 (1998). DOI:10.1126/science.282.5389.720
alpha-quartz,2.648,,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,P3121,,,,,,,,,,22.7,,1986.0,3223.0,,,,,,,,5970.0,3764,,,,,,,,Comprehensive properties at 298K,Multiple sources: CRC Handbook; NIST,,,,,,Multiple sources: CRC Handbook; NIST
fused_silica,2.2,1713.0,2950.0,1.38,750,0.55,73.0,31.2,37.0,0.17,4700-9500,6.5,50,155,1100,0.75,1.4585,,3.8,1e18,,9.0,-908.0,,0.6962,0.4079,0.8975,0.00468,0.01351,97.93,,,,,,,,,,,,,,,,,,,,,22.7,,,1e13.0,1683.0,1215.0,1075,-35,,470,-856,Comprehensive fused silica properties,Corning HPFS datasheet; Heraeus Quarzglas,,,,,,,,,Corning HPFS datasheet; Heraeus Quarzglas
alpha-quartz,,,,,,,,,,,,,,,,,1.6084,1.6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_o=1.6084; n_e=1.6194 at 200nm UV,,,,,,,,,,,,,Ghosh Appl Opt 36:8357-8361 (1997). DOI:10.1364/AO.36.008357
alpha-quartz,,,,,,,,,,,,,,,,,1.5585,1.5676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_o=1.5585; n_e=1.5676 at 400nm visible,,,,,,,,,,,,,Ghosh Appl Opt 36:8357-8361 (1997). DOI:10.1364/AO.36.008357
alpha-quartz,,,,,,,,,,,,,,,,,1.5341,1.5428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_o=1.5341; n_e=1.5428 at 1000nm NIR,,,,,,,,,,,,,Ghosh Appl Opt 36:8357-8361 (1997). DOI:10.1364/AO.36.008357
fused_silica,,,,,,,,,,,,,,,,,1.5588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n=1.5588 at 200nm UV,,,,,,,,,,,,,Malitson J Opt Soc Am 55:1205 (1965). DOI:10.1364/JOSA.55.001205
fused_silica,,,,,,,,,,,,,,,,,1.4701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n=1.4701 at 400nm visible,,,,,,,,,,,,,Malitson J Opt Soc Am 55:1205 (1965). DOI:10.1364/JOSA.55.001205
fused_silica,,,,,,,,,,,,,,,,,1.4585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n=1.4585 at 589nm (Na D-line),,,,,,,,,,,,,Malitson J Opt Soc Am 55:1205 (1965). DOI:10.1364/JOSA.55.001205
fused_silica,,,,,,,,,,,,,,,,,1.4504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n=1.4504 at 1000nm NIR,,,,,,,,,,,,,Malitson J Opt Soc Am 55:1205 (1965). DOI:10.1364/JOSA.55.001205
fused_silica,,,,,,,,,,,,,,,,,1.4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n=1.4446 at 1550nm telecom,,,,,,,,,,,,,Malitson J Opt Soc Am 55:1205 (1965). DOI:10.1364/JOSA.55.001205
alpha-quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29-0.54,,Surface energy gamma=0.29-0.54 J/m2 freshly cleaved,,,,,,,,,,,,Parks J Geophys Res 89:3997-4008 (1984). DOI:10.1029/JB089iB06p03997
fused_silica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26-0.30,,Surface energy gamma=0.26-0.30 J/m2,,,,,,,,,,,,Wiederhorn J Am Ceram Soc 52:99-105 (1969). DOI:10.1111/j.1151-2916.1969.tb13350.x
alpha-quartz,2.651,,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,P3121,,,,,,,,,,,,,,,,,,,,6060.0,3730.0,,,,,,,,Sound velocities at 25C; Vp=6060 m/s; Vs=3730 m/s,Bass in Mineral Physics Handbook (1995),,,,,,,Bass in Mineral Physics Handbook (1995)
fused_silica,2.203,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5930.0,3764.0,,,,,,,,Sound velocities; Vp=5930 m/s; Vs=3764 m/s,,,,,,,,,,,,Weidner & Simmons J Geophys Res 77:826 (1972). DOI:10.1029/JB077i005p00826
stishovite,4.29,,,,,,,,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,P42/mnm,,,,,,,,,,,,,,,,,,11000.0,6000,,,,,,,,Sound velocities; Vp~11000 m/s; Vs~6000 m/s; high-P mineral,,,,,,,,,,Weidner et al. J Geophys Res 87:4740 (1982). DOI:10.1029/JB087iB06p04740
