m1,m2,r,F
93301166161.60988,40763561652.80884,864.2760864087874,339813.3241986515
50575543426.371895,33348109008.816326,324.70120797326734,1067653.0966669563
20191424125.667973,44172316735.054016,540.4824672788264,203769.9366222471
98635707906.6101,63126544826.332695,299.08849763764204,4645505.354315247
85500827780.13408,34125727674.058865,988.9012071969823,199128.13598004068
21219641308.294018,66173401706.422066,949.653405717952,103914.80838961783
92875769435.5635,46847048697.21165,135.4841302316553,15819545.71628804
88290672585.59155,59684246276.67822,735.0176552641196,650976.3324354325
56695425141.3465,49251387622.178505,932.7234856740993,214213.51371672482
63214789217.04363,36501918358.77259,262.5178106146002,2234616.692909404
45910243348.31172,95360797626.5941,611.1507074973665,782292.261791109
14928547493.98282,78724521474.37848,923.9394678292376,91881.2188141475
40167751748.13109,22610185818.98073,130.55138072721897,3556353.4701016177
82256810373.82103,88162117830.81215,727.6782405221559,914031.7979674258
10416882070.414257,53868807842.45623,367.6141066352957,277125.8112126635
40014925452.20298,90509700420.46823,931.9565758388774,278299.219165679
45835182423.184906,81986973035.25836,973.952420648831,264395.79050792044
58365604264.413055,48269215402.231,949.8398402020905,208407.17400376778
92787005477.14845,12022237748.810568,526.7927949917174,268274.269268169
41171139492.936516,34180962344.645145,875.8383858903821,122437.77383047476
41225788170.66049,58747079319.47803,860.0944586815633,218498.84742488858
76375112329.87735,67013039784.35325,387.1904259189301,2278495.4354110262
50699614680.08264,33209891688.988205,846.0239267356096,156997.60556232848
30214434064.598377,22542046666.554173,133.30687124394336,2557931.675203987
50719556451.942406,85143721311.93692,636.6428906338477,711086.5915146994
22677131834.181984,98596196263.3197,307.00795355893274,1583198.006336121
25874828785.560097,57312116407.24172,208.51019719955093,2276436.4732243414
54853099546.55318,25451135726.347313,169.25788146628824,3252345.994206007
47703290455.40931,34507659386.7432,726.6598982903258,208059.54966068623
92336131096.129,11655160889.272005,405.8874673912595,435978.29161195684
42615450920.49698,92286892590.44492,752.2900943758854,463791.3310306961
62252951525.02391,20597597460.1127,158.82070671904813,3392723.502479385
66903785912.75773,61886482796.28282,383.7613040475493,1876334.8069061048
11178501092.950026,34664969861.84854,585.5421631378035,75430.02598746106
69718363481.50395,59876020226.4214,811.6508483550672,422909.868238775
26023237018.277626,68627834951.66778,386.8772526388629,796345.3115491365
96496328572.25096,84676762333.64815,663.3022387933082,1239476.5370470728
