name,struct,a_exp,a_alonso_vegard,a_alonso_eq10,err_alonso_vegard,err_alonso_eq10,a_king_vegard,err_king_vegard,a_pw_MP_B2,err_pw_MP_B2,a_sv_MP_B2,err_sv_MP_B2,a_pw_MP_L12,err_pw_MP_L12,a_sv_MP_L12,err_sv_MP_L12,a_pw_OQMD_B2,err_pw_OQMD_B2,a_sv_OQMD_B2,err_sv_OQMD_B2,a_pw_OQMD_L12,err_pw_OQMD_L12,a_sv_OQMD_L12,err_sv_OQMD_L12
Nb$_{0.24}$Mo$_{0.27}$Ta$_{0.25}$W$_{0.24}$,BCC,3.214,3.229,3.215,0.4667081518357226,0.031113876789044488,3.2287532370235295,0.4590303989897165,3.4085649723981755,6.053670578661341,3.3687589555990725,4.815151076511278,3.302903048932187,2.766118510646762,3.2668932140935154,1.645712946282372,3.186292498939906,0.8620877741161727,3.152123992803091,1.9252024641228722,,,,
Nb$_{0.24}$Mo$_{0.18}$Ta$_{0.36}$W$_{0.22}$,BCC,3.228,3.245,3.234,0.5266418835192039,0.18587360594794866,3.2454263081267474,0.539848454979776,3.4188512520627437,5.912368403430714,3.380561543362335,4.726194032290416,3.3101141883746306,2.54381004878037,3.275547800127543,1.4729801774331681,3.1852029579473133,1.3258067550398656,3.1503904265802998,2.404261877933718,,,,
Nb$_{0.216}$Mo$_{0.230}$Ta$_{0.281}$W$_{0.273}$,BCC,3.2034,3.2303,3.2177,0.8397327839170996,0.44640069925703874,3.230459282842017,0.8447050896552821,3.406825562669587,6.350301637934293,3.368165742153072,5.143464511240319,3.300849042218315,3.0420503907821437,3.264092941882714,1.894641377371356,3.179891509411284,0.7338606040056177,3.14768157118998,1.739352837922821,,,,
Ti$_2$ZrHfV$_{0.5}$Mo$_{0.2}$,BCC,3.4584,3.3805,3.3845,2.2524866990515866,2.1368262780476543,3.3821539095494457,2.2046637303537593,3.4717081638877523,0.38480695951168553,3.3648056369798858,2.7062908576253286,3.455940197496358,0.07112544828944582,3.3670278018771347,2.6420367257363364,3.435418775694348,0.664504519594378,3.341800892324688,3.3714754706023626,,,,
Ti$_{0.262}$Nb$_{0.255}$Ta$_{0.121}$Zr$_{0.242}$Al$_{0.120}$,BCC,3.355,3.363,3.36,0.2384500745156485,0.149031296572277,3.36279387802895,0.23230634959612312,3.4924595131967617,4.097153895581572,3.4010555255903454,1.3727429386094017,3.4294517649065477,2.2191286112234785,3.3621670990638597,0.2136244132297975,3.3935992647961113,1.1504996958602476,3.3140855798533004,1.219505816593131,3.414956449094471,1.7870774692837872,3.358279578793568,0.09775197596328515
NbTaTiV$_{0.333}$Cr$_{0.309}$Fe$_{0.308}$Ta$_{0.025}$W$_{0.025}$,BCC,2.935,2.948,2.93,0.4429301533219727,0.1703577512776795,2.946263352820591,0.38375989167260605,3.043140391872961,3.684510796353011,2.9796464381125642,1.5211733598829367,3.0319928479459275,3.304696693217289,2.9680416823808144,1.1257813417653968,3.047805213341097,3.8434484954377193,2.973002900604382,1.2948177377983587,,,,
NbMoTaVTi (b),BCC,3.1945,3.2153,3.2055,0.6511191109719809,0.3443418375332502,3.214620597677723,0.629851234237683,3.3739922888249865,5.618791323367862,3.2859685358549426,2.8633130647970737,3.29717487826324,3.2141142045152553,3.251247162003283,1.7764020035461854,3.2059545479690486,0.3585709177977284,3.1663219498704476,0.8820801417922224,,,,
Nb$_{0.199}$Hf$_{0.198}$Ta$_{0.175}$V$_{0.212}$Ti$_{0.217}$,BCC,3.279,3.295,3.29,0.4879536444037821,0.3354681305276036,3.2963147719338943,0.5280503791977558,3.4404100449264106,4.922538729076263,3.3305558398838437,1.5723037476012145,3.3828011364685744,3.16563392706845,3.3044268462348985,0.7754451428758325,3.330346661261291,1.565924405650844,3.248599108526007,0.9271391117411727,3.3918276719071656,3.44091710604348,3.317632299809168,1.1781732177239383
Nb$_{0.304}$Mo$_{0.037}$Ta$_{0.051}$Zr$_{0.290}$Ti$_{0.319}$,BCC,3.285,3.381,3.368,2.922374429223733,2.5266362252663543,3.382000496360397,2.9528309394336913,3.5211442807087745,7.188562578653709,3.43706641836165,4.629114714205473,3.457496459469061,5.2510337737918045,3.386657133794208,3.0945855036288594,3.4225225782901667,4.186379856626075,3.3370308853682285,1.5838930096873154,,,,
Nb$_{0.255}$Mo$_{0.207}$Ta$_{0.190}$Zr$_{0.131}$Ti$_{0.217}$,BCC,3.24,3.31,3.28,2.1604938271604888,1.2345679012345552,3.308768416378753,2.1224819869985416,3.4611610996291042,6.825959865095803,3.3941179845740757,4.7567279189529454,3.380688095929267,4.342225183002057,3.331586371491854,2.826739860859681,3.3147719050963107,2.307774848651558,3.239328612404497,0.020721839367386932,,,,
Nb$_{0.275}$Mo$_{0.095}$Ta$_{0.091}$Zr$_{0.256}$Ti$_{0.284}$,BCC,3.4,3.47,3.46,2.058823529411773,1.764705882352943,3.3640590707225178,1.0570861552200634,3.5094959343963064,3.220468658714896,3.4269581925038373,0.7928880148187456,3.442982837046999,1.2642010896176215,3.374082435854274,0.7622812984037023,3.402174348560361,0.06395142824591586,3.311976130228091,2.588937346232615,,,,
NbZrHfVTi (b),BCC,3.3663,3.3613,3.3582,0.14853102813177357,0.2406202655734716,3.362470782810671,0.11375151321417658,3.4975948553265765,3.900271970013864,3.3767471719908295,0.3103458393734865,3.4573771372605457,2.7055561673215665,3.3591912422096795,0.21117422066721284,3.4346496992220086,2.0304102195885316,3.3383241565613524,0.8310561577591852,3.4257799052228086,1.7669222951848849,3.3438849207302446,0.6658669539184053
Nb$_{0.238}$V$_{0.245}$Al$_{0.266}$Ti$_{0.251}$,BCC,3.18,3.07,3.1,3.4591194968553554,2.5157232704402537,3.208290676144299,0.8896439039087711,3.3076935250020263,4.015519654151765,3.2138404875174467,1.0641662741335378,3.2789324438520198,3.1110831400006163,3.2287286743218293,1.532348249114124,3.256602740228363,2.408891202149776,3.2211421519120207,1.2937783620132242,3.2848940184641213,3.2985540397522377,3.238151666817073,1.8286687678324758
CoCrFeNi,FCC,3.575,3.579,3.587,0.11188811188811197,0.3356643356643359,3.577795423900667,0.07819367554312988,3.5473389861130453,0.7737346541805553,3.4607449760480935,3.195944725927459,3.469928589285926,2.9390604395545172,3.370430567878544,5.72222187752325,3.500209315298508,2.092047124517261,3.4039362409536076,4.785000253045946,3.567493692298684,0.2099666489878662,3.394638310475895,5.045082224450499
CoCrFeNiMn,FCC,3.597,3.594,3.602,0.08340283569641684,0.13900472616068651,3.593568764647346,0.09539158611770286,3.6060649460224314,0.25201406790190334,3.5093351887351973,2.437164616758483,3.4814967275867073,3.211100150494654,3.392596906474661,5.682599208377513,3.5424498345730666,1.5165461614382365,3.4422531929527524,4.3021075075687385,3.60514512147687,0.22644207608757816,3.431996358861021,4.587257190408085
Co$_{0.204}$Cr$_{0.205}$Fe$_{0.202}$Mn$_{0.194}$Ni$_{0.195}$,FCC,3.59,3.59,3.6,0.0,0.27855153203343264,3.5935604014403353,0.099175527585945,3.6060631070821096,0.44744030869386586,3.50925077699504,2.249281977854033,3.482832991982429,2.9851534266732886,3.3944079603821753,5.448246228908762,3.542800337380342,1.314753833416652,3.4420258430372765,4.121842812332126,3.6072048484369685,0.47924368905205234,3.432669321467701,4.3824701541030295
Co$_{0.203}$Cr$_{0.194}$Fe$_{0.206}$Mn$_{0.201}$Ni$_{0.196}$,FCC,3.6,3.59,3.6,0.27777777777778423,0.0,3.5935969514657673,0.17786245928424418,3.6043513030849006,0.12086953013612511,3.5079592584675474,2.556687264790352,3.4810881686408877,3.303106426642012,3.393136795062727,5.746200137146476,3.5401019098266597,1.6638358381483431,3.440238445483991,4.4378209587780315,3.5983016131954915,0.04717741123635062,3.426545785469771,4.818172625839698
Cr$_{0.127}$Fe$_{0.498}$Ni$_{0.111}$Mn$_{0.264}$,FCC,3.61,3.62,3.62,0.2770083102493139,0.2770083102493139,3.616728218093048,0.18637723249440197,3.6182717863020444,0.22913535462727158,3.544633062330076,1.810718495011744,3.498532185880806,3.087751083634184,3.449809438402234,4.437411678608467,3.540826948388647,1.9161510141648943,3.4751990120359024,3.7340993895871875,3.5338417139399043,2.109647813299046,3.378206495994498,6.420872687133016
Co$_{0.20}$Cr$_{0.20}$Fe$_{0.40}$Ni$_{0.10}$Mn$_{0.10}$,FCC,3.587,3.598,3.605,0.3066629495399965,0.5018120992472761,3.5977042976699507,0.29841922692920303,3.582393762126415,0.12841477205422808,3.4965989296138753,2.5202417169257005,3.4989508429867002,2.4546740176554214,3.4312482396584834,4.342117656579783,3.518609432866645,1.9066230034389557,3.426146291210932,4.484352071064071,3.533670634419644,1.4867400496335765,3.367255612249519,6.126132917493197
Co$_{0.211}$Cr$_{0.187}$Fe$_{0.342}$Ni$_{0.063}$Mn$_{0.197}$,FCC,3.588,3.605,3.611,0.47380156075807983,0.6410256410256446,3.604104782896531,0.4488512512968522,3.6105868391520497,0.6295105672254632,3.5196429091411794,1.9051586081053704,3.5007060027869485,2.43294306613856,3.442778041751574,4.0474347337911425,3.5397688374232152,1.3442353003563219,3.4421620740426224,4.06460217272513,3.5642560310274205,0.661760562223511,3.3930836052145734,5.432452474510219
Ru$_{0.185}$Rh$_{0.156}$Pd$_{0.182}$Os$_{0.143}$Ir$_{0.159}$Pt$_{0.174}$,FCC,3.8473,3.8462,3.8471,0.028591479739040387,0.005198450861642657,3.8449380374134283,0.06139273221666732,3.671035983021238,4.581499154699715,3.6235749897073286,5.8151173626353945,3.6654916257189396,4.725609499676671,3.623326751024468,5.821569645609444,3.6240543406921337,5.802657949935446,3.55200919040303,7.675273817923478,,,,
CoCrCuNiZn,BCC,2.8831,2.9012,2.8815,0.6277964690784072,0.05549582047103006,2.9010539173751653,0.6227296096273126,2.9839365410476537,3.4975041118120593,2.8939977161561115,0.3779860620898074,2.918026906253464,1.2114358244065013,2.8115906854431034,2.4802925516595606,3.0229207381323016,4.849666613447377,2.905616580571893,0.7809850706493969,3.056571777063876,6.016849122953612,2.9132020784598476,1.044087213757669
V$_{0.098}$Co$_{0.301}$Cr$_{0.095}$Fe$_{0.455}$Ni$_{0.051}$,FCC,3.582,3.61,3.604,0.7816862088218879,0.6141820212172039,3.6082686479641257,0.7333514227840835,3.5276704406988246,1.5167381156106985,3.4556991248624302,3.5259875806133336,3.533495346526532,1.3541220958533686,3.4550253374482813,3.544797949517547,3.4951049702992436,2.4258802261517656,3.396925704910571,5.166786574244239,3.4184146993222453,4.5668704823493735,3.2902119196749355,8.145954224596993
Co$_{0.286}$Al$_{0.071}$Fe$_{0.286}$Ni$_{0.286}$Mn$_{0.071}$,FCC,3.6084,3.6061,3.5923,0.06374016184458399,0.44618113291210026,3.604684436794385,0.10296982611725887,3.5008378611533915,2.9808817993184955,3.4270083547619508,5.026927315099471,3.4755291877926795,3.6822639454417625,3.3602011804753693,6.87836214179777,3.4691116742611405,3.860113228546157,3.3765541520942244,6.425170377612672,3.380824379704755,6.306829073695966,3.277615978605444,9.167055243170266
CoCrFeNiPd (a),FCC,3.6473,3.6455,3.6658,0.049351575137767716,0.507224522249334,3.6445894691886895,0.07431609166535387,3.6132013447620808,0.9349013033728846,3.514432616406377,3.6428970359889,3.519761251056728,3.4967989730285907,3.4180149842549112,6.286431490282915,3.607511312783975,1.0909079926527878,3.4828030766478464,4.5101012626368435,3.6275168928274955,0.5424041667124868,3.4479761955400394,5.464968729195859
CoCrFeNiPd (b),FCC,3.6803,3.6455,3.6658,0.9455750889873031,0.3939896204113783,3.6445894691886895,0.9703157571749687,3.6132013447620808,1.8231843936070196,3.514432616406377,4.506898448322775,3.519761251056728,4.362110397067405,3.4180149842549112,7.126729227103461,3.607511312783975,1.977792223895472,3.4828030766478464,5.366326749236571,3.6275168928274955,1.4342066454502203,3.4479761955400394,6.312632243566027
Co$_{0.244}$Cr$_{0.244}$Fe$_{0.244}$Ni$_{0.244}$Al$_{0.024}$,FCC,3.58,3.59,3.59,0.27932960893854153,0.27932960893854153,3.5906299538789748,0.2969260860048798,3.5614081918053264,0.5193242512478674,3.469943275656191,3.0742101772013712,3.492174270050432,2.453232680155529,3.38407645600189,5.472724692684642,3.5237990570515145,1.5698587415778085,3.4181849231553976,4.519974213536383,3.5862841257287994,0.1755342382346181,3.408094287209378,4.801835552810678
Co$_{0.314}$Al$_{0.029}$Fe$_{0.318}$Ni$_{0.307}$Mn$_{0.032}$,FCC,3.5862,3.5798,3.5796,0.17846188165745747,0.1840388154592526,3.5781344378513227,0.22490553088721077,3.446453643896623,3.896780885153553,3.394619421043723,5.34216103274432,3.4272838856400876,4.4313232491191865,3.3286535156876815,7.181598469475163,3.4013534479289,5.154384921953594,3.3363998943132285,6.965593265483558,3.299800251262911,7.986162197788429,3.2295788111239756,9.944263813396471
Co$_{0.290}$Al$_{0.067}$Fe$_{0.288}$Ni$_{0.268}$Mn$_{0.087}$,FCC,3.6,3.606,3.593,0.16666666666666066,0.1944444444444477,3.604669865627455,0.12971848965152394,3.5066343288055104,2.5934908665136023,3.43094882594972,4.695865945841112,3.4768580845235717,3.4206087632341218,3.3647537017906504,6.534619394704159,3.4708405161167444,3.5877634412015476,3.377574024642243,6.178499315493253,3.382112661908597,6.052426058094529,3.2781419013418347,8.940502740504593
Co$_{0.2}$Al$_{0.1}$Fe$_{0.3}$Ni$_{0.4}$,FCC,3.5936,3.6132,3.5936,0.5454140694568139,0.0,3.6123035816306777,0.5204692127860017,3.487373713774387,2.9559852578365127,3.4197802763356684,4.836924634470489,3.4762061275721363,3.2667484535803535,3.342045376604011,7.00007300189195,3.479260181496428,3.181762536274816,3.3901441611174037,5.66161617549522,3.3951800361838154,5.5214816289009505,3.2902697568048764,8.440846037264121
Ir$_{0.191}$Pt$_{0.195}$Pd$_{0.207}$Rh$_{0.199}$Ru$_{0.208}$,FCC,3.856,3.849,3.851,0.1815352697095351,0.12966804979252836,3.848785224212878,0.18710518120129488,3.685560753771447,4.4201049333130875,3.6314721352074426,5.822818070346402,3.6655765415434125,4.93836769856295,3.618263529439024,6.165364900440247,3.651255362232018,5.309767576970483,3.5753372565614776,7.278598118218939,3.6939066476800884,4.203665775931316,3.6552571019635973,5.20598801961625
Co$_{0.237}$Cr$_{0.232}$Fe$_{0.245}$Ni$_{0.209}$Mn$_{0.077}$,FCC,3.58,3.59,3.59,0.27932960893854153,0.27932960893854153,3.5853432896510555,0.14925390086747095,3.5736452447168148,0.17750713081523178,3.4814645820081433,2.752385977426165,3.4794826371779344,2.8077475648621704,3.3865773260963534,5.402867986135381,3.5186660707891937,1.71323824611191,3.418945652847876,4.498724780785586,3.581717635869402,0.04797865556988178,3.40597712446131,4.8609741770583765
Co$_{0.269}$Cr$_{0.250}$Fe$_{0.249}$Ni$_{0.184}$Mo$_{0.048}$,FCC,3.585,3.603,3.606,0.5020920502092117,0.5857740585774033,3.601027381671145,0.4470678290417056,3.5999238449549877,0.4162857728030063,3.4935528280910044,2.5508276683122886,3.5273333487504206,1.6085537308111402,3.4168304356265002,4.690922297726631,3.5336801511980647,1.4315160056327836,3.4240807268089317,4.4886826552599235,,,,
Co$_{0.247}$Cr$_{0.245}$Fe$_{0.239}$Ni$_{0.246}$Mo$_{0.024}$,FCC,3.604,3.589,3.594,0.41620421753607445,0.2774694783573871,3.588951000013859,0.41756381759548217,3.577377487986914,0.7386934520834155,3.477610153449029,3.5069324792167365,3.5000272152274188,2.8849274354212353,3.3872634485328144,6.013777787657762,3.5220459186103645,2.27397562124405,3.4168096615393435,5.193960556621992,,,,
Co$_{0.238}$Cr$_{0.238}$Fe$_{0.238}$Ni$_{0.238}$Mo$_{0.048}$,FCC,3.595,3.599,3.602,0.11126564673157172,0.19471488178024124,3.5983436825091952,0.09300924921265741,3.593123675383077,0.052192617995085684,3.4883567596736444,2.9664322761155977,3.517121167553572,2.1663096647128883,3.399382998657967,5.441363041503006,3.5296118150145097,1.81886467275356,3.423620104524212,4.7671737267256775,,,,
Co$_{0.204}$Cr$_{0.197}$Fe$_{0.299}$Ni$_{0.299}$,FCC,3.5759,3.5764,3.5782,0.013982493917619816,0.0643194720210288,3.574391413511378,0.04218760280270575,3.517782329573316,1.6252599464941329,3.4435403856074287,3.701435006364025,3.448301281684073,3.568296605495877,3.3497953627265136,6.3230134308422015,3.4707118018462673,2.9415866817789253,3.390513685294129,5.184326035567857,3.5046573390075735,1.9923001480026392,3.354679631843668,6.186424904396986
Co$_{0.305}$Cr$_{0.208}$Fe$_{0.193}$Ni$_{0.294}$,FCC,3.5695,3.5704,3.5721,0.025213615352281237,0.07283933323994156,3.5689040881283676,0.01669454746134048,3.515703335025482,1.5071204643372542,3.4358940066031582,3.742989029187333,3.44200244963215,3.571860214815799,3.3413013653983037,6.393013996405558,3.4706791266022514,2.7684794340313403,3.378465863150426,5.351845828535482,3.5248963414307384,1.2495772116336108,3.367691446125679,5.6536925024323095
Co$_{0.296}$Cr$_{0.213}$Fe$_{0.303}$Ni$_{0.188}$,FCC,3.5741,3.5801,3.5822,0.16787442992640897,0.226630480400654,3.5789250124870757,0.13499937010927715,3.532800398645746,1.1555245055889294,3.451157375299812,3.439820505866879,3.4733949478187203,2.8176338709403703,3.38413903043486,5.314931579002822,3.4798973083759623,2.635703858986534,3.386833637606686,5.239538971861844,3.509510292901652,1.807160043041552,3.3513797408350263,6.231506090063896
Co$_{0.265}$Cr$_{0.205}$Fe$_{0.271}$Ni$_{0.260}$,FCC,3.573,3.576,3.578,0.08396305625525087,0.1399384270920765,3.5759655142338427,0.08299787948062484,3.5319051955027603,1.150148460600047,3.4483904499708005,3.4875328863475925,3.4653705305169193,3.012299733643454,3.363580910979335,5.861155584121609,3.4833367053170483,2.509468085165173,3.3901228016366693,5.11830949799414,3.521075695062168,1.45324111216994,3.3611151950619638,5.9301652655481725
Co$_{0.220}$Cr$_{0.244}$Fe$_{0.230}$Ni$_{0.307}$,FCC,3.5737,3.5758,3.577,0.05876262696924729,0.09234127095167077,3.5761154456938353,0.06758949251014991,3.5489931631335603,0.6913517325584078,3.46016344364351,3.177003004071133,3.4643923138037653,3.0586698994385304,3.3557196830092666,6.099569549507051,3.504987026802855,1.9227403866341661,3.408379015240921,4.6260454083744875,3.577095757974005,0.09502079004966027,3.403210374833728,4.770675355129753
Co$_{0.229}$Cr$_{0.236}$Fe$_{0.325}$Ni$_{0.210}$,FCC,3.5795,3.5834,3.5843,0.10895376449225413,0.13409694091353305,3.5824677387623804,0.08290931030536514,3.5485469666659304,0.864730642102794,3.464682308027138,3.2076460950652903,3.4808083150513607,2.757136051086443,3.3877041765148617,5.358173585281135,3.497852348953772,2.2809792162656195,3.4055160586632494,4.8605654794454685,3.5425028763130775,1.033583564378333,3.374550521634358,5.72564543555362
Co$_{0.315}$Cr$_{0.245}$Fe$_{0.245}$Ni$_{0.220}$,FCC,3.5704,3.6079,3.609,1.050302487116292,1.081111360071706,3.605966956230176,0.9961616690056055,3.718394945404849,4.145052246382738,3.539879722149098,0.8548139662475338,3.644592916720755,2.0780001322192287,3.4589704667078083,3.120925758799897,3.6661784023194555,2.68256784448397,3.476224203782798,2.637681946482239,3.7273648043930216,4.39628065183234,3.4635937223232163,2.9914373088949007
Co$_{0.216}$Cr$_{0.227}$Fe$_{0.276}$Ni$_{0.281}$,FCC,3.5752,3.5779,3.5792,0.07552025061534809,0.11188185276348186,3.5770329024981398,0.051267131856668445,3.538444968442414,1.028055257260746,3.455673326498098,3.343216421512146,3.463134828876877,3.1345147438779115,3.3612945762091,5.983033782470915,3.4917717428594504,2.333526995428222,3.4017604241964463,4.851185270853486,3.545316245412506,0.8358624576945106,3.3803473566686892,5.450118687942238
Co$_{0.277}$Cr$_{0.233}$Fe$_{0.233}$Ni$_{0.277}$,FCC,3.572,3.5998,3.6013,0.7782754759238535,0.820268756998883,3.597482808240806,0.7134044860248059,3.675343231761322,2.8931475857033,3.5180605224454067,1.5100637613268024,3.5971701688285176,0.7046519828812297,3.4239942909242433,4.143496894618049,3.6271756038506267,1.5446697606558395,3.4600096867414867,3.135227134896791,3.688938659956634,3.2737586773973684,3.4481210945404923,3.4680544641519524
Co$_{0.273}$Cr$_{0.229}$Fe$_{0.284}$Ni$_{0.214}$,FCC,3.5751,3.5801,3.5815,0.13985622779782084,0.17901597158121962,3.5787346109941915,0.10166459663202708,3.539702946034867,0.990099688543899,3.4558530184257656,3.335486603849803,3.47281282652068,2.861099646983855,3.3789848828994398,5.485584098362568,3.4892855523603696,2.4003369874865124,3.394855399866262,5.041665971126343,3.5350584667027887,1.1200115604377856,3.369887190549007,5.740057885121894
Co$_{0.188}$Cr$_{0.214}$Fe$_{0.198}$Ni$_{0.400}$,FCC,3.5708,3.5692,3.5711,0.044807886187976584,0.008401478660237058,3.5683945316376526,0.06736497038051872,3.521445806081102,1.3821606900105967,3.4420562326799526,3.605460045929415,3.427234931618204,4.020529527887207,3.318146151358764,7.075553059293055,3.4823329913930694,2.4775122831558973,3.3972816348112613,4.8593694743121665,3.54900413198209,0.6103917334465666,3.3917756815224536,5.0135633045129
