entry_id,source_db,source_material_id,formula,reduced_formula,chemical_system,number_of_elements
entry_Cu3Ta_056,mock,mock_Cu3Ta_056,Cu3Ta,Cu3Ta,Cu-Ta,2
entry_Cu3Sc_057,mock,mock_Cu3Sc_057,Cu3Sc,Cu3Sc,Cu-Sc,2
entry_Cu3Y_058,mock,mock_Cu3Y_058,Cu3Y,Cu3Y,Cu-Y,2
entry_Cu3Hf_059,mock,mock_Cu3Hf_059,Cu3Hf,Cu3Hf,Cu-Hf,2
entry_Cu3Si_060,mock,mock_Cu3Si_060,Cu3Si,Cu3Si,Cu-Si,2
entry_Cu3Sn_061,mock,mock_Cu3Sn_061,Cu3Sn,Cu3Sn,Cu-Sn,2
entry_Cu3Zn_062,mock,mock_Cu3Zn_062,Cu3Zn,Cu3Zn,Cu-Zn,2
entry_Cu3V_063,mock,mock_Cu3V_063,Cu3V,Cu3V,Cu-V,2
entry_Cu3Zr_064,mock,mock_Cu3Zr_064,Cu3Zr,Cu3Zr,Cu-Zr,2
entry_Cu3Mn_065,mock,mock_Cu3Mn_065,Cu3Mn,Cu3Mn,Cu-Mn,2
entry_Pd3Al_066,mock,mock_Pd3Al_066,Pd3Al,Pd3Al,Al-Pd,2
entry_Pd3Ga_067,mock,mock_Pd3Ga_067,Pd3Ga,Pd3Ga,Ga-Pd,2
entry_Pd3Ge_068,mock,mock_Pd3Ge_068,Pd3Ge,Pd3Ge,Ge-Pd,2
entry_Pd3Ti_069,mock,mock_Pd3Ti_069,Pd3Ti,Pd3Ti,Pd-Ti,2
entry_Pd3Nb_070,mock,mock_Pd3Nb_070,Pd3Nb,Pd3Nb,Nb-Pd,2
entry_Pd3Ta_071,mock,mock_Pd3Ta_071,Pd3Ta,Pd3Ta,Pd-Ta,2
entry_Pd3Sc_072,mock,mock_Pd3Sc_072,Pd3Sc,Pd3Sc,Pd-Sc,2
entry_Pd3Y_073,mock,mock_Pd3Y_073,Pd3Y,Pd3Y,Pd-Y,2
entry_Pd3Hf_074,mock,mock_Pd3Hf_074,Pd3Hf,Pd3Hf,Hf-Pd,2
entry_Pd3Si_075,mock,mock_Pd3Si_075,Pd3Si,Pd3Si,Pd-Si,2
entry_Pd3Sn_076,mock,mock_Pd3Sn_076,Pd3Sn,Pd3Sn,Pd-Sn,2
entry_Pd3Zn_077,mock,mock_Pd3Zn_077,Pd3Zn,Pd3Zn,Pd-Zn,2
entry_Pd3V_078,mock,mock_Pd3V_078,Pd3V,Pd3V,Pd-V,2
entry_Pd3Zr_079,mock,mock_Pd3Zr_079,Pd3Zr,Pd3Zr,Pd-Zr,2
entry_Pd3Mn_080,mock,mock_Pd3Mn_080,Pd3Mn,Pd3Mn,Mn-Pd,2
entry_Pt3Ga_081,mock,mock_Pt3Ga_081,Pt3Ga,Pt3Ga,Ga-Pt,2
entry_Pt3Ge_082,mock,mock_Pt3Ge_082,Pt3Ge,Pt3Ge,Ge-Pt,2
entry_Pt3Ti_083,mock,mock_Pt3Ti_083,Pt3Ti,Pt3Ti,Pt-Ti,2
entry_Pt3Nb_084,mock,mock_Pt3Nb_084,Pt3Nb,Pt3Nb,Nb-Pt,2
entry_Pt3Ta_085,mock,mock_Pt3Ta_085,Pt3Ta,Pt3Ta,Pt-Ta,2
entry_Pt3Sc_086,mock,mock_Pt3Sc_086,Pt3Sc,Pt3Sc,Pt-Sc,2
entry_Pt3Y_087,mock,mock_Pt3Y_087,Pt3Y,Pt3Y,Pt-Y,2
entry_Pt3Hf_088,mock,mock_Pt3Hf_088,Pt3Hf,Pt3Hf,Hf-Pt,2
entry_Pt3Si_089,mock,mock_Pt3Si_089,Pt3Si,Pt3Si,Pt-Si,2
entry_Pt3Sn_090,mock,mock_Pt3Sn_090,Pt3Sn,Pt3Sn,Pt-Sn,2
entry_Pt3Zn_091,mock,mock_Pt3Zn_091,Pt3Zn,Pt3Zn,Pt-Zn,2
entry_Pt3V_092,mock,mock_Pt3V_092,Pt3V,Pt3V,Pt-V,2
entry_Pt3Zr_093,mock,mock_Pt3Zr_093,Pt3Zr,Pt3Zr,Pt-Zr,2
entry_Pt3Mn_094,mock,mock_Pt3Mn_094,Pt3Mn,Pt3Mn,Mn-Pt,2
entry_Ir3Al_095,mock,mock_Ir3Al_095,Ir3Al,Ir3Al,Al-Ir,2
entry_Ir3Ga_096,mock,mock_Ir3Ga_096,Ir3Ga,Ir3Ga,Ga-Ir,2
entry_Ir3Ge_097,mock,mock_Ir3Ge_097,Ir3Ge,Ir3Ge,Ge-Ir,2
entry_Ir3Ti_098,mock,mock_Ir3Ti_098,Ir3Ti,Ir3Ti,Ir-Ti,2
entry_Ir3Ta_099,mock,mock_Ir3Ta_099,Ir3Ta,Ir3Ta,Ir-Ta,2
entry_Ir3Sc_100,mock,mock_Ir3Sc_100,Ir3Sc,Ir3Sc,Ir-Sc,2
entry_Ir3Y_101,mock,mock_Ir3Y_101,Ir3Y,Ir3Y,Ir-Y,2
entry_Ir3Hf_102,mock,mock_Ir3Hf_102,Ir3Hf,Ir3Hf,Hf-Ir,2
entry_Ir3Si_103,mock,mock_Ir3Si_103,Ir3Si,Ir3Si,Ir-Si,2
entry_Ir3Sn_104,mock,mock_Ir3Sn_104,Ir3Sn,Ir3Sn,Ir-Sn,2
entry_Ir3Zn_105,mock,mock_Ir3Zn_105,Ir3Zn,Ir3Zn,Ir-Zn,2
entry_Ir3V_106,mock,mock_Ir3V_106,Ir3V,Ir3V,Ir-V,2
entry_Ir3Zr_107,mock,mock_Ir3Zr_107,Ir3Zr,Ir3Zr,Ir-Zr,2
entry_Ir3Mn_108,mock,mock_Ir3Mn_108,Ir3Mn,Ir3Mn,Ir-Mn,2
entry_Rh3Al_109,mock,mock_Rh3Al_109,Rh3Al,Rh3Al,Al-Rh,2
entry_Rh3Ga_110,mock,mock_Rh3Ga_110,Rh3Ga,Rh3Ga,Ga-Rh,2
entry_Rh3Ge_111,mock,mock_Rh3Ge_111,Rh3Ge,Rh3Ge,Ge-Rh,2
entry_Rh3Ti_112,mock,mock_Rh3Ti_112,Rh3Ti,Rh3Ti,Rh-Ti,2
entry_Rh3Nb_113,mock,mock_Rh3Nb_113,Rh3Nb,Rh3Nb,Nb-Rh,2
entry_Rh3Ta_114,mock,mock_Rh3Ta_114,Rh3Ta,Rh3Ta,Rh-Ta,2
entry_Rh3Sc_115,mock,mock_Rh3Sc_115,Rh3Sc,Rh3Sc,Rh-Sc,2
entry_Rh3Y_116,mock,mock_Rh3Y_116,Rh3Y,Rh3Y,Rh-Y,2
entry_Rh3Hf_117,mock,mock_Rh3Hf_117,Rh3Hf,Rh3Hf,Hf-Rh,2
entry_Rh3Si_118,mock,mock_Rh3Si_118,Rh3Si,Rh3Si,Rh-Si,2
entry_Rh3Sn_119,mock,mock_Rh3Sn_119,Rh3Sn,Rh3Sn,Rh-Sn,2
entry_Rh3Zn_120,mock,mock_Rh3Zn_120,Rh3Zn,Rh3Zn,Rh-Zn,2
