composition_id,entry_id,element,atomic_fraction,site_label
comp_entry_Cu3Ga_052_B,entry_Cu3Ga_052,Ga,0.25,B
comp_entry_Cu3Ge_053_A,entry_Cu3Ge_053,Cu,0.75,A
comp_entry_Cu3Ge_053_B,entry_Cu3Ge_053,Ge,0.25,B
comp_entry_Cu3Ti_054_A,entry_Cu3Ti_054,Cu,0.75,A
comp_entry_Cu3Ti_054_B,entry_Cu3Ti_054,Ti,0.25,B
comp_entry_Cu3Nb_055_A,entry_Cu3Nb_055,Cu,0.75,A
comp_entry_Cu3Nb_055_B,entry_Cu3Nb_055,Nb,0.25,B
comp_entry_Cu3Ta_056_A,entry_Cu3Ta_056,Cu,0.75,A
comp_entry_Cu3Ta_056_B,entry_Cu3Ta_056,Ta,0.25,B
comp_entry_Cu3Sc_057_A,entry_Cu3Sc_057,Cu,0.75,A
comp_entry_Cu3Sc_057_B,entry_Cu3Sc_057,Sc,0.25,B
comp_entry_Cu3Y_058_A,entry_Cu3Y_058,Cu,0.75,A
comp_entry_Cu3Y_058_B,entry_Cu3Y_058,Y,0.25,B
comp_entry_Cu3Hf_059_A,entry_Cu3Hf_059,Cu,0.75,A
comp_entry_Cu3Hf_059_B,entry_Cu3Hf_059,Hf,0.25,B
comp_entry_Cu3Si_060_A,entry_Cu3Si_060,Cu,0.75,A
comp_entry_Cu3Si_060_B,entry_Cu3Si_060,Si,0.25,B
comp_entry_Cu3Sn_061_A,entry_Cu3Sn_061,Cu,0.75,A
comp_entry_Cu3Sn_061_B,entry_Cu3Sn_061,Sn,0.25,B
comp_entry_Cu3Zn_062_A,entry_Cu3Zn_062,Cu,0.75,A
comp_entry_Cu3Zn_062_B,entry_Cu3Zn_062,Zn,0.25,B
comp_entry_Cu3V_063_A,entry_Cu3V_063,Cu,0.75,A
comp_entry_Cu3V_063_B,entry_Cu3V_063,V,0.25,B
comp_entry_Cu3Zr_064_A,entry_Cu3Zr_064,Cu,0.75,A
comp_entry_Cu3Zr_064_B,entry_Cu3Zr_064,Zr,0.25,B
comp_entry_Cu3Mn_065_A,entry_Cu3Mn_065,Cu,0.75,A
comp_entry_Cu3Mn_065_B,entry_Cu3Mn_065,Mn,0.25,B
comp_entry_Pd3Al_066_A,entry_Pd3Al_066,Pd,0.75,A
comp_entry_Pd3Al_066_B,entry_Pd3Al_066,Al,0.25,B
comp_entry_Pd3Ga_067_A,entry_Pd3Ga_067,Pd,0.75,A
comp_entry_Pd3Ga_067_B,entry_Pd3Ga_067,Ga,0.25,B
comp_entry_Pd3Ge_068_A,entry_Pd3Ge_068,Pd,0.75,A
comp_entry_Pd3Ge_068_B,entry_Pd3Ge_068,Ge,0.25,B
comp_entry_Pd3Ti_069_A,entry_Pd3Ti_069,Pd,0.75,A
comp_entry_Pd3Ti_069_B,entry_Pd3Ti_069,Ti,0.25,B
comp_entry_Pd3Nb_070_A,entry_Pd3Nb_070,Pd,0.75,A
comp_entry_Pd3Nb_070_B,entry_Pd3Nb_070,Nb,0.25,B
comp_entry_Pd3Ta_071_A,entry_Pd3Ta_071,Pd,0.75,A
comp_entry_Pd3Ta_071_B,entry_Pd3Ta_071,Ta,0.25,B
comp_entry_Pd3Sc_072_A,entry_Pd3Sc_072,Pd,0.75,A
comp_entry_Pd3Sc_072_B,entry_Pd3Sc_072,Sc,0.25,B
comp_entry_Pd3Y_073_A,entry_Pd3Y_073,Pd,0.75,A
comp_entry_Pd3Y_073_B,entry_Pd3Y_073,Y,0.25,B
comp_entry_Pd3Hf_074_A,entry_Pd3Hf_074,Pd,0.75,A
comp_entry_Pd3Hf_074_B,entry_Pd3Hf_074,Hf,0.25,B
comp_entry_Pd3Si_075_A,entry_Pd3Si_075,Pd,0.75,A
comp_entry_Pd3Si_075_B,entry_Pd3Si_075,Si,0.25,B
comp_entry_Pd3Sn_076_A,entry_Pd3Sn_076,Pd,0.75,A
comp_entry_Pd3Sn_076_B,entry_Pd3Sn_076,Sn,0.25,B
comp_entry_Pd3Zn_077_A,entry_Pd3Zn_077,Pd,0.75,A
comp_entry_Pd3Zn_077_B,entry_Pd3Zn_077,Zn,0.25,B
comp_entry_Pd3V_078_A,entry_Pd3V_078,Pd,0.75,A
comp_entry_Pd3V_078_B,entry_Pd3V_078,V,0.25,B
comp_entry_Pd3Zr_079_A,entry_Pd3Zr_079,Pd,0.75,A
comp_entry_Pd3Zr_079_B,entry_Pd3Zr_079,Zr,0.25,B
comp_entry_Pd3Mn_080_A,entry_Pd3Mn_080,Pd,0.75,A
comp_entry_Pd3Mn_080_B,entry_Pd3Mn_080,Mn,0.25,B
comp_entry_Pt3Ga_081_A,entry_Pt3Ga_081,Pt,0.75,A
comp_entry_Pt3Ga_081_B,entry_Pt3Ga_081,Ga,0.25,B
comp_entry_Pt3Ge_082_A,entry_Pt3Ge_082,Pt,0.75,A
comp_entry_Pt3Ge_082_B,entry_Pt3Ge_082,Ge,0.25,B
comp_entry_Pt3Ti_083_A,entry_Pt3Ti_083,Pt,0.75,A
comp_entry_Pt3Ti_083_B,entry_Pt3Ti_083,Ti,0.25,B
comp_entry_Pt3Nb_084_A,entry_Pt3Nb_084,Pt,0.75,A
comp_entry_Pt3Nb_084_B,entry_Pt3Nb_084,Nb,0.25,B
comp_entry_Pt3Ta_085_A,entry_Pt3Ta_085,Pt,0.75,A
comp_entry_Pt3Ta_085_B,entry_Pt3Ta_085,Ta,0.25,B
comp_entry_Pt3Sc_086_A,entry_Pt3Sc_086,Pt,0.75,A
comp_entry_Pt3Sc_086_B,entry_Pt3Sc_086,Sc,0.25,B
comp_entry_Pt3Y_087_A,entry_Pt3Y_087,Pt,0.75,A
comp_entry_Pt3Y_087_B,entry_Pt3Y_087,Y,0.25,B
comp_entry_Pt3Hf_088_A,entry_Pt3Hf_088,Pt,0.75,A
comp_entry_Pt3Hf_088_B,entry_Pt3Hf_088,Hf,0.25,B
comp_entry_Pt3Si_089_A,entry_Pt3Si_089,Pt,0.75,A
comp_entry_Pt3Si_089_B,entry_Pt3Si_089,Si,0.25,B
comp_entry_Pt3Sn_090_A,entry_Pt3Sn_090,Pt,0.75,A
comp_entry_Pt3Sn_090_B,entry_Pt3Sn_090,Sn,0.25,B
comp_entry_Pt3Zn_091_A,entry_Pt3Zn_091,Pt,0.75,A
comp_entry_Pt3Zn_091_B,entry_Pt3Zn_091,Zn,0.25,B
comp_entry_Pt3V_092_A,entry_Pt3V_092,Pt,0.75,A
comp_entry_Pt3V_092_B,entry_Pt3V_092,V,0.25,B
comp_entry_Pt3Zr_093_A,entry_Pt3Zr_093,Pt,0.75,A
comp_entry_Pt3Zr_093_B,entry_Pt3Zr_093,Zr,0.25,B
comp_entry_Pt3Mn_094_A,entry_Pt3Mn_094,Pt,0.75,A
comp_entry_Pt3Mn_094_B,entry_Pt3Mn_094,Mn,0.25,B
comp_entry_Ir3Al_095_A,entry_Ir3Al_095,Ir,0.75,A
comp_entry_Ir3Al_095_B,entry_Ir3Al_095,Al,0.25,B
comp_entry_Ir3Ga_096_A,entry_Ir3Ga_096,Ir,0.75,A
comp_entry_Ir3Ga_096_B,entry_Ir3Ga_096,Ga,0.25,B
comp_entry_Ir3Ge_097_A,entry_Ir3Ge_097,Ir,0.75,A
comp_entry_Ir3Ge_097_B,entry_Ir3Ge_097,Ge,0.25,B
comp_entry_Ir3Ti_098_A,entry_Ir3Ti_098,Ir,0.75,A
comp_entry_Ir3Ti_098_B,entry_Ir3Ti_098,Ti,0.25,B
comp_entry_Ir3Ta_099_A,entry_Ir3Ta_099,Ir,0.75,A
comp_entry_Ir3Ta_099_B,entry_Ir3Ta_099,Ta,0.25,B
comp_entry_Ir3Sc_100_A,entry_Ir3Sc_100,Ir,0.75,A
comp_entry_Ir3Sc_100_B,entry_Ir3Sc_100,Sc,0.25,B
comp_entry_Ir3Y_101_A,entry_Ir3Y_101,Ir,0.75,A
comp_entry_Ir3Y_101_B,entry_Ir3Y_101,Y,0.25,B
comp_entry_Ir3Hf_102_A,entry_Ir3Hf_102,Ir,0.75,A
comp_entry_Ir3Hf_102_B,entry_Ir3Hf_102,Hf,0.25,B
comp_entry_Ir3Si_103_A,entry_Ir3Si_103,Ir,0.75,A
comp_entry_Ir3Si_103_B,entry_Ir3Si_103,Si,0.25,B
comp_entry_Ir3Sn_104_A,entry_Ir3Sn_104,Ir,0.75,A
comp_entry_Ir3Sn_104_B,entry_Ir3Sn_104,Sn,0.25,B
comp_entry_Ir3Zn_105_A,entry_Ir3Zn_105,Ir,0.75,A
comp_entry_Ir3Zn_105_B,entry_Ir3Zn_105,Zn,0.25,B
comp_entry_Ir3V_106_A,entry_Ir3V_106,Ir,0.75,A
comp_entry_Ir3V_106_B,entry_Ir3V_106,V,0.25,B
comp_entry_Ir3Zr_107_A,entry_Ir3Zr_107,Ir,0.75,A
comp_entry_Ir3Zr_107_B,entry_Ir3Zr_107,Zr,0.25,B
comp_entry_Ir3Mn_108_A,entry_Ir3Mn_108,Ir,0.75,A
comp_entry_Ir3Mn_108_B,entry_Ir3Mn_108,Mn,0.25,B
comp_entry_Rh3Al_109_A,entry_Rh3Al_109,Rh,0.75,A
comp_entry_Rh3Al_109_B,entry_Rh3Al_109,Al,0.25,B
comp_entry_Rh3Ga_110_A,entry_Rh3Ga_110,Rh,0.75,A
comp_entry_Rh3Ga_110_B,entry_Rh3Ga_110,Ga,0.25,B
comp_entry_Rh3Ge_111_A,entry_Rh3Ge_111,Rh,0.75,A
comp_entry_Rh3Ge_111_B,entry_Rh3Ge_111,Ge,0.25,B
comp_entry_Rh3Ti_112_A,entry_Rh3Ti_112,Rh,0.75,A
comp_entry_Rh3Ti_112_B,entry_Rh3Ti_112,Ti,0.25,B
comp_entry_Rh3Nb_113_A,entry_Rh3Nb_113,Rh,0.75,A
comp_entry_Rh3Nb_113_B,entry_Rh3Nb_113,Nb,0.25,B
comp_entry_Rh3Ta_114_A,entry_Rh3Ta_114,Rh,0.75,A
comp_entry_Rh3Ta_114_B,entry_Rh3Ta_114,Ta,0.25,B
comp_entry_Rh3Sc_115_A,entry_Rh3Sc_115,Rh,0.75,A
comp_entry_Rh3Sc_115_B,entry_Rh3Sc_115,Sc,0.25,B
comp_entry_Rh3Y_116_A,entry_Rh3Y_116,Rh,0.75,A
comp_entry_Rh3Y_116_B,entry_Rh3Y_116,Y,0.25,B
comp_entry_Rh3Hf_117_A,entry_Rh3Hf_117,Rh,0.75,A
comp_entry_Rh3Hf_117_B,entry_Rh3Hf_117,Hf,0.25,B
comp_entry_Rh3Si_118_A,entry_Rh3Si_118,Rh,0.75,A
comp_entry_Rh3Si_118_B,entry_Rh3Si_118,Si,0.25,B
comp_entry_Rh3Sn_119_A,entry_Rh3Sn_119,Rh,0.75,A
comp_entry_Rh3Sn_119_B,entry_Rh3Sn_119,Sn,0.25,B
comp_entry_Rh3Zn_120_A,entry_Rh3Zn_120,Rh,0.75,A
comp_entry_Rh3Zn_120_B,entry_Rh3Zn_120,Zn,0.25,B
