calculation_id,entry_id,method,functional,calculation_type
calc_entry_Cu3Si_060,entry_Cu3Si_060,DFT,PBE,static
calc_entry_Cu3Sn_061,entry_Cu3Sn_061,DFT,PBE,static
calc_entry_Cu3Zn_062,entry_Cu3Zn_062,DFT,PBE,static
calc_entry_Cu3V_063,entry_Cu3V_063,DFT,PBE,static
calc_entry_Cu3Zr_064,entry_Cu3Zr_064,DFT,PBE,static
calc_entry_Cu3Mn_065,entry_Cu3Mn_065,DFT,PBE,static
calc_entry_Pd3Al_066,entry_Pd3Al_066,DFT,PBE,static
calc_entry_Pd3Ga_067,entry_Pd3Ga_067,DFT,PBE,static
calc_entry_Pd3Ge_068,entry_Pd3Ge_068,DFT,PBE,static
calc_entry_Pd3Ti_069,entry_Pd3Ti_069,DFT,PBE,static
calc_entry_Pd3Nb_070,entry_Pd3Nb_070,DFT,PBE,static
calc_entry_Pd3Ta_071,entry_Pd3Ta_071,DFT,PBE,static
calc_entry_Pd3Sc_072,entry_Pd3Sc_072,DFT,PBE,static
calc_entry_Pd3Y_073,entry_Pd3Y_073,DFT,PBE,static
calc_entry_Pd3Hf_074,entry_Pd3Hf_074,DFT,PBE,static
calc_entry_Pd3Si_075,entry_Pd3Si_075,DFT,PBE,static
calc_entry_Pd3Sn_076,entry_Pd3Sn_076,DFT,PBE,static
calc_entry_Pd3Zn_077,entry_Pd3Zn_077,DFT,PBE,static
calc_entry_Pd3V_078,entry_Pd3V_078,DFT,PBE,static
calc_entry_Pd3Zr_079,entry_Pd3Zr_079,DFT,PBE,static
calc_entry_Pd3Mn_080,entry_Pd3Mn_080,DFT,PBE,static
calc_entry_Pt3Ga_081,entry_Pt3Ga_081,DFT,PBE,static
calc_entry_Pt3Ge_082,entry_Pt3Ge_082,DFT,PBE,static
calc_entry_Pt3Ti_083,entry_Pt3Ti_083,DFT,PBE,static
calc_entry_Pt3Nb_084,entry_Pt3Nb_084,DFT,PBE,static
calc_entry_Pt3Ta_085,entry_Pt3Ta_085,DFT,PBE,static
calc_entry_Pt3Sc_086,entry_Pt3Sc_086,DFT,PBE,static
calc_entry_Pt3Y_087,entry_Pt3Y_087,DFT,PBE,static
calc_entry_Pt3Hf_088,entry_Pt3Hf_088,DFT,PBE,static
calc_entry_Pt3Si_089,entry_Pt3Si_089,DFT,PBE,static
calc_entry_Pt3Sn_090,entry_Pt3Sn_090,DFT,PBE,static
calc_entry_Pt3Zn_091,entry_Pt3Zn_091,DFT,PBE,static
calc_entry_Pt3V_092,entry_Pt3V_092,DFT,PBE,static
calc_entry_Pt3Zr_093,entry_Pt3Zr_093,DFT,PBE,static
calc_entry_Pt3Mn_094,entry_Pt3Mn_094,DFT,PBE,static
calc_entry_Ir3Al_095,entry_Ir3Al_095,DFT,PBE,static
calc_entry_Ir3Ga_096,entry_Ir3Ga_096,DFT,PBE,static
calc_entry_Ir3Ge_097,entry_Ir3Ge_097,DFT,PBE,static
calc_entry_Ir3Ti_098,entry_Ir3Ti_098,DFT,PBE,static
calc_entry_Ir3Ta_099,entry_Ir3Ta_099,DFT,PBE,static
calc_entry_Ir3Sc_100,entry_Ir3Sc_100,DFT,PBE,static
calc_entry_Ir3Y_101,entry_Ir3Y_101,DFT,PBE,static
calc_entry_Ir3Hf_102,entry_Ir3Hf_102,DFT,PBE,static
calc_entry_Ir3Si_103,entry_Ir3Si_103,DFT,PBE,static
calc_entry_Ir3Sn_104,entry_Ir3Sn_104,DFT,PBE,static
calc_entry_Ir3Zn_105,entry_Ir3Zn_105,DFT,PBE,static
calc_entry_Ir3V_106,entry_Ir3V_106,DFT,PBE,static
calc_entry_Ir3Zr_107,entry_Ir3Zr_107,DFT,PBE,static
calc_entry_Ir3Mn_108,entry_Ir3Mn_108,DFT,PBE,static
calc_entry_Rh3Al_109,entry_Rh3Al_109,DFT,PBE,static
calc_entry_Rh3Ga_110,entry_Rh3Ga_110,DFT,PBE,static
calc_entry_Rh3Ge_111,entry_Rh3Ge_111,DFT,PBE,static
calc_entry_Rh3Ti_112,entry_Rh3Ti_112,DFT,PBE,static
calc_entry_Rh3Nb_113,entry_Rh3Nb_113,DFT,PBE,static
calc_entry_Rh3Ta_114,entry_Rh3Ta_114,DFT,PBE,static
calc_entry_Rh3Sc_115,entry_Rh3Sc_115,DFT,PBE,static
calc_entry_Rh3Y_116,entry_Rh3Y_116,DFT,PBE,static
calc_entry_Rh3Hf_117,entry_Rh3Hf_117,DFT,PBE,static
calc_entry_Rh3Si_118,entry_Rh3Si_118,DFT,PBE,static
calc_entry_Rh3Sn_119,entry_Rh3Sn_119,DFT,PBE,static
calc_entry_Rh3Zn_120,entry_Rh3Zn_120,DFT,PBE,static
