stability_id,entry_id,formation_energy_per_atom,energy_above_hull,is_stable,band_gap
stab_oqmd_10618,oqmd_10618,-0.1729807925,0.09094823249999992,f,0
stab_oqmd_10623,oqmd_10623,-0.34775013375,0.0008020950000000027,t,0
stab_oqmd_10632,oqmd_10632,-0.3190237025,0.0007009849999999873,t,0
stab_oqmd_10638,oqmd_10638,-0.0397650981250002,0.017789788750000007,f,0
stab_oqmd_10639,oqmd_10639,-0.26489468875,0.006768492500000001,f,0
stab_oqmd_10649,oqmd_10649,-0.23234209875,0.00033476999999998425,t,0
stab_oqmd_10655,oqmd_10655,-0.165356150416668,0.008916323749998983,f,0
stab_oqmd_10660,oqmd_10660,-0.26962120625,0.0014401800000004017,f,0
stab_oqmd_10662,oqmd_10662,-0.2577073275,0.0069572949999999745,f,0
stab_oqmd_10664,oqmd_10664,0.0274021581250006,0.05142231083333414,f,0
stab_oqmd_10665,oqmd_10665,-0.28691686625,0.001398430000000006,f,0
stab_oqmd_10667,oqmd_10667,-0.2925637975,0.00102392499999987,f,0
stab_oqmd_10672,oqmd_10672,0.00103122891666541,0.07965846633333307,f,0
stab_oqmd_10678,oqmd_10678,-0.35077449375,0.0016281999999999686,f,0
stab_oqmd_10680,oqmd_10680,-0.125486840625,0.15238744,f,0
stab_oqmd_10681,oqmd_10681,-0.34309354125,0.0015580449999999524,f,0
stab_oqmd_10683,oqmd_10683,-0.42926611875,0.006614506250000041,f,0
stab_oqmd_10705,oqmd_10705,-0.17990844,0.00543921,f,0
stab_oqmd_10711,oqmd_10711,-0.32039294,0.007440914999999992,f,1.04
stab_oqmd_10712,oqmd_10712,-0.27690996,0.01320482406250012,f,0.392
stab_oqmd_10715,oqmd_10715,-0.864565018333335,0.022499612499999988,f,0
stab_oqmd_10720,oqmd_10720,-0.88506276,0.01344919500000008,f,0
stab_oqmd_10729,oqmd_10729,-0.83999823875,0.02527999000000003,f,0
stab_oqmd_10736,oqmd_10736,-0.875037941666665,0.01823717250000001,f,0
stab_oqmd_10769,oqmd_10769,-0.36872929,0,t,0
stab_oqmd_107704,oqmd_107704,-0.377553161893132,0.04615711500000025,f,0
stab_oqmd_10775,oqmd_10775,-0.901567857499999,0.0004420149999999623,t,0
stab_oqmd_10777,oqmd_10777,-0.615378534583335,0.0012252074999997697,f,0
stab_oqmd_10789,oqmd_10789,-0.7672467325,0.04563163499999978,f,0
stab_oqmd_10793,oqmd_10793,-0.74871187375,0.047170337500000326,f,0
stab_oqmd_10797,oqmd_10797,-0.8037018025,0.0037229399999999524,f,0
stab_oqmd_10799,oqmd_10799,-0.80073676375,0.038721950000000005,f,0
stab_oqmd_10810,oqmd_10810,-0.524167797333335,0.02572280250000003,f,0
stab_oqmd_10813,oqmd_10813,-0.334146896893132,0.11352196749999904,f,0
stab_oqmd_10814,oqmd_10814,-0.276160747839699,0.13281844249999997,f,0
stab_oqmd_10817,oqmd_10817,-0.893549525,0.0090111100000001,f,0
stab_oqmd_10819,oqmd_10819,0.0804060999999994,0.13752365905222858,f,0
stab_oqmd_10822,oqmd_10822,-0.8617863925,0.024117667500000994,f,0
stab_oqmd_10823,oqmd_10823,-0.95823176,0.011590693749999992,f,0
stab_oqmd_10840,oqmd_10840,-0.327498125,0.0022185200000000016,f,0
stab_oqmd_10846,oqmd_10846,-0.491164262483134,0.003990455000000004,f,0
stab_oqmd_10867,oqmd_10867,-0.165115005,0.019330972499999988,f,0
stab_oqmd_10876,oqmd_10876,-0.308031825,0.00426963249999901,f,0
stab_oqmd_10879,oqmd_10879,-0.095546165,0.005333575000000326,f,0
stab_oqmd_10894,oqmd_10894,-0.47001106,0.0006242399999999981,t,0
stab_oqmd_10896,oqmd_10896,-0.586192649999999,0.0006656600000003454,t,0
stab_oqmd_10900,oqmd_10900,-0.615992299999999,5.579500000096882e-05,t,0
stab_oqmd_10906,oqmd_10906,-0.163735476893132,1.8099999999909855e-06,t,0
stab_oqmd_109112,oqmd_109112,-0.106482015,0.045600682991565236,f,0
stab_oqmd_109147,oqmd_109147,-0.486348581893132,0.0834973133716076,f,0
stab_oqmd_10917,oqmd_10917,,0.00048702000000000467,t,0
stab_oqmd_10925,oqmd_10925,,0.0008708099999990004,t,0
stab_oqmd_10928,oqmd_10928,,0.0009763799999999989,t,0
stab_oqmd_10930,oqmd_10930,,0.0007276333333333662,t,0
stab_oqmd_10936,oqmd_10936,,0.002414514999999895,f,0
stab_oqmd_10940,oqmd_10940,,0.0007686650000010564,t,0
stab_oqmd_10946,oqmd_10946,,0.31070788874999994,f,0
stab_oqmd_10957,oqmd_10957,,0.0008493850000000913,t,0
stab_oqmd_10958,oqmd_10958,,0.2813351949999996,f,0
stab_oqmd_10963,oqmd_10963,,0.0015073899999989981,f,0
stab_oqmd_10964,oqmd_10964,-0.44967529625,0.0018897949999996944,f,0
stab_oqmd_10965,oqmd_10965,-0.550875097500001,0.02528971000000002,f,0
stab_oqmd_10969,oqmd_10969,,0.0012097800000000491,f,0
stab_oqmd_10971,oqmd_10971,,0.001002833333332953,f,0
stab_oqmd_10972,oqmd_10972,-0.37364138,0,t,0
stab_oqmd_109771,oqmd_109771,0.277557062328247,0.7491665612820728,f,0
stab_oqmd_10986,oqmd_10986,-0.533782367483134,0,t,0
stab_oqmd_10991,oqmd_10991,-0.48672452,0.0016267600000002824,f,0
stab_oqmd_10999,oqmd_10999,-0.3912271775,0.03392165562500049,f,0
stab_oqmd_11000,oqmd_11000,-0.688369275,0.0003523999999995864,t,0
stab_oqmd_11003,oqmd_11003,-0.463820795138401,0.0005862650000008074,t,0
stab_oqmd_11005,oqmd_11005,-0.4522648175,0.0014997037499996368,f,0
stab_oqmd_11006,oqmd_11006,-0.23969722125,0,t,0
stab_oqmd_11012,oqmd_11012,-0.32485156375,0,t,0
stab_oqmd_11019,oqmd_11019,-0.324651363333335,0.000974805000000023,t,0
stab_oqmd_11022,oqmd_11022,-0.32187689,0.001125144999999994,f,0
stab_oqmd_11024,oqmd_11024,-0.47124383,0,t,0
stab_oqmd_11031,oqmd_11031,-0.323945451666665,0.001183370000000017,f,0
stab_oqmd_110794,oqmd_110794,-0.331630775000001,0.00015675499999961984,t,0
stab_oqmd_110795,oqmd_110795,-0.331626890000001,0.0001606399999996011,t,0
stab_oqmd_11110,oqmd_11110,-0.285892273750001,0.00024211499999976516,t,0
stab_oqmd_11111,oqmd_11111,-0.47815616625,0.0022322249999999766,f,0
stab_oqmd_11114,oqmd_11114,-0.114484045,0.09062725999999999,f,0
stab_oqmd_11117,oqmd_11117,-0.0652887424999999,0.03791163000000024,f,0
stab_oqmd_11128,oqmd_11128,-0.50714155,0.013687436249999907,f,0
stab_oqmd_11137,oqmd_11137,-0.50448219375,0,t,0
stab_oqmd_11138,oqmd_11138,-0.287017153125,5.189999999999362e-05,t,0
stab_oqmd_11139,oqmd_11139,-0.482026354375,0.0009788025000004308,t,0
stab_oqmd_11150,oqmd_11150,-0.0343495699999998,0.0670849300000002,f,0
stab_oqmd_11151,oqmd_11151,-0.226826665,0.015703907499999753,f,0
stab_oqmd_11153,oqmd_11153,-0.431758600000001,0.004973660000000213,f,0
stab_oqmd_11157,oqmd_11157,-0.293798968750001,0.012164601249999019,f,0
stab_oqmd_11158,oqmd_11158,-0.30745399875,0.001875067499999994,f,0
stab_oqmd_11159,oqmd_11159,-0.50060990375,0,t,0
stab_oqmd_11161,oqmd_11161,-0.282540378125,0.00023038249999962623,t,0
stab_oqmd_11162,oqmd_11162,-0.465918766875,0,t,0
stab_oqmd_11165,oqmd_11165,-0.268065306166668,0.0011866774999997887,f,0
stab_oqmd_11166,oqmd_11166,,0.05017216999999996,f,0
stab_oqmd_11168,oqmd_11168,-0.3621371,0,t,0
stab_oqmd_11171,oqmd_11171,-0.427594115,0,t,0
stab_oqmd_11173,oqmd_11173,-0.367028205,0.0015616675000003077,f,0
stab_oqmd_11174,oqmd_11174,-0.00940088125000038,5.3227499999589784e-05,t,0
stab_oqmd_11175,oqmd_11175,-0.5013761325,0.0037210875000002197,f,0
stab_oqmd_11176,oqmd_11176,-0.429147533750001,0.0017662399999989753,f,0
stab_oqmd_11177,oqmd_11177,-0.51875509,0.00033538500000007687,t,0
stab_oqmd_11180,oqmd_11180,-0.370973705,0.0024164875000000086,f,0
stab_oqmd_11181,oqmd_11181,-0.25480963,0,t,0
stab_oqmd_11301,oqmd_11301,,0.0002992800000001239,t,0
stab_oqmd_11312,oqmd_11312,0.163747855,0.18179992479166684,f,0
stab_oqmd_11321,oqmd_11321,,0.0030601287499996133,f,2.172
stab_oqmd_114593,oqmd_114593,,0.07925618155172427,f,0
stab_oqmd_11469,oqmd_11469,,0.15888038999999898,f,0
stab_oqmd_11505,oqmd_11505,,0.0009870700000000898,t,4.521
stab_oqmd_11506,oqmd_11506,,0.0002698716666651446,t,3.926
stab_oqmd_11507,oqmd_11507,,0,t,2.637
stab_oqmd_11508,oqmd_11508,,0.0017466349999979425,f,2.199
stab_oqmd_11509,oqmd_11509,-1.87287090370792,0.05527828499999998,f,4.153
stab_oqmd_11510,oqmd_11510,-1.55081580621416,0.04972857500000005,f,3.455
stab_oqmd_11511,oqmd_11511,-1.51418480871416,0.06963003999999984,f,3.367
stab_oqmd_11512,oqmd_11512,-1.85554338620792,0.07251042499999993,f,3.948
stab_oqmd_11514,oqmd_11514,-2.70095646456555,0.13207015499999963,f,6.315
stab_oqmd_11516,oqmd_11516,,0.07497120437499571,f,0
stab_oqmd_11517,oqmd_11517,,1.1042028019999974,f,0
stab_oqmd_11589,oqmd_11589,,0,t,0.691
stab_oqmd_11590,oqmd_11590,,0.33604924562922434,f,0
stab_oqmd_11602,oqmd_11602,-0.543942146875001,0.13741595499999903,f,0
stab_oqmd_116025,oqmd_116025,,0.22407470499999693,f,0.847
stab_oqmd_116062,oqmd_116062,0.41706310625,1.229072239999999,f,0
stab_oqmd_116118,oqmd_116118,-0.4168634925,0.021084679375000026,f,0
stab_oqmd_116119,oqmd_116119,-0.33766591875,0.05214890999999999,f,0
stab_oqmd_116120,oqmd_116120,-0.3524347675,0.044283300000000136,f,0
stab_oqmd_116121,oqmd_116121,-0.395501728333334,0.021228541250000954,f,0
stab_oqmd_116122,oqmd_116122,-0.31811701375,0.06005463499999997,f,0
stab_oqmd_116222,oqmd_116222,-0.106721810000001,0.045360887991564236,f,0
stab_oqmd_116234,oqmd_116234,-0.642875480000001,0.00015226499999998477,t,0
stab_oqmd_116235,oqmd_116235,-0.282258584999999,0.00010556499999997415,t,0
stab_oqmd_116608,oqmd_116608,-0.378019401893132,0.04569087500000024,f,0
stab_oqmd_116636,oqmd_116636,-1.15661876030956,0.04749209000000021,f,2.324
stab_oqmd_116945,oqmd_116945,-0.783839476893133,0.09978450749999934,f,0
stab_oqmd_117131,oqmd_117131,-0.934124012939377,0.715681565,f,0
stab_oqmd_117262,oqmd_117262,-0.539768467500001,0.28434405625000003,f,0
stab_oqmd_11906,oqmd_11906,,0.00019575000000005005,t,0
stab_oqmd_121204,oqmd_121204,-0.377779001893132,0.045931275000000216,f,0
stab_oqmd_12625,oqmd_12625,,0,t,2.377
stab_oqmd_13641,oqmd_13641,,0.39505891999999676,f,0
stab_oqmd_13677,oqmd_13677,,0.35056746375000053,f,0
stab_oqmd_13692,oqmd_13692,,0.026306783672933154,f,0
stab_oqmd_13700,oqmd_13700,,0.12829369405172428,f,0
stab_oqmd_13703,oqmd_13703,,0.07454684562500036,f,0
stab_oqmd_13749,oqmd_13749,,0.026483308749999213,f,0
stab_oqmd_13762,oqmd_13762,,0.33123830499999607,f,0
stab_oqmd_13795,oqmd_13795,,9.189500000017503e-05,t,0
stab_oqmd_13829,oqmd_13829,,0.5263249527500005,f,0
stab_oqmd_13920,oqmd_13920,,0.171525791875,f,0
stab_oqmd_13939,oqmd_13939,,0.12686519031513224,f,0
stab_oqmd_13946,oqmd_13946,,0.9759733518750002,f,0
stab_oqmd_13989,oqmd_13989,,0.445633075,f,0
stab_oqmd_13991,oqmd_13991,,0.06763838787143195,f,0
stab_oqmd_13998,oqmd_13998,,0.10957889495489237,f,0
stab_oqmd_14013,oqmd_14013,,0.0002875899999998932,t,0
stab_oqmd_14014,oqmd_14014,,0.024972844649469916,f,0
stab_oqmd_14025,oqmd_14025,,0,t,0
stab_oqmd_14029,oqmd_14029,,0.00011275999999815767,t,0
stab_oqmd_14032,oqmd_14032,,0.04861035749999987,f,0
stab_oqmd_14034,oqmd_14034,-0.429746182006678,0.25504796000000096,f,0
stab_oqmd_14035,oqmd_14035,-0.330548885,0.23983249265624995,f,0
stab_oqmd_14036,oqmd_14036,-0.180984431666666,0.22865984999999922,f,0
stab_oqmd_14050,oqmd_14050,,0.0003854866666657131,t,0
stab_oqmd_14051,oqmd_14051,,0,t,0
stab_oqmd_14052,oqmd_14052,-1.34831096041667,0.09434697499999989,f,0
stab_oqmd_14069,oqmd_14069,,0,t,0
