calculation_id,entry_id,method,functional,calculation_type
calc_entry_Ir3Sn_104,entry_Ir3Sn_104,DFT,PBE,static
calc_entry_Ir3Ta_099,entry_Ir3Ta_099,DFT,PBE,static
calc_entry_Ir3Ti_098,entry_Ir3Ti_098,DFT,PBE,static
calc_entry_Ir3V_106,entry_Ir3V_106,DFT,PBE,static
calc_entry_Ir3Y_101,entry_Ir3Y_101,DFT,PBE,static
calc_entry_Ir3Zn_105,entry_Ir3Zn_105,DFT,PBE,static
calc_entry_Ir3Zr_107,entry_Ir3Zr_107,DFT,PBE,static
calc_entry_Ni3Al_001,entry_Ni3Al_001,DFT,PBE,static
calc_entry_Ni3Ga_002,entry_Ni3Ga_002,DFT,PBE,static
calc_entry_Ni3Ge_003,entry_Ni3Ge_003,DFT,PBE,static
calc_entry_Ni3Hf_017,entry_Ni3Hf_017,DFT,PBE,static
calc_entry_Ni3Mn_023,entry_Ni3Mn_023,DFT,PBE,static
calc_entry_Ni3Nb_013,entry_Ni3Nb_013,DFT,PBE,static
calc_entry_Ni3Sc_015,entry_Ni3Sc_015,DFT,PBE,static
calc_entry_Ni3Si_018,entry_Ni3Si_018,DFT,PBE,static
calc_entry_Ni3Sn_019,entry_Ni3Sn_019,DFT,PBE,static
calc_entry_Ni3Ta_014,entry_Ni3Ta_014,DFT,PBE,static
calc_entry_Ni3Ti_012,entry_Ni3Ti_012,DFT,PBE,static
calc_entry_Ni3V_021,entry_Ni3V_021,DFT,PBE,static
calc_entry_Ni3Y_016,entry_Ni3Y_016,DFT,PBE,static
calc_entry_Ni3Zn_020,entry_Ni3Zn_020,DFT,PBE,static
calc_entry_Ni3Zr_022,entry_Ni3Zr_022,DFT,PBE,static
calc_entry_Pd3Al_066,entry_Pd3Al_066,DFT,PBE,static
calc_entry_Pd3Ga_067,entry_Pd3Ga_067,DFT,PBE,static
calc_entry_Pd3Ge_068,entry_Pd3Ge_068,DFT,PBE,static
calc_entry_Pd3Hf_074,entry_Pd3Hf_074,DFT,PBE,static
calc_entry_Pd3Mn_080,entry_Pd3Mn_080,DFT,PBE,static
calc_entry_Pd3Nb_070,entry_Pd3Nb_070,DFT,PBE,static
calc_entry_Pd3Sc_072,entry_Pd3Sc_072,DFT,PBE,static
calc_entry_Pd3Si_075,entry_Pd3Si_075,DFT,PBE,static
calc_entry_Pd3Sn_076,entry_Pd3Sn_076,DFT,PBE,static
calc_entry_Pd3Ta_071,entry_Pd3Ta_071,DFT,PBE,static
calc_entry_Pd3Ti_069,entry_Pd3Ti_069,DFT,PBE,static
calc_entry_Pd3V_078,entry_Pd3V_078,DFT,PBE,static
calc_entry_Pd3Y_073,entry_Pd3Y_073,DFT,PBE,static
calc_entry_Pd3Zn_077,entry_Pd3Zn_077,DFT,PBE,static
calc_entry_Pd3Zr_079,entry_Pd3Zr_079,DFT,PBE,static
calc_entry_Pt3Al_007,entry_Pt3Al_007,DFT,PBE,static
calc_entry_Pt3Ga_081,entry_Pt3Ga_081,DFT,PBE,static
calc_entry_Pt3Ge_082,entry_Pt3Ge_082,DFT,PBE,static
calc_entry_Pt3Hf_088,entry_Pt3Hf_088,DFT,PBE,static
calc_entry_Pt3Mn_094,entry_Pt3Mn_094,DFT,PBE,static
calc_entry_Pt3Nb_084,entry_Pt3Nb_084,DFT,PBE,static
calc_entry_Pt3Sc_086,entry_Pt3Sc_086,DFT,PBE,static
calc_entry_Pt3Si_089,entry_Pt3Si_089,DFT,PBE,static
calc_entry_Pt3Sn_090,entry_Pt3Sn_090,DFT,PBE,static
calc_entry_Pt3Ta_085,entry_Pt3Ta_085,DFT,PBE,static
calc_entry_Pt3Ti_083,entry_Pt3Ti_083,DFT,PBE,static
calc_entry_Pt3V_092,entry_Pt3V_092,DFT,PBE,static
calc_entry_Pt3Y_087,entry_Pt3Y_087,DFT,PBE,static
calc_entry_Pt3Zn_091,entry_Pt3Zn_091,DFT,PBE,static
calc_entry_Pt3Zr_093,entry_Pt3Zr_093,DFT,PBE,static
calc_entry_Rh3Al_109,entry_Rh3Al_109,DFT,PBE,static
calc_entry_Rh3Ga_110,entry_Rh3Ga_110,DFT,PBE,static
calc_entry_Rh3Ge_111,entry_Rh3Ge_111,DFT,PBE,static
calc_entry_Rh3Hf_117,entry_Rh3Hf_117,DFT,PBE,static
calc_entry_Rh3Nb_113,entry_Rh3Nb_113,DFT,PBE,static
calc_entry_Rh3Sc_115,entry_Rh3Sc_115,DFT,PBE,static
calc_entry_Rh3Si_118,entry_Rh3Si_118,DFT,PBE,static
calc_entry_Rh3Sn_119,entry_Rh3Sn_119,DFT,PBE,static
calc_entry_Rh3Ta_114,entry_Rh3Ta_114,DFT,PBE,static
calc_entry_Rh3Ti_112,entry_Rh3Ti_112,DFT,PBE,static
calc_entry_Rh3Y_116,entry_Rh3Y_116,DFT,PBE,static
calc_entry_Rh3Zn_120,entry_Rh3Zn_120,DFT,PBE,static
calc_oqmd_100270,oqmd_100270,DFT,GGA,static
calc_oqmd_100272,oqmd_100272,DFT,GGA,static
calc_oqmd_100274,oqmd_100274,DFT,GGA,static
calc_oqmd_100276,oqmd_100276,DFT,GGA,static
calc_oqmd_100359,oqmd_100359,DFT,GGA,static
calc_oqmd_10066,oqmd_10066,DFT,GGA,static
calc_oqmd_10071,oqmd_10071,DFT,GGA,static
calc_oqmd_10077,oqmd_10077,DFT,GGA,static
calc_oqmd_10081,oqmd_10081,DFT,GGA,static
calc_oqmd_10083,oqmd_10083,DFT,GGA,static
calc_oqmd_10087,oqmd_10087,DFT,GGA,static
calc_oqmd_10102,oqmd_10102,DFT,GGA,static
calc_oqmd_10103,oqmd_10103,DFT,GGA,static
calc_oqmd_10118,oqmd_10118,DFT,GGA,static
calc_oqmd_10120,oqmd_10120,DFT,GGA,static
calc_oqmd_10122,oqmd_10122,DFT,GGA,static
calc_oqmd_10123,oqmd_10123,DFT,GGA,static
calc_oqmd_10127,oqmd_10127,DFT,GGA,static
calc_oqmd_10128,oqmd_10128,DFT,GGA,static
calc_oqmd_10182,oqmd_10182,DFT,GGA,static
calc_oqmd_10263,oqmd_10263,DFT,GGA,static
calc_oqmd_10280,oqmd_10280,DFT,GGA,static
calc_oqmd_10307,oqmd_10307,DFT,GGA,static
calc_oqmd_10315,oqmd_10315,DFT,GGA,static
calc_oqmd_10320,oqmd_10320,DFT,GGA,static
calc_oqmd_10323,oqmd_10323,DFT,GGA,static
calc_oqmd_10359,oqmd_10359,DFT,GGA,static
calc_oqmd_10361,oqmd_10361,DFT,GGA,static
calc_oqmd_10365,oqmd_10365,DFT,GGA,static
calc_oqmd_10375,oqmd_10375,DFT,GGA,static
calc_oqmd_10381,oqmd_10381,DFT,GGA,static
calc_oqmd_10401,oqmd_10401,DFT,GGA,static
calc_oqmd_104098,oqmd_104098,DFT,GGA,static
calc_oqmd_104099,oqmd_104099,DFT,GGA,static
calc_oqmd_104100,oqmd_104100,DFT,GGA,static
calc_oqmd_104101,oqmd_104101,DFT,GGA,static
calc_oqmd_104105,oqmd_104105,DFT,GGA,static
calc_oqmd_104106,oqmd_104106,DFT,GGA,static
calc_oqmd_104107,oqmd_104107,DFT,GGA,static
calc_oqmd_104109,oqmd_104109,DFT,GGA,static
calc_oqmd_10411,oqmd_10411,DFT,GGA,static
calc_oqmd_10445,oqmd_10445,DFT,GGA,static
calc_oqmd_10447,oqmd_10447,DFT,GGA,static
calc_oqmd_10454,oqmd_10454,DFT,GGA,static
calc_oqmd_10477,oqmd_10477,DFT,GGA,static
calc_oqmd_10480,oqmd_10480,DFT,GGA,static
calc_oqmd_10489,oqmd_10489,DFT,GGA,static
calc_oqmd_10494,oqmd_10494,DFT,GGA,static
calc_oqmd_10516,oqmd_10516,DFT,GGA,static
calc_oqmd_10537,oqmd_10537,DFT,GGA,static
calc_oqmd_10539,oqmd_10539,DFT,GGA,static
calc_oqmd_10542,oqmd_10542,DFT,GGA,static
calc_oqmd_10543,oqmd_10543,DFT,GGA,static
calc_oqmd_10544,oqmd_10544,DFT,GGA,static
calc_oqmd_10550,oqmd_10550,DFT,GGA,static
calc_oqmd_10558,oqmd_10558,DFT,GGA,static
calc_oqmd_10559,oqmd_10559,DFT,GGA,static
calc_oqmd_10560,oqmd_10560,DFT,GGA,static
calc_oqmd_10561,oqmd_10561,DFT,GGA,static
calc_oqmd_10570,oqmd_10570,DFT,GGA,static
calc_oqmd_10573,oqmd_10573,DFT,GGA,static
calc_oqmd_10576,oqmd_10576,DFT,GGA,static
calc_oqmd_105788,oqmd_105788,DFT,GGA,static
calc_oqmd_10587,oqmd_10587,DFT,GGA,static
calc_oqmd_10601,oqmd_10601,DFT,GGA,static
calc_oqmd_10602,oqmd_10602,DFT,GGA,static
calc_oqmd_10609,oqmd_10609,DFT,GGA,static
calc_oqmd_10611,oqmd_10611,DFT,GGA,static
calc_oqmd_10614,oqmd_10614,DFT,GGA,static
calc_oqmd_10618,oqmd_10618,DFT,GGA,static
calc_oqmd_10623,oqmd_10623,DFT,GGA,static
calc_oqmd_10632,oqmd_10632,DFT,GGA,static
calc_oqmd_10638,oqmd_10638,DFT,GGA,static
calc_oqmd_10639,oqmd_10639,DFT,GGA,static
calc_oqmd_10649,oqmd_10649,DFT,GGA,static
calc_oqmd_10655,oqmd_10655,DFT,GGA,static
calc_oqmd_10660,oqmd_10660,DFT,GGA,static
calc_oqmd_10662,oqmd_10662,DFT,GGA,static
calc_oqmd_10664,oqmd_10664,DFT,GGA,static
calc_oqmd_10665,oqmd_10665,DFT,GGA,static
calc_oqmd_10667,oqmd_10667,DFT,GGA,static
calc_oqmd_10672,oqmd_10672,DFT,GGA,static
calc_oqmd_10678,oqmd_10678,DFT,GGA,static
calc_oqmd_10680,oqmd_10680,DFT,GGA,static
calc_oqmd_10681,oqmd_10681,DFT,GGA,static
calc_oqmd_10683,oqmd_10683,DFT,GGA,static
calc_oqmd_10705,oqmd_10705,DFT,GGA,static
calc_oqmd_10711,oqmd_10711,DFT,GGA,static
calc_oqmd_10712,oqmd_10712,DFT,GGA,static
calc_oqmd_10715,oqmd_10715,DFT,GGA,static
calc_oqmd_10720,oqmd_10720,DFT,GGA,static
calc_oqmd_10729,oqmd_10729,DFT,GGA,static
calc_oqmd_10736,oqmd_10736,DFT,GGA,static
calc_oqmd_10769,oqmd_10769,DFT,GGA,static
calc_oqmd_107704,oqmd_107704,DFT,GGA,static
calc_oqmd_10775,oqmd_10775,DFT,GGA,static
calc_oqmd_10777,oqmd_10777,DFT,GGA,static
calc_oqmd_10789,oqmd_10789,DFT,GGA,static
calc_oqmd_10793,oqmd_10793,DFT,GGA,static
calc_oqmd_10797,oqmd_10797,DFT,GGA,static
calc_oqmd_10799,oqmd_10799,DFT,GGA,static
calc_oqmd_10810,oqmd_10810,DFT,GGA,static
calc_oqmd_10813,oqmd_10813,DFT,GGA,static
calc_oqmd_10814,oqmd_10814,DFT,GGA,static
calc_oqmd_10817,oqmd_10817,DFT,GGA,static
calc_oqmd_10819,oqmd_10819,DFT,GGA,static
calc_oqmd_10822,oqmd_10822,DFT,GGA,static
calc_oqmd_10823,oqmd_10823,DFT,GGA,static
calc_oqmd_10840,oqmd_10840,DFT,GGA,static
calc_oqmd_10846,oqmd_10846,DFT,GGA,static
calc_oqmd_10867,oqmd_10867,DFT,GGA,static
calc_oqmd_10876,oqmd_10876,DFT,GGA,static
calc_oqmd_10879,oqmd_10879,DFT,GGA,static
calc_oqmd_10894,oqmd_10894,DFT,GGA,static
calc_oqmd_10896,oqmd_10896,DFT,GGA,static
calc_oqmd_10900,oqmd_10900,DFT,GGA,static
calc_oqmd_10906,oqmd_10906,DFT,GGA,static
calc_oqmd_109112,oqmd_109112,DFT,GGA,static
calc_oqmd_109147,oqmd_109147,DFT,GGA,static
calc_oqmd_10917,oqmd_10917,DFT,GGA,static
calc_oqmd_10925,oqmd_10925,DFT,GGA,static
calc_oqmd_10928,oqmd_10928,DFT,GGA,static
calc_oqmd_10930,oqmd_10930,DFT,GGA,static
calc_oqmd_10936,oqmd_10936,DFT,GGA,static
calc_oqmd_10940,oqmd_10940,DFT,GGA,static
calc_oqmd_10946,oqmd_10946,DFT,GGA,static
calc_oqmd_10957,oqmd_10957,DFT,GGA,static
calc_oqmd_10958,oqmd_10958,DFT,GGA,static
calc_oqmd_10963,oqmd_10963,DFT,GGA,static
calc_oqmd_10964,oqmd_10964,DFT,GGA,static
calc_oqmd_10965,oqmd_10965,DFT,GGA,static
calc_oqmd_10969,oqmd_10969,DFT,GGA,static
calc_oqmd_10971,oqmd_10971,DFT,GGA,static
calc_oqmd_10972,oqmd_10972,DFT,GGA,static
calc_oqmd_109771,oqmd_109771,DFT,GGA,static
calc_oqmd_10986,oqmd_10986,DFT,GGA,static
calc_oqmd_10991,oqmd_10991,DFT,GGA,static
calc_oqmd_10999,oqmd_10999,DFT,GGA,static
calc_oqmd_11000,oqmd_11000,DFT,GGA,static
calc_oqmd_11003,oqmd_11003,DFT,GGA,static
calc_oqmd_11005,oqmd_11005,DFT,GGA,static
calc_oqmd_11006,oqmd_11006,DFT,GGA,static
calc_oqmd_11012,oqmd_11012,DFT,GGA,static
calc_oqmd_11019,oqmd_11019,DFT,GGA,static
calc_oqmd_11022,oqmd_11022,DFT,GGA,static
calc_oqmd_11024,oqmd_11024,DFT,GGA,static
calc_oqmd_11031,oqmd_11031,DFT,GGA,static
calc_oqmd_110794,oqmd_110794,DFT,GGA,static
calc_oqmd_110795,oqmd_110795,DFT,GGA,static
calc_oqmd_11110,oqmd_11110,DFT,GGA,static
calc_oqmd_11111,oqmd_11111,DFT,GGA,static
calc_oqmd_11114,oqmd_11114,DFT,GGA,static
calc_oqmd_11117,oqmd_11117,DFT,GGA,static
calc_oqmd_11128,oqmd_11128,DFT,GGA,static
calc_oqmd_11137,oqmd_11137,DFT,GGA,static
calc_oqmd_11138,oqmd_11138,DFT,GGA,static
calc_oqmd_11139,oqmd_11139,DFT,GGA,static
calc_oqmd_11150,oqmd_11150,DFT,GGA,static
calc_oqmd_11151,oqmd_11151,DFT,GGA,static
calc_oqmd_11153,oqmd_11153,DFT,GGA,static
calc_oqmd_11157,oqmd_11157,DFT,GGA,static
calc_oqmd_11158,oqmd_11158,DFT,GGA,static
calc_oqmd_11159,oqmd_11159,DFT,GGA,static
calc_oqmd_11161,oqmd_11161,DFT,GGA,static
calc_oqmd_11162,oqmd_11162,DFT,GGA,static
calc_oqmd_11165,oqmd_11165,DFT,GGA,static
calc_oqmd_11166,oqmd_11166,DFT,GGA,static
calc_oqmd_11168,oqmd_11168,DFT,GGA,static
calc_oqmd_11171,oqmd_11171,DFT,GGA,static
calc_oqmd_11173,oqmd_11173,DFT,GGA,static
calc_oqmd_11174,oqmd_11174,DFT,GGA,static
calc_oqmd_11175,oqmd_11175,DFT,GGA,static
calc_oqmd_11176,oqmd_11176,DFT,GGA,static
calc_oqmd_11177,oqmd_11177,DFT,GGA,static
calc_oqmd_11180,oqmd_11180,DFT,GGA,static
calc_oqmd_11181,oqmd_11181,DFT,GGA,static
calc_oqmd_11301,oqmd_11301,DFT,GGA,static
calc_oqmd_11312,oqmd_11312,DFT,GGA,static
calc_oqmd_11321,oqmd_11321,DFT,GGA,static
calc_oqmd_114593,oqmd_114593,DFT,GGA,static
calc_oqmd_11469,oqmd_11469,DFT,GGA,static
calc_oqmd_11505,oqmd_11505,DFT,GGA,static
calc_oqmd_11506,oqmd_11506,DFT,GGA,static
calc_oqmd_11507,oqmd_11507,DFT,GGA,static
calc_oqmd_11508,oqmd_11508,DFT,GGA,static
calc_oqmd_11509,oqmd_11509,DFT,GGA,static
calc_oqmd_11510,oqmd_11510,DFT,GGA,static
calc_oqmd_11511,oqmd_11511,DFT,GGA,static
calc_oqmd_11512,oqmd_11512,DFT,GGA,static
calc_oqmd_11514,oqmd_11514,DFT,GGA,static
calc_oqmd_11516,oqmd_11516,DFT,GGA,static
calc_oqmd_11517,oqmd_11517,DFT,GGA,static
calc_oqmd_11589,oqmd_11589,DFT,GGA,static
calc_oqmd_11590,oqmd_11590,DFT,GGA,static
calc_oqmd_11602,oqmd_11602,DFT,GGA,static
calc_oqmd_116025,oqmd_116025,DFT,GGA,static
calc_oqmd_116062,oqmd_116062,DFT,GGA,static
calc_oqmd_116118,oqmd_116118,DFT,GGA,static
calc_oqmd_116119,oqmd_116119,DFT,GGA,static
calc_oqmd_116120,oqmd_116120,DFT,GGA,static
calc_oqmd_116121,oqmd_116121,DFT,GGA,static
calc_oqmd_116122,oqmd_116122,DFT,GGA,static
calc_oqmd_116222,oqmd_116222,DFT,GGA,static
calc_oqmd_116234,oqmd_116234,DFT,GGA,static
calc_oqmd_116235,oqmd_116235,DFT,GGA,static
calc_oqmd_116608,oqmd_116608,DFT,GGA,static
calc_oqmd_116636,oqmd_116636,DFT,GGA,static
calc_oqmd_116945,oqmd_116945,DFT,GGA,static
calc_oqmd_117131,oqmd_117131,DFT,GGA,static
calc_oqmd_117262,oqmd_117262,DFT,GGA,static
calc_oqmd_11906,oqmd_11906,DFT,GGA,static
calc_oqmd_121204,oqmd_121204,DFT,GGA,static
calc_oqmd_12625,oqmd_12625,DFT,GGA,static
calc_oqmd_13641,oqmd_13641,DFT,GGA,static
calc_oqmd_13677,oqmd_13677,DFT,GGA,static
calc_oqmd_13692,oqmd_13692,DFT,GGA,static
calc_oqmd_13700,oqmd_13700,DFT,GGA,static
calc_oqmd_13703,oqmd_13703,DFT,GGA,static
calc_oqmd_13749,oqmd_13749,DFT,GGA,static
calc_oqmd_13762,oqmd_13762,DFT,GGA,static
calc_oqmd_13795,oqmd_13795,DFT,GGA,static
calc_oqmd_13829,oqmd_13829,DFT,GGA,static
calc_oqmd_13920,oqmd_13920,DFT,GGA,static
calc_oqmd_13939,oqmd_13939,DFT,GGA,static
calc_oqmd_13946,oqmd_13946,DFT,GGA,static
calc_oqmd_13989,oqmd_13989,DFT,GGA,static
calc_oqmd_13991,oqmd_13991,DFT,GGA,static
calc_oqmd_13998,oqmd_13998,DFT,GGA,static
calc_oqmd_14013,oqmd_14013,DFT,GGA,static
calc_oqmd_14014,oqmd_14014,DFT,GGA,static
calc_oqmd_14025,oqmd_14025,DFT,GGA,static
calc_oqmd_14029,oqmd_14029,DFT,GGA,static
calc_oqmd_14032,oqmd_14032,DFT,GGA,static
calc_oqmd_14034,oqmd_14034,DFT,GGA,static
calc_oqmd_14035,oqmd_14035,DFT,GGA,static
calc_oqmd_14036,oqmd_14036,DFT,GGA,static
calc_oqmd_14050,oqmd_14050,DFT,GGA,static
calc_oqmd_14051,oqmd_14051,DFT,GGA,static
calc_oqmd_14052,oqmd_14052,DFT,GGA,static
calc_oqmd_14069,oqmd_14069,DFT,GGA,static
calc_oqmd_14102,oqmd_14102,DFT,GGA,static
calc_oqmd_14105,oqmd_14105,DFT,GGA,static
calc_oqmd_15014,oqmd_15014,DFT,GGA,static
calc_oqmd_16686,oqmd_16686,DFT,GGA,static
calc_oqmd_17062,oqmd_17062,DFT,GGA,static
calc_oqmd_17067,oqmd_17067,DFT,GGA,static
calc_oqmd_17075,oqmd_17075,DFT,GGA,static
calc_oqmd_17084,oqmd_17084,DFT,GGA,static
calc_oqmd_17090,oqmd_17090,DFT,GGA,static
calc_oqmd_17121,oqmd_17121,DFT,GGA,static
calc_oqmd_17159,oqmd_17159,DFT,GGA,static
calc_oqmd_17179,oqmd_17179,DFT,GGA,static
calc_oqmd_17183,oqmd_17183,DFT,GGA,static
calc_oqmd_17187,oqmd_17187,DFT,GGA,static
calc_oqmd_17190,oqmd_17190,DFT,GGA,static
calc_oqmd_17196,oqmd_17196,DFT,GGA,static
calc_oqmd_17206,oqmd_17206,DFT,GGA,static
calc_oqmd_17207,oqmd_17207,DFT,GGA,static
calc_oqmd_17212,oqmd_17212,DFT,GGA,static
calc_oqmd_17221,oqmd_17221,DFT,GGA,static
calc_oqmd_17227,oqmd_17227,DFT,GGA,static
calc_oqmd_17231,oqmd_17231,DFT,GGA,static
calc_oqmd_17248,oqmd_17248,DFT,GGA,static
calc_oqmd_17263,oqmd_17263,DFT,GGA,static
calc_oqmd_17264,oqmd_17264,DFT,GGA,static
calc_oqmd_17283,oqmd_17283,DFT,GGA,static
calc_oqmd_17286,oqmd_17286,DFT,GGA,static
calc_oqmd_17297,oqmd_17297,DFT,GGA,static
calc_oqmd_17300,oqmd_17300,DFT,GGA,static
calc_oqmd_17303,oqmd_17303,DFT,GGA,static
calc_oqmd_17320,oqmd_17320,DFT,GGA,static
calc_oqmd_17333,oqmd_17333,DFT,GGA,static
calc_oqmd_17342,oqmd_17342,DFT,GGA,static
calc_oqmd_17351,oqmd_17351,DFT,GGA,static
calc_oqmd_17352,oqmd_17352,DFT,GGA,static
calc_oqmd_17354,oqmd_17354,DFT,GGA,static
calc_oqmd_17360,oqmd_17360,DFT,GGA,static
calc_oqmd_17363,oqmd_17363,DFT,GGA,static
calc_oqmd_17380,oqmd_17380,DFT,GGA,static
calc_oqmd_17383,oqmd_17383,DFT,GGA,static
calc_oqmd_17386,oqmd_17386,DFT,GGA,static
calc_oqmd_17387,oqmd_17387,DFT,GGA,static
calc_oqmd_17389,oqmd_17389,DFT,GGA,static
calc_oqmd_17392,oqmd_17392,DFT,GGA,static
calc_oqmd_17397,oqmd_17397,DFT,GGA,static
calc_oqmd_17402,oqmd_17402,DFT,GGA,static
calc_oqmd_17404,oqmd_17404,DFT,GGA,static
calc_oqmd_17406,oqmd_17406,DFT,GGA,static
calc_oqmd_17407,oqmd_17407,DFT,GGA,static
calc_oqmd_17413,oqmd_17413,DFT,GGA,static
calc_oqmd_17419,oqmd_17419,DFT,GGA,static
calc_oqmd_17424,oqmd_17424,DFT,GGA,static
calc_oqmd_17427,oqmd_17427,DFT,GGA,static
calc_oqmd_17429,oqmd_17429,DFT,GGA,static
calc_oqmd_17432,oqmd_17432,DFT,GGA,static
calc_oqmd_17437,oqmd_17437,DFT,GGA,static
calc_oqmd_17439,oqmd_17439,DFT,GGA,static
calc_oqmd_17440,oqmd_17440,DFT,GGA,static
calc_oqmd_17441,oqmd_17441,DFT,GGA,static
calc_oqmd_17443,oqmd_17443,DFT,GGA,static
calc_oqmd_17446,oqmd_17446,DFT,GGA,static
calc_oqmd_17450,oqmd_17450,DFT,GGA,static
calc_oqmd_17454,oqmd_17454,DFT,GGA,static
calc_oqmd_17455,oqmd_17455,DFT,GGA,static
calc_oqmd_17457,oqmd_17457,DFT,GGA,static
calc_oqmd_17459,oqmd_17459,DFT,GGA,static
calc_oqmd_17460,oqmd_17460,DFT,GGA,static
calc_oqmd_17465,oqmd_17465,DFT,GGA,static
calc_oqmd_17467,oqmd_17467,DFT,GGA,static
calc_oqmd_17468,oqmd_17468,DFT,GGA,static
calc_oqmd_17472,oqmd_17472,DFT,GGA,static
calc_oqmd_17474,oqmd_17474,DFT,GGA,static
calc_oqmd_17477,oqmd_17477,DFT,GGA,static
calc_oqmd_17479,oqmd_17479,DFT,GGA,static
calc_oqmd_17480,oqmd_17480,DFT,GGA,static
calc_oqmd_17481,oqmd_17481,DFT,GGA,static
calc_oqmd_17484,oqmd_17484,DFT,GGA,static
calc_oqmd_17486,oqmd_17486,DFT,GGA,static
calc_oqmd_17492,oqmd_17492,DFT,GGA,static
calc_oqmd_17502,oqmd_17502,DFT,GGA,static
calc_oqmd_17504,oqmd_17504,DFT,GGA,static
calc_oqmd_17507,oqmd_17507,DFT,GGA,static
calc_oqmd_17508,oqmd_17508,DFT,GGA,static
