property_id,calculation_id,property_name,value,unit
prop_entry_Co3Zn_032_shear,calc_entry_Co3Zn_032,shear_modulus,95,GPa
prop_entry_Co3Zr_034_bulk,calc_entry_Co3Zr_034,bulk_modulus,182,GPa
prop_entry_Co3Zr_034_shear,calc_entry_Co3Zr_034,shear_modulus,105,GPa
prop_entry_Cu3Al_051_bulk,calc_entry_Cu3Al_051,bulk_modulus,194,GPa
prop_entry_Cu3Al_051_shear,calc_entry_Cu3Al_051,shear_modulus,70,GPa
prop_entry_Cu3Ga_052_bulk,calc_entry_Cu3Ga_052,bulk_modulus,200,GPa
prop_entry_Cu3Ga_052_shear,calc_entry_Cu3Ga_052,shear_modulus,75,GPa
prop_entry_Cu3Ge_053_bulk,calc_entry_Cu3Ge_053,bulk_modulus,206,GPa
prop_entry_Cu3Ge_053_shear,calc_entry_Cu3Ge_053,shear_modulus,80,GPa
prop_entry_Cu3Hf_059_bulk,calc_entry_Cu3Hf_059,bulk_modulus,152,GPa
prop_entry_Cu3Hf_059_shear,calc_entry_Cu3Hf_059,shear_modulus,110,GPa
prop_entry_Cu3Mn_065_bulk,calc_entry_Cu3Mn_065,bulk_modulus,188,GPa
prop_entry_Cu3Mn_065_shear,calc_entry_Cu3Mn_065,shear_modulus,80,GPa
prop_entry_Cu3Nb_055_bulk,calc_entry_Cu3Nb_055,bulk_modulus,218,GPa
prop_entry_Cu3Nb_055_shear,calc_entry_Cu3Nb_055,shear_modulus,90,GPa
prop_entry_Cu3Sc_057_bulk,calc_entry_Cu3Sc_057,bulk_modulus,140,GPa
prop_entry_Cu3Sc_057_shear,calc_entry_Cu3Sc_057,shear_modulus,100,GPa
prop_entry_Cu3Si_060_bulk,calc_entry_Cu3Si_060,bulk_modulus,158,GPa
prop_entry_Cu3Si_060_shear,calc_entry_Cu3Si_060,shear_modulus,55,GPa
prop_entry_Cu3Sn_061_bulk,calc_entry_Cu3Sn_061,bulk_modulus,164,GPa
prop_entry_Cu3Sn_061_shear,calc_entry_Cu3Sn_061,shear_modulus,60,GPa
prop_entry_Cu3Ta_056_bulk,calc_entry_Cu3Ta_056,bulk_modulus,224,GPa
prop_entry_Cu3Ta_056_shear,calc_entry_Cu3Ta_056,shear_modulus,95,GPa
prop_entry_Cu3Ti_054_bulk,calc_entry_Cu3Ti_054,bulk_modulus,212,GPa
prop_entry_Cu3Ti_054_shear,calc_entry_Cu3Ti_054,shear_modulus,85,GPa
prop_entry_Cu3V_063_bulk,calc_entry_Cu3V_063,bulk_modulus,176,GPa
prop_entry_Cu3V_063_shear,calc_entry_Cu3V_063,shear_modulus,70,GPa
prop_entry_Cu3Y_058_bulk,calc_entry_Cu3Y_058,bulk_modulus,146,GPa
prop_entry_Cu3Y_058_shear,calc_entry_Cu3Y_058,shear_modulus,105,GPa
prop_entry_Cu3Zn_062_bulk,calc_entry_Cu3Zn_062,bulk_modulus,170,GPa
prop_entry_Cu3Zn_062_shear,calc_entry_Cu3Zn_062,shear_modulus,65,GPa
prop_entry_Cu3Zr_064_bulk,calc_entry_Cu3Zr_064,bulk_modulus,182,GPa
prop_entry_Cu3Zr_064_shear,calc_entry_Cu3Zr_064,shear_modulus,75,GPa
prop_entry_Fe3Al_036_bulk,calc_entry_Fe3Al_036,bulk_modulus,194,GPa
prop_entry_Fe3Al_036_shear,calc_entry_Fe3Al_036,shear_modulus,55,GPa
prop_entry_Fe3Ga_037_bulk,calc_entry_Fe3Ga_037,bulk_modulus,200,GPa
prop_entry_Fe3Ga_037_shear,calc_entry_Fe3Ga_037,shear_modulus,60,GPa
prop_entry_Fe3Ge_038_bulk,calc_entry_Fe3Ge_038,bulk_modulus,206,GPa
prop_entry_Fe3Ge_038_shear,calc_entry_Fe3Ge_038,shear_modulus,65,GPa
prop_entry_Fe3Hf_044_bulk,calc_entry_Fe3Hf_044,bulk_modulus,152,GPa
prop_entry_Fe3Hf_044_shear,calc_entry_Fe3Hf_044,shear_modulus,95,GPa
prop_entry_Fe3Mn_050_bulk,calc_entry_Fe3Mn_050,bulk_modulus,188,GPa
prop_entry_Fe3Mn_050_shear,calc_entry_Fe3Mn_050,shear_modulus,65,GPa
prop_entry_Fe3Nb_040_bulk,calc_entry_Fe3Nb_040,bulk_modulus,218,GPa
prop_entry_Fe3Nb_040_shear,calc_entry_Fe3Nb_040,shear_modulus,75,GPa
prop_entry_Fe3Sc_042_bulk,calc_entry_Fe3Sc_042,bulk_modulus,140,GPa
prop_entry_Fe3Sc_042_shear,calc_entry_Fe3Sc_042,shear_modulus,85,GPa
prop_entry_Fe3Si_045_bulk,calc_entry_Fe3Si_045,bulk_modulus,158,GPa
prop_entry_Fe3Si_045_shear,calc_entry_Fe3Si_045,shear_modulus,100,GPa
prop_entry_Fe3Sn_046_bulk,calc_entry_Fe3Sn_046,bulk_modulus,164,GPa
prop_entry_Fe3Sn_046_shear,calc_entry_Fe3Sn_046,shear_modulus,105,GPa
prop_entry_Fe3Ta_041_bulk,calc_entry_Fe3Ta_041,bulk_modulus,224,GPa
prop_entry_Fe3Ta_041_shear,calc_entry_Fe3Ta_041,shear_modulus,80,GPa
prop_entry_Fe3Ti_039_bulk,calc_entry_Fe3Ti_039,bulk_modulus,212,GPa
prop_entry_Fe3Ti_039_shear,calc_entry_Fe3Ti_039,shear_modulus,70,GPa
prop_entry_Fe3V_048_bulk,calc_entry_Fe3V_048,bulk_modulus,176,GPa
prop_entry_Fe3V_048_shear,calc_entry_Fe3V_048,shear_modulus,55,GPa
prop_entry_Fe3Y_043_bulk,calc_entry_Fe3Y_043,bulk_modulus,146,GPa
prop_entry_Fe3Y_043_shear,calc_entry_Fe3Y_043,shear_modulus,90,GPa
prop_entry_Fe3Zn_047_bulk,calc_entry_Fe3Zn_047,bulk_modulus,170,GPa
prop_entry_Fe3Zn_047_shear,calc_entry_Fe3Zn_047,shear_modulus,110,GPa
prop_entry_Fe3Zr_049_bulk,calc_entry_Fe3Zr_049,bulk_modulus,182,GPa
prop_entry_Fe3Zr_049_shear,calc_entry_Fe3Zr_049,shear_modulus,60,GPa
prop_entry_Ir3Al_095_bulk,calc_entry_Ir3Al_095,bulk_modulus,188,GPa
prop_entry_Ir3Al_095_shear,calc_entry_Ir3Al_095,shear_modulus,110,GPa
prop_entry_Ir3Ga_096_bulk,calc_entry_Ir3Ga_096,bulk_modulus,194,GPa
prop_entry_Ir3Ga_096_shear,calc_entry_Ir3Ga_096,shear_modulus,55,GPa
prop_entry_Ir3Ge_097_bulk,calc_entry_Ir3Ge_097,bulk_modulus,200,GPa
prop_entry_Ir3Ge_097_shear,calc_entry_Ir3Ge_097,shear_modulus,60,GPa
prop_entry_Ir3Hf_102_bulk,calc_entry_Ir3Hf_102,bulk_modulus,140,GPa
prop_entry_Ir3Hf_102_shear,calc_entry_Ir3Hf_102,shear_modulus,85,GPa
prop_entry_Ir3Mn_108_bulk,calc_entry_Ir3Mn_108,bulk_modulus,176,GPa
prop_entry_Ir3Mn_108_shear,calc_entry_Ir3Mn_108,shear_modulus,55,GPa
prop_entry_Ir3Nb_008_bulk,calc_entry_Ir3Nb_008,bulk_modulus,220,GPa
prop_entry_Ir3Nb_008_shear,calc_entry_Ir3Nb_008,shear_modulus,100,GPa
prop_entry_Ir3Sc_100_bulk,calc_entry_Ir3Sc_100,bulk_modulus,218,GPa
prop_entry_Ir3Sc_100_shear,calc_entry_Ir3Sc_100,shear_modulus,75,GPa
prop_entry_Ir3Si_103_bulk,calc_entry_Ir3Si_103,bulk_modulus,146,GPa
prop_entry_Ir3Si_103_shear,calc_entry_Ir3Si_103,shear_modulus,90,GPa
prop_entry_Ir3Sn_104_bulk,calc_entry_Ir3Sn_104,bulk_modulus,152,GPa
prop_entry_Ir3Sn_104_shear,calc_entry_Ir3Sn_104,shear_modulus,95,GPa
prop_entry_Ir3Ta_099_bulk,calc_entry_Ir3Ta_099,bulk_modulus,212,GPa
prop_entry_Ir3Ta_099_shear,calc_entry_Ir3Ta_099,shear_modulus,70,GPa
prop_entry_Ir3Ti_098_bulk,calc_entry_Ir3Ti_098,bulk_modulus,206,GPa
prop_entry_Ir3Ti_098_shear,calc_entry_Ir3Ti_098,shear_modulus,65,GPa
prop_entry_Ir3V_106_bulk,calc_entry_Ir3V_106,bulk_modulus,164,GPa
prop_entry_Ir3V_106_shear,calc_entry_Ir3V_106,shear_modulus,105,GPa
prop_entry_Ir3Y_101_bulk,calc_entry_Ir3Y_101,bulk_modulus,224,GPa
prop_entry_Ir3Y_101_shear,calc_entry_Ir3Y_101,shear_modulus,80,GPa
prop_entry_Ir3Zn_105_bulk,calc_entry_Ir3Zn_105,bulk_modulus,158,GPa
prop_entry_Ir3Zn_105_shear,calc_entry_Ir3Zn_105,shear_modulus,100,GPa
prop_entry_Ir3Zr_107_bulk,calc_entry_Ir3Zr_107,bulk_modulus,170,GPa
prop_entry_Ir3Zr_107_shear,calc_entry_Ir3Zr_107,shear_modulus,110,GPa
prop_entry_Ni3Al_001_bulk,calc_entry_Ni3Al_001,bulk_modulus,180,GPa
prop_entry_Ni3Al_001_shear,calc_entry_Ni3Al_001,shear_modulus,85,GPa
prop_entry_Ni3Ga_002_bulk,calc_entry_Ni3Ga_002,bulk_modulus,165,GPa
prop_entry_Ni3Ga_002_shear,calc_entry_Ni3Ga_002,shear_modulus,74,GPa
prop_entry_Ni3Ge_003_bulk,calc_entry_Ni3Ge_003,bulk_modulus,175,GPa
prop_entry_Ni3Ge_003_shear,calc_entry_Ni3Ge_003,shear_modulus,78,GPa
prop_entry_Ni3Hf_017_bulk,calc_entry_Ni3Hf_017,bulk_modulus,170,GPa
prop_entry_Ni3Hf_017_shear,calc_entry_Ni3Hf_017,shear_modulus,80,GPa
prop_entry_Ni3Mn_023_bulk,calc_entry_Ni3Mn_023,bulk_modulus,206,GPa
prop_entry_Ni3Mn_023_shear,calc_entry_Ni3Mn_023,shear_modulus,110,GPa
prop_entry_Ni3Nb_013_bulk,calc_entry_Ni3Nb_013,bulk_modulus,146,GPa
prop_entry_Ni3Nb_013_shear,calc_entry_Ni3Nb_013,shear_modulus,60,GPa
prop_entry_Ni3Sc_015_bulk,calc_entry_Ni3Sc_015,bulk_modulus,158,GPa
prop_entry_Ni3Sc_015_shear,calc_entry_Ni3Sc_015,shear_modulus,70,GPa
prop_entry_Ni3Si_018_bulk,calc_entry_Ni3Si_018,bulk_modulus,176,GPa
prop_entry_Ni3Si_018_shear,calc_entry_Ni3Si_018,shear_modulus,85,GPa
prop_entry_Ni3Sn_019_bulk,calc_entry_Ni3Sn_019,bulk_modulus,182,GPa
prop_entry_Ni3Sn_019_shear,calc_entry_Ni3Sn_019,shear_modulus,90,GPa
prop_entry_Ni3Ta_014_bulk,calc_entry_Ni3Ta_014,bulk_modulus,152,GPa
prop_entry_Ni3Ta_014_shear,calc_entry_Ni3Ta_014,shear_modulus,65,GPa
prop_entry_Ni3Ti_012_bulk,calc_entry_Ni3Ti_012,bulk_modulus,140,GPa
prop_entry_Ni3Ti_012_shear,calc_entry_Ni3Ti_012,shear_modulus,55,GPa
prop_entry_Ni3V_021_bulk,calc_entry_Ni3V_021,bulk_modulus,194,GPa
prop_entry_Ni3V_021_shear,calc_entry_Ni3V_021,shear_modulus,100,GPa
prop_entry_Ni3Y_016_bulk,calc_entry_Ni3Y_016,bulk_modulus,164,GPa
prop_entry_Ni3Y_016_shear,calc_entry_Ni3Y_016,shear_modulus,75,GPa
prop_entry_Ni3Zn_020_bulk,calc_entry_Ni3Zn_020,bulk_modulus,188,GPa
prop_entry_Ni3Zn_020_shear,calc_entry_Ni3Zn_020,shear_modulus,95,GPa
prop_entry_Ni3Zr_022_bulk,calc_entry_Ni3Zr_022,bulk_modulus,200,GPa
prop_entry_Ni3Zr_022_shear,calc_entry_Ni3Zr_022,shear_modulus,105,GPa
prop_entry_Pd3Al_066_bulk,calc_entry_Pd3Al_066,bulk_modulus,194,GPa
prop_entry_Pd3Al_066_shear,calc_entry_Pd3Al_066,shear_modulus,85,GPa
prop_entry_Pd3Ga_067_bulk,calc_entry_Pd3Ga_067,bulk_modulus,200,GPa
prop_entry_Pd3Ga_067_shear,calc_entry_Pd3Ga_067,shear_modulus,90,GPa
prop_entry_Pd3Ge_068_bulk,calc_entry_Pd3Ge_068,bulk_modulus,206,GPa
prop_entry_Pd3Ge_068_shear,calc_entry_Pd3Ge_068,shear_modulus,95,GPa
prop_entry_Pd3Hf_074_bulk,calc_entry_Pd3Hf_074,bulk_modulus,152,GPa
prop_entry_Pd3Hf_074_shear,calc_entry_Pd3Hf_074,shear_modulus,65,GPa
prop_entry_Pd3Mn_080_bulk,calc_entry_Pd3Mn_080,bulk_modulus,188,GPa
prop_entry_Pd3Mn_080_shear,calc_entry_Pd3Mn_080,shear_modulus,95,GPa
prop_entry_Pd3Nb_070_bulk,calc_entry_Pd3Nb_070,bulk_modulus,218,GPa
prop_entry_Pd3Nb_070_shear,calc_entry_Pd3Nb_070,shear_modulus,105,GPa
prop_entry_Pd3Sc_072_bulk,calc_entry_Pd3Sc_072,bulk_modulus,140,GPa
prop_entry_Pd3Sc_072_shear,calc_entry_Pd3Sc_072,shear_modulus,55,GPa
prop_entry_Pd3Si_075_bulk,calc_entry_Pd3Si_075,bulk_modulus,158,GPa
prop_entry_Pd3Si_075_shear,calc_entry_Pd3Si_075,shear_modulus,70,GPa
prop_entry_Pd3Sn_076_bulk,calc_entry_Pd3Sn_076,bulk_modulus,164,GPa
prop_entry_Pd3Sn_076_shear,calc_entry_Pd3Sn_076,shear_modulus,75,GPa
prop_entry_Pd3Ta_071_bulk,calc_entry_Pd3Ta_071,bulk_modulus,224,GPa
prop_entry_Pd3Ta_071_shear,calc_entry_Pd3Ta_071,shear_modulus,110,GPa
prop_entry_Pd3Ti_069_bulk,calc_entry_Pd3Ti_069,bulk_modulus,212,GPa
prop_entry_Pd3Ti_069_shear,calc_entry_Pd3Ti_069,shear_modulus,100,GPa
prop_entry_Pd3V_078_bulk,calc_entry_Pd3V_078,bulk_modulus,176,GPa
prop_entry_Pd3V_078_shear,calc_entry_Pd3V_078,shear_modulus,85,GPa
prop_entry_Pd3Y_073_bulk,calc_entry_Pd3Y_073,bulk_modulus,146,GPa
prop_entry_Pd3Y_073_shear,calc_entry_Pd3Y_073,shear_modulus,60,GPa
prop_entry_Pd3Zn_077_bulk,calc_entry_Pd3Zn_077,bulk_modulus,170,GPa
prop_entry_Pd3Zn_077_shear,calc_entry_Pd3Zn_077,shear_modulus,80,GPa
prop_entry_Pd3Zr_079_bulk,calc_entry_Pd3Zr_079,bulk_modulus,182,GPa
prop_entry_Pd3Zr_079_shear,calc_entry_Pd3Zr_079,shear_modulus,90,GPa
prop_entry_Pt3Al_007_bulk,calc_entry_Pt3Al_007,bulk_modulus,210,GPa
prop_entry_Pt3Al_007_shear,calc_entry_Pt3Al_007,shear_modulus,95,GPa
prop_entry_Pt3Ga_081_bulk,calc_entry_Pt3Ga_081,bulk_modulus,194,GPa
prop_entry_Pt3Ga_081_shear,calc_entry_Pt3Ga_081,shear_modulus,100,GPa
prop_entry_Pt3Ge_082_bulk,calc_entry_Pt3Ge_082,bulk_modulus,200,GPa
prop_entry_Pt3Ge_082_shear,calc_entry_Pt3Ge_082,shear_modulus,105,GPa
prop_entry_Pt3Hf_088_bulk,calc_entry_Pt3Hf_088,bulk_modulus,146,GPa
prop_entry_Pt3Hf_088_shear,calc_entry_Pt3Hf_088,shear_modulus,75,GPa
prop_entry_Pt3Mn_094_bulk,calc_entry_Pt3Mn_094,bulk_modulus,182,GPa
prop_entry_Pt3Mn_094_shear,calc_entry_Pt3Mn_094,shear_modulus,105,GPa
prop_entry_Pt3Nb_084_bulk,calc_entry_Pt3Nb_084,bulk_modulus,212,GPa
prop_entry_Pt3Nb_084_shear,calc_entry_Pt3Nb_084,shear_modulus,55,GPa
prop_entry_Pt3Sc_086_bulk,calc_entry_Pt3Sc_086,bulk_modulus,224,GPa
prop_entry_Pt3Sc_086_shear,calc_entry_Pt3Sc_086,shear_modulus,65,GPa
prop_entry_Pt3Si_089_bulk,calc_entry_Pt3Si_089,bulk_modulus,152,GPa
prop_entry_Pt3Si_089_shear,calc_entry_Pt3Si_089,shear_modulus,80,GPa
prop_entry_Pt3Sn_090_bulk,calc_entry_Pt3Sn_090,bulk_modulus,158,GPa
prop_entry_Pt3Sn_090_shear,calc_entry_Pt3Sn_090,shear_modulus,85,GPa
prop_entry_Pt3Ta_085_bulk,calc_entry_Pt3Ta_085,bulk_modulus,218,GPa
prop_entry_Pt3Ta_085_shear,calc_entry_Pt3Ta_085,shear_modulus,60,GPa
prop_entry_Pt3Ti_083_bulk,calc_entry_Pt3Ti_083,bulk_modulus,206,GPa
prop_entry_Pt3Ti_083_shear,calc_entry_Pt3Ti_083,shear_modulus,110,GPa
prop_entry_Pt3V_092_bulk,calc_entry_Pt3V_092,bulk_modulus,170,GPa
prop_entry_Pt3V_092_shear,calc_entry_Pt3V_092,shear_modulus,95,GPa
prop_entry_Pt3Y_087_bulk,calc_entry_Pt3Y_087,bulk_modulus,140,GPa
prop_entry_Pt3Y_087_shear,calc_entry_Pt3Y_087,shear_modulus,70,GPa
prop_entry_Pt3Zn_091_bulk,calc_entry_Pt3Zn_091,bulk_modulus,164,GPa
prop_entry_Pt3Zn_091_shear,calc_entry_Pt3Zn_091,shear_modulus,90,GPa
prop_entry_Pt3Zr_093_bulk,calc_entry_Pt3Zr_093,bulk_modulus,176,GPa
prop_entry_Pt3Zr_093_shear,calc_entry_Pt3Zr_093,shear_modulus,100,GPa
prop_entry_Rh3Al_109_bulk,calc_entry_Rh3Al_109,bulk_modulus,182,GPa
prop_entry_Rh3Al_109_shear,calc_entry_Rh3Al_109,shear_modulus,60,GPa
prop_entry_Rh3Ga_110_bulk,calc_entry_Rh3Ga_110,bulk_modulus,188,GPa
prop_entry_Rh3Ga_110_shear,calc_entry_Rh3Ga_110,shear_modulus,65,GPa
prop_entry_Rh3Ge_111_bulk,calc_entry_Rh3Ge_111,bulk_modulus,194,GPa
prop_entry_Rh3Ge_111_shear,calc_entry_Rh3Ge_111,shear_modulus,70,GPa
prop_entry_Rh3Hf_117_bulk,calc_entry_Rh3Hf_117,bulk_modulus,140,GPa
prop_entry_Rh3Hf_117_shear,calc_entry_Rh3Hf_117,shear_modulus,100,GPa
prop_entry_Rh3Nb_113_bulk,calc_entry_Rh3Nb_113,bulk_modulus,206,GPa
prop_entry_Rh3Nb_113_shear,calc_entry_Rh3Nb_113,shear_modulus,80,GPa
prop_entry_Rh3Sc_115_bulk,calc_entry_Rh3Sc_115,bulk_modulus,218,GPa
prop_entry_Rh3Sc_115_shear,calc_entry_Rh3Sc_115,shear_modulus,90,GPa
prop_entry_Rh3Si_118_bulk,calc_entry_Rh3Si_118,bulk_modulus,146,GPa
prop_entry_Rh3Si_118_shear,calc_entry_Rh3Si_118,shear_modulus,105,GPa
prop_entry_Rh3Sn_119_bulk,calc_entry_Rh3Sn_119,bulk_modulus,152,GPa
prop_entry_Rh3Sn_119_shear,calc_entry_Rh3Sn_119,shear_modulus,110,GPa
prop_entry_Rh3Ta_114_bulk,calc_entry_Rh3Ta_114,bulk_modulus,212,GPa
prop_entry_Rh3Ta_114_shear,calc_entry_Rh3Ta_114,shear_modulus,85,GPa
prop_entry_Rh3Ti_112_bulk,calc_entry_Rh3Ti_112,bulk_modulus,200,GPa
prop_entry_Rh3Ti_112_shear,calc_entry_Rh3Ti_112,shear_modulus,75,GPa
prop_entry_Rh3Y_116_bulk,calc_entry_Rh3Y_116,bulk_modulus,224,GPa
prop_entry_Rh3Y_116_shear,calc_entry_Rh3Y_116,shear_modulus,95,GPa
prop_entry_Rh3Zn_120_bulk,calc_entry_Rh3Zn_120,bulk_modulus,158,GPa
prop_entry_Rh3Zn_120_shear,calc_entry_Rh3Zn_120,shear_modulus,55,GPa
