structure_id,entry_id,prototype,strukturbericht,formula_type,space_group_number,crystal_system,lattice_a,lattice_b,lattice_c,volume_per_atom,space_group
struct_entry_Ni3Hf_017,entry_Ni3Hf_017,L12,L12,A3B,221,cubic,3.5,3.5,3.5,10.72,
struct_entry_Ni3Mn_023,entry_Ni3Mn_023,L12,L12,A3B,221,cubic,3.62,3.62,3.62,11.86,
struct_entry_Ni3Nb_013,entry_Ni3Nb_013,L12,L12,A3B,221,cubic,3.42,3.42,3.42,10,
struct_entry_Ni3Sc_015,entry_Ni3Sc_015,L12,L12,A3B,221,cubic,3.46,3.46,3.46,10.36,
struct_entry_Ni3Si_018,entry_Ni3Si_018,L12,L12,A3B,221,cubic,3.52,3.52,3.52,10.9,
struct_entry_Ni3Sn_019,entry_Ni3Sn_019,L12,L12,A3B,221,cubic,3.54,3.54,3.54,11.09,
struct_entry_Ni3Ta_014,entry_Ni3Ta_014,L12,L12,A3B,221,cubic,3.44,3.44,3.44,10.18,
struct_entry_Ni3Ti_012,entry_Ni3Ti_012,L12,L12,A3B,221,cubic,3.4,3.4,3.4,9.83,
struct_entry_Ni3V_021,entry_Ni3V_021,L12,L12,A3B,221,cubic,3.58,3.58,3.58,11.47,
struct_entry_Ni3Y_016,entry_Ni3Y_016,L12,L12,A3B,221,cubic,3.48,3.48,3.48,10.54,
struct_entry_Ni3Zn_020,entry_Ni3Zn_020,L12,L12,A3B,221,cubic,3.56,3.56,3.56,11.28,
struct_entry_Ni3Zr_022,entry_Ni3Zr_022,L12,L12,A3B,221,cubic,3.6,3.6,3.6,11.66,
struct_entry_Pd3Al_066,entry_Pd3Al_066,L12,L12,A3B,221,cubic,3.78,3.78,3.78,13.5,
struct_entry_Pd3Ga_067,entry_Pd3Ga_067,L12,L12,A3B,221,cubic,3.8,3.8,3.8,13.72,
struct_entry_Pd3Ge_068,entry_Pd3Ge_068,L12,L12,A3B,221,cubic,3.82,3.82,3.82,13.94,
struct_entry_Pd3Hf_074,entry_Pd3Hf_074,L12,L12,A3B,221,cubic,3.94,3.94,3.94,15.29,
struct_entry_Pd3Mn_080,entry_Pd3Mn_080,L12,L12,A3B,221,cubic,4.06,4.06,4.06,16.73,
struct_entry_Pd3Nb_070,entry_Pd3Nb_070,L12,L12,A3B,221,cubic,3.86,3.86,3.86,14.38,
struct_entry_Pd3Sc_072,entry_Pd3Sc_072,L12,L12,A3B,221,cubic,3.9,3.9,3.9,14.83,
struct_entry_Pd3Si_075,entry_Pd3Si_075,L12,L12,A3B,221,cubic,3.96,3.96,3.96,15.52,
struct_entry_Pd3Sn_076,entry_Pd3Sn_076,L12,L12,A3B,221,cubic,3.98,3.98,3.98,15.76,
struct_entry_Pd3Ta_071,entry_Pd3Ta_071,L12,L12,A3B,221,cubic,3.88,3.88,3.88,14.6,
struct_entry_Pd3Ti_069,entry_Pd3Ti_069,L12,L12,A3B,221,cubic,3.84,3.84,3.84,14.16,
struct_entry_Pd3V_078,entry_Pd3V_078,L12,L12,A3B,221,cubic,4.02,4.02,4.02,16.24,
struct_entry_Pd3Y_073,entry_Pd3Y_073,L12,L12,A3B,221,cubic,3.92,3.92,3.92,15.06,
struct_entry_Pd3Zn_077,entry_Pd3Zn_077,L12,L12,A3B,221,cubic,4,4,4,16,
struct_entry_Pd3Zr_079,entry_Pd3Zr_079,L12,L12,A3B,221,cubic,4.04,4.04,4.04,16.48,
struct_entry_Pt3Al_007,entry_Pt3Al_007,L12,L12,A3B,221,cubic,3.9,3.9,3.9,14.83,
struct_entry_Pt3Ga_081,entry_Pt3Ga_081,L12,L12,A3B,221,cubic,4.08,4.08,4.08,16.98,
struct_entry_Pt3Ge_082,entry_Pt3Ge_082,L12,L12,A3B,221,cubic,3.4,3.4,3.4,9.83,
struct_entry_Pt3Hf_088,entry_Pt3Hf_088,L12,L12,A3B,221,cubic,3.52,3.52,3.52,10.9,
struct_entry_Pt3Mn_094,entry_Pt3Mn_094,L12,L12,A3B,221,cubic,3.64,3.64,3.64,12.06,
struct_entry_Pt3Nb_084,entry_Pt3Nb_084,L12,L12,A3B,221,cubic,3.44,3.44,3.44,10.18,
struct_entry_Pt3Sc_086,entry_Pt3Sc_086,L12,L12,A3B,221,cubic,3.48,3.48,3.48,10.54,
struct_entry_Pt3Si_089,entry_Pt3Si_089,L12,L12,A3B,221,cubic,3.54,3.54,3.54,11.09,
struct_entry_Pt3Sn_090,entry_Pt3Sn_090,L12,L12,A3B,221,cubic,3.56,3.56,3.56,11.28,
struct_entry_Pt3Ta_085,entry_Pt3Ta_085,L12,L12,A3B,221,cubic,3.46,3.46,3.46,10.36,
struct_entry_Pt3Ti_083,entry_Pt3Ti_083,L12,L12,A3B,221,cubic,3.42,3.42,3.42,10,
struct_entry_Pt3V_092,entry_Pt3V_092,L12,L12,A3B,221,cubic,3.6,3.6,3.6,11.66,
struct_entry_Pt3Y_087,entry_Pt3Y_087,L12,L12,A3B,221,cubic,3.5,3.5,3.5,10.72,
struct_entry_Pt3Zn_091,entry_Pt3Zn_091,L12,L12,A3B,221,cubic,3.58,3.58,3.58,11.47,
struct_entry_Pt3Zr_093,entry_Pt3Zr_093,L12,L12,A3B,221,cubic,3.62,3.62,3.62,11.86,
struct_entry_Rh3Al_109,entry_Rh3Al_109,L12,L12,A3B,221,cubic,3.94,3.94,3.94,15.29,
struct_entry_Rh3Ga_110,entry_Rh3Ga_110,L12,L12,A3B,221,cubic,3.96,3.96,3.96,15.52,
struct_entry_Rh3Ge_111,entry_Rh3Ge_111,L12,L12,A3B,221,cubic,3.98,3.98,3.98,15.76,
struct_entry_Rh3Hf_117,entry_Rh3Hf_117,L12,L12,A3B,221,cubic,3.4,3.4,3.4,9.83,
struct_entry_Rh3Nb_113,entry_Rh3Nb_113,L12,L12,A3B,221,cubic,4.02,4.02,4.02,16.24,
struct_entry_Rh3Sc_115,entry_Rh3Sc_115,L12,L12,A3B,221,cubic,4.06,4.06,4.06,16.73,
struct_entry_Rh3Si_118,entry_Rh3Si_118,L12,L12,A3B,221,cubic,3.42,3.42,3.42,10,
struct_entry_Rh3Sn_119,entry_Rh3Sn_119,L12,L12,A3B,221,cubic,3.44,3.44,3.44,10.18,
struct_entry_Rh3Ta_114,entry_Rh3Ta_114,L12,L12,A3B,221,cubic,4.04,4.04,4.04,16.48,
struct_entry_Rh3Ti_112,entry_Rh3Ti_112,L12,L12,A3B,221,cubic,4,4,4,16,
struct_entry_Rh3Y_116,entry_Rh3Y_116,L12,L12,A3B,221,cubic,4.08,4.08,4.08,16.98,
struct_entry_Rh3Zn_120,entry_Rh3Zn_120,L12,L12,A3B,221,cubic,3.46,3.46,3.46,10.36,
struct_oqmd_100270,oqmd_100270,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_100272,oqmd_100272,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_100274,oqmd_100274,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_100276,oqmd_100276,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_100359,oqmd_100359,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10066,oqmd_10066,NaCl,B1,AB,,cubic,,,,27.3083,Fm-3m
struct_oqmd_10071,oqmd_10071,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10077,oqmd_10077,NaCl,B1,AB,,cubic,,,,6.2961,Fm-3m
struct_oqmd_10081,oqmd_10081,NaCl,B1,AB,,cubic,,,,26.2069,Fm-3m
struct_oqmd_10083,oqmd_10083,NiAs,B8_1,AB,,cubic,,,,35.9593,P63/mmc
struct_oqmd_10087,oqmd_10087,NaCl,B1,AB,,cubic,,,,8.244,Fm-3m
struct_oqmd_10102,oqmd_10102,NaCl,B1,AB,,cubic,,,,21.6165,Fm-3m
struct_oqmd_10103,oqmd_10103,NaCl,B1,AB,,cubic,,,,24.1269,Fm-3m
struct_oqmd_10118,oqmd_10118,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10120,oqmd_10120,NiAs,B8_1,AB,,cubic,,,,47.3845,P63/mmc
struct_oqmd_10122,oqmd_10122,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10123,oqmd_10123,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10127,oqmd_10127,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10128,oqmd_10128,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10182,oqmd_10182,NaCl,B1,AB,,cubic,,,,21.8201,Fm-3m
struct_oqmd_10263,oqmd_10263,NiAs,B8_1,AB,,cubic,,,,37.2452,P63/mmc
struct_oqmd_10280,oqmd_10280,NaCl,B1,AB,,cubic,,,,8.5883,Fm-3m
struct_oqmd_10307,oqmd_10307,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10315,oqmd_10315,NaCl,B1,AB,,cubic,,,,13.7437,Fm-3m
struct_oqmd_10320,oqmd_10320,NaCl,B1,AB,,cubic,,,,24.2866,Fm-3m
struct_oqmd_10323,oqmd_10323,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10359,oqmd_10359,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10361,oqmd_10361,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10365,oqmd_10365,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10375,oqmd_10375,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10381,oqmd_10381,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10401,oqmd_10401,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104098,oqmd_104098,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104099,oqmd_104099,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104100,oqmd_104100,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104101,oqmd_104101,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104105,oqmd_104105,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104106,oqmd_104106,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104107,oqmd_104107,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_104109,oqmd_104109,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10411,oqmd_10411,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10445,oqmd_10445,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10447,oqmd_10447,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10454,oqmd_10454,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10477,oqmd_10477,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10480,oqmd_10480,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10489,oqmd_10489,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10494,oqmd_10494,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10516,oqmd_10516,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10537,oqmd_10537,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10539,oqmd_10539,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10542,oqmd_10542,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10543,oqmd_10543,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10544,oqmd_10544,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10550,oqmd_10550,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10558,oqmd_10558,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10559,oqmd_10559,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10560,oqmd_10560,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10561,oqmd_10561,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10570,oqmd_10570,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10573,oqmd_10573,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10576,oqmd_10576,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_105788,oqmd_105788,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10587,oqmd_10587,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10601,oqmd_10601,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10602,oqmd_10602,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10609,oqmd_10609,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10611,oqmd_10611,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10614,oqmd_10614,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10618,oqmd_10618,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10623,oqmd_10623,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10632,oqmd_10632,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10638,oqmd_10638,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10639,oqmd_10639,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10649,oqmd_10649,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10655,oqmd_10655,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10660,oqmd_10660,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10662,oqmd_10662,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10664,oqmd_10664,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10665,oqmd_10665,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10667,oqmd_10667,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10672,oqmd_10672,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10678,oqmd_10678,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10680,oqmd_10680,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10681,oqmd_10681,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10683,oqmd_10683,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10705,oqmd_10705,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10711,oqmd_10711,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10712,oqmd_10712,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10715,oqmd_10715,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10720,oqmd_10720,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10729,oqmd_10729,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10736,oqmd_10736,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10769,oqmd_10769,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_107704,oqmd_107704,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10775,oqmd_10775,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10777,oqmd_10777,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10789,oqmd_10789,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10793,oqmd_10793,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10797,oqmd_10797,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10799,oqmd_10799,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10810,oqmd_10810,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10813,oqmd_10813,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10814,oqmd_10814,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10817,oqmd_10817,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10819,oqmd_10819,L12,L12,A3B,,cubic,,,,,P4/mmm
struct_oqmd_10822,oqmd_10822,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10823,oqmd_10823,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10840,oqmd_10840,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10846,oqmd_10846,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10867,oqmd_10867,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10876,oqmd_10876,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10879,oqmd_10879,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10894,oqmd_10894,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10896,oqmd_10896,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10900,oqmd_10900,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10906,oqmd_10906,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_109112,oqmd_109112,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_109147,oqmd_109147,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10917,oqmd_10917,NaCl,B1,AB,,cubic,,,,35.6221,Fm-3m
struct_oqmd_10925,oqmd_10925,NaCl,B1,AB,,cubic,,,,31.2122,Fm-3m
struct_oqmd_10928,oqmd_10928,NaCl,B1,AB,,cubic,,,,30.565,Fm-3m
struct_oqmd_10930,oqmd_10930,NaCl,B1,AB,,cubic,,,,32.0016,Fm-3m
struct_oqmd_10936,oqmd_10936,NaCl,B1,AB,,cubic,,,,36.1048,Fm-3m
struct_oqmd_10940,oqmd_10940,NaCl,B1,AB,,cubic,,,,29.8387,Fm-3m
struct_oqmd_10946,oqmd_10946,NiAs,B8_1,AB,,cubic,,,,41.199,P63/mmc
struct_oqmd_10957,oqmd_10957,NaCl,B1,AB,,cubic,,,,34.7555,Fm-3m
struct_oqmd_10958,oqmd_10958,NiAs,B8_1,AB,,cubic,,,,47.609,P63/mmc
struct_oqmd_10963,oqmd_10963,NaCl,B1,AB,,cubic,,,,26.9655,Fm-3m
struct_oqmd_10964,oqmd_10964,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_10965,oqmd_10965,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10969,oqmd_10969,NaCl,B1,AB,,cubic,,,,30.0972,Fm-3m
struct_oqmd_10971,oqmd_10971,NaCl,B1,AB,,cubic,,,,31.3413,Fm-3m
struct_oqmd_10972,oqmd_10972,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_109771,oqmd_109771,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10986,oqmd_10986,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10991,oqmd_10991,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_10999,oqmd_10999,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11000,oqmd_11000,CsCl,B2,AB,,cubic,,,,,Pm-3m
struct_oqmd_11003,oqmd_11003,L12,L12,A3B,,cubic,,,,,Pm-3m
struct_oqmd_11005,oqmd_11005,CsCl,B2,AB,,cubic,,,,,Pm-3m
