composition_id,entry_id,element,atomic_fraction,site_label
comp_entry_Cu3Hf_059_B,entry_Cu3Hf_059,Hf,0.25,B
comp_entry_Cu3Mn_065_A,entry_Cu3Mn_065,Cu,0.75,A
comp_entry_Cu3Mn_065_B,entry_Cu3Mn_065,Mn,0.25,B
comp_entry_Cu3Nb_055_A,entry_Cu3Nb_055,Cu,0.75,A
comp_entry_Cu3Nb_055_B,entry_Cu3Nb_055,Nb,0.25,B
comp_entry_Cu3Sc_057_A,entry_Cu3Sc_057,Cu,0.75,A
comp_entry_Cu3Sc_057_B,entry_Cu3Sc_057,Sc,0.25,B
comp_entry_Cu3Si_060_A,entry_Cu3Si_060,Cu,0.75,A
comp_entry_Cu3Si_060_B,entry_Cu3Si_060,Si,0.25,B
comp_entry_Cu3Sn_061_A,entry_Cu3Sn_061,Cu,0.75,A
comp_entry_Cu3Sn_061_B,entry_Cu3Sn_061,Sn,0.25,B
comp_entry_Cu3Ta_056_A,entry_Cu3Ta_056,Cu,0.75,A
comp_entry_Cu3Ta_056_B,entry_Cu3Ta_056,Ta,0.25,B
comp_entry_Cu3Ti_054_A,entry_Cu3Ti_054,Cu,0.75,A
comp_entry_Cu3Ti_054_B,entry_Cu3Ti_054,Ti,0.25,B
comp_entry_Cu3V_063_A,entry_Cu3V_063,Cu,0.75,A
comp_entry_Cu3V_063_B,entry_Cu3V_063,V,0.25,B
comp_entry_Cu3Y_058_A,entry_Cu3Y_058,Cu,0.75,A
comp_entry_Cu3Y_058_B,entry_Cu3Y_058,Y,0.25,B
comp_entry_Cu3Zn_062_A,entry_Cu3Zn_062,Cu,0.75,A
comp_entry_Cu3Zn_062_B,entry_Cu3Zn_062,Zn,0.25,B
comp_entry_Cu3Zr_064_A,entry_Cu3Zr_064,Cu,0.75,A
comp_entry_Cu3Zr_064_B,entry_Cu3Zr_064,Zr,0.25,B
comp_entry_Fe3Al_036_B,entry_Fe3Al_036,Al,0.25,B
comp_entry_Fe3Al_036_A,entry_Fe3Al_036,Fe,0.75,A
comp_entry_Fe3Ga_037_A,entry_Fe3Ga_037,Fe,0.75,A
comp_entry_Fe3Ga_037_B,entry_Fe3Ga_037,Ga,0.25,B
comp_entry_Fe3Ge_038_A,entry_Fe3Ge_038,Fe,0.75,A
comp_entry_Fe3Ge_038_B,entry_Fe3Ge_038,Ge,0.25,B
comp_entry_Fe3Hf_044_A,entry_Fe3Hf_044,Fe,0.75,A
comp_entry_Fe3Hf_044_B,entry_Fe3Hf_044,Hf,0.25,B
comp_entry_Fe3Mn_050_A,entry_Fe3Mn_050,Fe,0.75,A
comp_entry_Fe3Mn_050_B,entry_Fe3Mn_050,Mn,0.25,B
comp_entry_Fe3Nb_040_A,entry_Fe3Nb_040,Fe,0.75,A
comp_entry_Fe3Nb_040_B,entry_Fe3Nb_040,Nb,0.25,B
comp_entry_Fe3Sc_042_A,entry_Fe3Sc_042,Fe,0.75,A
comp_entry_Fe3Sc_042_B,entry_Fe3Sc_042,Sc,0.25,B
comp_entry_Fe3Si_045_A,entry_Fe3Si_045,Fe,0.75,A
comp_entry_Fe3Si_045_B,entry_Fe3Si_045,Si,0.25,B
comp_entry_Fe3Sn_046_A,entry_Fe3Sn_046,Fe,0.75,A
comp_entry_Fe3Sn_046_B,entry_Fe3Sn_046,Sn,0.25,B
comp_entry_Fe3Ta_041_A,entry_Fe3Ta_041,Fe,0.75,A
comp_entry_Fe3Ta_041_B,entry_Fe3Ta_041,Ta,0.25,B
comp_entry_Fe3Ti_039_A,entry_Fe3Ti_039,Fe,0.75,A
comp_entry_Fe3Ti_039_B,entry_Fe3Ti_039,Ti,0.25,B
comp_entry_Fe3V_048_A,entry_Fe3V_048,Fe,0.75,A
comp_entry_Fe3V_048_B,entry_Fe3V_048,V,0.25,B
comp_entry_Fe3Y_043_A,entry_Fe3Y_043,Fe,0.75,A
comp_entry_Fe3Y_043_B,entry_Fe3Y_043,Y,0.25,B
comp_entry_Fe3Zn_047_A,entry_Fe3Zn_047,Fe,0.75,A
comp_entry_Fe3Zn_047_B,entry_Fe3Zn_047,Zn,0.25,B
comp_entry_Fe3Zr_049_A,entry_Fe3Zr_049,Fe,0.75,A
comp_entry_Fe3Zr_049_B,entry_Fe3Zr_049,Zr,0.25,B
comp_entry_Ir3Al_095_B,entry_Ir3Al_095,Al,0.25,B
comp_entry_Ir3Al_095_A,entry_Ir3Al_095,Ir,0.75,A
comp_entry_Ir3Ga_096_B,entry_Ir3Ga_096,Ga,0.25,B
comp_entry_Ir3Ga_096_A,entry_Ir3Ga_096,Ir,0.75,A
comp_entry_Ir3Ge_097_B,entry_Ir3Ge_097,Ge,0.25,B
comp_entry_Ir3Ge_097_A,entry_Ir3Ge_097,Ir,0.75,A
comp_entry_Ir3Hf_102_B,entry_Ir3Hf_102,Hf,0.25,B
comp_entry_Ir3Hf_102_A,entry_Ir3Hf_102,Ir,0.75,A
comp_entry_Ir3Mn_108_A,entry_Ir3Mn_108,Ir,0.75,A
comp_entry_Ir3Mn_108_B,entry_Ir3Mn_108,Mn,0.25,B
comp_entry_Ir3Nb_008_A,entry_Ir3Nb_008,Ir,0.75,A
comp_entry_Ir3Nb_008_B,entry_Ir3Nb_008,Nb,0.25,B
comp_entry_Ir3Sc_100_A,entry_Ir3Sc_100,Ir,0.75,A
comp_entry_Ir3Sc_100_B,entry_Ir3Sc_100,Sc,0.25,B
comp_entry_Ir3Si_103_A,entry_Ir3Si_103,Ir,0.75,A
comp_entry_Ir3Si_103_B,entry_Ir3Si_103,Si,0.25,B
comp_entry_Ir3Sn_104_A,entry_Ir3Sn_104,Ir,0.75,A
comp_entry_Ir3Sn_104_B,entry_Ir3Sn_104,Sn,0.25,B
comp_entry_Ir3Ta_099_A,entry_Ir3Ta_099,Ir,0.75,A
comp_entry_Ir3Ta_099_B,entry_Ir3Ta_099,Ta,0.25,B
comp_entry_Ir3Ti_098_A,entry_Ir3Ti_098,Ir,0.75,A
comp_entry_Ir3Ti_098_B,entry_Ir3Ti_098,Ti,0.25,B
comp_entry_Ir3V_106_A,entry_Ir3V_106,Ir,0.75,A
comp_entry_Ir3V_106_B,entry_Ir3V_106,V,0.25,B
comp_entry_Ir3Y_101_A,entry_Ir3Y_101,Ir,0.75,A
comp_entry_Ir3Y_101_B,entry_Ir3Y_101,Y,0.25,B
comp_entry_Ir3Zn_105_A,entry_Ir3Zn_105,Ir,0.75,A
comp_entry_Ir3Zn_105_B,entry_Ir3Zn_105,Zn,0.25,B
comp_entry_Ir3Zr_107_A,entry_Ir3Zr_107,Ir,0.75,A
comp_entry_Ir3Zr_107_B,entry_Ir3Zr_107,Zr,0.25,B
comp_entry_Ni3Al_001_B,entry_Ni3Al_001,Al,0.25,B
comp_entry_Ni3Al_001_A,entry_Ni3Al_001,Ni,0.75,A
comp_entry_Ni3Ga_002_B,entry_Ni3Ga_002,Ga,0.25,B
comp_entry_Ni3Ga_002_A,entry_Ni3Ga_002,Ni,0.75,A
comp_entry_Ni3Ge_003_B,entry_Ni3Ge_003,Ge,0.25,B
comp_entry_Ni3Ge_003_A,entry_Ni3Ge_003,Ni,0.75,A
comp_entry_Ni3Hf_017_B,entry_Ni3Hf_017,Hf,0.25,B
comp_entry_Ni3Hf_017_A,entry_Ni3Hf_017,Ni,0.75,A
comp_entry_Ni3Mn_023_B,entry_Ni3Mn_023,Mn,0.25,B
comp_entry_Ni3Mn_023_A,entry_Ni3Mn_023,Ni,0.75,A
comp_entry_Ni3Nb_013_B,entry_Ni3Nb_013,Nb,0.25,B
comp_entry_Ni3Nb_013_A,entry_Ni3Nb_013,Ni,0.75,A
comp_entry_Ni3Sc_015_A,entry_Ni3Sc_015,Ni,0.75,A
comp_entry_Ni3Sc_015_B,entry_Ni3Sc_015,Sc,0.25,B
comp_entry_Ni3Si_018_A,entry_Ni3Si_018,Ni,0.75,A
comp_entry_Ni3Si_018_B,entry_Ni3Si_018,Si,0.25,B
comp_entry_Ni3Sn_019_A,entry_Ni3Sn_019,Ni,0.75,A
comp_entry_Ni3Sn_019_B,entry_Ni3Sn_019,Sn,0.25,B
comp_entry_Ni3Ta_014_A,entry_Ni3Ta_014,Ni,0.75,A
comp_entry_Ni3Ta_014_B,entry_Ni3Ta_014,Ta,0.25,B
comp_entry_Ni3Ti_012_A,entry_Ni3Ti_012,Ni,0.75,A
comp_entry_Ni3Ti_012_B,entry_Ni3Ti_012,Ti,0.25,B
comp_entry_Ni3V_021_A,entry_Ni3V_021,Ni,0.75,A
comp_entry_Ni3V_021_B,entry_Ni3V_021,V,0.25,B
comp_entry_Ni3Y_016_A,entry_Ni3Y_016,Ni,0.75,A
comp_entry_Ni3Y_016_B,entry_Ni3Y_016,Y,0.25,B
comp_entry_Ni3Zn_020_A,entry_Ni3Zn_020,Ni,0.75,A
comp_entry_Ni3Zn_020_B,entry_Ni3Zn_020,Zn,0.25,B
comp_entry_Ni3Zr_022_A,entry_Ni3Zr_022,Ni,0.75,A
comp_entry_Ni3Zr_022_B,entry_Ni3Zr_022,Zr,0.25,B
comp_entry_Pd3Al_066_B,entry_Pd3Al_066,Al,0.25,B
comp_entry_Pd3Al_066_A,entry_Pd3Al_066,Pd,0.75,A
comp_entry_Pd3Ga_067_B,entry_Pd3Ga_067,Ga,0.25,B
comp_entry_Pd3Ga_067_A,entry_Pd3Ga_067,Pd,0.75,A
comp_entry_Pd3Ge_068_B,entry_Pd3Ge_068,Ge,0.25,B
comp_entry_Pd3Ge_068_A,entry_Pd3Ge_068,Pd,0.75,A
comp_entry_Pd3Hf_074_B,entry_Pd3Hf_074,Hf,0.25,B
comp_entry_Pd3Hf_074_A,entry_Pd3Hf_074,Pd,0.75,A
comp_entry_Pd3Mn_080_B,entry_Pd3Mn_080,Mn,0.25,B
comp_entry_Pd3Mn_080_A,entry_Pd3Mn_080,Pd,0.75,A
comp_entry_Pd3Nb_070_B,entry_Pd3Nb_070,Nb,0.25,B
comp_entry_Pd3Nb_070_A,entry_Pd3Nb_070,Pd,0.75,A
comp_entry_Pd3Sc_072_A,entry_Pd3Sc_072,Pd,0.75,A
comp_entry_Pd3Sc_072_B,entry_Pd3Sc_072,Sc,0.25,B
comp_entry_Pd3Si_075_A,entry_Pd3Si_075,Pd,0.75,A
comp_entry_Pd3Si_075_B,entry_Pd3Si_075,Si,0.25,B
comp_entry_Pd3Sn_076_A,entry_Pd3Sn_076,Pd,0.75,A
comp_entry_Pd3Sn_076_B,entry_Pd3Sn_076,Sn,0.25,B
comp_entry_Pd3Ta_071_A,entry_Pd3Ta_071,Pd,0.75,A
comp_entry_Pd3Ta_071_B,entry_Pd3Ta_071,Ta,0.25,B
comp_entry_Pd3Ti_069_A,entry_Pd3Ti_069,Pd,0.75,A
comp_entry_Pd3Ti_069_B,entry_Pd3Ti_069,Ti,0.25,B
comp_entry_Pd3V_078_A,entry_Pd3V_078,Pd,0.75,A
comp_entry_Pd3V_078_B,entry_Pd3V_078,V,0.25,B
comp_entry_Pd3Y_073_A,entry_Pd3Y_073,Pd,0.75,A
comp_entry_Pd3Y_073_B,entry_Pd3Y_073,Y,0.25,B
comp_entry_Pd3Zn_077_A,entry_Pd3Zn_077,Pd,0.75,A
comp_entry_Pd3Zn_077_B,entry_Pd3Zn_077,Zn,0.25,B
comp_entry_Pd3Zr_079_A,entry_Pd3Zr_079,Pd,0.75,A
comp_entry_Pd3Zr_079_B,entry_Pd3Zr_079,Zr,0.25,B
comp_entry_Pt3Al_007_B,entry_Pt3Al_007,Al,0.25,B
comp_entry_Pt3Al_007_A,entry_Pt3Al_007,Pt,0.75,A
comp_entry_Pt3Ga_081_B,entry_Pt3Ga_081,Ga,0.25,B
comp_entry_Pt3Ga_081_A,entry_Pt3Ga_081,Pt,0.75,A
comp_entry_Pt3Ge_082_B,entry_Pt3Ge_082,Ge,0.25,B
comp_entry_Pt3Ge_082_A,entry_Pt3Ge_082,Pt,0.75,A
comp_entry_Pt3Hf_088_B,entry_Pt3Hf_088,Hf,0.25,B
comp_entry_Pt3Hf_088_A,entry_Pt3Hf_088,Pt,0.75,A
comp_entry_Pt3Mn_094_B,entry_Pt3Mn_094,Mn,0.25,B
comp_entry_Pt3Mn_094_A,entry_Pt3Mn_094,Pt,0.75,A
comp_entry_Pt3Nb_084_B,entry_Pt3Nb_084,Nb,0.25,B
comp_entry_Pt3Nb_084_A,entry_Pt3Nb_084,Pt,0.75,A
comp_entry_Pt3Sc_086_A,entry_Pt3Sc_086,Pt,0.75,A
comp_entry_Pt3Sc_086_B,entry_Pt3Sc_086,Sc,0.25,B
comp_entry_Pt3Si_089_A,entry_Pt3Si_089,Pt,0.75,A
comp_entry_Pt3Si_089_B,entry_Pt3Si_089,Si,0.25,B
comp_entry_Pt3Sn_090_A,entry_Pt3Sn_090,Pt,0.75,A
comp_entry_Pt3Sn_090_B,entry_Pt3Sn_090,Sn,0.25,B
comp_entry_Pt3Ta_085_A,entry_Pt3Ta_085,Pt,0.75,A
comp_entry_Pt3Ta_085_B,entry_Pt3Ta_085,Ta,0.25,B
comp_entry_Pt3Ti_083_A,entry_Pt3Ti_083,Pt,0.75,A
comp_entry_Pt3Ti_083_B,entry_Pt3Ti_083,Ti,0.25,B
comp_entry_Pt3V_092_A,entry_Pt3V_092,Pt,0.75,A
comp_entry_Pt3V_092_B,entry_Pt3V_092,V,0.25,B
comp_entry_Pt3Y_087_A,entry_Pt3Y_087,Pt,0.75,A
comp_entry_Pt3Y_087_B,entry_Pt3Y_087,Y,0.25,B
comp_entry_Pt3Zn_091_A,entry_Pt3Zn_091,Pt,0.75,A
comp_entry_Pt3Zn_091_B,entry_Pt3Zn_091,Zn,0.25,B
comp_entry_Pt3Zr_093_A,entry_Pt3Zr_093,Pt,0.75,A
comp_entry_Pt3Zr_093_B,entry_Pt3Zr_093,Zr,0.25,B
comp_entry_Rh3Al_109_B,entry_Rh3Al_109,Al,0.25,B
comp_entry_Rh3Al_109_A,entry_Rh3Al_109,Rh,0.75,A
comp_entry_Rh3Ga_110_B,entry_Rh3Ga_110,Ga,0.25,B
comp_entry_Rh3Ga_110_A,entry_Rh3Ga_110,Rh,0.75,A
comp_entry_Rh3Ge_111_B,entry_Rh3Ge_111,Ge,0.25,B
comp_entry_Rh3Ge_111_A,entry_Rh3Ge_111,Rh,0.75,A
comp_entry_Rh3Hf_117_B,entry_Rh3Hf_117,Hf,0.25,B
comp_entry_Rh3Hf_117_A,entry_Rh3Hf_117,Rh,0.75,A
comp_entry_Rh3Nb_113_B,entry_Rh3Nb_113,Nb,0.25,B
comp_entry_Rh3Nb_113_A,entry_Rh3Nb_113,Rh,0.75,A
comp_entry_Rh3Sc_115_A,entry_Rh3Sc_115,Rh,0.75,A
comp_entry_Rh3Sc_115_B,entry_Rh3Sc_115,Sc,0.25,B
comp_entry_Rh3Si_118_A,entry_Rh3Si_118,Rh,0.75,A
comp_entry_Rh3Si_118_B,entry_Rh3Si_118,Si,0.25,B
comp_entry_Rh3Sn_119_A,entry_Rh3Sn_119,Rh,0.75,A
comp_entry_Rh3Sn_119_B,entry_Rh3Sn_119,Sn,0.25,B
comp_entry_Rh3Ta_114_A,entry_Rh3Ta_114,Rh,0.75,A
comp_entry_Rh3Ta_114_B,entry_Rh3Ta_114,Ta,0.25,B
comp_entry_Rh3Ti_112_A,entry_Rh3Ti_112,Rh,0.75,A
comp_entry_Rh3Ti_112_B,entry_Rh3Ti_112,Ti,0.25,B
comp_entry_Rh3Y_116_A,entry_Rh3Y_116,Rh,0.75,A
comp_entry_Rh3Y_116_B,entry_Rh3Y_116,Y,0.25,B
comp_entry_Rh3Zn_120_A,entry_Rh3Zn_120,Rh,0.75,A
comp_entry_Rh3Zn_120_B,entry_Rh3Zn_120,Zn,0.25,B
comp_oqmd_100270_N,oqmd_100270,N,0.5,A
comp_oqmd_100270_Sc,oqmd_100270,Sc,0.5,A
comp_oqmd_100272_P,oqmd_100272,P,0.5,A
comp_oqmd_100272_Sc,oqmd_100272,Sc,0.5,A
comp_oqmd_100274_As,oqmd_100274,As,0.5,A
comp_oqmd_100274_Sc,oqmd_100274,Sc,0.5,A
comp_oqmd_100276_Sb,oqmd_100276,Sb,0.5,A
comp_oqmd_100276_Sc,oqmd_100276,Sc,0.5,A
comp_oqmd_100359_Ni,oqmd_100359,Ni,0.5,A
comp_oqmd_100359_Ti,oqmd_100359,Ti,0.5,A
comp_oqmd_10066_Ge,oqmd_10066,Ge,0.5,A
comp_oqmd_10066_Te,oqmd_10066,Te,0.5,B
comp_oqmd_10071_Ge,oqmd_10071,Ge,0.75,A
comp_oqmd_10071_U,oqmd_10071,U,0.25,B
comp_oqmd_10077_H,oqmd_10077,H,0.5,B
comp_oqmd_10077_Ni,oqmd_10077,Ni,0.5,A
comp_oqmd_10081_H,oqmd_10081,H,0.5,B
comp_oqmd_10081_Rb,oqmd_10081,Rb,0.5,A
comp_oqmd_10083_Fe,oqmd_10083,Fe,0.5,A
comp_oqmd_10083_Te,oqmd_10083,Te,0.5,B
comp_oqmd_10087_H,oqmd_10087,H,0.5,A
comp_oqmd_10087_Rh,oqmd_10087,Rh,0.5,B
comp_oqmd_10102_Hg,oqmd_10102,Hg,0.5,A
comp_oqmd_10102_S,oqmd_10102,S,0.5,B
comp_oqmd_10103_Hg,oqmd_10103,Hg,0.5,A
comp_oqmd_10103_Se,oqmd_10103,Se,0.5,B
comp_oqmd_10118_In,oqmd_10118,In,0.25,B
comp_oqmd_10118_Pt,oqmd_10118,Pt,0.75,A
comp_oqmd_10120_Au,oqmd_10120,Au,0.5,B
comp_oqmd_10120_Sn,oqmd_10120,Sn,0.5,A
comp_oqmd_10122_Fe,oqmd_10122,Fe,0.25,B
comp_oqmd_10122_Ir,oqmd_10122,Ir,0.75,A
comp_oqmd_10123_Au,oqmd_10123,Au,0.75,A
comp_oqmd_10123_Cu,oqmd_10123,Cu,0.25,B
comp_oqmd_10127_Co,oqmd_10127,Co,0.5,A
comp_oqmd_10127_Fe,oqmd_10127,Fe,0.5,A
comp_oqmd_10128_Cu,oqmd_10128,Cu,0.5,A
comp_oqmd_10128_Zn,oqmd_10128,Zn,0.5,A
comp_oqmd_10182_Ag,oqmd_10182,Ag,0.5,A
comp_oqmd_10182_Cl,oqmd_10182,Cl,0.5,B
comp_oqmd_10263_Al,oqmd_10263,Al,0.5,A
comp_oqmd_10263_As,oqmd_10263,As,0.5,B
comp_oqmd_10280_C,oqmd_10280,C,0.5,B
comp_oqmd_10280_Cr,oqmd_10280,Cr,0.5,A
comp_oqmd_10307_Ge,oqmd_10307,Ge,0.75,A
comp_oqmd_10307_Np,oqmd_10307,Np,0.25,B
comp_oqmd_10315_N,oqmd_10315,N,0.5,B
comp_oqmd_10315_Tm,oqmd_10315,Tm,0.5,A
comp_oqmd_10320_P,oqmd_10320,P,0.5,B
comp_oqmd_10320_Yb,oqmd_10320,Yb,0.5,A
comp_oqmd_10323_Sb,oqmd_10323,Sb,0.5,A
comp_oqmd_10323_U,oqmd_10323,U,0.5,A
comp_oqmd_10359_Ag,oqmd_10359,Ag,0.5,A
comp_oqmd_10359_Cd,oqmd_10359,Cd,0.5,A
comp_oqmd_10361_Ag,oqmd_10361,Ag,0.5,A
comp_oqmd_10361_Ce,oqmd_10361,Ce,0.5,A
comp_oqmd_10365_Ag,oqmd_10365,Ag,0.5,A
comp_oqmd_10365_Dy,oqmd_10365,Dy,0.5,A
comp_oqmd_10375_Np,oqmd_10375,Np,0.5,A
comp_oqmd_10375_Te,oqmd_10375,Te,0.5,A
comp_oqmd_10381_Al,oqmd_10381,Al,0.5,A
comp_oqmd_10381_Au,oqmd_10381,Au,0.5,A
comp_oqmd_10401_Al,oqmd_10401,Al,0.5,A
comp_oqmd_10401_Ce,oqmd_10401,Ce,0.5,A
comp_oqmd_104098_Mg,oqmd_104098,Mg,0.5,A
comp_oqmd_104098_Sc,oqmd_104098,Sc,0.5,A
comp_oqmd_104099_Mg,oqmd_104099,Mg,0.5,A
comp_oqmd_104099_Y,oqmd_104099,Y,0.5,A
comp_oqmd_104100_La,oqmd_104100,La,0.5,A
comp_oqmd_104100_Mg,oqmd_104100,Mg,0.5,A
comp_oqmd_104101_Mg,oqmd_104101,Mg,0.5,A
comp_oqmd_104101_Pr,oqmd_104101,Pr,0.5,A
comp_oqmd_104105_Dy,oqmd_104105,Dy,0.5,A
comp_oqmd_104105_Mg,oqmd_104105,Mg,0.5,A
comp_oqmd_104106_Ho,oqmd_104106,Ho,0.5,A
comp_oqmd_104106_Mg,oqmd_104106,Mg,0.5,A
comp_oqmd_104107_Mg,oqmd_104107,Mg,0.5,A
comp_oqmd_104107_Tm,oqmd_104107,Tm,0.5,A
comp_oqmd_104109_Lu,oqmd_104109,Lu,0.5,A
comp_oqmd_104109_Mg,oqmd_104109,Mg,0.5,A
comp_oqmd_10411_Al,oqmd_10411,Al,0.5,A
comp_oqmd_10411_Co,oqmd_10411,Co,0.5,A
comp_oqmd_10445_Al,oqmd_10445,Al,0.5,A
comp_oqmd_10445_Dy,oqmd_10445,Dy,0.5,A
comp_oqmd_10447_Al,oqmd_10447,Al,0.75,A
comp_oqmd_10447_Dy,oqmd_10447,Dy,0.25,B
comp_oqmd_10454_Al,oqmd_10454,Al,0.75,A
comp_oqmd_10454_Er,oqmd_10454,Er,0.25,B
comp_oqmd_10477_Al,oqmd_10477,Al,0.75,A
comp_oqmd_10477_Ho,oqmd_10477,Ho,0.25,B
comp_oqmd_10480_Al,oqmd_10480,Al,0.5,A
comp_oqmd_10480_Ir,oqmd_10480,Ir,0.5,A
comp_oqmd_10489_Al,oqmd_10489,Al,0.75,A
comp_oqmd_10489_Li,oqmd_10489,Li,0.25,B
comp_oqmd_10494_Al,oqmd_10494,Al,0.75,A
comp_oqmd_10494_Lu,oqmd_10494,Lu,0.25,B
comp_oqmd_10516_Al,oqmd_10516,Al,0.5,A
comp_oqmd_10516_Ni,oqmd_10516,Ni,0.5,A
comp_oqmd_10537_Al,oqmd_10537,Al,0.75,A
comp_oqmd_10537_Np,oqmd_10537,Np,0.25,B
comp_oqmd_10539_Al,oqmd_10539,Al,0.5,A
comp_oqmd_10539_Sc,oqmd_10539,Sc,0.5,A
comp_oqmd_10542_Al,oqmd_10542,Al,0.5,A
comp_oqmd_10542_Sm,oqmd_10542,Sm,0.5,A
comp_oqmd_10543_Al,oqmd_10543,Al,0.25,B
comp_oqmd_10543_Sm,oqmd_10543,Sm,0.75,A
comp_oqmd_10544_Al,oqmd_10544,Al,0.5,A
comp_oqmd_10544_Os,oqmd_10544,Os,0.5,A
comp_oqmd_10550_Al,oqmd_10550,Al,0.5,A
comp_oqmd_10550_Pd,oqmd_10550,Pd,0.5,A
comp_oqmd_10558_Al,oqmd_10558,Al,0.5,A
comp_oqmd_10558_Pr,oqmd_10558,Pr,0.5,A
comp_oqmd_10559_Al,oqmd_10559,Al,0.25,B
comp_oqmd_10559_Pr,oqmd_10559,Pr,0.75,A
comp_oqmd_10560_Al,oqmd_10560,Al,0.75,A
comp_oqmd_10560_Pr,oqmd_10560,Pr,0.25,B
comp_oqmd_10561_Al,oqmd_10561,Al,0.5,A
comp_oqmd_10561_Pt,oqmd_10561,Pt,0.5,A
comp_oqmd_10570_Al,oqmd_10570,Al,0.75,A
comp_oqmd_10570_Pu,oqmd_10570,Pu,0.25,B
comp_oqmd_10573_Al,oqmd_10573,Al,0.5,A
comp_oqmd_10573_Re,oqmd_10573,Re,0.5,A
comp_oqmd_10576_Al,oqmd_10576,Al,0.5,A
comp_oqmd_10576_Rh,oqmd_10576,Rh,0.5,A
comp_oqmd_105788_Mg,oqmd_105788,Mg,0.5,A
comp_oqmd_105788_Y,oqmd_105788,Y,0.5,A
comp_oqmd_10587_Al,oqmd_10587,Al,0.25,B
comp_oqmd_10587_Tb,oqmd_10587,Tb,0.75,A
comp_oqmd_10601_Al,oqmd_10601,Al,0.75,A
comp_oqmd_10601_Tm,oqmd_10601,Tm,0.25,B
comp_oqmd_10602_Al,oqmd_10602,Al,0.75,A
comp_oqmd_10602_U,oqmd_10602,U,0.25,B
comp_oqmd_10609_Al,oqmd_10609,Al,0.5,A
comp_oqmd_10609_Y,oqmd_10609,Y,0.5,A
comp_oqmd_10611_Al,oqmd_10611,Al,0.25,B
comp_oqmd_10611_Y,oqmd_10611,Y,0.75,A
comp_oqmd_10614_Al,oqmd_10614,Al,0.75,A
comp_oqmd_10614_Y,oqmd_10614,Y,0.25,B
