entry_id,source_db,source_material_id,formula,reduced_formula,chemical_system,number_of_elements
entry_Pd3Sc_072,mock,mock_Pd3Sc_072,Pd3Sc,Pd3Sc,Pd-Sc,2
entry_Pd3Si_075,mock,mock_Pd3Si_075,Pd3Si,Pd3Si,Pd-Si,2
entry_Pd3Sn_076,mock,mock_Pd3Sn_076,Pd3Sn,Pd3Sn,Pd-Sn,2
entry_Pd3Ta_071,mock,mock_Pd3Ta_071,Pd3Ta,Pd3Ta,Pd-Ta,2
entry_Pd3Ti_069,mock,mock_Pd3Ti_069,Pd3Ti,Pd3Ti,Pd-Ti,2
entry_Pd3V_078,mock,mock_Pd3V_078,Pd3V,Pd3V,Pd-V,2
entry_Pd3Y_073,mock,mock_Pd3Y_073,Pd3Y,Pd3Y,Pd-Y,2
entry_Pd3Zn_077,mock,mock_Pd3Zn_077,Pd3Zn,Pd3Zn,Pd-Zn,2
entry_Pd3Zr_079,mock,mock_Pd3Zr_079,Pd3Zr,Pd3Zr,Pd-Zr,2
entry_Pt3Al_007,mock,mock_Pt3Al_007,Pt3Al,Pt3Al,Al-Pt,2
entry_Pt3Ga_081,mock,mock_Pt3Ga_081,Pt3Ga,Pt3Ga,Ga-Pt,2
entry_Pt3Ge_082,mock,mock_Pt3Ge_082,Pt3Ge,Pt3Ge,Ge-Pt,2
entry_Pt3Hf_088,mock,mock_Pt3Hf_088,Pt3Hf,Pt3Hf,Hf-Pt,2
entry_Pt3Mn_094,mock,mock_Pt3Mn_094,Pt3Mn,Pt3Mn,Mn-Pt,2
entry_Pt3Nb_084,mock,mock_Pt3Nb_084,Pt3Nb,Pt3Nb,Nb-Pt,2
entry_Pt3Sc_086,mock,mock_Pt3Sc_086,Pt3Sc,Pt3Sc,Pt-Sc,2
entry_Pt3Si_089,mock,mock_Pt3Si_089,Pt3Si,Pt3Si,Pt-Si,2
entry_Pt3Sn_090,mock,mock_Pt3Sn_090,Pt3Sn,Pt3Sn,Pt-Sn,2
entry_Pt3Ta_085,mock,mock_Pt3Ta_085,Pt3Ta,Pt3Ta,Pt-Ta,2
entry_Pt3Ti_083,mock,mock_Pt3Ti_083,Pt3Ti,Pt3Ti,Pt-Ti,2
entry_Pt3V_092,mock,mock_Pt3V_092,Pt3V,Pt3V,Pt-V,2
entry_Pt3Y_087,mock,mock_Pt3Y_087,Pt3Y,Pt3Y,Pt-Y,2
entry_Pt3Zn_091,mock,mock_Pt3Zn_091,Pt3Zn,Pt3Zn,Pt-Zn,2
entry_Pt3Zr_093,mock,mock_Pt3Zr_093,Pt3Zr,Pt3Zr,Pt-Zr,2
entry_Rh3Al_109,mock,mock_Rh3Al_109,Rh3Al,Rh3Al,Al-Rh,2
entry_Rh3Ga_110,mock,mock_Rh3Ga_110,Rh3Ga,Rh3Ga,Ga-Rh,2
entry_Rh3Ge_111,mock,mock_Rh3Ge_111,Rh3Ge,Rh3Ge,Ge-Rh,2
entry_Rh3Hf_117,mock,mock_Rh3Hf_117,Rh3Hf,Rh3Hf,Hf-Rh,2
entry_Rh3Nb_113,mock,mock_Rh3Nb_113,Rh3Nb,Rh3Nb,Nb-Rh,2
entry_Rh3Sc_115,mock,mock_Rh3Sc_115,Rh3Sc,Rh3Sc,Rh-Sc,2
entry_Rh3Si_118,mock,mock_Rh3Si_118,Rh3Si,Rh3Si,Rh-Si,2
entry_Rh3Sn_119,mock,mock_Rh3Sn_119,Rh3Sn,Rh3Sn,Rh-Sn,2
entry_Rh3Ta_114,mock,mock_Rh3Ta_114,Rh3Ta,Rh3Ta,Rh-Ta,2
entry_Rh3Ti_112,mock,mock_Rh3Ti_112,Rh3Ti,Rh3Ti,Rh-Ti,2
entry_Rh3Y_116,mock,mock_Rh3Y_116,Rh3Y,Rh3Y,Rh-Y,2
entry_Rh3Zn_120,mock,mock_Rh3Zn_120,Rh3Zn,Rh3Zn,Rh-Zn,2
oqmd_100270,OQMD,100270,ScN,ScN,N-Sc,2
oqmd_100272,OQMD,100272,ScP,ScP,P-Sc,2
oqmd_100274,OQMD,100274,ScAs,ScAs,As-Sc,2
oqmd_100276,OQMD,100276,ScSb,ScSb,Sb-Sc,2
oqmd_100359,OQMD,100359,TiNi,TiNi,Ni-Ti,2
oqmd_10066,OQMD,10066,GeTe,GeTe,Ge-Te,2
oqmd_10071,OQMD,10071,UGe3,UGe3,Ge-U,2
oqmd_10077,OQMD,10077,NiH,NiH,H-Ni,2
oqmd_10081,OQMD,10081,RbH,RbH,H-Rb,2
oqmd_10083,OQMD,10083,FeTe,FeTe,Fe-Te,2
oqmd_10087,OQMD,10087,HRh,HRh,H-Rh,2
oqmd_10102,OQMD,10102,HgS,HgS,Hg-S,2
oqmd_10103,OQMD,10103,HgSe,HgSe,Hg-Se,2
oqmd_10118,OQMD,10118,InPt3,InPt3,In-Pt,2
oqmd_10120,OQMD,10120,SnAu,SnAu,Au-Sn,2
oqmd_10122,OQMD,10122,FeIr3,FeIr3,Fe-Ir,2
oqmd_10123,OQMD,10123,CuAu3,CuAu3,Au-Cu,2
oqmd_10127,OQMD,10127,FeCo,FeCo,Co-Fe,2
oqmd_10128,OQMD,10128,ZnCu,ZnCu,Cu-Zn,2
oqmd_10182,OQMD,10182,AgCl,AgCl,Ag-Cl,2
oqmd_10263,OQMD,10263,AlAs,AlAs,Al-As,2
oqmd_10280,OQMD,10280,CrC,CrC,C-Cr,2
oqmd_10307,OQMD,10307,NpGe3,NpGe3,Ge-Np,2
oqmd_10315,OQMD,10315,TmN,TmN,N-Tm,2
oqmd_10320,OQMD,10320,YbP,YbP,P-Yb,2
oqmd_10323,OQMD,10323,USb,USb,Sb-U,2
oqmd_10359,OQMD,10359,CdAg,CdAg,Ag-Cd,2
oqmd_10361,OQMD,10361,CeAg,CeAg,Ag-Ce,2
oqmd_10365,OQMD,10365,DyAg,DyAg,Ag-Dy,2
oqmd_10375,OQMD,10375,NpTe,NpTe,Np-Te,2
oqmd_10381,OQMD,10381,AlAu,AlAu,Al-Au,2
oqmd_10401,OQMD,10401,CeAl,CeAl,Al-Ce,2
oqmd_104098,OQMD,104098,MgSc,MgSc,Mg-Sc,2
oqmd_104099,OQMD,104099,YMg,YMg,Mg-Y,2
oqmd_104100,OQMD,104100,LaMg,LaMg,La-Mg,2
oqmd_104101,OQMD,104101,PrMg,PrMg,Mg-Pr,2
oqmd_104105,OQMD,104105,DyMg,DyMg,Dy-Mg,2
oqmd_104106,OQMD,104106,HoMg,HoMg,Ho-Mg,2
oqmd_104107,OQMD,104107,TmMg,TmMg,Mg-Tm,2
oqmd_104109,OQMD,104109,LuMg,LuMg,Lu-Mg,2
oqmd_10411,OQMD,10411,AlCo,AlCo,Al-Co,2
oqmd_10445,OQMD,10445,DyAl,DyAl,Al-Dy,2
oqmd_10447,OQMD,10447,DyAl3,DyAl3,Al-Dy,2
oqmd_10454,OQMD,10454,ErAl3,ErAl3,Al-Er,2
oqmd_10477,OQMD,10477,HoAl3,HoAl3,Al-Ho,2
oqmd_10480,OQMD,10480,AlIr,AlIr,Al-Ir,2
oqmd_10489,OQMD,10489,LiAl3,LiAl3,Al-Li,2
oqmd_10494,OQMD,10494,LuAl3,LuAl3,Al-Lu,2
oqmd_10516,OQMD,10516,AlNi,AlNi,Al-Ni,2
oqmd_10537,OQMD,10537,NpAl3,NpAl3,Al-Np,2
oqmd_10539,OQMD,10539,ScAl,ScAl,Al-Sc,2
oqmd_10542,OQMD,10542,SmAl,SmAl,Al-Sm,2
oqmd_10543,OQMD,10543,Sm3Al,Sm3Al,Al-Sm,2
oqmd_10544,OQMD,10544,AlOs,AlOs,Al-Os,2
oqmd_10550,OQMD,10550,AlPd,AlPd,Al-Pd,2
oqmd_10558,OQMD,10558,PrAl,PrAl,Al-Pr,2
oqmd_10559,OQMD,10559,Pr3Al,Pr3Al,Al-Pr,2
oqmd_10560,OQMD,10560,PrAl3,PrAl3,Al-Pr,2
oqmd_10561,OQMD,10561,AlPt,AlPt,Al-Pt,2
oqmd_10570,OQMD,10570,PuAl3,PuAl3,Al-Pu,2
oqmd_10573,OQMD,10573,AlRe,AlRe,Al-Re,2
oqmd_10576,OQMD,10576,AlRh,AlRh,Al-Rh,2
oqmd_105788,OQMD,105788,YMg,YMg,Mg-Y,2
oqmd_10587,OQMD,10587,Tb3Al,Tb3Al,Al-Tb,2
oqmd_10601,OQMD,10601,TmAl3,TmAl3,Al-Tm,2
oqmd_10602,OQMD,10602,UAl3,UAl3,Al-U,2
oqmd_10609,OQMD,10609,YAl,YAl,Al-Y,2
oqmd_10611,OQMD,10611,Y3Al,Y3Al,Al-Y,2
oqmd_10614,OQMD,10614,YAl3,YAl3,Al-Y,2
oqmd_10618,OQMD,10618,YbAl3,YbAl3,Al-Yb,2
oqmd_10623,OQMD,10623,ErAg,ErAg,Ag-Er,2
oqmd_10632,OQMD,10632,GdAg,GdAg,Ag-Gd,2
oqmd_10638,OQMD,10638,InAg3,InAg3,Ag-In,2
oqmd_10639,OQMD,10639,LaAg,LaAg,Ag-La,2
oqmd_10649,OQMD,10649,LiAg,LiAg,Ag-Li,2
oqmd_10655,OQMD,10655,MgAg3,MgAg3,Ag-Mg,2
oqmd_10660,OQMD,10660,NdAg,NdAg,Ag-Nd,2
oqmd_10662,OQMD,10662,PrAg,PrAg,Ag-Pr,2
oqmd_10664,OQMD,10664,AgPt3,AgPt3,Ag-Pt,2
oqmd_10665,OQMD,10665,ScAg,ScAg,Ag-Sc,2
oqmd_10667,OQMD,10667,SmAg,SmAg,Ag-Sm,2
oqmd_10672,OQMD,10672,TbAg,TbAg,Ag-Tb,2
oqmd_10678,OQMD,10678,TmAg,TmAg,Ag-Tm,2
oqmd_10680,OQMD,10680,TmAg3,TmAg3,Ag-Tm,2
oqmd_10681,OQMD,10681,YAg,YAg,Ag-Y,2
oqmd_10683,OQMD,10683,YbAg,YbAg,Ag-Yb,2
oqmd_10705,OQMD,10705,CdAu,CdAu,Au-Cd,2
oqmd_10711,OQMD,10711,CsAu,CsAu,Au-Cs,2
oqmd_10712,OQMD,10712,RbAu,RbAu,Au-Rb,2
oqmd_10715,OQMD,10715,DyAu,DyAu,Au-Dy,2
oqmd_10720,OQMD,10720,ErAu,ErAu,Au-Er,2
oqmd_10729,OQMD,10729,GdAu,GdAu,Au-Gd,2
oqmd_10736,OQMD,10736,HoAu,HoAu,Au-Ho,2
oqmd_10769,OQMD,10769,LiAu3,LiAu3,Au-Li,2
oqmd_107704,OQMD,107704,TiNi,TiNi,Ni-Ti,2
oqmd_10775,OQMD,10775,LuAu,LuAu,Au-Lu,2
oqmd_10777,OQMD,10777,MgAu,MgAu,Au-Mg,2
oqmd_10789,OQMD,10789,NdAu,NdAu,Au-Nd,2
oqmd_10793,OQMD,10793,PrAu,PrAu,Au-Pr,2
oqmd_10797,OQMD,10797,ScAu,ScAu,Au-Sc,2
oqmd_10799,OQMD,10799,SmAu,SmAu,Au-Sm,2
oqmd_10810,OQMD,10810,TbAu,TbAu,Au-Tb,2
oqmd_10813,OQMD,10813,TiAu,TiAu,Au-Ti,2
oqmd_10814,OQMD,10814,Ti3Au,Ti3Au,Au-Ti,2
oqmd_10817,OQMD,10817,TmAu,TmAu,Au-Tm,2
oqmd_10819,OQMD,10819,V3Au,V3Au,Au-V,2
oqmd_10822,OQMD,10822,YAu,YAu,Au-Y,2
oqmd_10823,OQMD,10823,YbAu,YbAu,Au-Yb,2
oqmd_10840,OQMD,10840,BaCd,BaCd,Ba-Cd,2
oqmd_10846,OQMD,10846,BaHg,BaHg,Ba-Hg,2
oqmd_10867,OQMD,10867,BaZn,BaZn,Ba-Zn,2
oqmd_10876,OQMD,10876,BeCo,BeCo,Be-Co,2
oqmd_10879,OQMD,10879,BeCu,BeCu,Be-Cu,2
oqmd_10894,OQMD,10894,BeNi,BeNi,Be-Ni,2
oqmd_10896,OQMD,10896,BePd,BePd,Be-Pd,2
oqmd_10900,OQMD,10900,BeRh,BeRh,Be-Rh,2
oqmd_10906,OQMD,10906,TiBe,TiBe,Be-Ti,2
oqmd_109112,OQMD,109112,ZrCu,ZrCu,Cu-Zr,2
oqmd_109147,OQMD,109147,TiPd,TiPd,Pd-Ti,2
oqmd_10917,OQMD,10917,CeBi,CeBi,Bi-Ce,2
oqmd_10925,OQMD,10925,DyBi,DyBi,Bi-Dy,2
oqmd_10928,OQMD,10928,ErBi,ErBi,Bi-Er,2
oqmd_10930,OQMD,10930,GdBi,GdBi,Bi-Gd,2
oqmd_10936,OQMD,10936,LaBi,LaBi,Bi-La,2
oqmd_10940,OQMD,10940,LuBi,LuBi,Bi-Lu,2
oqmd_10946,OQMD,10946,NiBi,NiBi,Bi-Ni,2
oqmd_10957,OQMD,10957,PrBi,PrBi,Bi-Pr,2
oqmd_10958,OQMD,10958,BiPt,BiPt,Bi-Pt,2
oqmd_10963,OQMD,10963,ScBi,ScBi,Bi-Sc,2
oqmd_10964,OQMD,10964,SrBi3,SrBi3,Bi-Sr,2
oqmd_10965,OQMD,10965,ThBi,ThBi,Bi-Th,2
oqmd_10969,OQMD,10969,TmBi,TmBi,Bi-Tm,2
oqmd_10971,OQMD,10971,YBi,YBi,Bi-Y,2
oqmd_10972,OQMD,10972,CaCd,CaCd,Ca-Cd,2
oqmd_109771,OQMD,109771,MoN,MoN,Mo-N,2
oqmd_10986,OQMD,10986,CaHg,CaHg,Ca-Hg,2
oqmd_10991,OQMD,10991,CaIn,CaIn,Ca-In,2
oqmd_10999,OQMD,10999,Ca3Pb,Ca3Pb,Ca-Pb,2
oqmd_11000,OQMD,11000,CaPd,CaPd,Ca-Pd,2
oqmd_11003,OQMD,11003,CaSn3,CaSn3,Ca-Sn,2
oqmd_11005,OQMD,11005,CaTl,CaTl,Ca-Tl,2
oqmd_11006,OQMD,11006,CaTl3,CaTl3,Ca-Tl,2
oqmd_11012,OQMD,11012,CeCd,CeCd,Cd-Ce,2
oqmd_11019,OQMD,11019,DyCd,DyCd,Cd-Dy,2
oqmd_11022,OQMD,11022,ErCd,ErCd,Cd-Er,2
oqmd_11024,OQMD,11024,EuCd,EuCd,Cd-Eu,2
oqmd_11031,OQMD,11031,HoCd,HoCd,Cd-Ho,2
oqmd_110794,OQMD,110794,AlFe,AlFe,Al-Fe,2
oqmd_110795,OQMD,110795,AlFe,AlFe,Al-Fe,2
oqmd_11110,OQMD,11110,Nd3In,Nd3In,In-Nd,2
oqmd_11111,OQMD,11111,NdIn3,NdIn3,In-Nd,2
oqmd_11114,OQMD,11114,InNi,InNi,In-Ni,2
oqmd_11117,OQMD,11117,InNi3,InNi3,In-Ni,2
oqmd_11128,OQMD,11128,InPd,InPd,In-Pd,2
oqmd_11137,OQMD,11137,PrIn,PrIn,In-Pr,2
oqmd_11138,OQMD,11138,Pr3In,Pr3In,In-Pr,2
oqmd_11139,OQMD,11139,PrIn3,PrIn3,In-Pr,2
oqmd_11150,OQMD,11150,Pu3In,Pu3In,In-Pu,2
oqmd_11151,OQMD,11151,PuIn3,PuIn3,In-Pu,2
oqmd_11153,OQMD,11153,InRh,InRh,In-Rh,2
oqmd_11157,OQMD,11157,Sc3In,Sc3In,In-Sc,2
oqmd_11158,OQMD,11158,ScIn3,ScIn3,In-Sc,2
oqmd_11159,OQMD,11159,SmIn,SmIn,In-Sm,2
oqmd_11161,OQMD,11161,Sm3In,Sm3In,In-Sm,2
oqmd_11162,OQMD,11162,SmIn3,SmIn3,In-Sm,2
oqmd_11165,OQMD,11165,TbIn3,TbIn3,In-Tb,2
oqmd_11166,OQMD,11166,InTe,InTe,In-Te,2
oqmd_11168,OQMD,11168,ThIn3,ThIn3,In-Th,2
oqmd_11171,OQMD,11171,TmIn,TmIn,In-Tm,2
oqmd_11173,OQMD,11173,TmIn3,TmIn3,In-Tm,2
oqmd_11174,OQMD,11174,UIn3,UIn3,In-U,2
oqmd_11175,OQMD,11175,YIn,YIn,In-Y,2
oqmd_11176,OQMD,11176,YIn3,YIn3,In-Y,2
oqmd_11177,OQMD,11177,YbIn,YbIn,In-Yb,2
oqmd_11180,OQMD,11180,YbIn3,YbIn3,In-Yb,2
oqmd_11181,OQMD,11181,Zr3In,Zr3In,In-Zr,2
oqmd_11301,OQMD,11301,UP,UP,P-U,2
oqmd_11312,OQMD,11312,TlSb,TlSb,Sb-Tl,2
oqmd_11321,OQMD,11321,TlI,TlI,I-Tl,2
oqmd_114593,OQMD,114593,MnTe,MnTe,Mn-Te,2
oqmd_11469,OQMD,11469,CuO,CuO,Cu-O,2
oqmd_11505,OQMD,11505,CsBr,CsBr,Br-Cs,2
oqmd_11506,OQMD,11506,CsI,CsI,Cs-I,2
oqmd_11507,OQMD,11507,TlCl,TlCl,Cl-Tl,2
oqmd_11508,OQMD,11508,TlBr,TlBr,Br-Tl,2
oqmd_11509,OQMD,11509,RbBr,RbBr,Br-Rb,2
oqmd_11510,OQMD,11510,RbI,RbI,I-Rb,2
oqmd_11511,OQMD,11511,KI,KI,I-K,2
oqmd_11512,OQMD,11512,KBr,KBr,Br-K,2
oqmd_11514,OQMD,11514,CsF,CsF,Cs-F,2
oqmd_11516,OQMD,11516,ScO,ScO,O-Sc,2
oqmd_11517,OQMD,11517,TaO,TaO,O-Ta,2
oqmd_11589,OQMD,11589,PbS,PbS,Pb-S,2
oqmd_11590,OQMD,11590,SeS,SeS,S-Se,2
oqmd_11602,OQMD,11602,NpAs,NpAs,As-Np,2
oqmd_116025,OQMD,116025,ZnO,ZnO,O-Zn,2
oqmd_116062,OQMD,116062,ZrC,ZrC,C-Zr,2
oqmd_116118,OQMD,116118,YAl,YAl,Al-Y,2
oqmd_116119,OQMD,116119,PrAl,PrAl,Al-Pr,2
oqmd_116120,OQMD,116120,NdAl,NdAl,Al-Nd,2
oqmd_116121,OQMD,116121,DyAl,DyAl,Al-Dy,2
oqmd_116122,OQMD,116122,CeAl,CeAl,Al-Ce,2
oqmd_116222,OQMD,116222,ZrCu,ZrCu,Cu-Zr,2
oqmd_116234,OQMD,116234,ZrRu,ZrRu,Ru-Zr,2
oqmd_116235,OQMD,116235,ZrZn,ZrZn,Zn-Zr,2
oqmd_116608,OQMD,116608,TiNi,TiNi,Ni-Ti,2
oqmd_116636,OQMD,116636,TlCl,TlCl,Cl-Tl,2
oqmd_116945,OQMD,116945,TiIr,TiIr,Ir-Ti,2
oqmd_117131,OQMD,117131,ZnO,ZnO,O-Zn,2
oqmd_117262,OQMD,117262,SiRh,SiRh,Rh-Si,2
oqmd_11906,OQMD,11906,ThP,ThP,P-Th,2
oqmd_121204,OQMD,121204,TiNi,TiNi,Ni-Ti,2
oqmd_12625,OQMD,12625,CsH,CsH,Cs-H,2
oqmd_13641,OQMD,13641,ZrO,ZrO,O-Zr,2
oqmd_13677,OQMD,13677,HfB,HfB,B-Hf,2
oqmd_13692,OQMD,13692,MnSe,MnSe,Mn-Se,2
oqmd_13700,OQMD,13700,MnTe,MnTe,Mn-Te,2
oqmd_13703,OQMD,13703,USb,USb,Sb-U,2
