number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp
6,87.54462,740.45,174.5,5295.0715,58.8466666666667,10.0203333333333,91.3377633333333,2.33333333333333,45.2
5,96.14901,737.8,175.0,5356.8858,72.09,10.9444,90.205316,2.4,86.7
5,93.287014,773.96,147.6,6457.2858,98.1,7.2844,170.805316,2.4,22.0
3,58.9663128666667,657.7,157.666666666667,6039.66666666667,66.7,16.3,116.333333333333,3.0,1.38
4,47.4607508,993.675,126.5,3788.174,107.5175,12.575,82.256925,2.75,29.0
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,55.5
2,117.01,836.25,146.0,9131.5,123.45,17.1,37.0,5.0,1.85
5,81.789084,752.62,151.4,6194.8,80.02,40.06,57.0,3.0,6.0
4,87.924525,745.875,163.25,3316.85725,72.9075,5.363,35.756645,2.5,11.0
5,107.37308,777.86,158.8,6296.4858,71.406,7.4384,96.205316,2.6,76.5
3,126.697156666667,597.166666666667,186.0,8401.66666666667,67.9333333333333,12.5,48.0,4.33333333333333,1.468
6,31.8030566666667,973.8,102.333333333333,2531.58648333333,115.516666666667,4.11833333333333,27.48868,3.16666666666667,32.0
2,46.1807693,741.5,130.0,4920.0,22.75,9.025,177.5,2.5,1.132
2,136.4834,607.6,200.0,10670.5,53.0,22.5,33.5,4.5,9.9
4,89.6417175,784.825,143.25,5449.10725,90.85,6.2805,106.006645,2.75,28.7
2,159.9085,868.55,151.5,14400.0,172.1,21.75,76.5,6.0,1.8
5,69.188633856,760.46,160.0,3136.6858,65.21,9.8444,40.805316,2.8,4.5
2,144.9364745,776.45,186.0,13935.0,155.95,19.65,187.0,5.0,10.56
7,107.077671428571,756.271428571429,169.428571428571,6005.06128571429,44.35,6.336,101.046654285714,2.14285714285714,132.0
6,100.373558333333,710.916666666667,173.833333333333,5418.5715,58.9866666666667,6.827,112.837763333333,2.5,110.5
6,94.2669,741.95,168.0,6425.23816666667,79.1216666666667,10.4203333333333,96.1710966666667,3.16666666666667,25.0
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,47.02
6,80.79362,717.75,174.5,4106.5715,60.3866666666667,7.927,108.00443,2.33333333333333,78.0
6,89.0509833333333,708.6,187.333333333333,4368.90483333333,61.1633333333333,7.937,80.50443,2.5,44.0
4,106.56954875,680.85,163.5,7887.25,37.15,7.815,72.25,3.25,2.15
5,95.279119,864.94,153.8,6981.0858,68.91,7.9624,105.265316,2.4,96.0
4,90.2786,773.025,163.0,4870.35725,82.3375,7.1055,108.756645,2.25,93.8
3,50.4954666666667,839.966666666667,147.666666666667,2379.47633333333,52.71,8.974,19.00886,2.66666666666667,0.27
4,90.1422625,781.2,156.25,5572.60725,91.35,6.4305,106.006645,3.0,21.3
4,90.1422625,781.2,156.25,5572.60725,91.35,6.4305,106.006645,3.0,10.8
3,49.2153462,602.0,141.666666666667,4904.66666666667,42.1666666666667,13.03,98.3333333333333,3.66666666666667,12.9
3,105.985156666667,701.533333333333,163.0,7830.66666666667,75.0666666666667,18.2666666666667,48.0,3.66666666666667,0.96
5,95.50928,742.52,177.4,4334.2858,67.176,7.4044,98.405316,2.2,80.2
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,59.0
6,81.6830416666667,716.15,176.333333333333,4250.5715,60.72,8.06033333333333,108.671096666667,2.33333333333333,85.8
2,185.0235,764.4,190.5,20135.0,48.05,34.0,109.0,6.5,2.4
5,103.56381,743.8,171.6,6038.2858,83.38,7.1444,87.005316,3.0,12.1
3,27.661,731.766666666667,136.0,2901.66666666667,12.9333333333333,25.8,69.6666666666667,3.0,37.8
3,97.2702333333333,846.733333333333,150.0,10596.6666666667,102.966666666667,58.6666666666667,149.666666666667,5.33333333333333,11.3
5,79.171174,738.22,167.0,4033.4858,66.244,7.2324,126.205316,2.2,35.0
5,89.395704,734.96,170.8,4875.4858,73.986,6.9044,92.205316,2.6,17.0
5,92.74308,859.58,154.6,7081.0858,68.766,11.9224,116.465316,2.8,56.0
4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,89.3
3,115.74195,639.966666666667,207.666666666667,8247.66666666667,61.8,15.7,49.3333333333333,4.0,2.2
2,161.8992,630.45,149.5,8545.0,61.55,7.08,45.0,4.0,4.0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,37.0
4,64.120475,783.775,130.0,5867.25,87.15,48.55,68.5,3.0,16.0
4,48.45859232,697.575,163.5,4029.75,38.7175,13.16,117.25,2.75,14.0
2,143.37275,744.6,183.0,15850.0,95.65,28.35,160.0,6.0,7.3
7,105.463114285714,738.942857142857,151.285714285714,5938.77557142857,61.7857142857143,6.97028571428571,108.575225714286,2.85714285714286,94.0
2,74.4685,684.05,177.0,8438.5,55.95,22.2,71.0,5.0,3.5
6,85.351375,738.866666666667,170.333333333333,4480.5715,70.7133333333333,7.95366666666667,89.50443,2.5,40.9
3,122.101133333333,623.5,206.666666666667,8054.0,72.1666666666667,11.9,38.3333333333333,2.66666666666667,4.5
1,180.94788,760.1,200.0,16650.0,32.5,36.0,57.0,5.0,4.21
3,64.1415666666667,744.7,181.333333333333,1455.80966666667,69.2833333333333,3.51733333333333,39.3421933333333,1.66666666666667,30.8
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,53.0
3,68.2298,857.466666666667,148.333333333333,5000.47633333333,83.9433333333333,11.3073333333333,51.6755266666667,3.33333333333333,2.69
5,69.321369,860.62,143.4,5828.4858,71.18,12.9644,48.405316,3.6,4.96
2,159.60065,573.45,156.0,9580.0,25.55,3.73,64.0,3.0,3.45
5,73.000813,781.26,151.8,5327.4858,76.726,8.7644,109.605316,2.6,31.8
5,82.32534,757.08,152.4,4998.2858,58.7,6.8124,136.205316,2.2,70.0
5,101.20892,740.58,165.2,8658.0,71.774,15.108,82.2,4.0,30.5
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,55.1
2,155.0252,706.6,160.5,11075.0,97.75,18.3,64.0,5.5,4.12
5,103.010254,770.22,150.0,5503.4858,82.226,7.7044,91.205316,2.8,27.0
7,97.4795707142857,767.528571428571,150.714285714286,6165.91842857143,66.7571428571429,8.81885714285714,111.146654285714,3.0,50.7
5,75.05873,818.8,156.8,4574.4858,59.446,11.3244,35.405316,3.2,14.0
2,53.45654,1032.55,127.0,4285.6255,48.05,13.58,27.012915,4.0,12.1
3,79.6459,833.766666666667,161.333333333333,6702.47633333333,90.8333333333333,12.5173333333333,90.00886,3.0,1.5
3,50.6190506333333,660.366666666667,177.333333333333,1558.0,87.8333333333333,36.6966666666667,87.0,2.0,12.0
4,69.32994875,753.1,160.25,6282.75,42.1075,16.425,66.0,3.5,9.5
5,83.24476,779.88,149.8,4584.2858,73.1,8.1524,128.605316,2.6,105.7
7,81.5013785714286,774.371428571429,157.571428571429,4933.347,56.8714285714286,8.50171428571429,111.432368571429,2.57142857142857,47.8
3,80.5095873333333,861.8,131.0,5697.66666666667,91.8333333333333,9.29,7.81366666666667,5.0,4.63
2,155.8922845,723.65,165.0,13305.0,127.35,7.88,201.0,4.0,0.0625
3,71.3402733333333,1023.46666666667,113.333333333333,6203.3633,102.766666666667,12.7626666666667,19.1285,4.0,4.2
2,95.905675,667.45,192.5,8461.0,71.15,16.55,83.5,4.5,1.48
3,45.9025333333333,741.733333333333,145.666666666667,4712.0,52.6,14.8333333333333,71.3333333333333,3.0,18.0
4,96.03285,785.4,168.0,5384.35725,82.3375,10.3055,108.256645,2.25,75.0
4,116.974825,731.775,158.25,10013.5,114.9,32.5,94.0,4.25,4.1
7,107.261364285714,765.757142857143,168.428571428571,6268.20414285714,47.86,6.82171428571429,98.4752257142857,2.28571428571429,20.3
5,60.78765,776.06,160.0,4114.0858,61.826,10.2844,94.805316,2.6,21.0
4,90.1422625,781.2,156.25,5572.60725,91.35,6.4305,106.006645,3.0,10.4
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,82.0
4,49.16019875,745.825,147.25,5759.0,55.75,15.175,78.5,3.25,9.78
2,162.2832845,879.15,148.5,12770.0,208.0,15.0,161.5,5.5,1.71
2,208.0902,709.05,148.5,10560.0,64.65,7.835,21.5,4.5,8.03
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,42.0
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,34.8
5,101.36725,737.88,177.6,8648.2,71.774,15.388,82.6,4.0,20.5
5,51.8479,769.78,154.4,4066.2858,67.72,10.0724,145.805316,2.8,65.0
4,84.0249025,799.025,158.5,5227.85725,80.1075,9.5305,113.006645,2.25,62.0
3,110.030616666667,621.933333333333,191.666666666667,7843.66666666667,61.8,14.2,49.3333333333333,4.33333333333333,4.92
5,120.73388,865.14,161.0,9405.0858,59.07,11.3224,94.865316,3.0,94.8
2,74.9587,697.95,177.5,7709.5,78.05,19.1,57.0,3.0,2.0
7,90.5808928571429,760.057142857143,177.428571428571,4951.06128571429,45.8357142857143,7.36457142857143,96.9037971428571,2.14285714285714,39.5
7,111.15661,760.771428571429,151.428571428571,6675.91842857143,66.4185714285714,8.156,81.4323685714286,3.0,21.1
4,113.18425,755.4,144.5,6994.0,87.75,8.9675,31.13,4.5,4.53
6,73.2022615466667,732.5,156.5,3981.5715,69.9666666666667,7.227,130.50443,2.33333333333333,65.5
1,26.9815386,577.2,118.0,2700.0,44.0,10.7,235.0,3.0,1.159
5,100.210634,765.32,146.4,7865.2,98.28,37.68,53.6,3.8,3.45
3,39.64126,1050.26666666667,107.0,3610.417,83.8333333333333,44.0533333333333,64.6752766666667,4.0,17.9
3,73.4598333333333,718.666666666667,165.0,7070.33333333333,93.5,32.3,97.6666666666667,4.66666666666667,5.7
6,78.8920666666667,761.566666666667,166.5,6061.5715,72.055,12.6203333333333,98.00443,3.16666666666667,32.2
5,85.85668,807.1,145.2,5960.0858,73.38,6.6544,109.605316,2.6,18.1
3,129.624833333333,669.566666666667,181.333333333333,9608.66666666667,90.5,16.2,77.3333333333333,4.33333333333333,1.32
3,144.592733333333,717.966666666667,154.666666666667,9713.33333333333,90.8333333333333,7.69,177.333333333333,3.0,7.25
2,141.573735,536.3,200.5,6578.0,50.5,6.7,15.0,3.0,1.72
3,112.3888,861.766666666667,164.666666666667,7587.143,79.35,14.4073333333333,62.6755266666667,3.33333333333333,1.9
6,81.6830416666667,716.15,176.333333333333,4250.5715,60.72,8.06033333333333,108.671096666667,2.33333333333333,84.6
5,85.29888,799.58,158.8,5324.2858,66.17,7.1544,111.005316,2.2,36.9
3,70.3706395333333,633.5,174.0,5927.0,58.0666666666667,19.5,104.0,4.0,17.4
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,4.7
3,49.3244728666667,675.6,142.333333333333,4533.33333333333,88.9,29.2333333333333,146.333333333333,4.0,18.7
5,104.23068,744.78,163.4,6112.2858,83.38,7.1844,87.805316,2.8,18.0
5,91.50808,831.2,162.2,5511.0858,56.644,6.4304,125.265316,2.0,133.4
6,110.320616666667,790.816666666667,161.166666666667,6567.5715,50.6533333333333,6.05866666666667,112.05443,2.16666666666667,134.0
4,57.44444875,763.2,154.0,6012.75,41.4425,16.56,107.25,3.5,18.5
3,66.4814666666667,980.4,109.0,4705.143,117.133333333333,10.5073333333333,27.3421933333333,3.66666666666667,10.0
5,79.171174,738.22,167.0,4033.4858,66.244,7.2324,126.205316,2.2,77.0
5,109.3031,741.8,157.0,6656.4858,68.226,9.5044,99.405316,2.4,81.5
6,80.5793116666667,706.683333333333,175.666666666667,3799.5715,56.2916666666667,7.36033333333333,111.00443,2.16666666666667,73.0
2,120.042,762.95,178.0,13533.5,80.8,22.35,86.0,5.0,4.97
3,45.2957728666667,851.3,121.333333333333,3757.143,91.3666666666667,12.574,96.3421933333333,3.33333333333333,7.1
4,29.21368,951.975,116.5,2276.629725,91.375,7.645,34.80177,2.25,5.5
5,88.936744,743.42,170.6,4617.8858,71.69,7.8044,89.605316,2.4,54.3
3,129.624833333333,669.566666666667,181.333333333333,9608.66666666667,90.5,16.2,77.3333333333333,4.33333333333333,1.2
2,30.93685,1029.65,116.0,2254.1255,8.8,9.53,11.012915,3.5,5.49
5,52.14440704,1060.9,107.8,3169.225,122.24,4.2444,18.458056,2.8,5.8
5,84.84188,746.2,173.2,4617.4858,66.644,9.9524,126.605316,2.2,71.6
2,157.704,782.0,163.5,10422.0,15.95,2.775,45.15,2.5,3.81
3,64.1726395333333,666.933333333333,147.0,5531.0,84.0333333333333,23.1,116.333333333333,4.0,20.29
6,61.6749788666667,1024.21666666667,116.166666666667,4481.6875,103.283333333333,9.272,43.6757133333333,2.66666666666667,25.4
5,98.562254,841.58,134.6,6405.4858,81.22,7.5744,108.205316,2.8,24.2
3,140.9075,818.866666666667,158.666666666667,13750.0,151.8,21.7333333333333,101.0,6.0,2.82
6,93.4109666666667,738.483333333333,159.166666666667,4988.5715,69.5,7.977,110.00443,2.66666666666667,83.3
3,63.90496,657.166666666667,181.666666666667,6395.66666666667,49.6,22.7666666666667,35.6666666666667,4.66666666666667,7.3
6,95.5789666666667,748.933333333333,163.666666666667,5137.0715,69.5,8.46033333333333,109.00443,2.66666666666667,21.6
6,103.903966666667,769.1,150.5,5710.23816666667,67.0166666666667,7.58866666666667,113.00443,2.83333333333333,102.0
6,90.0163116666667,703.766666666667,173.5,4529.5715,63.7866666666667,7.21033333333333,108.00443,2.33333333333333,78.0
4,94.8431,781.9,168.5,5255.60725,82.3375,8.1055,107.256645,2.25,71.0
4,77.85185,784.65,154.5,4650.35725,80.1075,7.1055,113.006645,2.25,24.0
6,91.074375,795.233333333333,170.5,5337.90483333333,52.3866666666667,7.25866666666667,107.221096666667,2.16666666666667,21.0
5,82.84008,748.84,174.6,4384.4858,66.644,7.9724,125.805316,2.2,49.0
3,111.741666666667,799.666666666667,143.666666666667,7860.0,103.833333333333,14.1666666666667,58.0683333333333,5.33333333333333,14.9
7,81.5375135714286,719.728571428571,176.714285714286,4945.347,57.85,10.566,109.718082857143,2.42857142857143,54.0
2,82.9435043,559.15,156.5,4423.0,46.75,8.5,124.0,3.0,3.25
4,76.797975,656.575,191.5,4491.75,40.5125,12.9575,61.75,2.75,36.5
4,74.9060405,752.475,156.25,4891.0,80.4875,14.41,42.309,3.25,0.68
5,79.171174,738.22,167.0,4033.4858,66.244,7.2324,126.205316,2.2,68.0
1,112.411,867.2,161.0,8650.0,1.5,6.3,96.0,2.0,0.5115
5,103.010254,770.22,150.0,5503.4858,82.226,7.7044,91.205316,2.8,38.8
5,100.210634,765.32,146.4,7865.2,98.28,37.68,53.6,3.8,8.5
3,52.7216333333333,874.3,141.666666666667,4207.47633333333,79.0666666666667,14.674,18.00886,3.66666666666667,7.5
6,55.9406058666667,1041.78333333333,108.833333333333,3595.52083333333,115.116666666667,8.15366666666667,23.7150466666667,3.16666666666667,21.14
2,126.861735,549.55,175.5,6728.0,39.95,4.78,47.5,3.0,9.7
5,74.290174,810.8,149.8,4975.4858,63.986,6.9944,113.605316,2.2,26.1
4,142.3767,808.425,149.5,6157.85725,71.8125,5.973,15.256645,3.25,10.3
4,88.9444675,775.425,160.25,4654.35725,81.8375,6.9055,107.756645,2.25,39.0
5,54.29819,789.56,138.6,6094.0,86.2,41.86,79.0,3.6,7.0
2,140.69775,647.35,190.5,12880.0,56.35,23.6,86.5,5.0,1.9
6,103.097283333333,722.183333333333,171.5,5628.73816666667,58.9866666666667,7.34366666666667,112.50443,2.33333333333333,93.6
4,61.7650405,903.725,127.0,4177.10725,70.925,5.4405,24.065645,3.25,3.1
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,26.2
6,95.3388666666667,700.516666666667,173.666666666667,5091.90483333333,64.12,9.56033333333333,107.50443,2.5,58.0
2,74.9587,697.95,177.5,7709.5,78.05,19.1,57.0,3.0,2.77
3,80.5095873333333,861.8,131.0,5697.66666666667,91.8333333333333,9.29,7.81366666666667,5.0,5.31
6,94.2181122,962.7,125.5,4207.02083333333,144.533333333333,4.652,5.70988,3.33333333333333,2.93
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,32.1
4,168.242,704.825,179.75,9884.25,30.0,4.705,34.575,3.0,6.9
2,25.6432693,657.25,131.5,2219.0,22.75,9.7,197.5,2.5,0.84
3,116.899065,689.766666666667,173.0,7593.33333333333,75.1666666666667,10.3,68.6666666666667,3.66666666666667,3.4
5,87.73674038,710.3,191.2,3764.4858,71.19,6.9624,94.205316,2.0,84.5
5,72.383174,781.46,152.6,5122.2858,67.126,8.2844,105.405316,2.4,16.04
5,74.23165,816.36,160.0,4816.6858,62.09,8.0144,111.005316,2.2,6.0
4,100.351275,734.25,171.75,3536.85725,75.1375,5.363,31.506645,2.5,27.0
4,105.313925,787.375,150.5,6080.35725,74.6375,6.3805,116.006645,2.25,11.0
3,20.6991795333333,704.9,116.666666666667,2299.33333333333,24.5666666666667,23.1333333333333,140.666666666667,2.66666666666667,33.5
3,15.7089,874.4,99.6666666666667,2152.66666666667,61.7,54.5666666666667,109.0,3.0,24.9
6,84.188275,752.466666666667,160.166666666667,4565.5715,66.1,8.69366666666667,110.00443,2.66666666666667,72.4
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,29.8
5,91.50808,831.2,162.2,5511.0858,56.644,6.4304,125.265316,2.0,94.0
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,14.7
5,86.52248,801.3,165.2,5392.8858,66.17,7.4344,110.205316,2.2,86.3
2,179.71894,667.65,204.0,14980.0,17.0,30.75,40.0,4.5,6.9
4,76.4445625,794.0,164.5,4235.85725,77.2375,8.1805,108.756645,2.25,20.0
5,60.93397464,1047.9,111.0,3950.025,123.64,9.6564,28.410856,2.8,23.3
5,72.89433,782.44,161.4,5170.2858,84.49,9.9844,105.205316,2.2,54.0
2,39.5135,718.05,141.0,4220.0,93.6,36.5,90.5,4.5,4.75
5,91.50808,831.2,162.2,5511.0858,56.644,6.4304,125.265316,2.0,100.0
3,126.697156666667,597.166666666667,186.0,8401.66666666667,67.9333333333333,12.5,48.0,4.33333333333333,2.134
6,93.4002005333333,961.1,118.5,4240.35416666667,144.866666666667,4.28533333333333,6.04321333333333,3.5,4.46
4,76.931255,962.85,122.0,3698.0,202.325,32.49,39.39225,4.75,11.6
5,91.06128,813.88,162.0,5236.2858,66.17,7.2744,115.405316,2.2,73.9
4,64.6322175,797.15,145.5,4164.35725,78.9425,7.0405,153.256645,2.25,42.5
2,98.515,697.55,184.0,11325.0,88.1,30.85,129.5,6.0,1.66
6,84.1357616666667,923.25,125.833333333333,4600.28,111.766666666667,5.67366666666667,71.4169016666667,3.5,20.5
2,188.2185,789.45,186.5,21805.0,61.8,32.0,67.5,6.5,1.88
7,77.2295314285714,723.657142857143,171.857142857143,4644.77557142857,54.2171428571429,8.766,103.86094,2.42857142857143,51.0
6,103.903966666667,769.1,150.5,5710.23816666667,67.0166666666667,7.58866666666667,113.00443,2.83333333333333,96.0
3,107.24042,693.833333333333,191.333333333333,9909.0,43.0666666666667,27.1666666666667,44.3333333333333,4.66666666666667,7.78
6,96.85902,745.566666666667,162.5,5286.0715,69.5,9.627,109.837763333333,2.66666666666667,1.5
2,155.8922845,723.65,165.0,13305.0,127.35,7.88,201.0,4.0,0.077
5,53.79222,847.14,141.4,3256.2858,87.424,26.9724,151.605316,2.4,115.5
7,96.908835,761.628571428571,152.0,5961.63271428571,57.6571428571429,8.39028571428571,97.96094,3.0,103.8
2,137.225,630.0,199.0,11795.0,37.45,30.75,81.0,5.0,2.6
2,107.33319,748.45,165.5,7633.5,96.15,23.25,39.0,5.0,8.6
4,81.75669875,741.475,168.75,6502.75,44.3375,16.425,61.75,3.5,14.5
5,72.32465,787.02,162.8,4963.4858,65.23,9.3044,102.805316,2.4,91.8
2,166.994735,704.6,186.0,13798.0,128.15,13.15,42.0,4.5,0.46
2,98.799435,638.65,172.0,7527.0,81.5,11.75,52.0,2.5,2.4
4,62.6123275,802.775,131.25,5737.0,87.15,47.25,68.75,3.0,10.9
4,80.1477,940.0,105.75,5175.35725,139.15,6.488,102.057895,3.75,2.99
1,12.0107,1085.7,67.0,2260.0,155.4,105.0,140.0,4.0,15.0
3,93.1187733333333,789.566666666667,157.333333333333,6124.0,149.233333333333,10.7533333333333,139.149666666667,4.0,10.1
5,103.010254,770.22,150.0,5503.4858,82.226,7.7044,91.205316,2.8,20.0
