Solvent,Solute,Cmax_at_percent,Dsf_percent,lsf_percent,VLF_percent,source_page
Cu,Ni,32,-8.45,-2.9,-1.22,7
Cu,P,2,16.51,5.22,-28.12,7
Cu,Pd,31,27.96,8.56,2.59,7
Cu,Pt,40,31.19,9.47,2.58,7
Cu,Sb,6,91.87,24.25,-24.99,7
Cu,Si,12,5.08,1.68,-38.02,7
Cu,Sn,9,83.4,22.41,-19.92,7
Cu,Th,1.5,49.12,14.25,-46.44,7
Cu,Ti,0.25,25.74,7.93,-15.95,7
Cu,Tl,2.5,129.16,31.84,-5.33,7
Cu,Zn,15,17.1,5.4,-9.09,7
Er,Gd,25,10.14,3.27,1.91,7
Fe,Al,25,12.79,4.08,-19.67,7
Fe,Au,0.6,44.16,12.96,0.11,7
Fe,Be,20,-26.23,-9.64,6.9,7
Fe,Co,20,1.54,0.5,7.37,7
Fe,Cr,9,4.36,1.43,2.52,7
Fe,Cu,0.7,17.53,5.52,17.19,7
Fe,Ge,10,16.48,5.21,-39.41,7
Fe,Mn,10,4.89,1.6,1.16,7
Fe,Mo,2,27.51,8.43,-3.62,7
Fe,Nb,3,17.58,6.1,-23.08,7
Fe,Ni,5,4.65,1.52,12.62,7
Fe,P,3.5,-13.16,-4.59,-46.56,7
Fe,Pd,5.5,62.19,17.49,29.67,7
Fe,Ru,1.8,19.92,6.24,4.21,7
Fe,Sb,2.5,36.4,10.9,-46.17,7
Fe,Si,10,-7.88,-2.7,-45.82,7
Fe,Sn,10,67.7,18.81,-26.64,7
Fe,Te,0.6,8.66,2.8,-62.34,7
Fe,Ti,1.8,14.44,4.39,-23.72,7
Fe,V,30,10.51,3.38,-6.27,7
Fe,W,7,32.99,9.97,-1.24,7
Fe,Zn,24,21.07,6.58,-6.5,7
Gd,Er,55,-6.94,-2.37,-0.57,7
Gd,Lu,20,-12.03,-4.18,-1.24,7
Ge,Ga,1,2.21,0.72,18.11,7
Ge,Si,25,-20.65,-7.42,-11.55,7
Ge,Sn,1,49.53,14.35,25.12,7
In,Bi,4,31.09,9.44,-3.06,7
In,Cd,4,-15.24,-5.36,2.86,7
In,Hg,6,-11.55,-4.01,-3.53,7
In,Li,14,-13.61,-4.76,19.55,7
In,Mg,35,-1.16,-0.39,12.25,7
In,Pb,12,21.52,6.7,4.72,7
In,Sn,7.5,5.22,1.7,1.73,7
In,Ti,20,10.97,3.52,1.58,7
Ir,Cr,16,-16.12,-5.69,-1.11,7
Ir,Mn,40,6.04,-2.06,8.84,7
Ir,Mo,18,6.48,2.11,-3.33,7
Ir,Pd,26,2.83,0.93,-1.21,7
Ir,Pt,25,8.09,2.9,1.24,7
Ir,Ru,25,-4.43,-1.5,-0.27,7
Ir,Ta,10,-14.14,4.5,-10.38,7
Ir,Ti,10,8.62,2.79,-13.03,7
Ir,W,20,6.93,2.26,-4.59,7
K,Cs,25,41.53,12.27,-7.17,7
La,Ce,25,-7.04,-2.4,1,8
La,Y,15,-8.97,-3.08,3.34,8
Li,Mg,50,-4.16,-1.41,-10.85,8
Nb,Hf,50,18.58,5.84,-4.32,8
Lu,Gd,20,14.03,4.46,1.57,8
Lu,Tb,23,10.09,3.25,1.46,8
Nb,Ru,25,-32.48,-12.27,-10.48,8
Mg,Ag,3,-63.42,-28.48,60.15,8
Mg,Al,9.3,-35.8,-13.73,-10.11,8
Mg,Bi,1,23.41,7.25,-18.94,8
Mg,Cd,16,-21.08,-7.59,-14.85,8
Mg,Cu,0.4,-6.59,-2.25,83.73,8
Mg,Ga,2.5,-35.58,-13.63,-18.44,8
Mg,Ge,0.1,9.47,3.06,12.36,8
Mg,Hg,1.2,-41.78,-16.5,-42.24,8
Mg,In,10,-7.12,-2.43,-17.5,8
Mg,La,0.5,80.8,21.82,12.54,8
Mg,Li,5.8,-12.53,-4.38,-6,8
Mg,Mn,2.5,-17.43,-6.18,57.71,8
Mg,Pb,7,14.11,4.49,-12.54,8
Mg,Sn,2.5,-1.25,-0.42,-15.15,8
Mg,Tl,9.1,-4.82,-1.63,-22.61,8
Mg,Yb,1.2,23.11,7.17,-13.38,8
Mg,Zn,3,-48.79,-20,-21.75,8
Ni,Mn,25,23.2,7.2,7.16,8
Mn,Al,10,16.2,5.13,-11.89,8
Mn,As,3.7,24.7,7.63,-27.08,8
Mn,Co,13,3.06,1.01,16.62,8
Mn,Cr,8,-4.78,-1.62,-0.3,8
Mn,Cu,16,21.16,6.6,29.54,8
Mn,Fe,10,-3.72,-1.25,3.2,8
Mn,Ga,20,27.12,8.32,-18.44,8
Mn,Ge,7.5,34.51,10.39,-25.54,8
Mn,In,15,88.11,23.44,-9.27,8
Mn,Ni,14,16.9,5.34,34.79,8
Mn,Pd,18,79.74,21.59,53.09,8
Mn,Pt,11,67.34,18.72,41.5,8
Mn,Re,5,20.27,6.35,-0.23,8
Mn,Ru,10,58.34,16.55,42.36,8
Mn,Si,14,-15.44,-5.44,-46.7,8
Mn,Zn,18,36.79,11,13.12,8
Mo,Cr,30,-17.87,-6.35,7.08,8
Mo,Hf,20,25.77,7.94,-11.56,8
Mo,Ir,7,-6.98,-2.38,2.49,8
Mo,Nb,20,12.8,4.09,-2.8,8
Mo,Os,10,-9.62,-3.32,0.58,8
Mo,Pd,5,-4.49,-1.52,1.06,8
Mo,Re,15,-5.56,-1.89,-0.76,8
Mo,Rh,20,-10.4,-3.59,1.41,8
Mo,Ru,18,-5.92,-1.98,7.98,8
Mo,Ta,40,12.68,4.05,-2.66,8
Mo,Ti,8,0.56,0.18,-11.62,8
Mo,W,34,1.74,0.57,-0.02,8
Nb,Fe,1,-38.37,-14.92,-5.87,8
Nb,Mo,30,-16.45,-5.81,-3.04,8
Nb,Re,20,-25.37,-9.29,-8.7,8
Nb,Si,2,4.96,1.62,23.49,8
Nb,Ta,100,-0.26,-0.09,-0.26,8
Nb,Ti,45,-3,-1.01,5.02,8
Nb,U,20,5.03,1.65,-10.16,8
Nb,V,30,-17.81,-6.33,6.68,8
Nb,W,30,-98.22,-6.49,-7.47,8
Nb,Zr,50,27.11,8.32,-1.65,8
Ni,Al,10,14.7,4.67,-24.41,8
Ni,Au,15,63.6,17.83,5.54,8
Ni,Co,100,1.76,0.58,Nil,8
Ni,Cr,40,10.34,3.33,0.86,8
Ni,Cu,68,7.18,2.33,-0.66,8
Ni,Fe,58,10.57,3.4,2.8,8
Ni,Ga,20,17.16,5.41,-34.4,8
Ni,Ge,10,14.76,4.68,-44.48,8
Ni,In,5,36.66,10.96,-42.87,8
Ni,Mo,22,22.27,6.93,-14.05,8
Ni,Nb,8,51.24,14.79,-7.9,8
Ni,Os,12,7.71,2.51,-15.71,8
Ni,Pd,30,41.33,12.21,5.03,8
Ni,Pt,25,45.68,13.37,5.54,8
Ni,Ru,20,28.76,8.79,4.35,8
Ni,Sb,5.5,21.32,6.65,-56.08,8
Ni,Si,12,-5.81,-1.98,-48.53,8
Ni,Sn,10,74.08,20.29,-29.7,8
Ni,Ti,9,29.43,8.97,-19.84,8
Ni,V,20,13.34,4.26,-11.69,8
Ni,W,15,36.93,11.04,-5.76,8
Ni,Zn,23,19.9,5.24,-13.74,8
Np,Pu,40,5.58,1.82,-7.51,8
Np,U,10,11.14,3.58,2.87,8
Os,Mn,30,10.83,3.48,23.1,8
Os,Mo,40,10.23,3.3,-0.95,8
Os,Re,40,4.27,1.4,-1.98,8
Os,Ru,50,-2.49,-0.84,0.33,8
Os,Ta,20,29.57,9.02,0.53,8
Os,Tc,40,1.83,0.6,-0.68,8
Os,W,20,11.04,3.35,-2.32,8
Pb,Bi,20,7.04,2.29,-8.2,8
Pb,Ca,1,-7.78,-2.66,-35.5,8
Pb,Cd,5,-43.11,-17.14,-19.87,8
Pb,Hg,10,-5.25,-1.78,22.59,9
Pb,In,14,-11.16,-3.87,2.29,9
Pb,Na,9,-2.49,-0.84,-25.16,9
Pb,Sb,0.2,-14.08,-4.93,-13.78,9
Pb,Sn,5,-8.25,-2.83,2.94,9
Pu,Sc,6,12.45,3.98,14.23,9
Pb,Te,0.3,-28.89,-10.74,-36.54,9
Pb,Tl,40,-4.53,-1.53,1.28,9
Pu,Zn,3,-39.47,-15.41,-0.69,9
Pu,Zr,10,0.48,0.15,7.62,9
Pd,Ag,20,13.12,4.19,-2.29,9
Pd,Au,20,16.31,5.1,8.43,9
Pd,Bi,0.2,52.59,15.12,-36.7,9
Pd,Cd,30,21.63,6.73,-16.92,9
Pd,Co,20,-15.37,-5.41,11.07,9
Re,Pt,20,15.35,4.32,4.62,9
Pd,Cr,10,-1.45,-0.49,20.94,9
Re,Ru,25,-9.02,-3.1,-1.34,9
Pd,Cu,48,-18.6,-6.63,1.54,9
Re,Tc,40,-2.85,-0.86,-0.42,9
Pd,Fe,20,-11.71,-4.07,10.43,9
Pd,Hg,12,32.09,-9.72,-17.21,9
Pd,Ir,20,-5.68,-1.93,-1.82,9
Pd,Mn,28,3.68,2.2,21.18,9
Pd,Mo,10,-4.4,-1.49,-9.69,9
Pd,Nb,12,6,1.96,-13.28,9
Pd,Ni,12,-14.41,-5.06,15.17,9
Rh,Pd,50,7.56,2.46,0.58,9
Pd,Pb,14,38.72,11.52,-32.63,9
Pd,Pt,40,1.52,0.49,-1.46,9
Pd,Rh,26,-4.97,-1.68,1.63,9
Pd,Ru,10,-8.27,-2.84,-1.23,9
Pd,Sn,26,27.08,8.31,-30.98,9
Pd,Ta,14,6.47,2.11,-12.99,9
Pd,U,11,9.43,3.04,9.43,9
Pd,V,20,-2.45,-0.82,2.19,9
Pd,Zn,20,-8.4,-2.98,-11.34,9
Pd,Zr,21,27.2,8.35,-19.69,9
Ru,Os,30,4.64,1.52,1.7,9
Ru,Pd,3,2.28,0.74,-5.91,9
Pt,Ag,30,8.88,2.88,-4.01,9
Ru,Re,42,7.29,2.36,-1.06,9
Pt,Al,10,-9.25,-3.18,-17.74,9
Ru,Rh,5,-0.37,-0.12,-1.65,9
Pt,Au,25,10.99,3.52,-1.17,9
Pt,Cd,27,16.99,5.36,-17.96,9
Pt,Co,22,-18.65,-6.65,9.26,9
Pt,Cr,44,-16.16,-5.7,5.53,9
Pt,Cu,38,-20.11,-7.21,2.18,9
Pt,Fe,40,-10.02,-3.46,15.46,9
Pt,Hg,10,19.89,6.23,-22.7,9
Pt,Ir,45,-6.76,-2.31,-4.45,9
Pt,Mo,38,-0.55,-0.18,-3.95,9
Pt,Nb,22,6.06,1.97,-10.98,9
Pt,Ni,18,-23.39,-8.5,5.75,9
Pt,Pd,20,-4.01,-1.36,-1.52,9
Pt,Re,42,2.02,0.66,4.57,9
Pt,Rh,100,-8.86,-3.04,Nil,9
Pt,Ru,60,-7.05,-2.41,3.84,9
Pt,Si,1,-14.56,-5.11,-35.55,9
Pt,Sn,8,-1.32,-0.44,-44.9,9
Pt,U,4,77.88,21.15,29.24,9
Pt,Zn,25,-7.68,-2.63,-8.38,9
Pu,Al,11,-46,-18.57,-18.83,9
Pu,Ce,20,13.54,4.32,-17.63,9
Pu,Hf,8,0.93,0.29,13.12,9
Pu,In,2,29.33,8.95,23.35,9
Pu,Np,60,-16.87,-5.97,-5.1,9
Pu,U,0.3,-8.41,-2.89,10.15,9
Rb,Cs,80,24.43,7.54,-1.02,9
Re,Os,30,-7.08,-0.34,-2.24,9
Rh,Au,2.4,9.15,2.95,-11.41,9
Rh,Cr,8,-7.27,-2.46,6.27,9
Rh,Ir,100,2.72,0.89,Nil,9
Rh,Mn,30,5.73,1.88,15.57,9
Rh,Mo,15,8.03,2.61,-4.67,9
Rh,Pt,100,10.52,4.84,Nil,9
Rh,Sn,10,35.94,10.77,-30.77,9
Rh,Ta,8,23.85,7.38,-5.46,9
Rh,W,14,9.6,3.2,-5.2,9
Ru,Ir,30,5.36,1.94,0.71,9
Ru,Mo,41,12.2,3.91,-1,9
Ru,Nb,2.4,13.19,4.21,-14.64,9
Ru,Ni,45,-16.3,-5.76,3.74,9
Ru,Ta,25,26.23,8.07,-4.91,9
Ru,Tc,25,4.46,1.46,-1.07,9
Ru,V,33,1.48,0.48,-2.08,9
Ru,W,36,19.95,6.25,1.76,9
Ru,Zr,0.5,-4.13,-1.4,29.24,9
Sb,As,80,-17.97,-6.39,15.23,9
Sb,Bi,100,16.45,5.2,Nil,9
Sb,Ge,2.5,-45.31,-18.22,-27.02,9
Sb,Sn,4,-15.1,-5.31,-5.19,9
Sc,Y,22,42.7,12.58,4.87,9
Sc,Zr,40,-8.67,-2.98,-2.01,9
Si,Ge,25,4.68,-1.53,-6.1,9
Sn,Bi,5,22.4,6.96,-6.43,9
Sn,Cd,1,-14.79,-5.2,6.99,9
Sn,Hg,7.2,-17.46,-6.2,-4.7,10
Sn,In,6,-3.14,-1.06,0.12,10
Sn,Pb,1,29.05,8.87,15.33,10
Sn,Sb,8.2,5.47,1.79,-5.56,10
Sn,Zn,0.7,-5.7,-1.94,67.67,10
Sr,Ba,20,21.65,6.74,6.98,10
Sr,Ca,100,-23.38,-8.49,Nil,10
U,Pu,20,1.41,-0.46,-15.82,10
Ta,Mo,35,-16.56,-5.86,-3.4,10
Ta,Nb,100,-0.23,-0.08,-0.23,10
Ta,Os,10,-28.47,-10.57,-7.82,10
Ta,Ru,25,-28.44,-10.56,-5.62,10
Ta,Ti,28,-3.59,-1.21,-1.64,10
Ta,V,20,-10.02,-3.46,15.43,10
Ta,W,75,-13.13,-4.58,-1.43,10
Ta,Zr,22,12.91,4.12,-12.67,10
V,Ta,70,36.06,10.8,-14.7,10
Tb,Lu,23,-6.12,-2.08,1.87,10
Tc,Co,40,-27.24,-10.06,-6.34,10
Tc,Ir,15,-2.43,-2.19,-5.3,10
Tc,Ni,30,-24.32,-8.87,-0.99,10
Tc,Os,50,-2.97,-1.00,-0.53,10
Tc,Pt,34,0.38,0.12,-4.5,10
Tc,Re,60,2.24,0.73,-0.26,10
Tc,Rh,50,-6.61,-2.28,-2.88,10
Tc,Ru,25,-6.39,-2.18,-1.16,10
Tc,U,2,-0.82,-0.74,-24.23,10
Th,Ce,25,-1.21,-0.41,-5.47,10
Th,Pu,40,-19.71,-7.06,5.76,10
Th,Rh,1,-5.78,-1.89,152.77,10
Th,Ru,1,3.65,1.19,151.19,10
Th,U,5,-6.09,-2.07,48.66,10
Th,Y,30,0.2,-0.05,-0.5,10
Th,Zr,10,-7.68,-10.25,2.06,10
Ti,Ag,5,-9.28,-3.2,-6.03,10
Ti,Al,27,-20.09,-7.2,-13.92,10
Ti,Cr,20,-37.71,-14.6,-8.32,10
Ti,Fe,20,-53.62,-22.59,-30.35,10
Ti,Hf,25,3.91,1.28,-17.31,10
Ti,Mn,13,-51.17,-21.25,-31.48,10
Ti,Mo,40,-20.96,-7.64,-11.09,10
Ti,Re,50,-30.16,-11.28,-16.1,10
Ti,Rh,15,-32.15,-12.13,-12.94,10
Ti,Ru,20,-33.75,-12.82,-15.83,10
Ti,Sn,11,13.6,4.26,-25.97,10
Ti,Ta,5.5,0.28,0.08,-1.69,10
Ti,V,8,-15.4,-5.42,-6.57,10
Ti,Zr,30,30.08,9.16,-1.34,10
Tl,In,6.5,-7.06,-2.41,1.61,10
U,Cr,1.4,4.03,1.33,89.14,10
U,Nb,30,-24.49,-8.94,-11.73,10
U,Os,12,15.99,5.06,15.99,10
U,Ti,3,-8,-2.74,8.06,10
V,Al,50,8.84,2.87,-8.74,10
V,Cr,40,-15.91,-5.61,-2.73,10
V,Fe,10,-18.86,-6.73,-4.34,10
V,Mo,50,9.83,3.18,-1.03,10
V,Nb,20,27.93,8.55,-1.44,10
V,Ru,20,-14.56,-5.11,-12.3,10
V,W,50,12.64,4.04,Nil,10
W,Cr,20,-21.73,-7.84,3.61,10
W,Mo,25,-1.55,-0.52,0.18,10
W,Nb,25,7.33,2.39,-5.15,10
W,Pt,4,-2.71,-0.91,2.09,10
W,Ru,12,-5.35,-1.82,10.54,10
W,Si,20,0.81,0.27,-80.03,10
W,Ta,45,11.01,3.54,-1.68,10
W,V,30,-10.6,-3.66,1.09,10
Y,Gd,25,0.65,0.2,0.39,10
Y,La,25,17.3,5.46,3.3,10
Y,Sc,22,-20.95,-7.54,7.57,10
Y,Th,27,-2.38,-0.8,0.18,10
Zn,Ag,5.5,-10.19,-3.52,-19.91,10
Zn,Al,1.5,-6.25,-2.13,-16.93,10
Zn,Au,5.5,-10.98,-3.8,-20.17,10
Zn,Cd,1.2,49.23,14.27,5.38,10
Zn,Cu,3,-54.57,-23.13,-41.49,10
Zn,Ga,2,25.33,7.79,-2.74,10
Zn,Hg,4,39.52,11.74,-9.59,10
Zr,Dy,7.5,26.92,8.27,-6.21,10
Zr,Nb,2,-6.4,-2.18,21.15,10
Zr,Sc,24,4.51,1.48,-2.59,10
Zr,Th,50,51.67,14.89,8.52,10
Zr,Ti,10,-22.33,-8.08,2.41,10
