year,title,authors,journal,volume,issue,pages,doi,type,cited_by,open_access,openalex_id,reason
2015,EXPERIMENTAL EVALUATION OF ARSENIC REMOVAL EFFECT BY USING SAND FILTER,Seiji Miura; Yoshinari HIROSHIRO,Journal of Japan Society of Civil Engineers Ser B1 (Hydraulic Engineering),71,4,I_241-I_246,10.2208/jscejhe.71.i_241,article,0,https://www.jstage.jst.go.jp/article/jscejhe/71/4/71_41/_pdf,W2971762094,研究分野が異なる（同姓同名の別人）
2015,"Refinement of Thermodynamic Parameters of the Mg24Y5, W and H Phases in the Mg-Zn-Y System",Satoshi Minamoto; Toshiaki Horiuchi; Seiji Miura,MATERIALS TRANSACTIONS,56,10,1670-1674,10.2320/matertrans.mh201418,article,7,https://www.jstage.jst.go.jp/article/matertrans/56/10/56_MH201418/_pdf,W1900395572,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2013,"Experimental Study on Phase Equilibria in the Vicinity of X, W and H Phases in the Mg&ndash;Zn&ndash;Y Ternary System",Atsushi Hamaya; Toshiaki Horiuchi; Yuki Oohira; Satoshi Minamoto; Seiji Miura; Norihito Sakaguchi,MATERIALS TRANSACTIONS,54,5,641-646,10.2320/matertrans.mi201209,article,13,https://www.jstage.jst.go.jp/article/matertrans/54/5/54_MI201209/_pdf,W1481275949,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2013,"Heterogeneous Nucleation of Pure Magnesium on Al3Ti, TiC, TiB2, and AlB2 Particles",Yoshimi Watanabe; Yan Bing Gao; Jun Guo; Hisashi Sato; Seiji Miura; Hiromi Miura,Japanese Journal of Applied Physics,52,1S,01AN04-01AN04,10.7567/jjap.52.01an04,article,18,,W1995439533,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2012,Experimental Study on Phase Diagram in the Vicinity of X or W Phase in the Mg-Zn-Y Ternary System,Tatsuo Horiuchi; H. Ikee; Atsushi Hamaya; Satoshi Minamoto; Sukeharu Nomoto; Seiji Miura,Materials science forum,706-709,,1170-1175,10.4028/www.scientific.net/msf.706-709.1170,article,4,https://doi.org/10.4028/www.scientific.net/msf.706-709.1170,W2083379938,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2012,Influence of moisture content on cyclic plastic deformation characteristics of recycled crusher-run material under moving wheel loads,Aasim Inam; Tatsuya Ishikawa; Seiji Miura,,,,213-218,10.1201/b12754-28,book-chapter,0,,W631504923,研究分野が異なる（同姓同名の別人）
2012,Standard Gibbs Energies of Formation of the Ferro- and Paramagnetic Phases of AlNd3,Masao Morishita; Keiichiro Ikeda; Naoto Nishimura; Seiji Miura; Yoshihiro Yamada,The Journal of Physical Chemistry C,116,38,20489-20495,10.1021/jp301259n,article,18,,W2331031986,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2011,Calorimetric study of AlNd2: Heat capacity. Standard Gibbs energy of formation,Masao Morishita; Hiroaki Yamamoto; Masahiro Kodera; Keiichiro Ikeda; Seiji Miura; Yoshihiro Yamada,Thermochimica Acta,526,1-2,90-98,10.1016/j.tca.2011.08.025,article,17,,W2082063043,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2010,DURABILITY OF HIGH FLEXURAL STRENGTH ALUMINA CEMENT-PHENOL RESIN COMPOSITE,Dinil Pushpalal; Toshio Kawano; Takeshi Kobayashi; Seiji Miura; Naomi Maeda; Masaki Hasegawa; T Takata,,,,,10.4324/9780203477151_durability_of_high_flexural_strength_alumina,book-chapter,0,,W2477047501,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2010,Microstructural Characterization of Nb-Al Base ODS Alloys,Shigeharu Ukai; Akinobu Minami; Shigenari Hayashi; Norihito Sakaguchi; Seiji Miura,Materials science forum,654-656,,436-439,10.4028/www.scientific.net/msf.654-656.436,article,1,https://www.scientific.net/MSF.654-656.436.pdf,W2038673614,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2010,Microstructure Simulation for Solidification of Magnesium–Zinc–Yttrium Alloy by Multi-phase-field Method Coupled with CALPHAD Database,Satoshi Minamoto; Sukeharu Nomoto; Atsushi Hamaya; Toshiaki Horiuchi; Seiji Miura,ISIJ International,50,12,1914-1919,10.2355/isijinternational.50.1914,article,23,https://www.jstage.jst.go.jp/article/isijinternational/50/12/50_12_1914/_pdf,W1987347854,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2008,Development of SiC particle-dispersed Mg-based functionally graded materials by a centrifugal solid-particle method,Yoshimi Watanabe; Hisashi Sato; Katsuya Mori; Su‐Min Lee; Ick Soo Kim; Hiromi Miura; Seiji Miura,,,,,,article,0,,W3088911444,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2007,,Yoshinao Mishima; Haruyuki Inui; Masao Takeyama; Kouki Takanashi; Ryoichi Nakatani; Seiji Miura; Kyousuke Yoshimi; Hideki Hosoda; Takayoshi Nakano; Yoshisato Kimura; Hiroyuki Yasuda; Satoshi Hata,Materia Japan,46,4,278-283,10.2320/materia.46.278,article,0,https://www.jstage.jst.go.jp/article/materia1994/46/4/46_4_278/_pdf,W4246964042,タイトル情報なし（OpenAlexメタデータ不備）
2005,Functionally Graded Material Fabricated by a Centrifugal Method from ZK60A Magnesium Alloy,Yoshimi Watanabe; Ryuho Sato; Ick Soo Kim; Seiji Miura; Hiromi Miura,MATERIALS TRANSACTIONS,46,5,944-949,10.2320/matertrans.46.944,article,17,https://www.jstage.jst.go.jp/article/matertrans/46/5/46_5_944/_pdf,W2108022160,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2005,Orientation Dependence of Ductility of Mg Single Crystals at Elevated Temperature,Hiromi Miura; Taku Sakai; Hiroshi Nogawa; Xu Yue Yang; Yoshimi Watanabe; Seiji Miura,Materials science forum,488-489,,193-196,10.4028/www.scientific.net/msf.488-489.193,article,7,https://doi.org/10.4028/www.scientific.net/msf.488-489.193,W2048200947,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2004,A Dynamic SDRAM-Mode Control Scheme for Low-Power Systems,Seiji Miura; Kazushige Ayukawa,IEICE Technical Report; IEICE Tech. Rep.,104,521,7-11,,article,0,,W2624602572,研究分野が異なる（同姓同名の別人）
2004,Development of Ti particle-dispersed Mg-based functionally graded materials by a centrifugal solid-particle method,Ryuho Sato; Yoshimi Watanabe; Seiji Miura; Hiromi Miura,Journal of Japan Institute of Light Metals,54,11,522-526,10.2464/jilm.54.522,article,1,https://www.jstage.jst.go.jp/article/jilm/54/11/54_11_522/_pdf,W1983312189,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2004,"Interphase boundary sliding of two-phase (α/β), (β/γ) and (γ/α) CuZnSn alloy couples produced by solid-to-solid diffusion bonding",Hiroyuki Miyamoto; Tatsuya Tanaka; T. Mimaki; Ryosuke Matsubara; Nobuyuki Ashie; Seiji Miura,Materials Science and Engineering A,380,1-2,34-40,10.1016/j.msea.2004.03.048,article,9,,W2024233008,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2004,Preliminary results on development of a thin GSO scintillator for neutron science,Junichi H. Kaneko; Nobuhiko Susa; Shigeo Tsuchida; M. Watanabe; Seiji Miura; Takahiko Mizuno; Yasuhiro Yamauchi; Masao Hashiba; Takayuki Oku; A. Homma; F. Fujita; Takashi Ino; M. Furusaka; Teruko Sawamura; Hirohiko M. Shimizu; Y. Kiyanagi,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,529,1-3,307-309,10.1016/j.nima.2004.04.169,article,24,,W2046548678,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2003,Deformation behavior of structure-sand deposits subjected to cyclic loading and FE analysis,Suehisa Kawamura; Seiji Miura; Shoji Yokohama,,,,,10.1201/noe9058096043.ch102,book-chapter,0,,W2502124660,研究分野が異なる（同姓同名の別人）
2003,Microstructure modifications by tensile deformation in Ti-Ni-Fe alloy,Minoru Nishida; Kōichi Tanaka; S. Li; M. Kohshima; Seiji Miura; Makoto Asai,Journal de Physique IV (Proceedings),112,,803-806,10.1051/jp4:20031003,article,22,,W2002263894,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
2002,Experimental Study on the Possibility of Using Permanently Recycled Concrete for Reinforced Concrete Structures.,Reiji Tanaka; Seiji Miura; Yoshiki Ohaga,Journal of the Society of Materials Science Japan,51,8,948-954,10.2472/jsms.51.948,article,8,https://www.jstage.jst.go.jp/article/jsms1963/51/8/51_8_948/_pdf,W2330358321,研究分野が異なる（同姓同名の別人）
2001,,Seiji Miura; Yoshihiro Terada; Tetsuo Mohri,Materia Japan,40,3,224-228,10.2320/materia.40.224,article,0,https://www.jstage.jst.go.jp/article/materia1994/40/3/40_3_224/_pdf,W2510286026,タイトル情報なし（OpenAlexメタデータ不備）
2001,A STUDY ON RC STRUCTURES USED THE RECYCLED AGGREGATE CONCRETE : Part 2 Experiment of RC beams used recycled aggregate concrete with many times recycled coarse aggregate,Reiji Tanaka; Seiji Miura; Yoshiki Ohaga,Journal of Structural and Construction Engineering (Transactions of AIJ),66,539,127-134,10.3130/aijs.66.127_1,article,3,https://www.jstage.jst.go.jp/article/aijs/66/539/66_KJ00004102323/_pdf,W571554579,研究分野が異なる（同姓同名の別人）
2001,A STUDY ON RC STRUCTURES USED THE RECYCLED AGGREGATE CONCRETE : Part 3 Experiment of RC beams used recycled aggregate concrete with all recycled fine and coarse aggregate,Reiji Tanaka; Seiji Miura; Yoshiki Ohaga,Journal of Structural and Construction Engineering (Transactions of AIJ),66,542,123-130,10.3130/aijs.66.123_1,article,1,,W2585803458,研究分野が異なる（同姓同名の別人）
2000,Effect of Recycled Times on Material Properties of Recycled Aggregate.,Seiji Miura; Yoshiki Ohaga; Reiji Tanaka,Journal of the Society of Materials Science Japan,49,10,1075-1078,10.2472/jsms.49.1075,article,0,https://www.jstage.jst.go.jp/article/jsms1963/49/10/49_10_1075/_pdf,W2313082851,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1999,Grinding induced subsurface cracks in silicon wafers,Zhijian Pei; S.R. Billingsley; Seiji Miura,International Journal of Machine Tools and Manufacture,39,7,1103-1116,10.1016/s0890-6955(98)00079-0,article,168,,W2047489894,研究分野が異なる（同姓同名の別人）
1996,Comparative analysis of the acoustic emission spectra in copper and copper- aluminum single crystals,Alexei Vinogradov; M. Nadtochiy; Satoshi Hashimoto; Seiji Miura,Revue de Métallurgie,93,2,215-224,10.1051/metal/199693020215,article,5,,W2575768239,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1996,Deformation mechanism in ?Cu-Al single crystals and bicrystals under scratching with pyramidal indentor,S. Kobayashi; Masanori Kuwata; Keisuke Mori; Seiji Miura,Journal of Materials Science,31,21,5797-5803,10.1007/bf01160831,article,2,,W2052817417,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1996,Effect of grain boundary on acoustic emission during plastic deformation of copper-aluminum bicrystals,Alexei Vinogradov; Satoshi Hashimoto; Seiji Miura,Acta Materialia,44,7,2883-2890,10.1016/1359-6454(95)00375-4,article,13,,W2031250959,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1996,Fatigue crack initiation and propagation in [210] oriented copper single crystals in vacuum and in air,Alexei Vinogradov; Satoshi Hashimoto; Seiji Miura,Scripta Materialia,34,5,775-779,10.1016/1359-6462(95)00571-4,article,1,,W2006727865,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1996,Structure changes during pseudoelastic deformation of CuAlMn single crystals,J. Dutkiewicz; Hirofumi Kato; Seiji Miura; U. Messerschmidt; Marion Bartsch,Acta Materialia,44,11,4597-4609,10.1016/1359-6454(96)00086-9,article,34,,W2010422445,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Acoustic Emission Spectrum and Its Orientation Dependence in Copper Single Crystals,Alexei Vinogradov; M. Nadtochiy; Satoshi Hashimoto; Seiji Miura,Materials Transactions JIM,36,4,496-503,10.2320/matertrans1989.36.496,article,25,https://www.jstage.jst.go.jp/article/matertrans1989/36/4/36_4_496/_pdf,W1990038269,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Acoustic emission analysis of the evolution of non-equilibrium dislocation-disclination structure of electrodeposited nickel under load,Alexei Vinogradov; А. А. Викарчук; Satoshi Hashimoto; Seiji Miura,Materials Science and Engineering A,197,1,59-68,10.1016/0921-5093(94)09736-4,article,0,,W2040324551,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Correlation between Spectral Parameters of Acoustic Emission during Plastic Deformation of Cu and Cu&ndash;Al Single and Polycrystals,Alexei Vinogradov; M. Nadtochiy; Satoshi Hashimoto; Seiji Miura,Materials Transactions JIM,36,3,426-431,10.2320/matertrans1989.36.426,article,27,https://www.jstage.jst.go.jp/article/matertrans1989/36/3/36_3_426/_pdf,W1996077478,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Crack initiation and propagation in 〈110〉 oriented copper single crystals under cyclic deformation,Alexei Vinogradov; Satoshi Hashimoto; Seiji Miura,Acta Metallurgica et Materialia,43,2,675-680,10.1016/0956-7151(94)00270-r,article,6,,W2082976107,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Crack propagation in 〈110〉 oriented copper bicrystals with the Σ9 and random boundary,Alexei Vinogradov; Satoshi Hashimoto; Seiji Miura,Scripta Metallurgica et Materialia,32,3,427-431,10.1016/s0956-716x(99)80077-6,article,14,,W2016308750,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Cracking along mechanical twin boundaries during fatigue deformation in a ferritic stainless steel crystal,Yoshihisa KANEKO; Satoshi Hashimoto; Seiji Miura,Philosophical Magazine Letters,72,5,297-301,10.1080/09500839508242467,article,18,,W2065350317,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Effect of diffusional relaxation on the shape change of liquid B2O3 particles in a deforming Cu matrix,Susumu Onaka; Satoshi Hashimoto; Seiji Miura; Masaharu Kato,Acta Metallurgica et Materialia,43,4,1577-1585,10.1016/0956-7151(94)00362-l,article,10,,W2095008653,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Effects of aging on pseudoelastic behaviour in Cu-15.0 at.%Sn alloy single crystals,Hiroyuki Kato; Noriko Hirata; Seiji Miura,Acta Metallurgica et Materialia,43,1,361-369,10.1016/0956-7151(95)90292-9,article,3,,W2024526948,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Microstructural aspects of the f.c.c.–f.c.t. transformation during deformation in γ-Mn-Cu alloy single crystals,Hiroyuki Kato; Seiji Miura,"Philosophical magazine. A/Philosophical magazine. A. Physics of condensed matter. Structure, defects and mechanical properties",71,4,781-803,10.1080/01418619508236220,article,16,,W1981171960,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Pseudoelastic Deformation of CuAlMn Single Crystals,J. Dutkiewicz; Marion Bartsch; Seiji Miura; U. Messerschmidt; Hiroyuki Kato,Journal de Physique IV (Proceedings),05,C2,C2-275,10.1051/jp4:1995242,article,4,http://jp4.journaldephysique.org/articles/jp4/pdf/1995/02/jp4199505C242.pdf,W1995429059,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1995,Thermodynamical analysis of the stress-induced martensitic transformation in Cu-15.0 at.% Sn alloy single crystals,Hiroyuki Kato; Seiji Miura,Acta Metallurgica et Materialia,43,1,351-360,10.1016/0956-7151(95)90291-0,article,14,,W2086275438,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1994,Deformation mechanism in ?-Cu-Al single crystals with a spherical indentor,S. Kobayashi; Takao Harada; Seiji Miura,Journal of Materials Science,29,1,26-32,10.1007/bf00356568,article,2,,W1624978582,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1994,PSEUDOELASTICITY AND CALORIMETRIC MEASUREMENTS IN IN-TL SHAPE MEMORY ALLOY SINGLE CRYSTALS,Seiji Miura; Hiroyuki Kato; Norihiko Nakanishi,Strength of Materials,,,315-318,,article,0,,W3162231275,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1994,Stress-strain behavior and shape memory effect in powder metallurgy TiNi alloys,Hiroyuki Kato; Takashi Koyari; Masaharu Tokizane; Seiji Miura,Acta Metallurgica et Materialia,42,4,1351-1358,10.1016/0956-7151(94)90152-x,article,29,,W2056646455,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1994,Superelasticity and shape memory effect in Cu-23at.%Al-7at.%Mn alloy single crystals,Hiroyuki Kato; J. Dutkiewicz; Seiji Miura,Acta Metallurgica et Materialia,42,4,1359-1365,10.1016/0956-7151(94)90153-8,article,26,,W1981640973,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1994,THE EFFECT OF A BOUNDARY NODE ON INTERGRANULAR FRACTURE OF AN alpha-CUAL ALLOY AT INTERMEDIATE TEMPERATURES,Susumu Onaka; Fumihiko Tajima; Sho Hashimoto; Seiji Miura,Strength of Materials,,,599-602,,article,0,,W3191805553,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1994,球状圧子によるα-Cu-Al単結晶の変形機構 II 鋼球による引かき,S. Kobayashi; Takuya Harada; Seiji Miura,Journal of Materials Science,29,1,26-32,,article,0,,W3102413161,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1993,Corrosion Behaviour of Symmetrical Tilt Boundaries in Cu and α Cu-Al Alloy,T. Mimaki; Masashi Yamashita; Satoshi Hashimoto; Seiji Miura,Materials science forum,126-128,,363-366,10.4028/www.scientific.net/msf.126-128.363,article,0,https://doi.org/10.4028/www.scientific.net/msf.126-128.363,W2099522584,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1993,Deformations in KCI single crystals by spherical and pyramidal indentor,S. Kobayashi; Toyo Okui; Seiji Miura,Journal of Materials Science,28,13,3506-3512,10.1007/bf01159830,article,1,,W1969121507,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1993,Microscopic deformations in KC1 single crystals by indentation and scratching with steel ball and pyramidal indenters,S. Kobayashi; Toyo Okui; Seiji Miura,Wear,162-164,,92-101,10.1016/0043-1648(93)90489-9,article,10,,W2029665613,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1992,INTERPHASE BOUNDARY SLIDING IN TWO-PHASE (γ/α)-FeCrNi ALLOY BICRYSTALS PRODUCED BY A SOLID-SOLID DIFFUSION METHOD,Satoshi Hashimoto; Seiji Miura; Hiroyuki Miyamoto; F. MORIWAKI; T. Mimaki,Elsevier eBooks,,,655-660,10.1016/b978-0-08-037890-9.50358-6,book-chapter,0,,W338639564,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1992,ON THE BEHAVIOUR OF INTERGRANULAR STRESS-CORROSION-CRACKING IN [110]-TILT COPPER BICRYSTALS,T. Mimaki; Masato Yamashita; Satoshi Hashimoto; Seiji Miura,Elsevier eBooks,,,663-668,10.1016/b978-0-08-037890-9.50224-6,book-chapter,2,,W89867422,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1991,Bicrystal Study on Intergranular Stress-Corrosion-Cracking,Masato Yamashita; Satoshi Hashimoto; T. Mimaki; Seiji Miura,Materials Transactions JIM,32,10,885-897,10.2320/matertrans1989.32.885,article,8,https://www.jstage.jst.go.jp/article/matertrans1989/32/10/32_10_885/_pdf,W2028363895,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1991,Deformation mechanism in ?Cu-Al single crystals with a spherical indentor,S. Kobayashi; Takao Harada; Seiji Miura,Journal of Materials Science,26,14,3945-3950,10.1007/bf01184996,article,3,,W4251841541,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1991,Intergranular corrosion of copper and α-Cu-Al alloy bicrystals,Masato Yamashita; T. Mimaki; Satoshi Hashimoto; Seiji Miura,"Philosophical magazine. A/Philosophical magazine. A. Physics of condensed matter. Structure, defects and mechanical properties",63,4,695-705,10.1080/01418619108213908,article,38,,W1991548426,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
1991,Self-Diffusion of Cu and Sn in Single Crystal Cu3Sn Ordered Alloys,Masashi Arita; Hideo Nakajima; M. Koiwa; Seiji Miura,Materials Transactions JIM,32,1,32-36,10.2320/matertrans1989.32.32,article,7,https://www.jstage.jst.go.jp/article/matertrans1989/32/1/32_1_32/_pdf,W2014489857,共著者ネットワークが別人（京都大の三浦精氏、日立の三浦誓士氏、北大地盤工学の三浦清一氏ほか）
