material_id,formula,element_A,element_B,lattice_constant,energy_per_atom,energy_above_hull
mp-632319,CsH,Cs,H,3.81840854,-14.513282405,0.016097849999999
mp-1056920,CsI,Cs,I,4.665212,-2.91268864,0.032452510000001
mp-1018029,CuPd,Cu,Pd,2.98041717,-17.02697661,0.0
mp-2167,DyAg,Dy,Ag,3.6067050800000002,-4.053743095000001,0.0
mp-11843,DyAl,Dy,Al,3.5835634,-19.80113393,0.038093063749999004
mp-11240,DyAu,Dy,Au,3.571132689999999,-4.784549275000003,0.039400229999998
mp-770,DyCd,Dy,Cd,3.72296663,-3.082951975,0.0
mp-2334,DyCu,Dy,Cu,3.43607761,-21.68017208,0.0
mp-2443,DyHg,Dy,Hg,3.69320548,-41.2528405,0.0
mp-257,DyIn,Dy,In,3.74284633,-27.873652035,0.0
mp-2077,DyMg,Dy,Mg,3.7828788700000002,-3.183299359999999,0.0
mp-2226,DyPd,Dy,Pd,3.4846102500000002,-28.399308955,0.0
mp-232,DyRh,Dy,Rh,3.40276612,-6.869968145000001,0.0
mp-11374,DyTl,Dy,Tl,3.76293356,-43.0305658,0.0
mp-2303,DyZn,Dy,Zn,3.54500656,-20.83574144,0.0
mp-2621,ErAg,Er,Ag,3.57398062,-4.046516180000001,0.0
mp-2442,ErAu,Er,Au,3.53853832,-43.21884001,0.032483304999999005
mp-867,ErCd,Er,Cd,3.6859286,-3.062466664999998,0.0
mp-1955,ErCu,Er,Cu,3.39976775,-22.67065421,0.0
mp-2468,ErHg,Er,Hg,3.65980363,-42.210368655,0.0
mp-11370,ErIn,Er,In,3.71194956,-28.80521434,0.0
mp-2713,ErIr,Er,Ir,3.37193092,-7.624660150000004,0.0
mp-2228,ErMg,Er,Mg,3.7605312300000002,-3.150948984999999,0.0
mp-851,ErPd,Er,Pd,3.45306267,-29.40327156,0.0
mp-2381,ErRh,Er,Rh,3.36737698,-6.912765504999999,0.0
mp-217,ErTl,Er,Tl,3.775174,-3.763909095,0.00875593
mp-1660,ErZn,Er,Zn,3.50789832,-21.811399955,0.0
mp-580236,EuCd,Eu,Cd,3.91685441,-29.691737825,0.0
mp-639675,EuCu,Eu,Cu,3.626901,-7.25809181,0.071704861250001
mp-11375,EuHg,Eu,Hg,3.87097005,-44.55686829,0.0
mp-1524257,EuIn,Eu,In,3.9554687,-31.151818875,0.0
mp-21253,EuMg,Eu,Mg,4.04133276,-6.007609495,0.016100730624998002
mp-1261,EuZn,Eu,Zn,3.74119892,-6.031621740000002,0.0
mp-2090,FeCo,Fe,Co,2.8390261,-7.85709309,0.0
mp-1918,FeRh,Fe,Rh,2.99209254,-7.961014355,0.0
mp-11478,GaAg,Ga,Ag,3.317227,-16.326017033541667,0.088552712291665
mp-1121,GaCo,Ga,Co,2.84722922,-12.534109495,0.0
mp-11388,GaIr,Ga,Ir,3.02850068,-32.35740003,0.0
mp-1941,GaNi,Ga,Ni,2.87758102,-12.067911885000001,0.042973296904762
mp-1212609,GaPd,Ga,Pd,3.120572,-17.778349877500002,0.08591318124999901
mp-2444,GaRh,Ga,Rh,3.00618637,-5.8761615,0.0
mp-22320,GaRu,Ga,Ru,3.00143839,-18.765810315,0.000531018749999
mp-542779,GdAg,Gd,Ag,3.65399653,-32.62432549,0.0
mp-12753,GdAl,Gd,Al,3.62796413,-25.435769435,0.059707795999997
mp-635426,GdAu,Gd,Au,3.6172008908734203,-47.83441158,0.0
mp-1031,GdCd,Gd,Cd,3.75958674,-32.10776625,0.0
mp-614455,GdCu,Gd,Cu,3.4850603700000002,-27.263102815,0.009389447500002
mp-11422,GdHg,Gd,Hg,3.73411382,-46.91849567,0.0
mp-21005,GdIn,Gd,In,3.79965897,-33.553225555,0.001510005
mp-2636,GdMg,Gd,Mg,3.83063586,-23.861962885,0.0
mp-1742,GdRh,Gd,Rh,3.4479528200000003,-34.558245825,0.0
mp-19966,GdTl,Gd,Tl,3.81356485,-48.731326895,0.0
mp-2497,GdZn,Gd,Zn,3.58385041,-26.498766095,0.0
mp-2027,HfCo,Hf,Co,3.16314682,-29.627213075,0.0
mp-1002122,HfIr,Hf,Ir,3.26211488,-10.30337068,0.042428189999998006
mp-11452,HfOs,Hf,Os,3.24346549,-49.914235895,0.0
mp-11457,HfRh,Hf,Rh,3.24904685,-35.53889058,0.011648981442313001
mp-2802,HfRu,Hf,Ru,3.22512961,-36.190313485,0.0
mp-11460,HfTc,Hf,Tc,3.24736666,-36.086302275,0.0
mp-1014219,HfZn,Hf,Zn,3.27510484,-27.2631909,0.008220216666664
mp-2778,HoAg,Ho,Ag,3.59121015,-4.048020690000001,0.0
mp-11245,HoAu,Ho,Au,3.55615334,-42.691304615,0.037452287500002006
mp-170,HoCd,Ho,Cd,3.70492455,-3.070865744999999,0.0
mp-1971,HoCu,Ho,Cu,3.41849426,-22.14065867,0.0
mp-1092,HoHg,Ho,Hg,3.6761568000000002,-41.69768095,0.0
mp-30728,HoIn,Ho,In,3.7278911900000002,-4.10241079,0.0
mp-11476,HoIr,Ho,Ir,3.38994333,-7.596864805000003,0.0
mp-1199,HoMg,Ho,Mg,3.77276173,-3.164972965,0.0
mp-832,HoPd,Ho,Pd,3.47122546,-28.866362185,0.028122391250001003
mp-2163,HoRh,Ho,Rh,3.38649613,-6.888482155000002,0.0
mp-1540,HoTl,Ho,Tl,3.7474274,-43.45888734,0.0
mp-2249,HoZn,Ho,Zn,3.5280986800000003,-3.271645239999998,0.0
mp-20997,InNi,In,Ni,3.147263,-17.401172029999998,0.09218754000000101
mp-21215,InPd,In,Pd,3.27188478,-23.318690175,0.011751512142858
mp-899,InRh,In,Rh,3.20967535,-23.857012905,0.0
mp-570891,KBr,K,Br,4.043499,-3.32928734,0.07306301000000001
mp-23289,KCl,K,Cl,3.839196,-8.182968344999999,0.07764382
mp-22901,KI,K,I,4.29119666,-2.9373687200000003,0.060311739999999
mp-1948,LaAg,La,Ag,3.8079889700000003,-25.82781645,0.0
mp-776,LaCd,La,Cd,3.93228214,-3.254010165,0.0
mp-734,LaHg,La,Hg,3.89793592,-40.13555846,0.0
mp-20582,LaIn,La,In,3.95407724,-26.8104547,0.0
mp-1104,LaMg,La,Mg,3.977516849999999,-3.37834585,0.005696517500002001
mp-11488,LaTl,La,Tl,3.97237799,-4.071675204999998,0.0
mp-2615,LaZn,La,Zn,3.75622244,-19.653037825,0.0
mp-2426,LiAg,Li,Ag,3.12274033,-12.05174388,0.0
mp-1206794,LiAu,Li,Au,3.08394824,-27.048493715,0.0
mp-2012,LiHg,Li,Hg,3.3013319,-26.2532881,0.0
mp-1094889,LiMg,Li,Mg,3.415326,-3.32369933,0.006518542499999
mp-2314,LiPb,Li,Pb,3.52626099,-3.08266373,0.0
mp-2743,LiPd,Li,Pd,2.9596782900000003,-13.06872738,0.021507794999999
mp-934,LiTl,Li,Tl,3.43978152,-28.03860526,0.0
mp-11249,LuAu,Lu,Au,3.49664842,-45.31912041,0.0
mp-2217,LuCd,Lu,Cd,3.64099005,-29.447109125,0.0
mp-2522,LuHg,Lu,Hg,3.61002979,-44.27194864,0.0
mp-1529,LuIr,Lu,Ir,3.32846077,-7.691750630000001,0.0
mp-2195,LuMg,Lu,Mg,3.71550985,-3.106677350000002,0.0
mp-2205,LuPd,Lu,Pd,3.40962722,-31.53158071,0.0
mp-377,LuRh,Lu,Rh,3.32513661,-32.210870755,0.0
mp-11495,LuRu,Lu,Ru,3.305988,-7.366505535000002,0.0
mp-11496,LuZn,Lu,Zn,3.45578837,-23.903654125,0.0
mp-2696,MgAg,Mg,Ag,3.30393762,-2.467122570000001,0.0
mp-1038934,MgAl,Mg,Al,3.379817999999999,-2.608004949999999,0.09022261875000001
mp-437,MgAu,Mg,Au,3.27353901,-3.044165974999998,0.0
mp-1038814,MgCd,Mg,Cd,3.4730962,-1.359103358333332,0.030768572500001003
mp-1094849,MgGa,Mg,Ga,3.32945935,-2.440367894999999,0.022138305
mp-1408,MgHg,Mg,Hg,3.44706066,-1.167299539999998,0.0
mp-1538115,MgIn,Mg,In,3.5744101600000002,-2.236859349999999,0.033975274999999
mp-506,MgPd,Mg,Pd,3.15538393,-4.131929000000001,0.0
mp-1172,MgRh,Mg,Rh,3.08685098,-4.947163380000001,0.0
mp-1174,MgSc,Mg,Sc,3.59645124,-4.00647942,0.001373464999999
mp-1094669,MgSn,Mg,Sn,3.62314782,-2.889356639999999,0.055988378750000005
mp-11498,MgTl,Mg,Tl,3.63780262,-2.017959740000002,0.0
mp-1094779,MgZn,Mg,Zn,3.262917,-1.508155975,0.043204822299999
mp-12067,MnAl,Mn,Al,2.947898,-6.6783853650000005,0.047695940000000006
mp-12674,MnAu,Mn,Au,3.20775807,-33.008115065,0.0
mp-1009133,MnCo,Mn,Co,2.8536,-8.161024025,0.0
mp-11500,MnNi,Mn,Ni,2.92831621,-13.695063285,0.0
mp-1902,MnPd,Mn,Pd,3.11012508,-7.363546660000001,0.009346633413791001
mp-417,MnRh,Mn,Rh,3.02748965,-19.9055442,0.0
mp-316,MnV,Mn,V,2.85576869,-14.58459444,0.0
mp-11503,MnZn,Mn,Zn,2.9991689999999993,-11.791911957816094,0.08320094235632
mp-2311,NbO,Nb,O,4.24984649,-9.812293953333333,0.0
mp-11516,NbRu,Nb,Ru,3.186487999999999,-25.288474488333332,0.024435130000000003
mp-1236,NdAg,Nd,Ag,3.733872159999999,-25.666263935,0.0
mp-12793,NdAl,Nd,Al,3.7263835,-18.46392349,0.06650961875
mp-11254,NdAu,Nd,Au,3.69478209,-4.775545467499995,0.05635148500000001
mp-1059,NdCd,Nd,Cd,3.84460747,-3.163966105,0.0
mp-11467,NdHg,Nd,Hg,3.816707779999999,-39.95080334,0.0
mp-1206423,NdIn,Nd,In,3.86783884,-26.62682906,0.0
mp-1327,NdMg,Nd,Mg,3.8914747800000002,-3.293095194999999,0.0
mp-571405,NdTl,Nd,Tl,3.88659539,-3.957130450000001,0.0
mp-1053,NdZn,Nd,Zn,3.67076564,-3.328680079999998,0.0
mp-1830,NpTe,Np,Te,3.778627,-8.806698805,0.074264352656255
mp-21765,Pd17Se15,Pd,Se,10.6994728,-19.28120937515625,0.0
mp-569593,PmMg,Pm,Mg,3.86931238,-3.280581084999999,0.0
mp-2525,PrAg,Pr,Ag,3.76320642,-4.051000009999999,0.0
mp-10902,PrAl,Pr,Al,3.75961349,-18.43215457,0.076994012499998
mp-11255,PrAu,Pr,Au,3.72334093,-4.7620291512499975,0.060553865000002004
mp-646,PrCd,Pr,Cd,3.87492905,-25.11611969,0.0
mp-11469,PrHg,Pr,Hg,3.84568674,-39.933970425,0.0
mp-20023,PrIn,Pr,In,3.89873027,-26.60955203,0.0
mp-1548,PrMg,Pr,Mg,3.91847099,-3.303469955,0.0
mp-7131,PrTe,Pr,Te,3.907568,-28.991472134999995,0.092127540000003
mp-12599,PrTl,Pr,Tl,3.9156306,-41.795763155,0.0
mp-460,PrZn,Pr,Zn,3.70289857,-3.326621750000001,0.0
mp-1002230,PuBi,Pu,Bi,3.88311615,-73.07098046,0.097358764999995
mp-21263,PuSb,Pu,Sb,3.79083024,-9.87077619,0.065012969749995
mp-20438,PuTe,Pu,Te,3.804364,-9.966323055,0.07750081
mp-30373,RbAu,Rb,Au,4.1045935,-2.401023930000001,0.0
mp-23303,RbBr,Rb,Br,4.1260773,-3.3057624150000002,0.031564265
mp-23299,RbCl,Rb,Cl,3.935970509999999,-3.629633839999998,0.029774040000001
mp-2064,RbF,Rb,F,3.37044718,-4.2689616699999995,0.051583325000001005
mp-23302,RbI,Rb,I,4.4433583,-2.918400870000003,0.029722924999997003
mp-1019052,ReN,Re,N,4.05462137,-30.778266415,0.050731488749999006
mp-21991,Rh17S15,Rh,S,9.945864,-17.12997381734375,0.0
mp-11237,ScAg,Sc,Ag,3.42110253,-16.640555495,0.0
mp-331,ScAl,Sc,Al,3.37034897,-9.531470604999999,0.0
mp-11256,ScAu,Sc,Au,3.3904722400000002,-31.848781595,0.0
mp-1211,ScCd,Sc,Cd,3.52625559,-16.075965005,0.0
mp-2212,ScCo,Sc,Co,3.1422648,-12.60761453,0.0
mp-1169,ScCu,Sc,Cu,3.24086813,-11.379209585,0.0
mp-11471,ScHg,Sc,Hg,3.50559208,-30.864973335,0.0
mp-1129,ScIr,Sc,Ir,3.21838608,-8.643917585,0.0
mp-11521,ScNi,Sc,Ni,3.15251587,-6.56347999,0.0
mp-2781,ScPd,Sc,Pd,3.299466299999999,-18.088092175,0.0
mp-892,ScPt,Sc,Pt,3.28943285,-7.429184150000001,0.0
mp-1780,ScRh,Sc,Rh,3.2169060800000002,-7.879599589999998,0.0
mp-30867,ScRu,Sc,Ru,3.1985335,-8.346511335,0.0
mp-11566,ScZn,Sc,Zn,3.33401869,-4.177671855,0.0
mp-10015,SiOs,Si,Os,2.937789,-31.24484964,0.027129491249997
mp-381,SiRu,Si,Ru,2.91612407,-17.74599759,0.007685002499997
mp-2475,SmAg,Sm,Ag,3.68571271,-25.84684232,0.0
mp-11221,SmAl,Sm,Al,3.6711043,-18.646371765,0.055769306874999
mp-11257,SmAu,Sm,Au,3.64936756,-4.779612977500001,0.051700844999999
mp-572,SmCd,Sm,Cd,3.7992873,-3.140192819999999,0.0
mp-12586,SmCu,Sm,Cu,3.52157544,-20.474329405,0.031348156249999
mp-20298,SmIn,Sm,In,3.81904579,-26.78034338,0.0
mp-2558,SmMg,Sm,Mg,3.85263021,-3.2590482,0.0
mp-436,SmRh,Sm,Rh,3.48117514,-6.769744284999998,0.0
mp-11568,SmTl,Sm,Tl,3.869804,-3.91927214,0.0052747900000000006
mp-2165,SmZn,Sm,Zn,3.62380683,-3.318883624999998,0.0
mp-30496,SrCd,Sr,Cd,4.03562997,-1.630530945,0.0
mp-542,SrHg,Sr,Hg,3.96299693,-1.526844400000001,0.0
mp-2564,SrMg,Sr,Mg,4.19031811,-9.67834467,0.046758607500001007
mp-2434,SrTl,Sr,Tl,4.06285299,-34.656548855,0.0
mp-12110,TaRu,Ta,Ru,3.178842,-37.320900969444445,0.033519810000001
mp-11572,TaTc,Ta,Tc,3.17495269,-37.845997535,0.0
mp-2268,TbAg,Tb,Ag,3.62345741,-4.044177909999998,0.0
mp-1009839,TbAl,Tb,Al,3.601771,-19.423504585,0.041335158125001006
mp-11258,TbAu,Tb,Au,3.58866274,-4.788697639999995,0.040324892500002006
mp-721,TbCd,Tb,Cd,3.74148648,-3.098758634999999,0.0
mp-1837,TbCu,Tb,Cu,3.45550647,-21.29018046,0.0
mp-2054,TbHg,Tb,Hg,3.71130884,-40.878399395,0.0
mp-1635,TbMg,Tb,Mg,3.79886584,-3.20277169,0.0
mp-7425,TbPt,Tb,Pt,3.514847,-42.67894291125,0.078159217500001
mp-11561,TbRh,Tb,Rh,3.42011509,-6.851929039999998,0.0
mp-30878,TbTl,Tb,Tl,3.77847879,-3.84516851,0.0
mp-836,TbZn,Tb,Zn,3.56256554,-20.453721725,0.0
mp-1019319,TcN,Tc,N,4.01776561,-17.69242789,0.028997522812499003
mp-30468,ThBi,Th,Bi,3.94359219,-6.185876649999997,0.012411177045458001
mp-10637,ThSb,Th,Sb,3.861407,-50.58537498999999,0.088406870000007
mp-1921,ThTe,Th,Te,3.86693004,-50.6779651,0.0
mp-11279,TiBe,Ti,Be,2.92926249,-5.95775061,0.005038837916666
mp-823,TiCo,Ti,Co,2.9861109900000002,-13.493100065,0.0
mp-11364,TiCu,Ti,Cu,3.077148,-11.948117137499999,0.08266960000000001
mp-305,TiFe,Ti,Fe,2.93868071,-8.603586765,0.0
mp-12594,TiIr,Ti,Ir,3.121636999999999,-9.139234785,0.08534831500000001
mp-571,TiNi,Ti,Ni,2.98806613,-7.185175,0.04849437499999901
mp-291,TiOs,Ti,Os,3.08463336,-33.79079237,0.0
mp-11546,TiPd,Ti,Pd,3.1758,-18.4297401525,0.07338960750000101
mp-2179,TiRe,Ti,Re,3.10808087,-33.122902235,0.0
mp-11563,TiRh,Ti,Rh,3.115202,-8.35115537,0.020116699999999002
mp-592,TiRu,Ti,Ru,3.06957001,-20.02088589,0.0
mp-11573,TiTc,Ti,Tc,3.09447244,-19.96990951,0.0
mp-1014230,TiZn,Ti,Zn,3.12374757,-4.77054914,0.0
mp-22875,TlBr,Tl,Br,3.9999066500000002,-3.150590865000005,0.004640312499994
mp-23167,TlCl,Tl,Cl,3.83746738,-3.434518614999998,0.001307087499998
mp-11473,TlHg,Tl,Hg,3.84461124,-51.276888655,0.014844768333325
mp-23197,TlI,Tl,I,4.23821433,-2.793127290000001,0.020759689999998002
mp-2796,TmAg,Tm,Ag,3.56122804,-28.59386282,0.0
mp-447,TmAu,Tm,Au,3.5236878,-43.83160761,0.027464062500001003
mp-2502,TmCd,Tm,Cd,3.67288236,-3.012850265000001,0.0
mp-985,TmCu,Tm,Cu,3.38448683,-23.284754295,0.0
mp-11475,TmHg,Tm,Hg,3.64438249,-42.80952208,0.0
mp-20848,TmIn,Tm,In,3.696671,-29.390652835,0.0
mp-11483,TmIr,Tm,Ir,3.35657798,-7.615096440000002,0.0
mp-1505,TmMg,Tm,Mg,3.74697045,-19.71981316,0.0
mp-348,TmPd,Tm,Pd,3.43947359,-30.02380967,0.0
mp-11564,TmRh,Tm,Rh,3.35282323,-6.900931629999999,0.0
mp-515,TmTl,Tm,Tl,3.71618264,-44.537599135,0.0
mp-2316,TmZn,Tm,Zn,3.49373398,-22.42055993,0.0
mp-177,USb,U,Sb,3.75347873,-53.40049456,0.0
mp-11447,UTe,U,Te,3.752685999999999,-53.55368887958333,0.09633641708333501
mp-1002109,VCo,V,Co,2.89042773,-13.81094857,0.0
mp-1335,VFe,V,Fe,2.93950639,-8.90397548,0.022709966875002003
mp-12778,VOs,V,Os,3.01657359,-33.8740765,0.0
mp-1395,VRu,V,Ru,3.00228092,-20.063952405,0.0
mp-2540,VTc,V,Tc,3.00911852,-20.465614505,0.0
mp-2474,YAg,Y,Ag,3.62505055,-21.162151485,0.0
mp-11229,YAl,Y,Al,3.59888669,-13.96068374,0.030594507500000003
mp-11261,YAu,Y,Au,3.5866487,-36.377951335,0.042603579999997004
mp-915,YCd,Y,Cd,3.73687907,-4.050420840000001,0.0
mp-712,YCu,Y,Cu,3.45811539,-15.80720536,0.018895730000000003
mp-2399,YHg,Y,Hg,3.70623527,-35.426647265,0.0
mp-22704,YIn,Y,In,3.7594189,-22.049681705,0.0
mp-30746,YIr,Y,Ir,3.41633399,-8.472773085,0.0
mp-615,YMg,Y,Mg,3.8085766100000003,-4.144158240000001,0.0
mp-191,YRh,Y,Rh,3.41784978,-7.767392945000001,0.0
mp-11575,YTl,Y,Tl,3.77760313,-37.209161535,0.0
mp-2516,YZn,Y,Zn,3.56236652,-14.99925985,0.0
mp-2266,YbAg,Yb,Ag,3.546385704928227,-29.31118992,0.0
mp-2818,YbAu,Yb,Au,3.510457994539114,-44.55107555,0.009424421250002
mp-1857,YbCd,Yb,Cd,3.65342998527692,-28.69565817,0.0
mp-2545,YbHg,Yb,Hg,3.626258438523035,-43.522256765,0.0
mp-2459,YbIn,Yb,In,3.688287403053454,-30.084531475,0.0
mp-568705,YbIr,Yb,Ir,3.343555712728405,-45.582287875,0.0
mp-2547,YbPd,Yb,Pd,3.424384549639122,-30.7475568,0.010346364999996001
mp-567089,YbRh,Yb,Rh,3.339806330035307,-31.423108105,0.0
mp-567116,YbRu,Yb,Ru,3.319893287895696,-31.48225847,0.0
mp-11576,YbTl,Yb,Tl,3.704901071039502,-45.227903395,0.0
mp-1912,ZnAg,Zn,Ag,3.14233597,-15.157611235,0.011211470555556002
mp-1684,ZnAu,Zn,Au,3.15005251,-29.969662685,0.0
mp-987,ZnCu,Zn,Cu,2.92055392,-2.770230169999999,0.0
mp-1486,ZnNi,Zn,Ni,2.889128,-3.765752925,0.009157754999999
mp-6938,ZnRh,Zn,Rh,2.99022635,-16.94872661,0.0
mp-2283,ZrCo,Zr,Co,3.20778392,-18.32247491,0.0
mp-2210,ZrCu,Zr,Cu,3.25266425,-6.431159109999999,0.042234784230771004
mp-11484,ZrIr,Zr,Ir,3.31733,-38.482491705,0.08134236125000101
mp-11541,ZrOs,Zr,Os,3.27648544,-38.534614245,0.0
mp-13496,ZrPd,Zr,Pd,3.360046,-23.48369734,0.06452598250000101
mp-2808,ZrRh,Zr,Rh,3.28272273,-24.244361295,0.08393397999999701
mp-214,ZrRu,Zr,Ru,3.26200472,-24.82603288,0.0
mp-570276,ZrZn,Zr,Zn,3.3232991800000002,-16.1562511,0.0
