qid,difficulty,full,no_fewshot,no_dict,no_reranker,no_guard,no_nbest,no_graph
q_hard_021,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_022,hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_023,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_024,hard,0.0000,0.0000,0.0000,0.0263,0.0000,0.0000,0.0000
q_hard_025,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_026,hard,1.0000,0.4000,1.0000,0.0106,1.0000,1.0000,0.8021
q_hard_027,hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_028,hard,1.0000,0.2000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_029,hard,1.0000,0.4000,1.0000,1.0000,1.0000,1.0000,1.0000
q_hard_030,hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_001,very_hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_002,very_hard,0.8180,0.8000,1.0000,0.4540,0.8180,0.6360,0.0899
q_vhard_003,very_hard,0.4180,0.3344,0.0000,0.4180,0.4180,0.4180,0.4000
q_vhard_004,very_hard,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_005,very_hard,1.0000,1.0000,0.0000,1.0000,0.8000,1.0000,0.8000
q_vhard_006,very_hard,1.0000,0.4000,0.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_007,very_hard,0.4180,0.3344,0.0000,0.4180,0.4180,0.4180,0.0000
q_vhard_008,very_hard,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_009,very_hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_010,very_hard,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_011,very_hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_012,very_hard,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000
q_vhard_013,very_hard,1.0000,0.4000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_014,very_hard,1.0000,1.0000,0.2000,1.0000,1.0000,1.0000,1.0000
q_vhard_015,very_hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_016,very_hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_017,very_hard,0.8500,0.6800,0.2100,0.8500,0.8500,0.8500,0.8500
q_vhard_018,very_hard,1.0000,0.0000,0.0000,1.0000,1.0000,0.8000,1.0000
q_vhard_019,very_hard,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000
q_vhard_020,very_hard,1.0000,0.6000,1.0000,1.0000,1.0000,1.0000,1.0000
