# Paper ref: Table (tab:gamma_prime) -- gamma' candidate ranking Top 10
# composite_score = 0.35*stability + 0.35*lattice + 0.30*bulk (Eq.(2), a_ref=3.57A)
rank,formula,lattice_a,energy_above_hull,formation_energy_per_atom,bulk_modulus,lattice_mismatch,stability_score,lattice_score,bulk_score,composite_score
64,Mo3Ge,3.49,0.0328,-0.3105,151.68,0.07999999999999963,0.344,0.7333333333333345,0.5056,0.528746666666667
65,Ir3Ti,3.5086,0.0795,-0.5482,249.59,0.0613999999999999,0.0,0.7953333333333337,0.8319666666666666,0.5279566666666667
66,W3Ta,3.5509,0.0742,-0.0016,194.34,0.019099999999999895,0.0,0.9363333333333337,0.6478,0.5220566666666668
67,Ta3Hf,3.6427,0.0433,-0.4458,206.24,0.07270000000000021,0.13400000000000012,0.7576666666666659,0.6874666666666667,0.5183233333333331
68,Pd3Zr,3.5596,0.1046,0.0193,178.87,0.010399999999999743,0.0,0.9653333333333342,0.5962333333333334,0.516736666666667
69,Au3Mn,3.5868,0.0452,-0.2608,152.25,0.01680000000000037,0.09600000000000009,0.9439999999999987,0.5075,0.5162499999999995
70,Pt3V,3.6836,0.0332,-0.5291,177.15,0.11360000000000037,0.3360000000000001,0.6213333333333321,0.5905,0.5122166666666662
71,Mn3Mg,3.4999,0.0638,0.0822,237.51,0.07010000000000005,0.0,0.7663333333333331,0.7917,0.5057266666666665
72,Ta3Mn,3.6103,0.0622,0.0129,202.38,0.040300000000000225,0.0,0.8656666666666659,0.6746,0.505363333333333
73,Al3Sc,4.09,0.0,-0.5,155.0,0.52,1.0,0,0.5166666666666667,0.505
74,Mn3Sn,3.7294,0.0284,-0.36,189.0,0.1594000000000002,0.43200000000000005,0.4686666666666659,0.63,0.5042333333333331
75,Nb3Zr,3.5684,0.0852,-0.1095,155.85,0.0015999999999998238,0.0,0.9946666666666673,0.5195,0.5039833333333334
76,Pd3In,3.7589,0.0131,-0.5963,111.88,0.1889000000000003,0.738,0.3703333333333323,0.37293333333333334,0.4997966666666662
77,Ag3Cu,3.505,0.0652,-0.1341,224.81,0.06499999999999995,0.0,0.7833333333333334,0.7493666666666666,0.4989766666666666
78,Hf3Ta,4.1076,0.0013,-0.2548,156.81,0.5375999999999999,0.974,0,0.5227,0.49771
79,Pt3Si,4.0726,0.0081,0.0125,200.2,0.5026000000000006,0.8380000000000001,0,0.6673333333333333,0.4935
80,Ti3Be,3.6059,0.0457,-0.2595,152.89,0.035900000000000265,0.08600000000000008,0.8803333333333324,0.5096333333333333,0.4911066666666663
81,Pt3Mn,3.7702,0.0211,-0.2921,169.97,0.20020000000000016,0.5780000000000001,0.3326666666666661,0.5665666666666667,0.48870333333333316
82,Ta3Zr,3.7654,0.0219,-0.5596,169.36,0.19540000000000024,0.562,0.3486666666666658,0.5645333333333333,0.48809333333333305
83,Co3Be,3.6085,0.0998,0.0258,180.95,0.03849999999999998,0.0,0.8716666666666667,0.6031666666666666,0.4860333333333333
84,Ag3Y,3.5362,0.0428,-0.123,125.0,0.03379999999999983,0.14400000000000013,0.8873333333333339,0.4166666666666667,0.4859666666666669
85,Pd3Al,3.5311,0.0637,0.0671,178.45,0.038899999999999935,0.0,0.8703333333333335,0.5948333333333333,0.4830666666666667
86,Cr3V,3.4916,0.0854,-0.0006,219.06,0.0783999999999998,0.0,0.7386666666666672,0.7302,0.4775933333333335
87,Au3Ga,3.5283,0.0508,-0.4607,171.89,0.041699999999999626,0.0,0.8610000000000012,0.5729666666666666,0.4732400000000004
88,Nb3Si,3.8948,0.0116,0.0817,203.54,0.3248000000000002,0.768,0,0.6784666666666667,0.47234
89,Au3Cu,3.6384,0.1319,-0.5555,200.75,0.06840000000000002,0.0,0.7719999999999999,0.6691666666666667,0.47095
90,Cu3Nb,3.448,0.0304,-0.1503,124.05,0.12199999999999989,0.392,0.5933333333333337,0.4135,0.46891666666666676
91,Pd3V,3.5821,0.0752,-0.0937,131.48,0.012100000000000222,0.0,0.9596666666666659,0.43826666666666664,0.467363333333333
92,V3Ga,3.501,0.0679,-0.4348,196.77,0.06899999999999995,0.0,0.7700000000000001,0.6559,0.46627
93,Mo3Al,3.6092,0.0465,-0.3483,135.45,0.039200000000000124,0.07000000000000006,0.8693333333333328,0.45149999999999996,0.4642166666666665
94,Ni3Cu,3.8701,0.0005,-0.0528,116.88,0.30010000000000003,0.99,0,0.3896,0.46337999999999996
95,Ir3Hf,3.961,0.0075,-0.4819,160.16,0.391,0.85,0,0.5338666666666666,0.45765999999999996
96,W3Fe,4.0725,0.0059,0.0465,148.17,0.5025,0.882,0,0.49389999999999995,0.45686999999999994
97,Rh3Ta,3.4704,0.0905,-0.0931,221.84,0.09959999999999969,0.0,0.668000000000001,0.7394666666666667,0.4556400000000004
98,Rh3Sc,4.0486,0.0128,-0.1885,194.92,0.4786000000000006,0.744,0,0.6497333333333333,0.45531999999999995
99,Au3V,3.5643,0.0879,-0.471,111.06,0.005700000000000038,0.0,0.9809999999999999,0.37020000000000003,0.4544099999999999
100,Fe3Si,4.0343,0.007,-0.501,151.92,0.46430000000000016,0.86,0,0.5064,0.45292
101,Co3Ga,3.9159,0.0169,-0.4005,220.77,0.3459000000000003,0.662,0,0.7359,0.45247
102,Mo3Ga,3.6816,0.0392,-0.5481,155.31,0.11160000000000014,0.21600000000000008,0.6279999999999994,0.5177,0.45070999999999983
103,Cr3Sn,3.7047,0.0368,-0.1818,164.53,0.13470000000000004,0.264,0.5509999999999998,0.5484333333333333,0.44977999999999996
104,Ir3V,3.663,0.0962,-0.3779,205.34,0.09299999999999997,0.0,0.6900000000000001,0.6844666666666667,0.44684
105,Ni3Hf,4.1353,0.003,-0.2421,114.14,0.5653000000000001,0.94,0,0.3804666666666667,0.44314
106,Cr3Zn,3.4919,0.0563,-0.405,184.14,0.07810000000000006,0.0,0.7396666666666665,0.6137999999999999,0.4430233333333332
107,Co3Ta,3.72,0.04,-0.34,198.0,0.15000000000000036,0.20000000000000007,0.4999999999999988,0.66,0.4429999999999996
108,Zr3Al,3.8306,0.0109,-0.2776,121.71,0.26060000000000016,0.782,0.13133333333333275,0.4057,0.4413766666666664
109,Au3In,3.7605,0.0318,-0.1686,184.83,0.1905000000000001,0.364,0.36499999999999955,0.6161000000000001,0.4399799999999998
110,Nb3Y,3.6973,0.0342,-0.0194,126.25,0.12729999999999997,0.31600000000000006,0.5756666666666668,0.42083333333333334,0.43833333333333335
111,V3Cu,3.6845,0.0716,-0.3674,221.39,0.11450000000000005,0.0,0.6183333333333332,0.7379666666666667,0.43780666666666657
112,W3Y,3.9669,0.0019,0.0855,100.24,0.39690000000000003,0.962,0,0.33413333333333334,0.43693999999999994
113,Cu3Ta,4.1846,0.0054,-0.2278,122.56,0.6145999999999998,0.892,0,0.40853333333333336,0.43476
114,W3In,3.5502,0.078,-0.5864,107.44,0.01980000000000004,0.0,0.9339999999999998,0.3581333333333333,0.4343399999999999
115,V3In,3.8012,0.024,-0.0193,170.52,0.2312000000000003,0.52,0.22933333333333228,0.5684,0.4327866666666663
116,Ir3Sc,3.8563,0.0168,-0.2684,183.8,0.2863000000000002,0.664,0.045666666666665856,0.6126666666666667,0.43218333333333303
117,Ag3Mg,3.6431,0.0409,-0.2085,100.37,0.07310000000000016,0.18200000000000005,0.7563333333333327,0.3345666666666667,0.4287866666666665
118,Hf3Ga,3.5905,0.0966,-0.5356,101.51,0.020500000000000185,0.0,0.9316666666666661,0.3383666666666667,0.4275933333333331
119,Ir3Ta,3.7986,0.0156,-0.2397,103.48,0.22860000000000014,0.6880000000000001,0.23799999999999955,0.34493333333333337,0.42757999999999985
120,Pt3Sb,3.4446,0.0452,-0.4156,188.66,0.12539999999999996,0.09600000000000009,0.5820000000000001,0.6288666666666667,0.42596
121,Pt3Hf,3.8013,0.0235,-0.568,159.8,0.23130000000000006,0.53,0.22899999999999976,0.5326666666666667,0.42545
122,Ni3Si,3.8452,0.0127,-0.2565,135.21,0.27520000000000033,0.746,0.08266666666666556,0.45070000000000005,0.4252433333333329
123,Hf3Mg,3.6527,0.0825,-0.5555,171.0,0.0827,0.0,0.7243333333333333,0.57,0.4245166666666666
124,Rh3Si,4.041,0.0108,0.0375,149.73,0.47100000000000053,0.784,0,0.4991,0.42413
125,W3Ga,3.5941,0.0596,-0.1458,102.15,0.024100000000000232,0.0,0.9196666666666659,0.3405,0.42403333333333304
126,Rh3Cu,3.7346,0.0357,-0.2795,165.84,0.16460000000000008,0.28600000000000003,0.45133333333333303,0.5528,0.42390666666666654
127,Nb3Ge,3.669,0.0447,-0.4065,148.77,0.0990000000000002,0.1060000000000001,0.6699999999999993,0.4959,0.4203699999999998
128,Nb3Al,4.1697,0.0147,-0.3032,171.95,0.5996999999999999,0.706,0,0.5731666666666666,0.4190499999999999
129,Ti3Hf,3.8404,0.0113,-0.506,112.6,0.2704,0.774,0.09866666666666668,0.3753333333333333,0.4180333333333333
130,Ti3Ge,4.0043,0.0213,-0.2469,216.93,0.4342999999999999,0.5740000000000001,0,0.7231000000000001,0.41783000000000003
131,Ag3Ga,3.6199,0.0759,-0.2237,125.23,0.049900000000000055,0.0,0.8336666666666664,0.4174333333333333,0.41701333333333324
132,Co3Nb,3.8094,0.0291,-0.2922,199.73,0.23940000000000028,0.41800000000000004,0.20199999999999907,0.6657666666666666,0.4167299999999997
133,Co3Mg,4.1747,0.0224,0.0188,222.61,0.6046999999999998,0.552,0,0.7420333333333334,0.41581
134,Mo3Hf,3.6578,0.0797,-0.4282,167.62,0.0878000000000001,0.0,0.7073333333333329,0.5587333333333333,0.4151866666666665
135,Cu3Ga,3.459,0.1336,0.0445,194.62,0.11099999999999977,0.0,0.6300000000000008,0.6487333333333334,0.41512000000000027
136,V3Nb,4.1744,0.0166,-0.2408,179.37,0.6044000000000005,0.668,0,0.5979,0.41317000000000004
137,V3Ta,3.4402,0.0585,-0.3346,214.18,0.12979999999999992,0.0,0.5673333333333336,0.7139333333333333,0.4127466666666667
138,Mn3V,4.0203,0.0072,0.0167,112.64,0.4502999999999999,0.856,0,0.37546666666666667,0.41223999999999994
139,Mn3Al,3.6898,0.0377,-0.0007,115.29,0.11980000000000013,0.2460000000000001,0.6006666666666662,0.38430000000000003,0.41162333333333323
140,Mn3Zr,3.8447,0.0179,-0.5672,157.17,0.27470000000000017,0.642,0.0843333333333327,0.5238999999999999,0.4113866666666664
141,Mo3Mg,3.9717,0.0109,0.0563,135.08,0.40169999999999995,0.782,0,0.4502666666666667,0.40878000000000003
142,Ti3Nb,3.645,0.0666,-0.0913,146.2,0.07500000000000018,0.0,0.7499999999999993,0.4873333333333333,0.40869999999999973
143,Hf3Sb,3.416,0.0506,-0.0538,236.73,0.15399999999999991,0.0,0.4866666666666669,0.7890999999999999,0.4070633333333334
144,Ni3Ti,3.7702,0.0234,0.0554,102.97,0.20020000000000016,0.532,0.3326666666666661,0.34323333333333333,0.40560333333333315
145,Ni3Nb,3.9287,0.013,-0.2829,143.73,0.35870000000000024,0.74,0,0.47909999999999997,0.40273000000000003
146,Hf3Fe,3.9877,0.0241,-0.0428,219.96,0.41769999999999996,0.518,0,0.7332000000000001,0.40126
147,Cu3Y,3.9981,0.0276,-0.0054,239.3,0.42810000000000015,0.44800000000000006,0,0.7976666666666667,0.3961
148,Ta3In,4.0897,0.0231,-0.5507,207.4,0.5196999999999998,0.538,0,0.6913333333333334,0.3957
149,Mo3V,3.4407,0.096,-0.5945,194.56,0.12929999999999975,0.0,0.5690000000000008,0.6485333333333333,0.3937100000000002
150,V3Sn,3.6907,0.0575,-0.562,184.02,0.12070000000000025,0.0,0.5976666666666658,0.6134000000000001,0.393203333333333
151,Co3Sc,3.813,0.039,-0.2066,245.09,0.24300000000000033,0.22000000000000008,0.18999999999999884,0.8169666666666667,0.38858999999999966
152,Ti3Mg,3.9259,0.0221,-0.0256,190.74,0.3559000000000001,0.558,0,0.6358,0.38604
153,Ag3Sb,3.7227,0.0451,-0.0536,178.64,0.15270000000000028,0.09799999999999998,0.490999999999999,0.5954666666666666,0.38478999999999963
154,Ta3Si,3.7194,0.0945,-0.5603,204.63,0.14939999999999998,0.0,0.502,0.6821,0.38033
155,Fe3In,3.7769,0.0436,-0.3109,226.17,0.20690000000000008,0.128,0.310333333333333,0.7538999999999999,0.3795866666666665
156,Ag3Si,3.6618,0.0451,-0.2128,101.2,0.0918000000000001,0.09799999999999998,0.6939999999999996,0.3373333333333333,0.37839999999999985
157,Nb3V,3.6393,0.0701,-0.0295,103.23,0.06930000000000014,0.0,0.7689999999999995,0.3441,0.37237999999999977
158,Mn3Ga,3.4038,0.0517,-0.4085,214.67,0.1661999999999999,0.0,0.4460000000000003,0.7155666666666666,0.37077000000000004
159,Al3Ti,3.98,0.02,-0.41,160.0,0.41000000000000014,0.6000000000000001,0,0.5333333333333333,0.37
160,Zr3Sc,3.6678,0.0932,0.0161,133.84,0.09780000000000033,0.0,0.6739999999999988,0.4461333333333333,0.36973999999999957
161,Au3Zn,4.0155,0.0298,-0.0609,228.01,0.44550000000000045,0.404,0,0.7600333333333333,0.36941
162,Co3Zr,4.0116,0.0174,-0.5895,140.48,0.44159999999999977,0.652,0,0.4682666666666666,0.36867999999999995
163,Cu3Ti,3.4571,0.0581,-0.5732,149.39,0.11289999999999978,0.0,0.6236666666666674,0.4979666666666666,0.3676733333333335
164,Mn3Zn,4.1225,0.0213,-0.1203,166.36,0.5524999999999998,0.5740000000000001,0,0.5545333333333334,0.36726000000000003
165,Pt3Sn,3.4506,0.0512,-0.4083,155.49,0.11939999999999973,0.0,0.6020000000000009,0.5183,0.3661900000000003
166,Co3Sn,3.8596,0.0218,-0.2914,155.45,0.2896000000000001,0.5640000000000001,0.0346666666666664,0.5181666666666667,0.36498333333333327
167,Co3Hf,3.7518,0.0618,-0.4156,225.56,0.18179999999999996,0.0,0.39400000000000013,0.7518666666666667,0.36346
168,Fe3Zr,3.6736,0.049,-0.0728,124.68,0.10360000000000014,0.020000000000000018,0.6546666666666662,0.4156,0.36081333333333315
169,Ir3Nb,3.87,0.03,-0.48,220.0,0.30000000000000027,0.4,0,0.7333333333333333,0.36
170,Co3W,3.74,0.05,-0.33,200.0,0.17000000000000037,0,0.433333333333332,0.6666666666666666,0.3516666666666662
171,Fe3Nb,4.0033,0.0232,-0.4421,159.61,0.43330000000000046,0.536,0,0.5320333333333334,0.34721
172,Co3Fe,3.9018,0.0195,-0.4279,133.03,0.3318000000000003,0.6100000000000001,0,0.44343333333333335,0.34653
173,Hf3Ti,3.93,0.0329,-0.411,224.6,0.3600000000000003,0.3420000000000001,0,0.7486666666666667,0.3443
174,W3Ti,3.7459,0.0794,-0.1547,198.62,0.17589999999999995,0.0,0.41366666666666685,0.6620666666666667,0.3434033333333334
175,Ta3Cu,3.4339,0.0465,-0.2859,125.28,0.1360999999999999,0.07000000000000006,0.5463333333333337,0.4176,0.34099666666666684
176,Ti3In,3.7296,0.0646,0.0446,175.51,0.1596000000000002,0.0,0.4679999999999993,0.5850333333333333,0.3393099999999997
177,Pd3Ta,3.6921,0.0522,0.0475,130.61,0.1221000000000001,0.0,0.5929999999999996,0.43536666666666674,0.3381599999999999
178,Rh3Sn,3.6742,0.0521,-0.4559,108.11,0.10420000000000007,0.0,0.6526666666666664,0.36036666666666667,0.3365433333333332
179,V3Be,3.7875,0.0531,-0.3673,239.93,0.21750000000000025,0.0,0.27499999999999913,0.7997666666666667,0.3361799999999997
180,Ta3Sn,3.7056,0.0996,-0.5363,142.8,0.13560000000000016,0.0,0.5479999999999994,0.47600000000000003,0.3345999999999998
181,Rh3V,4.0291,0.0249,-0.1477,158.65,0.45909999999999984,0.502,0,0.5288333333333334,0.33435000000000004
182,W3Cu,3.8591,0.0216,-0.3264,109.56,0.28910000000000036,0.5680000000000001,0.03633333333333211,0.3652,0.32107666666666623
183,V3Al,3.4058,0.0623,-0.0376,160.05,0.16419999999999968,0.0,0.45266666666666766,0.5335000000000001,0.3184833333333337
184,Co3Zn,4.0985,0.0191,-0.0356,100.46,0.5284999999999997,0.6180000000000001,0,0.33486666666666665,0.31676000000000004
185,Ir3Y,3.6997,0.1148,-0.433,113.71,0.12970000000000015,0.0,0.5676666666666661,0.37903333333333333,0.31239333333333313
186,Ru3Hf,3.8829,0.0227,0.0529,121.04,0.31289999999999996,0.546,0,0.4034666666666667,0.31214
187,Rh3In,3.9167,0.0371,-0.2564,218.94,0.34670000000000023,0.258,0,0.7298,0.30923999999999996
188,W3V,4.1474,0.0331,-0.2072,188.9,0.5774000000000004,0.3380000000000001,0,0.6296666666666667,0.30720000000000003
189,Ta3Zn,3.7186,0.0654,-0.5197,127.89,0.14860000000000007,0.0,0.5046666666666664,0.4263,0.30452333333333326
190,Ru3Sn,3.8216,0.0316,-0.2327,116.4,0.25160000000000027,0.368,0.16133333333333244,0.388,0.30166666666666636
191,Cu3V,3.7504,0.0692,-0.139,160.09,0.18040000000000012,0.0,0.3986666666666663,0.5336333333333333,0.29962333333333313
192,Ta3Ge,3.9168,0.0255,-0.3036,127.04,0.3468,0.4900000000000001,0,0.4234666666666667,0.29854
193,Ag3Al,3.7631,0.0594,-0.4479,173.25,0.19310000000000027,0.0,0.3563333333333324,0.5775,0.2979666666666663
194,Cr3Be,3.4141,0.1323,-0.0652,117.87,0.15589999999999993,0.0,0.4803333333333335,0.3929,0.2859866666666667
195,Au3Ti,4.0336,0.0449,-0.1282,248.24,0.4636,0.10199999999999998,0,0.8274666666666667,0.28393999999999997
196,Pt3Sc,4.1166,0.0453,-0.4249,246.19,0.5466000000000002,0.09400000000000008,0,0.8206333333333333,0.27909
197,Ru3Mg,4.1127,0.0374,-0.19,187.53,0.5427000000000004,0.252,0,0.6251,0.27573000000000003
198,Hf3Y,4.1505,0.0258,-0.1726,105.64,0.5805000000000002,0.484,0,0.35213333333333335,0.27504
199,Ag3Sn,3.8378,0.0923,-0.5086,234.12,0.26780000000000026,0.0,0.10733333333333239,0.7804,0.2716866666666663
200,Zr3V,4.1735,0.0317,-0.5313,139.19,0.6034999999999999,0.3660000000000001,0,0.46396666666666664,0.26729
201,Ta3Nb,3.7967,0.0445,-0.3471,143.24,0.22670000000000012,0.1100000000000001,0.24433333333333285,0.4774666666666667,0.26725666666666653
202,Ti3Ta,4.1529,0.0476,0.084,249.65,0.5829,0.04799999999999993,0,0.8321666666666667,0.26644999999999996
203,Pd3Ge,3.7357,0.1035,-0.0079,109.35,0.16570000000000018,0.0,0.447666666666666,0.3645,0.26603333333333307
204,Mo3Ti,3.7404,0.0587,-0.4218,112.57,0.17040000000000033,0.0,0.43199999999999883,0.3752333333333333,0.26376999999999956
205,Ti3Si,4.167,0.0343,-0.2498,153.38,0.597,0.31400000000000006,0,0.5112666666666666,0.26328
206,Cu3Si,3.76,0.0695,-0.5841,131.35,0.18999999999999995,0.0,0.3666666666666668,0.4378333333333333,0.2596833333333334
