# Paper ref: Table (tab:known_l12) -- known L1_2 compound rediscovery
# is_known=True rows correspond to the 11 known compounds in the paper table
formula,prototype,lattice_a,energy_above_hull,formation_energy_per_atom,is_known,known_l12_recovered
Co3Sn,L12,3.8596,0.0218,-0.2914,False,False
Co3Ta,L12,3.72,0.04,-0.34,True,True
Co3Ti,L12,3.55,0.0,-0.45,True,True
Co3W,L12,3.74,0.05,-0.33,True,True
Co3Zn,L12,4.0985,0.0191,-0.0356,False,False
Co3Zr,L12,4.0116,0.0174,-0.5895,False,False
Cr3Al,L12,3.5666,0.082,-0.1202,False,False
Cr3Be,L12,3.4141,0.1323,-0.0652,False,False
Cr3Fe,L12,3.5739,0.0365,-0.4532,False,False
Cr3Ge,L12,3.6438,0.0045,-0.0762,False,False
Cr3Hf,L12,3.902,0.0585,-0.5138,False,False
Cr3Nb,L12,3.9228,0.0716,-0.3566,False,False
Cr3Sn,L12,3.7047,0.0368,-0.1818,False,False
Cr3V,L12,3.4916,0.0854,-0.0006,False,False
Cr3Y,L12,3.5385,0.0458,-0.1313,False,False
Cr3Zn,L12,3.4919,0.0563,-0.405,False,False
Cr3Zr,L12,3.8699,0.0036,-0.0914,False,False
Cu3Be,L12,3.7105,0.0154,-0.0951,False,False
Cu3Fe,L12,4.09,0.0483,-0.0375,False,False
Cu3Ga,L12,3.459,0.1336,0.0445,False,False
Cu3Mn,L12,4.1111,0.0309,-0.2547,False,False
Cu3Nb,L12,3.448,0.0304,-0.1503,False,False
Cu3Si,L12,3.76,0.0695,-0.5841,False,False
Cu3Sn,L12,3.9136,0.0654,-0.5482,False,False
Cu3Ta,L12,4.1846,0.0054,-0.2278,False,False
Cu3Ti,L12,3.4571,0.0581,-0.5732,False,False
Cu3V,L12,3.7504,0.0692,-0.139,False,False
Cu3Y,L12,3.9981,0.0276,-0.0054,False,False
Cu3Zr,L12,3.5751,0.0379,-0.0371,False,False
Fe3Al,L12,4.1442,0.0339,-0.4539,False,False
Fe3Be,L12,4.1242,0.0478,0.0847,False,False
Fe3In,L12,3.7769,0.0436,-0.3109,False,False
Fe3Mg,L12,4.138,0.1167,-0.173,False,False
Fe3Nb,L12,4.0033,0.0232,-0.4421,False,False
Fe3Si,L12,4.0343,0.007,-0.501,False,False
Fe3Sn,L12,4.1817,0.0866,-0.0873,False,False
Fe3Ti,L12,3.4009,0.0064,-0.2662,False,False
Fe3V,L12,3.8909,0.0583,-0.2754,False,False
Fe3Zr,L12,3.6736,0.049,-0.0728,False,False
Hf3Cu,L12,3.6166,0.0282,-0.1582,False,False
Hf3Fe,L12,3.9877,0.0241,-0.0428,False,False
Hf3Ga,L12,3.5905,0.0966,-0.5356,False,False
Hf3Mg,L12,3.6527,0.0825,-0.5555,False,False
Hf3Mn,L12,3.4368,0.0255,-0.4169,False,False
Hf3Sb,L12,3.416,0.0506,-0.0538,False,False
Hf3Ta,L12,4.1076,0.0013,-0.2548,False,False
Hf3Ti,L12,3.93,0.0329,-0.411,False,False
Hf3Y,L12,4.1505,0.0258,-0.1726,False,False
Ir3Cu,L12,3.5107,0.0014,-0.425,False,False
Ir3Hf,L12,3.961,0.0075,-0.4819,False,False
Ir3Mg,L12,4.1403,0.047,0.0253,False,False
Ir3Nb,L12,3.87,0.03,-0.48,True,True
Ir3Sb,L12,3.6699,0.0007,-0.1168,False,False
Ir3Sc,L12,3.8563,0.0168,-0.2684,False,False
Ir3Ta,L12,3.7986,0.0156,-0.2397,False,False
Ir3Ti,L12,3.5086,0.0795,-0.5482,False,False
Ir3V,L12,3.663,0.0962,-0.3779,False,False
Ir3Y,L12,3.6997,0.1148,-0.433,False,False
Ir3Zn,L12,3.9314,0.0791,-0.3211,False,False
Ir3Zr,L12,3.8417,0.0374,-0.2097,False,False
Mn3Al,L12,3.6898,0.0377,-0.0007,False,False
Mn3Be,L12,4.1194,0.055,-0.2855,False,False
Mn3Ga,L12,3.4038,0.0517,-0.4085,False,False
Mn3Hf,L12,4.0699,0.0422,-0.4887,False,False
Mn3In,L12,3.7012,0.0216,-0.2698,False,False
Mn3Mg,L12,3.4999,0.0638,0.0822,False,False
Mn3Sc,L12,3.8681,0.1129,-0.2428,False,False
Mn3Sn,L12,3.7294,0.0284,-0.36,False,False
Mn3Ta,L12,3.8859,0.0839,-0.2961,False,False
Mn3Ti,L12,4.0028,0.0575,-0.4548,False,False
Mn3V,L12,4.0203,0.0072,0.0167,False,False
Mn3Y,L12,3.7065,0.0048,-0.2155,False,False
Mn3Zn,L12,4.1225,0.0213,-0.1203,False,False
Mn3Zr,L12,3.8447,0.0179,-0.5672,False,False
Mo3Al,L12,3.6092,0.0465,-0.3483,False,False
Mo3Fe,L12,3.7374,0.0105,-0.0707,False,False
Mo3Ga,L12,3.6816,0.0392,-0.5481,False,False
Mo3Ge,L12,3.49,0.0328,-0.3105,False,False
Mo3Hf,L12,3.6578,0.0797,-0.4282,False,False
Mo3In,L12,3.4764,0.0207,-0.3558,False,False
Mo3Mg,L12,3.9717,0.0109,0.0563,False,False
Mo3Nb,L12,3.5858,0.0074,-0.1535,False,False
Mo3Sc,L12,3.5007,0.0404,-0.2397,False,False
Mo3Si,L12,3.9871,0.0045,-0.0733,False,False
Mo3Ti,L12,3.7404,0.0587,-0.4218,False,False
Mo3V,L12,3.4407,0.096,-0.5945,False,False
Mo3Y,L12,3.4671,0.0321,-0.3178,False,False
Nb3Al,L12,4.1697,0.0147,-0.3032,False,False
Nb3Be,L12,3.4287,0.0112,-0.5521,False,False
Nb3Fe,L12,3.935,0.1016,-0.2432,False,False
Nb3Ga,L12,3.5115,0.0355,-0.2143,False,False
Nb3Ge,L12,3.669,0.0447,-0.4065,False,False
Nb3Hf,L12,3.4293,0.0124,-0.1472,False,False
Nb3In,L12,3.7488,0.0194,-0.0092,False,False
Nb3Mg,L12,3.6478,0.0296,-0.2833,False,False
Nb3Mn,L12,3.6074,0.0058,-0.4269,False,False
Nb3Si,L12,3.8948,0.0116,0.0817,False,False
Nb3Ti,L12,3.5234,0.0201,-0.3454,False,False
Nb3V,L12,3.6393,0.0701,-0.0295,False,False
Nb3Y,L12,3.6973,0.0342,-0.0194,False,False
Nb3Zr,L12,3.5684,0.0852,-0.1095,False,False
Ni3Al,L12,3.572,0.0,-0.42,True,True
Ni3Cu,L12,3.8701,0.0005,-0.0528,False,False
Ni3Ga,L12,3.66,0.01,-0.38,True,True
Ni3Ge,L12,3.61,0.04,-0.35,True,True
Ni3Hf,L12,4.1353,0.003,-0.2421,False,False
Ni3Mn,L12,4.094,0.0533,-0.0021,False,False
Ni3Nb,L12,3.9287,0.013,-0.2829,False,False
Ni3Sb,L12,3.4852,0.0094,-0.3334,False,False
Ni3Si,L12,3.8452,0.0127,-0.2565,False,False
Ni3Ti,L12,3.7702,0.0234,0.0554,False,False
Pd3Al,L12,3.5311,0.0637,0.0671,False,False
Pd3Be,L12,4.0824,0.0539,-0.1398,False,False
Pd3Cu,L12,4.1815,0.0789,-0.1535,False,False
Pd3Fe,L12,3.6423,0.0257,-0.2266,False,False
Pd3Ge,L12,3.7357,0.1035,-0.0079,False,False
Pd3Hf,L12,3.6316,0.0076,-0.516,False,False
Pd3In,L12,3.7589,0.0131,-0.5963,False,False
Pd3Mg,L12,3.4204,0.0095,-0.1737,False,False
Pd3Sn,L12,3.5403,0.0078,-0.0668,False,False
Pd3Ta,L12,3.6921,0.0522,0.0475,False,False
Pd3Ti,L12,3.5817,0.0272,-0.2798,False,False
Pd3V,L12,3.5821,0.0752,-0.0937,False,False
Pd3Zr,L12,3.5596,0.1046,0.0193,False,False
Pt3Al,L12,3.9,0.0,-0.55,True,True
Pt3Ge,L12,3.5496,0.0207,-0.4783,False,False
Pt3Hf,L12,3.8013,0.0235,-0.568,False,False
Pt3Mg,L12,3.7994,0.0923,-0.1374,False,False
Pt3Mn,L12,3.7702,0.0211,-0.2921,False,False
Pt3Sb,L12,3.4446,0.0452,-0.4156,False,False
Pt3Sc,L12,4.1166,0.0453,-0.4249,False,False
Pt3Si,L12,4.0726,0.0081,0.0125,False,False
Pt3Sn,L12,3.4506,0.0512,-0.4083,False,False
Pt3Ta,L12,4.0834,0.0529,-0.5125,False,False
Pt3V,L12,3.6836,0.0332,-0.5291,False,False
Rh3Cu,L12,3.7346,0.0357,-0.2795,False,False
Rh3Ga,L12,3.9966,0.0565,0.0446,False,False
Rh3In,L12,3.9167,0.0371,-0.2564,False,False
Rh3Mg,L12,4.0772,0.0032,-0.0418,False,False
Rh3Sb,L12,3.5396,0.0239,-0.4879,False,False
Rh3Sc,L12,4.0486,0.0128,-0.1885,False,False
Rh3Si,L12,4.041,0.0108,0.0375,False,False
Rh3Sn,L12,3.6742,0.0521,-0.4559,False,False
Rh3Ta,L12,3.4704,0.0905,-0.0931,False,False
Rh3V,L12,4.0291,0.0249,-0.1477,False,False
Rh3Zr,L12,3.5744,0.0263,-0.5252,False,False
Ru3Be,L12,4.1708,0.0437,-0.1274,False,False
Ru3Cu,L12,4.0028,0.0389,0.0472,False,False
Ru3Ge,L12,3.8106,0.0891,-0.4525,False,False
Ru3Hf,L12,3.8829,0.0227,0.0529,False,False
Ru3Mg,L12,4.1127,0.0374,-0.19,False,False
Ru3Sn,L12,3.8216,0.0316,-0.2327,False,False
Ru3V,L12,3.4632,0.0211,0.0715,False,False
Ru3Zr,L12,3.9538,0.0539,-0.1327,False,False
Ta3Al,L12,3.9895,0.0469,-0.552,False,False
Ta3Cu,L12,3.4339,0.0465,-0.2859,False,False
Ta3Ga,L12,4.0713,0.0552,-0.548,False,False
Ta3Ge,L12,3.9168,0.0255,-0.3036,False,False
Ta3Hf,L12,3.6427,0.0433,-0.4458,False,False
Ta3In,L12,4.0897,0.0231,-0.5507,False,False
Ta3Mn,L12,3.6103,0.0622,0.0129,False,False
Ta3Nb,L12,3.7967,0.0445,-0.3471,False,False
Ta3Sb,L12,4.1938,0.0866,-0.1739,False,False
Ta3Si,L12,3.7194,0.0945,-0.5603,False,False
Ta3Sn,L12,3.7056,0.0996,-0.5363,False,False
Ta3V,L12,3.8795,0.1133,-0.2055,False,False
Ta3Y,L12,3.8404,0.1074,-0.335,False,False
Ta3Zn,L12,3.7186,0.0654,-0.5197,False,False
Ta3Zr,L12,3.7654,0.0219,-0.5596,False,False
Ti3Be,L12,3.6059,0.0457,-0.2595,False,False
Ti3Ga,L12,3.4888,0.022,-0.3441,False,False
Ti3Ge,L12,4.0043,0.0213,-0.2469,False,False
Ti3Hf,L12,3.8404,0.0113,-0.506,False,False
Ti3In,L12,3.7296,0.0646,0.0446,False,False
Ti3Mg,L12,3.9259,0.0221,-0.0256,False,False
Ti3Nb,L12,3.645,0.0666,-0.0913,False,False
Ti3Sb,L12,3.9864,0.0521,-0.5877,False,False
Ti3Si,L12,4.167,0.0343,-0.2498,False,False
Ti3Ta,L12,4.1529,0.0476,0.084,False,False
Ti3V,L12,3.7022,0.0015,-0.2705,False,False
Ti3Y,L12,3.7548,0.016,-0.3881,False,False
Ti3Zr,L12,3.9616,0.0533,0.039,False,False
V3Al,L12,3.4058,0.0623,-0.0376,False,False
V3Be,L12,3.7875,0.0531,-0.3673,False,False
V3Cu,L12,3.6845,0.0716,-0.3674,False,False
V3Ga,L12,3.501,0.0679,-0.4348,False,False
V3In,L12,3.8012,0.024,-0.0193,False,False
V3Mg,L12,3.4313,0.0044,-0.5362,False,False
V3Mn,L12,3.8193,0.0526,-0.1731,False,False
V3Nb,L12,4.1744,0.0166,-0.2408,False,False
V3Sc,L12,3.4797,0.0155,0.0785,False,False
V3Si,L12,4.0609,0.0722,-0.2854,False,False
V3Sn,L12,3.6907,0.0575,-0.562,False,False
V3Ta,L12,3.4402,0.0585,-0.3346,False,False
V3Zr,L12,3.4633,0.0141,-0.0389,False,False
W3Cu,L12,3.8591,0.0216,-0.3264,False,False
W3Fe,L12,4.0725,0.0059,0.0465,False,False
W3Ga,L12,3.5941,0.0596,-0.1458,False,False
W3Ge,L12,3.8743,0.0671,-0.0115,False,False
W3In,L12,3.5502,0.078,-0.5864,False,False
W3Mn,L12,4.1468,0.0545,0.0317,False,False
W3Nb,L12,3.5425,0.0334,-0.2287,False,False
W3Sb,L12,3.5624,0.0138,-0.3199,False,False
W3Si,L12,3.9816,0.092,-0.2054,False,False
W3Ta,L12,3.5509,0.0742,-0.0016,False,False
W3Ti,L12,3.7459,0.0794,-0.1547,False,False
W3V,L12,4.1474,0.0331,-0.2072,False,False
W3Y,L12,3.9669,0.0019,0.0855,False,False
Zr3Al,L12,3.8306,0.0109,-0.2776,False,False
Zr3Cu,L12,3.5503,0.0397,-0.4995,False,False
Zr3Fe,L12,3.6545,0.0131,-0.332,False,False
Zr3Ge,L12,3.9124,0.0596,-0.2236,False,False
Zr3In,L12,3.4047,0.0019,-0.3538,False,False
Zr3Mg,L12,3.7869,0.0131,-0.4297,False,False
Zr3Sc,L12,3.6678,0.0932,0.0161,False,False
Zr3Si,L12,3.9169,0.1147,-0.0513,False,False
Zr3Sn,L12,4.1653,0.0408,-0.2782,False,False
Zr3Ti,L12,3.8279,0.0006,-0.151,False,False
Zr3V,L12,4.1735,0.0317,-0.5313,False,False
