# Paper ref: Section 4.3.3, Supplementary S6 (tab:sup_injection_results)
# 162 candidates (stable=8, metastable=154). stability_class is authoritative (stable: Ehull<=0.001, metastable: 0.001<Ehull<=0.05)
# is_stable_legacy: original DB flag (may conflict with stability_class for 28 entries)
formula,lattice_a,energy_above_hull,formation_energy_per_atom,stability_class,is_stable_legacy
Fe3Ti,3.4009,0.0064,-0.2662,metastable,True
Fe3Zr,3.6736,0.049,-0.0728,metastable,False
Hf3Cu,3.6166,0.0282,-0.1582,metastable,False
Hf3Fe,3.9877,0.0241,-0.0428,metastable,False
Hf3Mn,3.4368,0.0255,-0.4169,metastable,False
Hf3Ta,4.1076,0.0013,-0.2548,metastable,True
Hf3Ti,3.93,0.0329,-0.411,metastable,False
Hf3Y,4.1505,0.0258,-0.1726,metastable,False
Ir3Cu,3.5107,0.0014,-0.425,metastable,True
Ir3Hf,3.961,0.0075,-0.4819,metastable,True
Ir3Mg,4.1403,0.047,0.0253,metastable,False
Ir3Nb,3.87,0.03,-0.48,metastable,False
Ir3Sb,3.6699,0.0007,-0.1168,stable,True
Ir3Sc,3.8563,0.0168,-0.2684,metastable,False
Ir3Ta,3.7986,0.0156,-0.2397,metastable,False
Ir3Zr,3.8417,0.0374,-0.2097,metastable,False
Mn3Al,3.6898,0.0377,-0.0007,metastable,False
Mn3Hf,4.0699,0.0422,-0.4887,metastable,False
Mn3In,3.7012,0.0216,-0.2698,metastable,False
Mn3Sn,3.7294,0.0284,-0.36,metastable,False
Mn3V,4.0203,0.0072,0.0167,metastable,True
Mn3Y,3.7065,0.0048,-0.2155,metastable,True
Mn3Zn,4.1225,0.0213,-0.1203,metastable,False
Mn3Zr,3.8447,0.0179,-0.5672,metastable,False
Mo3Al,3.6092,0.0465,-0.3483,metastable,False
Mo3Fe,3.7374,0.0105,-0.0707,metastable,False
Mo3Ga,3.6816,0.0392,-0.5481,metastable,False
Mo3Ge,3.49,0.0328,-0.3105,metastable,False
Mo3In,3.4764,0.0207,-0.3558,metastable,False
Mo3Mg,3.9717,0.0109,0.0563,metastable,False
Mo3Nb,3.5858,0.0074,-0.1535,metastable,True
Mo3Sc,3.5007,0.0404,-0.2397,metastable,False
Mo3Si,3.9871,0.0045,-0.0733,metastable,True
Mo3Y,3.4671,0.0321,-0.3178,metastable,False
Nb3Al,4.1697,0.0147,-0.3032,metastable,False
Nb3Be,3.4287,0.0112,-0.5521,metastable,False
Nb3Ga,3.5115,0.0355,-0.2143,metastable,False
Nb3Ge,3.669,0.0447,-0.4065,metastable,False
Nb3Hf,3.4293,0.0124,-0.1472,metastable,False
Nb3In,3.7488,0.0194,-0.0092,metastable,False
Nb3Mg,3.6478,0.0296,-0.2833,metastable,False
Nb3Mn,3.6074,0.0058,-0.4269,metastable,True
Nb3Si,3.8948,0.0116,0.0817,metastable,False
Nb3Ti,3.5234,0.0201,-0.3454,metastable,False
Nb3Y,3.6973,0.0342,-0.0194,metastable,False
Ni3Al,3.572,0.0,-0.42,stable,True
Ni3Cu,3.8701,0.0005,-0.0528,stable,True
Ni3Ga,3.66,0.01,-0.38,metastable,True
Ni3Ge,3.61,0.04,-0.35,metastable,False
Ni3Hf,4.1353,0.003,-0.2421,metastable,True
Ni3Nb,3.9287,0.013,-0.2829,metastable,False
Ni3Sb,3.4852,0.0094,-0.3334,metastable,True
Ni3Si,3.8452,0.0127,-0.2565,metastable,False
Ni3Ti,3.7702,0.0234,0.0554,metastable,False
Pd3Fe,3.6423,0.0257,-0.2266,metastable,False
Pd3Hf,3.6316,0.0076,-0.516,metastable,True
Pd3In,3.7589,0.0131,-0.5963,metastable,False
Pd3Mg,3.4204,0.0095,-0.1737,metastable,True
Pd3Sn,3.5403,0.0078,-0.0668,metastable,True
Pd3Ti,3.5817,0.0272,-0.2798,metastable,False
Pt3Al,3.9,0.0,-0.55,stable,True
Pt3Ge,3.5496,0.0207,-0.4783,metastable,False
Pt3Hf,3.8013,0.0235,-0.568,metastable,False
Pt3Mn,3.7702,0.0211,-0.2921,metastable,False
Pt3Sb,3.4446,0.0452,-0.4156,metastable,False
Pt3Sc,4.1166,0.0453,-0.4249,metastable,False
Pt3Si,4.0726,0.0081,0.0125,metastable,True
Pt3V,3.6836,0.0332,-0.5291,metastable,False
Rh3Cu,3.7346,0.0357,-0.2795,metastable,False
Rh3In,3.9167,0.0371,-0.2564,metastable,False
Rh3Mg,4.0772,0.0032,-0.0418,metastable,True
Rh3Sb,3.5396,0.0239,-0.4879,metastable,False
Rh3Sc,4.0486,0.0128,-0.1885,metastable,False
Rh3Si,4.041,0.0108,0.0375,metastable,False
Rh3V,4.0291,0.0249,-0.1477,metastable,False
Rh3Zr,3.5744,0.0263,-0.5252,metastable,False
Ru3Be,4.1708,0.0437,-0.1274,metastable,False
Ru3Cu,4.0028,0.0389,0.0472,metastable,False
Ru3Hf,3.8829,0.0227,0.0529,metastable,False
Ru3Mg,4.1127,0.0374,-0.19,metastable,False
Ru3Sn,3.8216,0.0316,-0.2327,metastable,False
Ru3V,3.4632,0.0211,0.0715,metastable,False
Ta3Al,3.9895,0.0469,-0.552,metastable,False
Ta3Cu,3.4339,0.0465,-0.2859,metastable,False
Ta3Ge,3.9168,0.0255,-0.3036,metastable,False
Ta3Hf,3.6427,0.0433,-0.4458,metastable,False
Ta3In,4.0897,0.0231,-0.5507,metastable,False
Ta3Nb,3.7967,0.0445,-0.3471,metastable,False
Ta3Zr,3.7654,0.0219,-0.5596,metastable,False
Ti3Be,3.6059,0.0457,-0.2595,metastable,False
Ti3Ga,3.4888,0.022,-0.3441,metastable,False
Ti3Ge,4.0043,0.0213,-0.2469,metastable,False
Ti3Hf,3.8404,0.0113,-0.506,metastable,False
Ti3Mg,3.9259,0.0221,-0.0256,metastable,False
Ti3Si,4.167,0.0343,-0.2498,metastable,False
Ti3Ta,4.1529,0.0476,0.084,metastable,False
Ti3V,3.7022,0.0015,-0.2705,metastable,True
Ti3Y,3.7548,0.016,-0.3881,metastable,False
V3In,3.8012,0.024,-0.0193,metastable,False
V3Mg,3.4313,0.0044,-0.5362,metastable,True
V3Nb,4.1744,0.0166,-0.2408,metastable,False
V3Sc,3.4797,0.0155,0.0785,metastable,False
V3Zr,3.4633,0.0141,-0.0389,metastable,False
W3Cu,3.8591,0.0216,-0.3264,metastable,False
W3Fe,4.0725,0.0059,0.0465,metastable,True
W3Nb,3.5425,0.0334,-0.2287,metastable,False
W3Sb,3.5624,0.0138,-0.3199,metastable,False
W3V,4.1474,0.0331,-0.2072,metastable,False
W3Y,3.9669,0.0019,0.0855,metastable,True
Zr3Al,3.8306,0.0109,-0.2776,metastable,False
Zr3Cu,3.5503,0.0397,-0.4995,metastable,False
Zr3Fe,3.6545,0.0131,-0.332,metastable,False
Zr3In,3.4047,0.0019,-0.3538,metastable,True
Zr3Mg,3.7869,0.0131,-0.4297,metastable,False
Zr3Sn,4.1653,0.0408,-0.2782,metastable,False
Zr3Ti,3.8279,0.0006,-0.151,stable,True
Zr3V,4.1735,0.0317,-0.5313,metastable,False
