directory,composition,structure_type,element_A,element_B,a_DFT,a_calc,error,rel_error_pct
Ag1Se1,Ag1Se1,B2,Ag,Se,3.42939,3.3498821631819906,-0.07950783681800955,-2.3184250498779533
Ag1Si1,Ag1Si1,B2,Ag,Si,3.26243,3.2083716438262138,-0.054058356173786404,-1.6569966611938463
Ag1Sn1,Ag1Sn1,B2,Ag,Sn,3.56458,3.5285378774556277,-0.03604212254437211,-1.011118351793819
Ag1Sr1,Ag1Sr1,B2,Ag,Sr,3.92758,3.983257002620019,0.05567700262001907,1.4175905422682433
Ag1Ta1,Ag1Ta1,B2,Ag,Ta,3.29114,3.292200345031978,0.0010603450319779384,0.03221816853667539
Ag1Tc1,Ag1Tc1,B2,Ag,Tc,3.16288,3.1597328124329986,-0.003147187567001275,-0.09950385620071818
Ag1Ti1,Ag1Ti1,B2,Ag,Ti,3.27918,3.269945020253714,-0.009234979746286065,-0.281624666724183
Ag1V1,Ag1V1,B2,Ag,V,3.2115,3.1812681370851106,-0.03023186291488944,-0.9413626939090594
Ag1W1,Ag1W1,B2,Ag,W,3.20784,3.209525280022037,0.001685280022036828,0.052536286786025115
Ag1Y1,Ag1Y1,B2,Ag,Y,3.64084,3.664493851496526,0.0236538514965261,0.6496811586481719
Ag1Zn1,Ag1Zn1,B2,Ag,Zn,3.18279,3.251667877470551,0.06887787747055141,2.164072322413713
Ag1Zr1,Ag1Zr1,B2,Ag,Zr,3.44267,3.444361254162171,0.0016912541621709742,0.04912623522356119
Al1Ag1,Al1Ag1,B2,Al,Ag,3.22831,3.276734158303448,0.04842415830344793,1.4999847692274884
Al1Al1,Al2,B2,Al,Al,3.22535,3.2066957637886118,-0.018654236211388397,-0.5783631609403134
Al1As1,Al1As1,B2,Al,As,3.28512,3.238926625812857,-0.0461933741871432,-1.406139629211207
Al1B1,Al1B1,B2,Al,B,2.78359,2.818209482925225,0.03461948292522532,1.2436990693753507
Al1Ca1,Al1Ca1,B2,Al,Ca,3.70784,3.701055197270576,-0.006784802729423944,-0.18298531569387957
Al1Cd1,Al1Cd1,B2,Al,Cd,3.46428,3.3967935088545906,-0.06748649114540939,-1.9480668752355292
Al1Co1,Al1Co1,B2,Al,Co,2.85077,2.966657869056375,0.11588786905637516,4.0651427178051955
Al1Cr1,Al1Cr1,B2,Al,Cr,3.04043,3.0867019503138424,0.046271950313842236,1.5218883616410255
Al1Cu1,Al1Cu1,B2,Al,Cu,3.00082,3.0734551972204494,0.07263519722044931,2.420511634168304
Al1Fe1,Al1Fe1,B2,Al,Fe,2.87008,2.996228184178728,0.12614818417872797,4.3952845975975565
Al1Ga1,Al1Ga1,B2,Al,Ga,3.31478,3.2272672751635123,-0.08751272483648753,-2.640076410394884
Al1Gd1,Al1Gd1,B2,Al,Gd,3.64346,3.737469792192458,0.09400979219245764,2.580233958722139
Al1Ge1,Al1Ge1,B2,Al,Ge,3.31425,3.241114028410261,-0.07313597158973906,-2.2067125771966225
Al1Hf1,Al1Hf1,B2,Al,Hf,3.35028,3.3456320803583126,-0.004647919641687537,-0.13873227436774052
Al1In1,Al1In1,B2,Al,In,3.57543,3.4466231194442747,-0.1288068805557252,-3.60255635142417
Al1La1,Al1La1,B2,Al,La,3.80042,3.734755846588095,-0.0656641534119049,-1.7278130683425752
Al1Mg1,Al1Mg1,B2,Al,Mg,3.4021,3.3601625998388327,-0.041937400161167204,-1.2326915775893479
Al1Mn1,Al1Mn1,B2,Al,Mn,2.91165,3.028010392054721,0.11636039205472093,3.996372917580098
Al1Mo1,Al1Mo1,B2,Al,Mo,3.12322,3.159361684845848,0.03614168484584823,1.1571930522296934
Al1Na1,Al1Na1,B2,Al,Na,3.60733,3.562928054417106,-0.04440194558289434,-1.230881166483087
Al1Nb1,Al1Nb1,B2,Al,Nb,3.23758,3.2325924698905677,-0.004987530109432203,-0.15405117740510516
Al1Ni1,Al1Ni1,B2,Al,Ni,2.89412,2.98972519746954,0.09560519746953977,3.303428934167891
Al1Pd1,Al1Pd1,B2,Al,Pd,3.07806,3.15746532711156,0.07940532711156001,2.579719924613556
Al1Ru1,Al1Ru1,B2,Al,Ru,3.00537,3.0657615607459654,0.0603915607459653,2.0094551002360874
Al1Sb1,Al1Sb1,B2,Al,Sb,3.56472,3.458647015373594,-0.10607298462640591,-2.975632998563868
Al1Sc1,Al1Sc1,B2,Al,Sc,3.38168,3.3932511711895046,0.011571171189504792,0.3421722690942015
Al1Se1,Al1Se1,B2,Al,Se,3.36187,3.2798437686671544,-0.0820262313328457,-2.439898964946464
Al1Si1,Al1Si1,B2,Al,Si,3.15757,3.1383332493113776,-0.019236750688622628,-0.6092264205899671
Al1Sn1,Al1Sn1,B2,Al,Sn,3.56723,3.4584994829407916,-0.10873051705920833,-3.0480377508377186
Al1Sr1,Al1Sr1,B2,Al,Sr,3.94522,3.913218608105183,-0.032001391894816766,-0.8111434063199712
Al1Ta1,Al1Ta1,B2,Al,Ta,3.22147,3.2221619505171417,0.0006919505171416596,0.021479340709106697
Al1Tc1,Al1Tc1,B2,Al,Tc,3.05019,3.0896944179181625,0.03950441791816228,1.2951461357542409
Al1Ti1,Al1Ti1,B2,Al,Ti,3.18403,3.199906625738878,0.015876625738878047,0.49863304487954097
Al1V1,Al1V1,B2,Al,V,3.08694,3.111229742570275,0.024289742570275052,0.7868550269935617
Al1W1,Al1W1,B2,Al,W,3.12535,3.1394868855072007,0.014136885507200603,0.4523296753067849
Al1Y1,Al1Y1,B2,Al,Y,3.61562,3.59445545698169,-0.021164543018310056,-0.5853641427558774
Al1Zn1,Al1Zn1,B2,Al,Zn,3.18396,3.181629482955715,-0.0023305170442848855,-0.07319555032993146
Al1Zr1,Al1Zr1,B2,Al,Zr,3.37937,3.374322859647335,-0.005047140352665291,-0.14935151678168687
As1Ag1,As1Ag1,B2,As,Ag,3.35764,3.3089650203276926,-0.048674979672307384,-1.4496783357449692
As1Al1,As1Al1,B2,As,Al,3.28512,3.238926625812857,-0.0461933741871432,-1.406139629211207
As1As1,As2,B2,As,As,3.36718,3.2711574878371015,-0.09602251216289837,-2.851719010058814
As1B1,As1B1,B2,As,B,2.94255,2.8504403449494697,-0.09210965505053048,-3.130266437291821
As1Ca1,As1Ca1,B2,As,Ca,3.63856,3.7332860592948207,0.0947260592948207,2.6033941805225336
As1Cd1,As1Cd1,B2,As,Cd,3.49866,3.4290243708788357,-0.06963562912116439,-1.990351423721207
As1Ce1,As1Ce1,B2,As,Ce,3.61394,3.669814486507237,0.05587448650723692,1.5460822954237459
As1Co1,As1Co1,B2,As,Co,2.96991,2.9988887310806196,0.028978731080619546,0.9757444192120147
As1Cr1,As1Cr1,B2,As,Cr,2.98432,3.1189328123380875,0.13461281233808764,4.51066951057821
As1Cu1,As1Cu1,B2,As,Cu,3.15299,3.105686059244694,-0.04730394075530597,-1.5002883217297223
As1Fe1,As1Fe1,B2,As,Fe,3.50486,3.028459046202973,-0.47640095379702707,-13.592581552388031
As1Ga1,As1Ga1,B2,As,Ga,3.39545,3.2594981371877565,-0.13595186281224336,-4.0039424174187035
As1Gd1,As1Gd1,B2,As,Gd,3.60762,3.769700654216703,0.16208065421670304,4.492730781421077
As1Ge1,As1Ge1,B2,As,Ge,3.38281,3.273344890434505,-0.10946510956549504,-3.235922489453887
As1Hf1,As1Hf1,B2,As,Hf,3.32569,3.3778629423825572,0.05217294238255743,1.568785496620474
As1In1,As1In1,B2,As,In,3.59406,3.4788539814685198,-0.11520601853148005,-3.2054561841338223
As1La1,As1La1,B2,As,La,3.74596,3.76698670861234,0.021026708612339906,0.5613169551287228
As1Mg1,As1Mg1,B2,As,Mg,3.40016,3.3923934618630773,-0.00776653813692274,-0.2284168432345166
As1Mn1,As1Mn1,B2,As,Mn,2.93309,3.0602412540789654,0.12715125407896544,4.335061456653748
As1Mo1,As1Mo1,B2,As,Mo,3.11802,3.1915925468700928,0.07357254687009274,2.3595918842756856
As1Na1,As1Na1,B2,As,Na,3.46765,3.5951589164413504,0.12750891644135054,3.677098797207058
As1Nb1,As1Nb1,B2,As,Nb,3.22565,3.2648233319148123,0.039173331914812426,1.2144321893203671
As1Ni1,As1Ni1,B2,As,Ni,3.03284,3.0219560594937853,-0.010883940506214884,-0.3588695910834361
As1Pd1,As1Pd1,B2,As,Pd,3.20042,3.189696189135804,-0.010723810864195826,-0.3350751108978142
As1Ru1,As1Ru1,B2,As,Ru,3.08602,3.0979924227702096,0.011972422770209601,0.38795674591252166
As1Sb1,As1Sb1,B2,As,Sb,3.56034,3.4908778773978386,-0.06946212260216145,-1.950996887998378
As1Sc1,As1Sc1,B2,As,Sc,3.39001,3.4254820332137492,0.03547203321374903,1.0463695745366246
As1Se1,As1Se1,B2,As,Se,3.39807,3.3120746306913995,-0.08599536930860063,-2.5307121191912065
As1Si1,As1Si1,B2,As,Si,3.22319,3.170564111335623,-0.05262588866437712,-1.63272685334644
As1Sn1,As1Sn1,B2,As,Sn,3.57909,3.4907303449650366,-0.08835965503496324,-2.4687743262942043
As1Sr1,As1Sr1,B2,As,Sr,3.83736,3.945449470129428,0.10808947012942793,2.8167664782409765
As1Ta1,As1Ta1,B2,As,Ta,3.20882,3.2543928125413863,0.045572812541386565,1.420235866810434
As1Tc1,As1Tc1,B2,As,Tc,3.07304,3.1219252799424075,0.04888527994240732,1.5907791614299627
As1Ti1,As1Ti1,B2,As,Ti,3.18743,3.232137487763123,0.044707487763123055,1.4026186539978307
As1V1,As1V1,B2,As,V,3.06161,3.14346060459452,0.08185060459451998,2.673449740317022
As1W1,As1W1,B2,As,W,3.12483,3.1717177475314458,0.046887747531445534,1.5004895476376485
As1Y1,As1Y1,B2,As,Y,3.57734,3.626686319005935,0.04934631900593489,1.379413726565965
As1Zn1,As1Zn1,B2,As,Zn,3.28653,3.21386034497996,-0.07266965502003986,-2.211136214184561
As1Zr1,As1Zr1,B2,As,Zr,3.35791,3.4065537216715795,0.0486437216715796,1.4486308945617838
B1Ag1,B1Ag1,B2,B,Ag,2.89237,2.8882478774400613,-0.004122122559938823,-0.14251712470876213
B1Al1,B1Al1,B2,B,Al,2.78359,2.818209482925225,0.03461948292522532,1.2436990693753507
B1As1,B1As1,B2,B,As,2.94255,2.8504403449494697,-0.09210965505053048,-3.130266437291821
B1B1,B2,B2,B,B,2.311,2.429723202061838,0.11872320206183806,5.137308613666727
B1Ca1,B1Ca1,B2,B,Ca,3.26282,3.3125689164071885,0.04974891640718848,1.5247214497639612
B1Cd1,B1Cd1,B2,B,Cd,3.10514,3.0083072279912035,-0.09683277200879647,-3.118467186947979
B1Ce1,B1Ce1,B2,B,Ce,3.2361,3.2490973436196056,0.012997343619605584,0.4016360316308391
B1Co1,B1Co1,B2,B,Co,2.47848,2.578171588192988,0.09969158819298807,4.022287377464739
B1Cr1,B1Cr1,B2,B,Cr,2.57136,2.6982156694504558,0.1268556694504559,4.933407591720176
B1Cu1,B1Cu1,B2,B,Cu,2.61603,2.6849689163570623,0.0689389163570624,2.635249456507089
B1Fe1,B1Fe1,B2,B,Fe,2.48528,2.6077419033153406,0.12246190331534068,4.927489188958213
B1Ga1,B1Ga1,B2,B,Ga,2.92704,2.838780994300125,-0.08825900569987466,-3.015298926556339
B1Gd1,B1Gd1,B2,B,Gd,3.24524,3.348983511329071,0.10374351132907123,3.196790108869336
B1Ge1,B1Ge1,B2,B,Ge,2.92283,2.8526277475468738,-0.07020225245312606,-2.4018588988455045
B1Hf1,B1Hf1,B2,B,Hf,2.98713,2.957145799494926,-0.02998420050507411,-1.0037795645008456
B1In1,B1In1,B2,B,In,3.20789,3.058136838580888,-0.14975316141911188,-4.668276076146997
B1La1,B1La1,B2,B,La,3.40442,3.3462695657247084,-0.05815043427529165,-1.7080863781581488
B1Mg1,B1Mg1,B2,B,Mg,2.90749,2.971676318975446,0.06418631897544591,2.2076195954395685
B1Mn1,B1Mn1,B2,B,Mn,2.5219,2.6395241111913337,0.11762411119133365,4.664106871459362
B1Mo1,B1Mo1,B2,B,Mo,2.7803,2.7708754039824615,-0.009424596017538533,-0.33897766491164744
B1Na1,B1Na1,B2,B,Na,3.11534,3.1744417735537187,0.059101773553718484,1.8971211345701746
B1Nb1,B1Nb1,B2,B,Nb,2.88645,2.8441061890271806,-0.04234381097281936,-1.4669857774366215
B1Ni1,B1Ni1,B2,B,Ni,2.51802,2.601238916606153,0.08321891660615321,3.304934694964822
B1Pd1,B1Pd1,B2,B,Pd,2.77503,2.7689790462481727,-0.006050953751827404,-0.21805003015561647
B1Ru1,B1Ru1,B2,B,Ru,2.692,2.6772752798825783,-0.014724720117421874,-0.5469806878685688
B1Sb1,B1Sb1,B2,B,Sb,3.20481,3.070160734510207,-0.13464926548979328,-4.201474205640686
B1Sc1,B1Sc1,B2,B,Sc,2.96689,3.0047648903261175,0.03787489032611768,1.27658559387499
B1Se1,B1Se1,B2,B,Se,3.00978,2.8913574878037673,-0.11842251219623279,-3.934590308801068
B1Si1,B1Si1,B2,B,Si,2.71288,2.749846968447991,0.036966968447990745,1.3626466503491028
B1Sn1,B1Sn1,B2,B,Sn,3.18381,3.070013202077405,-0.1137967979225949,-3.57423332179354
B1Sr1,B1Sr1,B2,B,Sr,3.50299,3.5247323272417965,0.021742327241796477,0.6206791124666778
B1Ta1,B1Ta1,B2,B,Ta,2.87385,2.8336756696537546,-0.0401743303462454,-1.397927182916485
B1Tc1,B1Tc1,B2,B,Tc,2.72257,2.7012081370547754,-0.021361862945224797,-0.7846212565783358
B1Ti1,B1Ti1,B2,B,Ti,2.78966,2.811420344875491,0.021760344875490834,0.7800357346590923
B1V1,B1V1,B2,B,V,2.65573,2.722743461706888,0.06701346170688804,2.5233537184460784
B1W1,B1W1,B2,B,W,2.79606,2.751000604643814,-0.045059395356186194,-1.6115317752904514
B1Y1,B1Y1,B2,B,Y,3.2136,3.205969176118303,-0.007630823881696891,-0.23745406652031648
B1Zn1,B1Zn1,B2,B,Zn,2.80771,2.7931432020923284,-0.014566797907671791,-0.5188141904851922
B1Zr1,B1Zr1,B2,B,Zr,3.02326,2.985836578783948,-0.037423421216052244,-1.2378499108926206
Ca1Ag1,Ca1Ag1,B2,Ca,Ag,3.7117,3.771093591785412,0.059393591785411814,1.6001722064124744
Ca1Al1,Ca1Al1,B2,Ca,Al,3.70784,3.701055197270576,-0.006784802729423944,-0.18298531569387957
Ca1As1,Ca1As1,B2,Ca,As,3.63856,3.7332860592948207,0.0947260592948207,2.6033941805225336
Ca1B1,Ca1B1,B2,Ca,B,3.26282,3.3125689164071885,0.04974891640718848,1.5247214497639612
Ca1Ca1,Ca2,B2,Ca,Ca,4.38383,4.19541463075254,-0.18841536924745927,-4.29796249506617
Ca1Cd1,Ca1Cd1,B2,Ca,Cd,3.82042,3.891152942336555,0.07073294233655503,1.8514441432239133
Ca1Ce1,Ca1Ce1,B2,Ca,Ce,4.15484,4.131943057964956,-0.022896942035044,-0.5510908250388462
Ca1Co1,Ca1Co1,B2,Ca,Co,3.42967,3.461017302538339,0.03134730253833862,0.9140034620922308
Ca1Cr1,Ca1Cr1,B2,Ca,Cr,3.78043,3.5810613837958067,-0.19936861620419322,-5.273702097491376
Ca1Cu1,Ca1Cu1,B2,Ca,Cu,3.56038,3.567814630702413,0.007434630702412903,0.2088156517678704
Ca1Fe1,Ca1Fe1,B2,Ca,Fe,3.55481,3.490587617660692,-0.06422238233930777,-1.8066333317197762
Ca1Ga1,Ca1Ga1,B2,Ca,Ga,3.67416,3.7216267086454757,0.04746670864547564,1.291906412499065
Ca1Gd1,Ca1Gd1,B2,Ca,Gd,4.1679,4.231829225674422,0.06392922567442128,1.533847397356493
Ca1Ge1,Ca1Ge1,B2,Ca,Ge,3.66842,3.7354734618922243,0.0670534618922245,1.8278567310238332
Ca1Hf1,Ca1Hf1,B2,Ca,Hf,3.81963,3.8399915138402765,0.020361513840276402,0.5330755554929771
Ca1In1,Ca1In1,B2,Ca,In,3.87536,3.940982552926239,0.06562255292623886,1.6933279211799384
Ca1La1,Ca1La1,B2,Ca,La,4.29481,4.22911528007006,-0.06569471992994025,-1.5296304127526072
Ca1Mg1,Ca1Mg1,B2,Ca,Mg,3.95972,3.8545220333207966,-0.10519796667920334,-2.6567021577082053
Ca1Mn1,Ca1Mn1,B2,Ca,Mn,3.68895,3.522369825536684,-0.16658017446331597,-4.515652813492077
Ca1Mo1,Ca1Mo1,B2,Ca,Mo,3.61571,3.653721118327812,0.03801111832781201,1.0512767430964323
Ca1Na1,Ca1Na1,B2,Ca,Na,4.26585,4.05728748789907,-0.20856251210093024,-4.889119685430342
Ca1Nb1,Ca1Nb1,B2,Ca,Nb,3.6733,3.7269519033725316,0.053651903372531784,1.46059138574393
Ca1Ni1,Ca1Ni1,B2,Ca,Ni,3.41852,3.4840846309515046,0.06556463095150455,1.9179244512685183
Ca1Pd1,Ca1Pd1,B2,Ca,Pd,3.51984,3.6518247605935232,0.13198476059352338,3.7497375049298656
Ca1Ru1,Ca1Ru1,B2,Ca,Ru,3.41819,3.560120994227929,0.14193099422792876,4.15222659442362
Ca1Sb1,Ca1Sb1,B2,Ca,Sb,3.8782,3.953006448855558,0.07480644885555776,1.9288961078736984
Ca1Sc1,Ca1Sc1,B2,Ca,Sc,3.9732,3.8876106046714685,-0.08558939532853138,-2.1541678075236934
Ca1Se1,Ca1Se1,B2,Ca,Se,3.64701,3.7742032021491188,0.1271932021491189,3.4876022316670063
Ca1Si1,Ca1Si1,B2,Ca,Si,3.61689,3.6326926827933423,0.015802682793342182,0.4369135581491885
Ca1Sn1,Ca1Sn1,B2,Ca,Sn,3.89365,3.952858916422756,0.05920891642275583,1.5206532796413603
Ca1Sr1,Ca1Sr1,B2,Ca,Sr,4.55508,4.407578041587147,-0.14750195841285318,-3.238185902615392
Ca1Ta1,Ca1Ta1,B2,Ca,Ta,3.64308,3.716521383999105,0.07344138399910527,2.015914665588054
Ca1Tc1,Ca1Tc1,B2,Ca,Tc,3.48768,3.5840538514001268,0.09637385140012666,2.7632653053068705
Ca1Ti1,Ca1Ti1,B2,Ca,Ti,3.7694,3.694266059220842,-0.07513394077915825,-1.9932599559388298
Ca1V1,Ca1V1,B2,Ca,V,3.78128,3.605589176052239,-0.17569082394776103,-4.646332034331259
Ca1W1,Ca1W1,B2,Ca,W,3.51715,3.6338463189891645,0.11669631898916455,3.3179227212136118
Ca1Y1,Ca1Y1,B2,Ca,Y,4.14546,4.088814890463654,-0.05664510953634583,-1.3664372478891567
Ca1Zn1,Ca1Zn1,B2,Ca,Zn,3.66633,3.6759889164376793,0.009658916437679466,0.2634491831798956
Ca1Zr1,Ca1Zr1,B2,Ca,Zr,3.85484,3.868682293129299,0.013842293129298966,0.35908865554209685
Cd1Ag1,Cd1Ag1,B2,Cd,Ag,3.3837,3.466831903369427,0.08313190336942666,2.4568343342916528
Cd1Al1,Cd1Al1,B2,Cd,Al,3.46428,3.3967935088545906,-0.06748649114540939,-1.9480668752355292
Cd1As1,Cd1As1,B2,Cd,As,3.49866,3.4290243708788357,-0.06963562912116439,-1.990351423721207
Cd1B1,Cd1B1,B2,Cd,B,3.10514,3.0083072279912035,-0.09683277200879647,-3.118467186947979
Cd1Ca1,Cd1Ca1,B2,Cd,Ca,3.82038,3.891152942336555,0.07077294233655484,1.8525105444106305
Cd1Cd1,Cd2,B2,Cd,Cd,3.584,3.58689125392057,0.0028912539205698806,0.08067114733732926
Cd1Ce1,Cd1Ce1,B2,Cd,Ce,3.83632,3.827681369548971,-0.008638630451029083,-0.22518013228899264
Cd1Co1,Cd1Co1,B2,Cd,Co,3.12489,3.156755614122354,0.03186561412235367,1.0197355466065579
Cd1Cr1,Cd1Cr1,B2,Cd,Cr,3.33526,3.2767996953798213,-0.058460304620178594,-1.7527960225043504
Cd1Cu1,Cd1Cu1,B2,Cd,Cu,3.20058,3.263552942286428,0.0629729422864278,1.96754782840697
Cd1Fe1,Cd1Fe1,B2,Cd,Fe,3.2053,3.186325929244707,-0.018974070755292782,-0.5919592785478047
Cd1Ga1,Cd1Ga1,B2,Cd,Ga,3.49919,3.4173650202294907,-0.08182497977050929,-2.338397736919381
Cd1Gd1,Cd1Gd1,B2,Cd,Gd,3.77071,3.927567537258437,0.15685753725843732,4.159893952556344
Cd1Ge1,Cd1Ge1,B2,Cd,Ge,3.50935,3.4312117734762393,-0.07813822652376068,-2.226572628086702
Cd1Hf1,Cd1Hf1,B2,Cd,Hf,3.47502,3.5357298254242915,0.060709825424291264,1.7470352810715122
Cd1In1,Cd1In1,B2,Cd,In,3.70163,3.636720864510254,-0.0649091354897462,-1.7535284588072333
Cd1La1,Cd1La1,B2,Cd,La,3.93675,3.9248535916540743,-0.011896408345925646,-0.302188565337541
Cd1Mg1,Cd1Mg1,B2,Cd,Mg,3.51993,3.5502603449048116,0.030330344904811568,0.8616746612805246
Cd1Mn1,Cd1Mn1,B2,Cd,Mn,3.30168,3.218108137120699,-0.08357186287930096,-2.5311920864317847
Cd1Mo1,Cd1Mo1,B2,Cd,Mo,3.28426,3.349459429911827,0.06519942991182681,1.9852091464082262
Cd1Na1,Cd1Na1,B2,Cd,Na,3.73489,3.7530257994830847,0.018135799483084636,0.48557787466524144
Cd1Nb1,Cd1Nb1,B2,Cd,Nb,3.38187,3.4226902149565466,0.04082021495654642,1.2070308721667722
Cd1Ni1,Cd1Ni1,B2,Cd,Ni,3.13275,3.1798229425355196,0.04707294253551941,1.5026076940553639
Cd1Pd1,Cd1Pd1,B2,Cd,Pd,3.28228,3.3475630721775382,0.06528307217753815,1.9889550001077954
Cd1Ru1,Cd1Ru1,B2,Cd,Ru,3.23732,3.255859305811944,0.01853930581194385,0.5726744903791979
Cd1Sb1,Cd1Sb1,B2,Cd,Sb,3.71596,3.648744760439573,-0.06721523956042708,-1.808825702118082
Cd1Sc1,Cd1Sc1,B2,Cd,Sc,3.53743,3.583348916255483,0.045918916255482944,1.2980869234298047
Cd1Se1,Cd1Se1,B2,Cd,Se,3.55646,3.4699415137331338,-0.0865184862668662,-2.4327136047324083
Cd1Si1,Cd1Si1,B2,Cd,Si,3.42942,3.3284309943773573,-0.10098900562264257,-2.9447838299958176
Cd1Sn1,Cd1Sn1,B2,Cd,Sn,3.72173,3.648597228006771,-0.0731327719932291,-1.96502089064035
Cd1Sr1,Cd1Sr1,B2,Cd,Sr,4.06942,4.103316353171162,0.03389635317116202,0.8329529311587897
Cd1Ta1,Cd1Ta1,B2,Cd,Ta,3.3584,3.41225969558312,0.05385969558312009,1.6037308117889497
Cd1Tc1,Cd1Tc1,B2,Cd,Tc,3.23971,3.2797921629841413,0.040082162984141245,1.2372145341447613
Cd1Ti1,Cd1Ti1,B2,Cd,Ti,3.34741,3.390004370804857,0.04259437080485684,1.2724575359712984
Cd1V1,Cd1V1,B2,Cd,V,3.33572,3.301327487636254,-0.03439251236374563,-1.031037148314176
Cd1W1,Cd1W1,B2,Cd,W,3.27935,3.3295846305731795,0.05023463057317956,1.531847182312945
Cd1Y1,Cd1Y1,B2,Cd,Y,3.7423,3.784553202047669,0.042253202047668914,1.1290704125182083
Cd1Zn1,Cd1Zn1,B2,Cd,Zn,3.3984,3.371727228021694,-0.026672771978306198,-0.7848626406045843
Cd1Zr1,Cd1Zr1,B2,Cd,Zr,3.51928,3.564420604713314,0.0451406047133136,1.282665906472733
Ce1Ag1,Ce1Ag1,B2,Ce,Ag,3.71631,3.707622018997828,-0.008687981002172052,-0.2337797708525944
Ce1Al1,Ce1Al1,B2,Ce,Al,3.6726,3.637583624482992,-0.03501637551700787,-0.9534492053860444
Ce1As1,Ce1As1,B2,Ce,As,3.61721,3.669814486507237,0.052604486507236814,1.4542834534692985
Ce1B1,Ce1B1,B2,Ce,B,3.23681,3.2490973436196056,0.012287343619605373,0.3796127551387129
Ce1Ca1,Ce1Ca1,B2,Ce,Ca,4.15377,4.131943057964956,-0.02182694203504365,-0.525473053034801
Ce1Cd1,Ce1Cd1,B2,Ce,Cd,3.83942,3.827681369548971,-0.011738630451028964,-0.3057396807598274
Ce1Ce1,Ce2,B2,Ce,Ce,3.76562,4.068471485177373,0.3028514851773725,8.04253974584192
Ce1Cr1,Ce1Cr1,B2,Ce,Cr,3.37759,3.517589811008223,0.13999981100822279,4.144961674099662
Ce1Cu1,Ce1Cu1,B2,Ce,Cu,3.5029,3.50434305791483,0.0014430579148299039,0.041196092233004196
Ce1Fe1,Ce1Fe1,B2,Ce,Fe,3.33761,3.427116044873108,0.08950604487310798,2.681740672909896
