el1,el2,a_25,src_25,d_nn_25,r_ws_25,a_50,src_50,d_nn_50,r_ws_50,a_75,src_75,d_nn_75,r_ws_75,n_compositions
In,Np,4.58106,L12_MP,3.239298591022445,1.79026139381476,3.778947,B2_OQMD,3.272664101554993,1.8606496230286962,4.606359,L12_OQMD,3.2571876854796837,1.8001481499371688,3
In,Pr,5.03442444,L12_MP,3.5598756608952864,1.967434548992917,3.899205135,B2_MP,3.3768107014767312,1.9198614229173647,4.712113,L12_OQMD,3.331967056017286,1.8414764240574566,3
In,Pu,4.346444,L12_MP,3.0734000264475823,1.6985743241908644,3.812697,B2_OQMD,3.3018924589327177,1.8772671952722917,4.58589,L12_OQMD,3.242713916775576,1.7921489400446995,3
In,Sm,4.92785002,L12_MP,3.4845161658122636,1.9257856577550378,3.820351895,B2_MP,3.30852179246602,1.881036255144281,4.666103,L12_OQMD,3.2994330730148924,1.8234958853329215,3
In,Th,4.95489198,L12_MP,3.503637719104839,1.9363535562329193,3.98794,B2_OQMD,3.453657348768114,1.9635520312036816,4.74003,L12_OQMD,3.3517073560276707,1.8523862849479766,3
In,Tm,4.7579436,L12_MP,3.364374184063134,1.859386853922022,3.703522,B2_MP,3.2073441354745515,1.8235124263924536,4.589502,L12_OQMD,3.2452679864692224,1.7935604963557845,3
In,U,4.466263,L12_MP,3.158124853862573,1.745399148564588,3.781545,B2_OQMD,3.274914035554025,1.8619288068120698,4.674224,L12_OQMD,3.3051754871849086,1.8266695422549373,3
La,Pb,4.937545,L12_OQMD,3.4913715519137316,1.9295744202702214,4.023469,B2_OQMD,3.484426365339172,1.9810455341442064,5.07333124,L12_MP,3.5873869230095554,1.9826391832908465,3
La,Sn,4.793182,L12_OQMD,3.389291495661298,1.8731578909963675,3.960487,B2_OQMD,3.42988235335802,1.9500349286613579,5.03858216,L12_MP,3.5628156129015616,1.9690593706722428,3
La,Tl,4.840463,L12_OQMD,3.422724211382579,1.8916351318447642,3.975579995,B2_MP,3.4429532704472114,1.9574663045068312,5.09044228,L12_MP,3.59948625542671,1.9893261147695918,3
Mn,Pt,3.927619,L12_OQMD,2.7772460288171263,1.5348990550905979,3.115442,B2_OQMD,2.6980519160169987,1.533958000169827,3.889221,L12_MP,2.7500945426331254,1.5198932579607418,3
Nd,Tl,4.780972,L12_OQMD,3.3806577218630105,1.8683862679181984,3.8912361950000003,B2_MP,3.3699093969954976,1.9159377359201832,4.98879862,L12_MP,3.52761333417609,1.9496041463989453,3
Ni,Pt,3.85503762,L12_MP,2.7259232428312488,1.5065345188208703,2.982307,B2_OQMD,2.582753623884158,1.4684059859283134,3.645091,L12_OQMD,2.5774685641420536,1.4244881521398187,3
Np,Sn,4.655364,L12_OQMD,3.2918394532917303,1.8192991236427938,3.728413,B2_OQMD,3.2289003738001503,1.835768070561797,4.592665,L12_MP,3.247504565218115,1.7947965851187861,3
Pb,Pu,4.79413402,L12_MP,3.3899646754591237,1.8735299369097895,3.74576,B2_OQMD,3.243923316479599,1.8443092565087496,4.885603,L12_OQMD,3.4546430114853397,1.9092756777701172,3
Pb,Th,4.98454339,L12_MP,3.5246044321875813,1.9479412181703686,3.941171,B2_OQMD,3.4131542066585197,1.9405242612404012,4.909427,L12_OQMD,3.4714891234403282,1.9185860093192004,3
Pb,Tm,4.7952213100000005,L12_MP,3.39073350559124,1.8739548458415392,3.819087,B2_OQMD,3.3074263612629005,1.880413455617079,4.835332,L12_OQMD,3.419096046488311,1.8896299559222347,3
Pd,Sm,4.791424,L12_MP,3.3880484019399724,1.8724708710642284,3.578333,B2_OQMD,3.0989272812001816,1.761872804122721,4.147872,L12_OQMD,2.9329884186938067,1.62097311715743,3
Pr,Sn,4.769768,L12_OQMD,3.3727352974865963,1.8640077859388529,3.919354,B2_OQMD,3.394260130424154,1.9297821701696298,4.98284356,L12_MP,3.523402470867717,1.947276930860216,3
Pt,V,3.834831,L12_MP,2.711635004804389,1.4986378460670784,3.108522,B2_OQMD,2.6920590202228105,1.5305507823942512,3.902123,L12_OQMD,2.7592176343239943,1.5249353120929727,3
Pu,Sn,4.670212,L12_OQMD,3.3023385747787883,1.8251016674154932,3.76971,B2_OQMD,3.264664624900236,1.8561015781453158,4.7515794,L12_MP,3.3598740150863065,1.8568997479765603,3
Si,U,4.24041411,L12_MP,2.998425572220118,1.6571382332736038,3.429305,B2_OQMD,2.9698652473249942,1.688495513565134,4.020981,L12_OQMD,2.843262932122265,1.571384581202313,3
Ti,Zn,3.908511,L12_OQMD,2.7637346324422136,1.5274317189908715,3.128048285,B2_MP,2.708969279074346,1.5401649883686674,4.00375191,L12_MP,2.8310801257495917,1.5646515162178858,3
