el1,el2,d_nn_25,d_nn_50,d_nn_75,slope,intercept,R2,max_dev_pct,range,mid_residual
Ni,Pt,2.7259232428312488,2.582753623884158,2.5774685641420536,-0.29690935737839275,2.7771698223083505,0.7766653266583683,30.95996713665128,0.14845467868919515,-0.04596151973499607
Np,Sn,3.2918394532917303,3.2289003738001503,3.247504565218115,-0.08866977614723183,3.3004163521769474,0.47000816937477297,43.18634864498983,0.06293907949158006,-0.027181090303181055
Pb,Pu,3.3899646754591237,3.243923316479599,3.4546430114853397,0.1293566720524286,3.298165331781806,0.08975193474889775,56.43532813825563,0.21071969500574061,-0.11892035132842116
Pb,Th,3.5246044321875813,3.4131542066585197,3.4714891234403282,-0.10623061749451074,3.522864562842732,0.22696563688582616,50.780558916141004,0.1114502255290617,-0.0565950474369572
Pb,Tm,3.39073350559124,3.3074263612629005,3.419096046488311,0.05672508179414065,3.3440560968837465,0.05969193761038738,58.20046540538395,0.11166968522541065,-0.06499227651791628
Pd,Sm,3.3880484019399724,3.0989272812001816,2.9329884186938067,-0.9101199664923331,3.5950480171908192,0.9761571849180719,9.023151728606111,0.4550599832461657,-0.041060752744471074
Pr,Sn,3.3727352974865963,3.394260130424154,3.523402470867717,0.3013343467622414,3.279465459545035,0.8546555537620675,23.809103002988067,0.1506671733811209,-0.03587250250200169
Pt,V,2.711635004804389,2.6920590202228105,2.7592176343239943,0.095165259039207,2.673387923597462,0.4744827115038972,43.04962703771051,0.06715861410118373,-0.028911532894254854
Pu,Sn,3.3023385747787883,3.264664624900236,3.3598740150863065,0.11507088061503377,3.251423631280926,0.3599620894564596,46.52319125418316,0.09520939018607066,-0.044294446688207145
Si,U,2.998425572220118,2.9698652473249942,2.843262932122265,-0.3103252801957087,3.09234722398698,0.882546429227646,21.062198616405933,0.1551626400978532,0.03268066343586895
Ti,Zn,2.7637346324422136,2.708969279074346,2.8310801257495917,0.1346909866147551,2.700582519114673,0.30309224771306553,48.282961713061766,0.12211084667524563,-0.058958733347704406
