Pair,r_ws_25,r_ws_50,r_ws_75,R2_rws,R2_dnn,dev_rws_pct,dev_dnn_pct
Ti--Zn,2.46220764132283,2.482733569108161,2.5222056549829017,0.9678303345965446,0.3030922477130672,-0.38010808821675973,-3.161430854956107
Hg--Tl,3.055476991139976,3.034240217130256,2.992300524250349,0.9654413220699516,0.3512102883448974,0.3423227593525467,-2.4591698080679736
In--Ni,2.351361677234654,2.496756443796598,2.786079796606181,0.9647489784450153,0.8759563683469476,-2.8015615745795612,-5.5152789305824275
Fe--Pd,2.447375850723468,2.41500449591971,2.3504205162103826,0.9645109226692044,0.7280387750595878,0.6714045874805581,-2.139275731132293
La--Tl,3.0493006124686435,3.155419933123364,3.206777690923426,0.9612533995804181,0.8345808260423925,0.8753337186487422,-1.9410401690338308
Pb--Th,3.1400655705876748,3.1281094956932805,3.0927452101111186,0.9245836834444725,0.2269656368858316,0.37556427607679005,-2.4268563729295427
Pr--Sn,3.0047655531574846,3.110793331317885,3.138994744788554,0.8992346289701041,0.8546555537620675,1.266754575626109,-1.5605475284999468
La--Sn,3.019515448888604,3.1434406150531893,3.1741078625043886,0.8918190985362824,0.9137446143980272,1.505708597774123,-1.3282649476600084
Ca--Pb,3.097841351372944,3.1141189365217583,3.1825145849161283,0.8878721658345604,0.29631338242993965,-0.8298584311823417,-3.5986244600630677
Mn--Pt,2.4742449270335256,2.472727954072955,2.450055702796594,0.7968380343114397,0.1137970016047819,0.4296098046418612,-2.374319760467018
La--Pb,3.1104584401515907,3.19342946158072,3.195998411182629,0.7725031909403903,0.6960128350125434,1.274916703984264,-1.5526132814714295
Pu--Sn,2.9420492031358174,2.9920208098075203,2.9933074531534256,0.7688137373150244,0.3599620894564596,0.8202533755778568,-1.9945827046523896
Pt--V,2.415792149844703,2.467235546433145,2.458183453489466,0.595647288204908,0.4744827115038972,1.2411939339773783,-1.585394533612963
In--Th,3.1213863527786434,3.1652300755930307,2.9860317870665978,0.5249012554023951,0.9624619019751826,3.6519852781272317,0.758089079895281
Ce--In,2.994327107259106,3.120400282484397,3.0870643457896425,0.5038010856725041,0.9915478743577016,2.621260498534908,-0.2438585323993519
Si--U,2.6712934987301167,2.7218411822599027,2.5330593015636684,0.5002069700362036,0.882546429227646,4.598642202206394,1.678315956674634
In--U,2.8135693840333125,3.0014142555325423,2.9445766047619064,0.46236981144842515,0.8965287300003297,4.2493282168599675,1.3387545912270662
Np--Sn,2.932695549261397,2.959243359185955,2.893197654307719,0.3531249566503841,0.47000816937477297,1.5893445273948474,-1.246964078946363
Pb--Pu,3.0201151839075644,2.9730116822102013,3.0777370305647707,0.3017260631955283,0.08975193474889287,-2.489874216557579,-5.2122936814298155
In--Pu,2.738088143894636,3.026139614317999,2.8889296717512,0.2740170404208231,0.5096203615010607,7.557491853104308,4.554556444488031
Ce--Sn,3.015874277054408,3.134567043172687,3.068455595364931,0.19540576501772222,0.9886134537932311,3.037379921883663,0.16064310655281155
Ge--U,2.7013498288181204,2.785040380341913,2.6433143626794435,0.16587077545139206,0.6740342670353308,4.217600229119362,1.3079124283248142
Al--Np,2.713119658488345,2.800750094852716,2.678704915010466,0.07477586175217688,0.5558309611651654,3.888769253309755,0.9882622000735055
In--Np,2.885886962415704,2.999352221566036,2.901824333736349,0.016828569014898043,0.2869623206610836,3.6455368311183194,0.751820669344278
Ce--Pb,3.10573184633291,3.1774538573937114,3.108311981954542,0.001005472275871333,0.014720724486192549,2.2668634208650547,-0.5883610735296487
