config_index,config_name,composition,n_fe,n_v,converged,total_energy,energy_per_atom,n_atoms,n_iterations,total_magnetization,magmom_per_atom
33,config_033_Fe6V2,Fe6V2,6,2,True,-66.77386122,-8.3467326525,8,16,-5.5160215,
34,config_034_Fe6V2,Fe6V2,6,2,True,-67.80067303,-8.47508412875,8,23,-10.8145994,
35,config_035_Fe5V3,Fe5V3,5,3,True,-67.47072422,-8.4338405275,8,78,-0.0145082,
36,config_036_Fe6V2,Fe6V2,6,2,True,-66.11380229,-8.26422528625,8,75,0.0083134,
37,config_037_Fe5V3,Fe5V3,5,3,True,-67.47072456,-8.43384057,8,45,-0.0235661,
38,config_038_Fe5V3,Fe5V3,5,3,True,-67.67541773,-8.45942721625,8,23,-1.0629188,
39,config_039_Fe4V4,Fe4V4,4,4,True,-68.90891957,-8.61361494625,8,59,0.1721408,
40,config_040_Fe6V2,Fe6V2,6,2,True,-66.11380698,-8.2642258725,8,67,0.0216781,
41,config_041_Fe5V3,Fe5V3,5,3,True,-67.45421438,-8.4317767975,8,15,-0.000351,
42,config_042_Fe5V3,Fe5V3,5,3,False,-68.35305619,-8.54413202375,8,76,-7.2159219,
43,config_043_Fe4V4,Fe4V4,4,4,False,-51.14355751,-6.39294468875,8,20,-5.7e-05,
44,config_044_Fe5V3,Fe5V3,5,3,True,-67.47075566,-8.4338444575,8,62,-0.0337687,
45,config_045_Fe4V4,Fe4V4,4,4,True,-68.86121211,-8.60765151375,8,28,0.4829438,
46,config_046_Fe4V4,Fe4V4,4,4,True,-68.90898116,-8.613622645,8,76,0.1494117,
47,config_047_Fe3V5,Fe3V5,3,5,True,-70.39002863,-8.79875357875,8,17,0.0010001,
48,config_048_Fe6V2,Fe6V2,6,2,False,-52.39404299,-6.54925537375,8,20,-5.9426934,
49,config_049_Fe5V3,Fe5V3,5,3,True,-67.47072783,-8.43384097875,8,69,-0.0171855,
50,config_050_Fe5V3,Fe5V3,5,3,False,-67.55299607,-8.44412450875,8,100,0.1140102,
51,config_051_Fe4V4,Fe4V4,4,4,False,-50.9328633,-6.3666079125,8,20,0.0002651,
52,config_052_Fe5V3,Fe5V3,5,3,False,-51.57946216,-6.44743277,8,20,-0.0010713,
53,config_053_Fe4V4,Fe4V4,4,4,True,-68.37769436,-8.547211795,8,17,-0.0029238,
54,config_054_Fe4V4,Fe4V4,4,4,True,-68.52535217,-8.56566902125,8,30,-0.0061002,
55,config_055_Fe3V5,Fe3V5,3,5,True,-69.87893265,-8.73486658125,8,26,0.0009077,
56,config_056_Fe5V3,Fe5V3,5,3,True,-67.63348132,-8.454185165,8,44,0.0868353,
57,config_057_Fe4V4,Fe4V4,4,4,True,-68.5253403,-8.5656675375,8,29,-0.0012219,
58,config_058_Fe4V4,Fe4V4,4,4,True,-68.37771041,-8.54721380125,8,19,0.0012135,
59,config_059_Fe3V5,Fe3V5,3,5,True,-69.8789402,-8.734867525,8,28,-0.0006057,
60,config_060_Fe4V4,Fe4V4,4,4,True,-68.89259159,-8.61157394875,8,16,0.0010959,
61,config_061_Fe3V5,Fe3V5,3,5,True,-69.87893874,-8.7348673425,8,20,0.0064775,
62,config_062_Fe3V5,Fe3V5,3,5,True,-69.87893682,-8.7348671025,8,32,-0.0026731,
63,config_063_Fe2V6,Fe2V6,2,6,True,-71.09596016,-8.88699502,8,13,-9.1e-06,
64,config_064_Fe7V1,Fe7V1,7,1,False,-52.60780056,-6.57597507,8,20,-0.0001167,
65,config_065_Fe6V2,Fe6V2,6,2,True,-67.80069791,-8.47508723875,8,27,10.8131613,
66,config_066_Fe6V2,Fe6V2,6,2,True,-66.11380584,-8.26422573,8,70,0.0036643,
67,config_067_Fe5V3,Fe5V3,5,3,False,-67.40696502,-8.4258706275,8,76,0.1135785,
68,config_068_Fe6V2,Fe6V2,6,2,True,-66.11380206,-8.2642252575,8,68,0.0097296,
69,config_069_Fe5V3,Fe5V3,5,3,True,-67.63345894,-8.4541823675,8,40,0.1076547,
70,config_070_Fe5V3,Fe5V3,5,3,True,-67.45421942,-8.4317774275,8,24,-0.0023876,
71,config_071_Fe4V4,Fe4V4,4,4,True,-68.86121668,-8.607652085,8,42,0.483267,
72,config_072_Fe6V2,Fe6V2,6,2,True,-67.80067196,-8.475083995,8,23,10.8144843,
73,config_073_Fe5V3,Fe5V3,5,3,True,-67.45419227,-8.43177403375,8,16,-0.0041345,
74,config_074_Fe5V3,Fe5V3,5,3,False,-67.4121202,-8.426515025,8,74,-0.0396438,
75,config_075_Fe4V4,Fe4V4,4,4,False,-68.85880734,-8.6073509175,8,48,0.0933763,
76,config_076_Fe5V3,Fe5V3,5,3,True,-67.47073285,-8.43384160625,8,42,0.0115835,
77,config_077_Fe4V4,Fe4V4,4,4,True,-68.85903987,-8.60737998375,8,39,0.0368384,
78,config_078_Fe4V4,Fe4V4,4,4,True,-68.86120823,-8.60765102875,8,40,-0.4871165,
79,config_079_Fe3V5,Fe3V5,3,5,True,-70.39002592,-8.79875324,8,13,0.0006523,
80,config_080_Fe6V2,Fe6V2,6,2,False,-68.09147276,-8.511434095,8,32,-10.2307652,
81,config_081_Fe5V3,Fe5V3,5,3,False,-67.47071506,-8.4338393825,8,100,0.0090196,
82,config_082_Fe5V3,Fe5V3,5,3,False,-51.57813341,-6.44726667625,8,20,-0.0026282,
83,config_083_Fe4V4,Fe4V4,4,4,True,-68.37769281,-8.54721160125,8,22,0.002491,
84,config_084_Fe5V3,Fe5V3,5,3,False,-67.40395764,-8.425494705,8,46,0.0166807,
85,config_085_Fe4V4,Fe4V4,4,4,True,-68.89260736,-8.61157592,8,20,-0.007623,
86,config_086_Fe4V4,Fe4V4,4,4,True,-68.52531705,-8.56566463125,8,21,0.0030052,
87,config_087_Fe3V5,Fe3V5,3,5,True,-69.87894979,-8.73486872375,8,29,0.0007937,
88,config_088_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
89,config_089_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.56566663250,8,23,0.0018978,
90,config_090_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
91,config_091_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
92,config_092_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
93,config_093_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
94,config_094_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
95,config_095_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
96,config_096_Fe6V2,Fe6V2,6,2,True,-66.77386122,-8.3467326525,8,16,-5.5160215,
97,config_097_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
98,config_098_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
99,config_099_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
100,config_100_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
101,config_101_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
102,config_102_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
103,config_103_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
104,config_104_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
105,config_105_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
106,config_106_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
107,config_107_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
108,config_108_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
109,config_109_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
110,config_110_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
111,config_111_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
112,config_112_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
113,config_113_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
114,config_114_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
115,config_115_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
116,config_116_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
117,config_117_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
118,config_118_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
119,config_119_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
120,config_120_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
121,config_121_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
122,config_122_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
123,config_123_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
124,config_124_Fe3V5,Fe3V5,3,5,True,-70.39002564,-8.798753205,8,18,-0.0012739,
125,config_125_Fe2V6,Fe2V6,2,6,True,-71.09596016,-8.88699502,8,13,-9.1e-06,
126,config_126_Fe2V6,Fe2V6,2,6,True,-71.09596016,-8.88699502,8,13,-9.1e-06,
127,config_127_Fe1V7,Fe1V7,1,7,True,-71.30465151,-8.91308143875,8,16,-2e-07,
128,config_128_Fe7V1,Fe7V1,7,1,True,-65.14208946,-8.1427611825,8,28,2.9196822,
129,config_129_Fe6V2,Fe6V2,6,2,True,-66.11377285,-8.26422160625,8,58,0.0040392,
130,config_130_Fe6V2,Fe6V2,6,2,True,-67.80069822,-8.4750872775,8,26,-10.813238,
131,config_131_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
132,config_132_Fe6V2,Fe6V2,6,2,True,-66.11377285,-8.26422160625,8,58,0.0040392,
133,config_133_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
134,config_134_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
135,config_135_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
136,config_136_Fe6V2,Fe6V2,6,2,True,-67.80069822,-8.4750872775,8,26,-10.813238,
137,config_137_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
138,config_138_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
139,config_139_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
140,config_140_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
141,config_141_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
142,config_142_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
143,config_143_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
144,config_144_Fe5V3,Fe5V3,5,3,True,-67.47072539,-8.43384067375,8,66,0.0131356,
145,config_145_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
146,config_146_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
147,config_147_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
148,config_148_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
149,config_149_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
150,config_150_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
151,config_151_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
152,config_152_Fe5V3,Fe5V3,5,3,True,-67.63347896,-8.45418487,8,43,-0.0887878,
153,config_153_Fe4V4,Fe4V4,4,4,True,-68.52533306,-8.5656666325,8,23,0.0018978,
154,config_154_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
155,config_155_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
156,config_156_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
157,config_157_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
158,config_158_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
159,config_159_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
160,config_160_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
161,config_161_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
162,config_162_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
163,config_163_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
164,config_164_Fe5V3,Fe5V3,5,3,True,-67.47073329,-8.43384166125,8,62,-0.017522,
165,config_165_Fe4V4,Fe4V4,4,4,False,-68.89191644,-8.611489555,8,30,-0.0044362,
166,config_166_Fe4V4,Fe4V4,4,4,True,-68.5253336,-8.5656667,8,21,0.0018978,
167,config_167_Fe3V5,Fe3V5,3,5,True,-69.87895262,-8.7348690775,8,28,-0.0024013,
168,config_168_Fe5V3,Fe5V3,5,3,False,-51.57831839,-6.44728979875,8,13,-0.0320268,
169,config_169_Fe4V4,Fe4V4,4,4,True,-68.52530458,-8.5656630725,8,27,-0.0007111,
170,config_170_Fe4V4,Fe4V4,4,4,True,-68.89260609,-8.61157576125,8,21,0.0004149,
171,config_171_Fe3V5,Fe3V5,3,5,True,-69.87895491,-8.73486936375,8,37,0.00176,
172,config_172_Fe4V4,Fe4V4,4,4,True,-68.37770249,-8.54721281125,8,16,-0.0026162,
173,config_173_Fe3V5,Fe3V5,3,5,True,-69.87894437,-8.73486804625,8,27,-0.0024394,
174,config_174_Fe3V5,Fe3V5,3,5,True,-69.87895141,-8.73486892625,8,29,-0.0006048,
175,config_175_Fe2V6,Fe2V6,2,6,True,-71.09596062,-8.8869950775,8,13,-1.2e-06,
176,config_176_Fe5V3,Fe5V3,5,3,False,-51.93410915,-6.49176364375,8,20,0.0015098,
177,config_177_Fe4V4,Fe4V4,4,4,True,-68.86122102,-8.6076526275,8,67,0.4776987,
178,config_178_Fe4V4,Fe4V4,4,4,True,-68.86122142,-8.6076526775,8,35,0.4800558,
179,config_179_Fe3V5,Fe3V5,3,5,True,-69.87893677,-8.73486709625,8,29,-0.0031871,
180,config_180_Fe4V4,Fe4V4,4,4,True,-68.8612222,-8.607652775,8,46,-0.4813081,
181,config_181_Fe3V5,Fe3V5,3,5,True,-69.87895276,-8.734869095,8,40,0.0071686,
182,config_182_Fe3V5,Fe3V5,3,5,True,-69.85362652,-8.731703315,8,21,-0.0005954,
183,config_183_Fe2V6,Fe2V6,2,6,True,-70.79034683,-8.84879335375,8,25,0.0032458,
184,config_184_Fe4V4,Fe4V4,4,4,False,-51.14359943,-6.39294992875,8,20,-0.0002366,
185,config_185_Fe3V5,Fe3V5,3,5,True,-69.85362549,-8.73170318625,8,29,-0.0050717,
186,config_186_Fe3V5,Fe3V5,3,5,True,-69.87894521,-8.73486815125,8,35,0.0023389,
187,config_187_Fe2V6,Fe2V6,2,6,True,-70.790333,-8.848791625,8,18,-0.0155588,
188,config_188_Fe3V5,Fe3V5,3,5,True,-69.87895013,-8.73486876625,8,23,-0.0012785,
189,config_189_Fe2V6,Fe2V6,2,6,False,-48.35812901,-6.04476612625,8,20,-3e-07,
190,config_190_Fe2V6,Fe2V6,2,6,True,-70.79033213,-8.84879151625,8,23,-0.000889,
191,config_191_Fe1V7,Fe1V7,1,7,True,-71.30465151,-8.91308143875,8,16,-2e-07,
192,config_192_Fe6V2,Fe6V2,6,2,False,-52.39404317,-6.54925539625,8,20,-5.9441425,
193,config_193_Fe5V3,Fe5V3,5,3,False,-67.46535659,-8.43316957375,8,48,-0.1329384,
194,config_194_Fe5V3,Fe5V3,5,3,False,-67.43936012,-8.429920015,8,69,0.1159579,
195,config_195_Fe4V4,Fe4V4,4,4,True,-68.89259147,-8.61157393375,8,16,0.0019712,
196,config_196_Fe5V3,Fe5V3,5,3,True,-67.63346002,-8.4541825025,8,37,0.0856729,
197,config_197_Fe4V4,Fe4V4,4,4,True,-68.37769258,-8.5472115725,8,18,0.0010023,
198,config_198_Fe4V4,Fe4V4,4,4,True,-68.52533448,-8.56566681,8,17,0.0040955,
199,config_199_Fe3V5,Fe3V5,3,5,True,-69.87895201,-8.73486900125,8,39,0.0022028,
200,config_200_Fe5V3,Fe5V3,5,3,False,-67.42200948,-8.427751185,8,54,0.0573693,
201,config_201_Fe4V4,Fe4V4,4,4,True,-68.52534725,-8.56566840625,8,25,-0.0012127,
202,config_202_Fe4V4,Fe4V4,4,4,True,-68.37771184,-8.54721398,8,28,-0.0024871,
203,config_203_Fe3V5,Fe3V5,3,5,True,-69.87893795,-8.73486724375,8,31,-0.000884,
204,config_204_Fe4V4,Fe4V4,4,4,False,-68.89183907,-8.61147988375,8,29,0.0053238,
205,config_205_Fe3V5,Fe3V5,3,5,True,-69.87892403,-8.73486550375,8,30,-0.0002415,
206,config_206_Fe3V5,Fe3V5,3,5,True,-69.87895114,-8.7348688925,8,35,-0.0008423,
207,config_207_Fe2V6,Fe2V6,2,6,False,-48.42914108,-6.053642635,8,20,6.8e-06,
208,config_208_Fe5V3,Fe5V3,5,3,False,-51.93411993,-6.49176499125,8,13,0.003564,
209,config_209_Fe4V4,Fe4V4,4,4,True,-68.85914227,-8.60739278375,8,52,-0.0785227,
210,config_210_Fe4V4,Fe4V4,4,4,True,-68.86122363,-8.60765295375,8,44,-0.4715493,
211,config_211_Fe3V5,Fe3V5,3,5,True,-69.87896915,-8.73487114375,8,30,0.0148439,
212,config_212_Fe4V4,Fe4V4,4,4,True,-68.86121274,-8.6076515925,8,29,0.4855677,
213,config_213_Fe3V5,Fe3V5,3,5,True,-69.87895195,-8.73486899375,8,19,-0.0051278,
214,config_214_Fe3V5,Fe3V5,3,5,True,-69.85362616,-8.73170327,8,23,0.0003709,
215,config_215_Fe2V6,Fe2V6,2,6,True,-70.79033477,-8.84879184625,8,16,-0.0056848,
216,config_216_Fe4V4,Fe4V4,4,4,True,-68.85903832,-8.60737979,8,40,-0.0187568,
217,config_217_Fe3V5,Fe3V5,3,5,True,-69.8536333,-8.7317041625,8,39,-0.0007523,
218,config_218_Fe3V5,Fe3V5,3,5,True,-69.87894673,-8.73486834125,8,28,-0.0011081,
219,config_219_Fe2V6,Fe2V6,2,6,True,-70.79033744,-8.84879218,8,21,-0.0092625,
220,config_220_Fe3V5,Fe3V5,3,5,True,-69.87895122,-8.7348689025,8,29,0.0025548,
221,config_221_Fe2V6,Fe2V6,2,6,True,-70.79033817,-8.84879227125,8,22,0.0091054,
222,config_222_Fe2V6,Fe2V6,2,6,True,-70.79034124,-8.848792655,8,22,0.0152278,
223,config_223_Fe1V7,Fe1V7,1,7,True,-71.30464694,-8.9130808675,8,14,-2e-06,
224,config_224_Fe5V3,Fe5V3,5,3,False,-52.04186253,-6.50523281625,8,20,-3.3419591,
225,config_225_Fe4V4,Fe4V4,4,4,True,-68.85912185,-8.60739023125,8,47,-0.0570487,
226,config_226_Fe4V4,Fe4V4,4,4,False,-51.14347467,-6.39293433375,8,20,3.68e-05,
227,config_227_Fe3V5,Fe3V5,3,5,True,-69.87895381,-8.73486922625,8,21,-4.77e-05,
228,config_228_Fe4V4,Fe4V4,4,4,True,-68.86122885,-8.60765360625,8,33,-0.5064535,
229,config_229_Fe3V5,Fe3V5,3,5,True,-69.87893515,-8.73486689375,8,25,0.0010585,
230,config_230_Fe3V5,Fe3V5,3,5,True,-69.85362261,-8.73170282625,8,24,0.0029087,
231,config_231_Fe2V6,Fe2V6,2,6,True,-70.7903366,-8.848792075,8,19,0.0035419,
232,config_232_Fe4V4,Fe4V4,4,4,True,-68.86121497,-8.60765187125,8,37,-0.4738429,
233,config_233_Fe3V5,Fe3V5,3,5,False,-69.84949479,-8.73118684875,8,37,-0.0007716,
234,config_234_Fe3V5,Fe3V5,3,5,True,-69.87894756,-8.734868445,8,19,-0.0029325,
235,config_235_Fe2V6,Fe2V6,2,6,True,-70.79030788,-8.848788485,8,21,-0.0030507,
236,config_236_Fe3V5,Fe3V5,3,5,True,-69.87894025,-8.73486753125,8,29,0.0038725,
237,config_237_Fe2V6,Fe2V6,2,6,True,-70.79032701,-8.84879087625,8,21,-0.0028133,
238,config_238_Fe2V6,Fe2V6,2,6,True,-70.7903437,-8.8487929625,8,19,0.0008529,
239,config_239_Fe1V7,Fe1V7,1,7,True,-71.30465923,-8.91308240375,8,18,0.0,
240,config_240_Fe4V4,Fe4V4,4,4,False,-51.22692404,-6.403365505,8,20,0.0387586,
241,config_241_Fe3V5,Fe3V5,3,5,True,-70.39002689,-8.79875336125,8,18,0.0043304,
242,config_242_Fe3V5,Fe3V5,3,5,True,-70.39002432,-8.79875304,8,14,0.0010009,
243,config_243_Fe2V6,Fe2V6,2,6,True,-71.09596143,-8.88699517875,8,18,4.3e-06,
244,config_244_Fe3V5,Fe3V5,3,5,True,-70.39003704,-8.79875463,8,19,-0.0153347,
245,config_245_Fe2V6,Fe2V6,2,6,True,-71.09595981,-8.88699497625,8,18,-2e-07,
246,config_246_Fe2V6,Fe2V6,2,6,False,-48.99402244,-6.124252805,8,20,5.5e-06,
247,config_247_Fe1V7,Fe1V7,1,7,True,-71.30464145,-8.91308018125,8,19,1e-07,
248,config_248_Fe3V5,Fe3V5,3,5,True,-70.39002989,-8.79875373625,8,16,0.0004022,
249,config_249_Fe2V6,Fe2V6,2,6,False,-48.99402255,-6.12425281875,8,14,1.1e-06,
250,config_250_Fe2V6,Fe2V6,2,6,True,-71.0959575,-8.8869946875,8,14,-3e-07,
251,config_251_Fe1V7,Fe1V7,1,7,True,-71.30465242,-8.9130815525,8,16,-3e-07,
252,config_252_Fe2V6,Fe2V6,2,6,True,-71.09596065,-8.88699508125,8,27,1.5e-06,
253,config_253_Fe1V7,Fe1V7,1,7,True,-71.30464174,-8.9130802175,8,13,2e-07,
254,config_254_Fe1V7,Fe1V7,1,7,True,-71.30465231,-8.91308153875,8,16,0.0,
255,config_255_Fe0V8,Fe0V8,0,8,False,-43.79244009,-5.47405501125,8,20,6e-06,
